gccsa_code16,gccsa_name16,num_jobs_000_males,num_jobs_000_females,num_jobs_000_persons,median_income_per_job_aud_males,median_income_per_job_aud_females,median_income_per_job_aud_persons,duration_adjusted_median_income_per_job_aud_male,duration_adjusted_median_income_per_job_aud_female,duration_adjusted_median_income_per_job_aud_persons
1GSYD,Greater Sydney,1759.7620000000002,1662.566,3422.3320000000003,36066,24281,29520,52721,37050,44412
1RNSW,Rest of NSW,847.59,812.903,1660.494,30739,19561,24101,46325,28377,36761
2GMEL,Greater Melbourne,1584.401,1556.483,3140.883,34921,21897,27191,50947,33952,41916
2RVIC,Rest of Vic.,463.64,467.86,931.498,29876,17574,22345,45622,26179,35121
3GBRI,Greater Brisbane,861.9680000000001,804.128,1666.096,33583,22517,27171,52068,35593,43337
3RQLD,Rest of Qld,887.312,822.9830000000001,1710.3029999999999,29624,18147,22845,49489,30277,38986
4GADE,Greater Adelaide,425.685,426.838,852.5260000000001,36430,23389,28639,49849,32799,40969
4RSAU,Rest of SA,121.105,110.979,232.088,26865,17654,21321,43686,25512,33554
5GPER,Greater Perth,824.2489999999999,716.867,1541.1170000000002,37885,21614,28322,61028,34553,46355
5RWAU,Rest of WA,206.917,180.483,387.402,32718,16048,22616,59179,29104,41808
6GHOB,Greater Hobart,72.467,76.169,148.64,32905,22623,26603,45715,31188,37974
6RTAS,Rest of Tas.,92.59,89.02600000000001,181.618,30050,18184,22750,43760,25874,34252
7GDAR,Greater Darwin,76.868,64.935,141.80700000000002,31493,19820,25073,59812,40176,49633
7RNTE,Rest of NT,28.633000000000003,28.247,56.876999999999995,20200,15279,17541,43395,33385,38225
8ACTE,Australian Capital Territory,151.668,152.499,304.16900000000004,45495,32404,38294,61355,45994,53248
