gccsa_code16,gccsa_name16,num_jobs_000_males,num_jobs_000_females,num_jobs_000_persons,median_income_per_job_aud_males,median_income_per_job_aud_females,median_income_per_job_aud_persons
1GSYD,Greater Sydney,1937.2089999999998,1780.3229999999999,3717.531,30854,20433,25135
1RNSW,Rest of NSW,1008.3939999999999,941.951,1950.34,25171,15288,19624
2GMEL,Greater Melbourne,1745.1129999999998,1627.94,3373.053,30131,19000,23842
2RVIC,Rest of Vic.,549.9259999999999,517.486,1067.42,23818,14323,18475
3GBRI,Greater Brisbane,943.4889999999999,840.5,1783.987,29937,20000,24449
3RQLD,Rest of Qld,1043.68,908.572,1952.2479999999998,24973,15165,19606
4GADE,Greater Adelaide,494.966,464.093,959.059,30900,20336,24958
4RSAU,Rest of SA,151.474,131.075,282.54900000000004,22318,14801,18086
5GPER,Greater Perth,933.4780000000001,783.01,1716.483,33576,18141,24810
5RWAU,Rest of WA,247.81,207.32,455.124,28630,13800,20143
6GHOB,Greater Hobart,81.309,80.968,162.27700000000002,28623,20001,23604
6RTAS,Rest of Tas.,109.273,97.645,206.92,24171,15599,19344
7GDAR,Greater Darwin,80.76,68.993,149.754,27053,16262,21420
7RNTE,Rest of NT,31.339000000000002,30.603,61.937,19052,12528,15543
8ACTE,Australian Capital Territory,172.351,166.579,338.935,38409,28260,33066
