gccsa_code16,gccsa_name16,num_owners_managers_unincorp_enteprise_000_males,num_owners_managers_unincorp_enteprise_000_females,num_owners_managers_unincorp_enteprise_000_person,median_income_per_employed_aud_males,median_income_per_employed_aud_females,median_income_per_employed_aud_persons
1GSYD,Greater Sydney,230.31900000000002,148.959,379.274,38601,30267,35309
1RNSW,Rest of NSW,144.695,102.899,247.592,34831,26228,31035
2GMEL,Greater Melbourne,214.94099999999997,137.72799999999998,352.675,36552,27262,32860
2RVIC,Rest of Vic.,87.49700000000001,60.46,147.958,30565,23471,27614
3GBRI,Greater Brisbane,94.985,63.415,158.4,38410,27265,33666
3RQLD,Rest of Qld,128.923,90.454,219.37400000000002,35091,24308,30234
4GADE,Greater Adelaide,60.21,37.459,97.669,34610,27202,31632
4RSAU,Rest of SA,25.754,18.565,44.323,34143,28460,31778
5GPER,Greater Perth,96.027,59.535,155.564,43909,29512,37837
5RWAU,Rest of WA,32.321999999999996,23.511,55.82899999999999,41011,29218,35687
6GHOB,Greater Hobart,10.48,6.97,17.456,37122,29798,34062
6RTAS,Rest of Tas.,15.394,10.219,25.615,31623,24513,28532
7GDAR,Greater Darwin,5.737,3.637,9.373,49138,39534,45339
7RNTE,Rest of NT,1.689,1.179,2.867,45840,39592,42739
8ACTE,Australian Capital Territory,13.704,9.402000000000001,23.108,46401,37634,42918
