gccsa_code16,gccsa_name16,num_multiple_job_holder_000_males,num_multiple_job_holder_000_females,num_multiple_job_holder_000_persons,median_income_multiple_job_holder_aud_males,median_income_multiple_job_holder_aud_females,median_income_multiple_job_holder_aud_persons
1GSYD,Greater Sydney,185.47799999999998,210.938,396.414,44729,37157,40416
1RNSW,Rest of NSW,97.255,114.146,211.4,43497,32840,37218
2GMEL,Greater Melbourne,169.071,205.18900000000002,374.25800000000004,43887,35071,38576
2RVIC,Rest of Vic.,52.398999999999994,68.314,120.714,42424,31222,35340
3GBRI,Greater Brisbane,98.44200000000001,104.96600000000001,203.40900000000002,49353,37358,42549
3RQLD,Rest of Qld,99.814,110.287,210.10299999999998,47103,33744,38957
4GADE,Greater Adelaide,44.57899999999999,55.699,100.277,45765,35893,39778
4RSAU,Rest of SA,13.761,15.739,29.500999999999998,41249,31491,35482
5GPER,Greater Perth,91.311,92.811,184.125,51979,34531,41485
5RWAU,Rest of WA,22.328000000000003,25.476999999999997,47.806000000000004,49351,31686,38069
6GHOB,Greater Hobart,8.783,10.770999999999999,19.558,42593,35792,38768
6RTAS,Rest of Tas.,11.049000000000001,13.154000000000002,24.209,41221,30686,34887
7GDAR,Greater Darwin,9.28,9.417,18.699,54808,42144,48076
7RNTE,Rest of NT,3.665,4.244,7.9079999999999995,42710,37899,40066
8ACTE,Australian Capital Territory,16.869,18.884,35.75,51245,39595,44480
