gccsa_code,gccsa_name,new_houses_num,new_oth_resial_building_num,tot_dwl_num,value_new_houses_aud000,value_new_oth_resial_building_aud000,value_alterations_additions_conversions_resial_building_aud000,value_tot_resial_building_aud000,value_non_resial_building_aud000,value_tot_building_aud000
1GSYD,Greater Sydney,12098,26241,39114,3635647.5,6838647.5,1421383.8,11895679.0,9518696.0,21414376.0
1RNSW,Rest of NSW,9831,2831,12856,2628176.5,595035.5,532812.3,3756024.5,2482280.2,6238304.5
2GMEL,Greater Melbourne,20676,23602,44587,5994215.5,6110890.0,1677495.2,13782600.0,7224571.5,21007172.0
2RVIC,Rest of Vic.,9407,784,10232,2451639.0,141669.5,477481.1,3070789.5,1672752.5,4743542.0
3GBRI,Greater Brisbane,8992,11535,20596,2347956.2,2719737.5,681078.9,5748772.5,3162219.0,8910992.0
3RQLD,Rest of Qld,11111,5914,17063,3049254.0,1315697.1,504295.1,4869246.5,3165589.2,8034835.5
4GADE,Greater Adelaide,5907,2626,8589,1287598.5,504917.2,278069.6,2070585.4,1171884.1,3242469.5
4RSAU,Rest of SA,2489,45,2544,538455.4,8565.6,71546.7,618567.7,338385.1,956952.9
5GPER,Greater Perth,19330,5762,25178,5048922.5,1352861.8,444957.8,6846742.0,3921655.8,10768398.0
5RWAU,Rest of WA,4433,734,5195,1410025.4,214506.1,137744.2,1762275.6,1475445.8,3237721.2
6GHOB,Greater Hobart,732,87,825,175021.1,17127.0,50504.6,242652.6,514362.4,757015.0
6RTAS,Rest of Tas.,1035,260,1310,243846.1,36826.9,59712.2,340385.3,170662.5,511047.7
7GDAR,Greater Darwin,784,1096,1889,289486.6,254316.6,60787.0,604590.2,583777.2,1188367.5
7RNTE,Rest of NT,104,103,260,34413.2,30240.0,10397.6,75050.9,100802.1,175853.0
8ACTE,Australian Capital Territory,1752,2879,4636,568978.2,640669.4,101128.5,1310776.1,707993.9,2018770.0
