yr,priv_hlth_taxpayers_report_having_priv_hlth_insur_num,core_activity_need_asst_p_need_asst_core_activ_pr100,gcc_code16,gcc_name16,ogc_fid
2011,1370279,4.4,1GSYD,Greater Sydney,1
2012,1419477,,1GSYD,Greater Sydney,2
2013,1444906,,1GSYD,Greater Sydney,3
2014,1541706,,1GSYD,Greater Sydney,4
2015,1623853,,1GSYD,Greater Sydney,5
2016,1680926,4.9,1GSYD,Greater Sydney,6
2011,670864,5.8,1RNSW,Rest of NSW,7
2012,696761,,1RNSW,Rest of NSW,8
2013,711896,,1RNSW,Rest of NSW,9
2014,771513,,1RNSW,Rest of NSW,10
2015,814022,,1RNSW,Rest of NSW,11
2016,836025,6.3,1RNSW,Rest of NSW,12
2011,1157964,4.5,2GMEL,Greater Melbourne,13
2012,1206721,,2GMEL,Greater Melbourne,14
2013,1234444,,2GMEL,Greater Melbourne,15
2014,1322689,,2GMEL,Greater Melbourne,16
2015,1391206,,2GMEL,Greater Melbourne,17
2016,1435418,4.9,2GMEL,Greater Melbourne,18
2011,322185,5.7,2RVIC,Rest of Vic.,19
2012,334742,,2RVIC,Rest of Vic.,20
2013,331824,,2RVIC,Rest of Vic.,21
2014,355984,,2RVIC,Rest of Vic.,22
2015,372556,,2RVIC,Rest of Vic.,23
2016,381119,6.0,2RVIC,Rest of Vic.,24
2011,598131,4.2,3GBRI,Greater Brisbane,25
2012,626510,,3GBRI,Greater Brisbane,26
2013,649653,,3GBRI,Greater Brisbane,27
2014,688361,,3GBRI,Greater Brisbane,28
2015,721506,,3GBRI,Greater Brisbane,29
2016,737544,4.9,3GBRI,Greater Brisbane,30
2011,605493,4.7,3RQLD,Rest of Qld,31
2012,635501,,3RQLD,Rest of Qld,32
2013,649698,,3RQLD,Rest of Qld,33
2014,684577,,3RQLD,Rest of Qld,34
2015,710046,,3RQLD,Rest of Qld,35
2016,708898,5.5,3RQLD,Rest of Qld,36
2011,388327,5.4,4GADE,Greater Adelaide,37
2012,398400,,4GADE,Greater Adelaide,38
2013,411027,,4GADE,Greater Adelaide,39
2014,435800,,4GADE,Greater Adelaide,40
2015,455719,,4GADE,Greater Adelaide,41
2016,466922,5.9,4GADE,Greater Adelaide,42
2011,91203,5.7,4RSAU,Rest of SA,43
2012,93986,,4RSAU,Rest of SA,44
2013,95302,,4RSAU,Rest of SA,45
2014,101888,,4RSAU,Rest of SA,46
2015,105229,,4RSAU,Rest of SA,47
2016,103896,6.2,4RSAU,Rest of SA,48
2011,650442,3.6,5GPER,Greater Perth,49
2012,692772,,5GPER,Greater Perth,50
2013,736183,,5GPER,Greater Perth,51
2014,784293,,5GPER,Greater Perth,52
2015,837064,,5GPER,Greater Perth,53
2016,853538,3.9,5GPER,Greater Perth,54
2011,149489,3.4,5RWAU,Rest of WA,55
2012,157496,,5RWAU,Rest of WA,56
2013,164782,,5RWAU,Rest of WA,57
2014,173745,,5RWAU,Rest of WA,58
2015,182470,,5RWAU,Rest of WA,59
2016,186648,3.8,5RWAU,Rest of WA,60
2011,72141,5.4,6GHOB,Greater Hobart,61
2012,73844,,6GHOB,Greater Hobart,62
2013,73844,,6GHOB,Greater Hobart,63
2014,76366,,6GHOB,Greater Hobart,64
2015,79161,,6GHOB,Greater Hobart,65
2016,79769,6.0,6GHOB,Greater Hobart,66
2011,64848,6.1,6RTAS,Rest of Tas.,67
2012,66086,,6RTAS,Rest of Tas.,68
2013,66701,,6RTAS,Rest of Tas.,69
2014,70906,,6RTAS,Rest of Tas.,70
2015,74177,,6RTAS,Rest of Tas.,71
2016,74482,6.7,6RTAS,Rest of Tas.,72
2011,38898,2.6,7GDAR,Greater Darwin,73
2012,41319,,7GDAR,Greater Darwin,74
2013,41899,,7GDAR,Greater Darwin,75
2014,45457,,7GDAR,Greater Darwin,76
2015,48433,,7GDAR,Greater Darwin,77
2016,49506,2.9,7GDAR,Greater Darwin,78
2011,12262,2.9,7RNTE,Rest of NT,79
2012,12769,,7RNTE,Rest of NT,80
2013,12896,,7RNTE,Rest of NT,81
2014,13341,,7RNTE,Rest of NT,82
2015,13520,,7RNTE,Rest of NT,83
2016,13444,3.2,7RNTE,Rest of NT,84
2011,138348,3.3,8ACTE,Australian Capital Territory,85
2012,144812,,8ACTE,Australian Capital Territory,86
2013,150931,,8ACTE,Australian Capital Territory,87
2014,159984,,8ACTE,Australian Capital Territory,88
2015,168311,,8ACTE,Australian Capital Territory,89
2016,172363,4.2,8ACTE,Australian Capital Territory,90
2011,309,,9OTER,Other Territories,91
2012,350,,9OTER,Other Territories,92
2013,370,,9OTER,Other Territories,93
2014,416,,9OTER,Other Territories,94
2015,424,,9OTER,Other Territories,95
2016,305,,9OTER,Other Territories,96
