gccsa_code_2016,earners_persons,median_age_of_earners_years,income_aud,median_aud,mean_aud,p80_to_p20_ratio,p80_to_p50_ratio,p20_to_p50_ratio,p10_to_p50_ratio,gini_coefficient_no,income_share_top_1pc,income_share_top_5pc,income_share_top_10pc,lowest_quartile_pc,second_quartile_pc,third_quartile_pc,highest_quartile_pc,gcc_name16
1GSYD,2712735,41,183938528088,49571,67806,4.81,1.89,0.39,0.18,0.499,11.7,25.6,36.5,23.6,23.9,24.8,27.7,Greater Sydney
1RNSW,1376020,45,72836696235,42445,52933,5.19,1.9,0.37,0.14,0.47200000000000003,7.4,20.1,31.4,27.8,27.1,24.0,21.1,Rest of NSW
2GMEL,2487136,41,153666988752,47515,61785,4.64,1.83,0.39,0.18,0.478,9.9,23.2,34.1,24.4,25.0,26.0,24.7,Greater Melbourne
2RVIC,770163,45,38597339577,41382,50116,4.93,1.83,0.37,0.15,0.461,7.0,19.6,30.6,28.3,28.0,25.3,18.4,Rest of Vic.
3GBRI,1268080,41,78085350376,48625,61578,4.53,1.81,0.4,0.18,0.465,8.8,21.9,32.7,23.4,24.7,26.6,25.3,Greater Brisbane
3RQLD,1323421,43,73357205528,43689,55430,4.92,1.9,0.39,0.16,0.474,7.4,20.4,32.0,26.4,27.1,24.2,22.4,Rest of Qld
4GADE,714796,43,40763358478,46581,57028,4.32,1.76,0.41,0.19,0.449,8.2,20.7,31.2,23.9,26.4,27.5,22.2,Greater Adelaide
4RSAU,197973,46,9975886922,41378,50390,5.0,1.86,0.37,0.14,0.46399999999999997,6.5,19.3,30.6,28.1,28.2,24.6,19.1,Rest of SA
5GPER,1177074,41,84127561198,53640,71472,5.01,1.92,0.38,0.19,0.48200000000000004,9.1,22.6,34.0,21.9,22.2,24.0,32.0,Greater Perth
5RWAU,291237,43,19148373887,50264,65748,5.55,2.07,0.37,0.16,0.475,6.4,19.2,31.0,23.9,23.2,21.4,31.5,Rest of WA
6GHOB,120927,44,6598857542,45427,54569,4.29,1.75,0.41,0.18,0.44,7.7,19.9,30.3,24.2,27.4,27.7,20.7,Greater Hobart
6RTAS,147752,46,7242130076,41208,49015,4.74,1.8,0.38,0.15,0.45,6.9,19.2,29.9,28.0,28.9,25.5,17.5,Rest of Tas.
7GDAR,88062,38,6268652458,60572,71185,3.74,1.67,0.45,0.24,0.41200000000000003,6.5,18.3,28.9,16.6,20.3,29.0,34.0,Greater Darwin
7RNTE,32157,39,1904723178,51797,59232,4.21,1.73,0.41,0.21,0.41100000000000003,5.4,16.5,26.9,21.4,23.5,28.1,27.0,Rest of NT
8ACTE,244662,41,17323010166,61482,70804,4.0,1.67,0.42,0.2,0.41600000000000004,6.5,18.1,28.4,17.8,19.8,26.9,35.5,Australian Capital Territory
9OTER,1045,47,72426066,69841,69307,5.08,1.56,0.31,0.11,0.39,3.7,13.4,23.0,21.0,14.4,20.8,43.8,Other Territories
