gccsa_code_2016,earners_persons_2010_11,earners_persons_2011_12,earners_persons_2012_13,earners_persons_2013_14,earners_persons_2014_15,median_age_of_earners_years_2010_11,median_age_of_earners_years_2011_12,median_age_of_earners_years_2012_13,median_age_of_earners_years_2013_14,median_age_of_earners_years_2014_15,income_aud_2010_11,income_aud_2011_12,income_aud_2012_13,income_aud_2013_14,income_aud_2014_15,median_aud_2010_11,median_aud_2011_12,median_aud_2012_13,median_aud_2013_14,median_aud_2014_15,mean_aud_2010_11,mean_aud_2011_12,mean_aud_2012_13,mean_aud_2013_14,mean_aud_2014_15,main_source_pc_of_earners_2010_11,main_source_pc_of_earners_2011_12,main_source_pc_of_earners_2012_13,main_source_pc_of_earners_2013_14,main_source_pc_of_earners_2014_15,gcc_name16
1GSYD,1683998,1751181,1790109,1842048,1956204,44,44,44,44,43,15659456737,16669475477,17753766750,19579267188,19781984613,444,436,430,445,403,9299,9519,9918,10629,10112,12.4,12.4,12.4,12.3,12.6,Greater Sydney
1RNSW,898938,928209,931251,942069,974307,49,49,49,49,49,5656627900,6078001389,6308012051,6616675865,6769437138,380,368,376,388,354,6293,6548,6774,7024,6948,14.2,14.2,14.3,14.2,14.2,Rest of NSW
2GMEL,1529058,1597864,1636039,1692907,1790442,43,43,43,43,43,15066670286,15960739025,16482421949,17859489408,18298294475,522,491,427,381,327,9854,9989,10075,10550,10220,13.5,13.6,13.5,13.5,13.9,Greater Melbourne
2RVIC,485665,502980,506269,517561,540874,49,49,49,49,49,3717195327,3960059602,4008307909,4173264661,4324906219,546,523,464,402,343,7654,7873,7917,8063,7996,14.9,15.1,15.4,15.0,15.1,Rest of Vic.
3GBRI,751862,786722,797864,816718,858095,43,43,44,44,43,5026939071,5476847182,5921626042,6388677562,6644324368,285,272,241,218,188,6686,6962,7422,7822,7743,11.1,10.9,11.1,11.2,11.6,Greater Brisbane
3RQLD,784381,827673,835152,851646,890126,46,46,47,47,46,5467247732,6022616061,6478296060,6646568327,6671969179,328,299,266,231,194,6970,7277,7757,7804,7496,12.9,12.6,12.7,12.7,13.0,Rest of Qld
4GADE,454372,468663,478202,487537,502084,46,46,46,46,46,3636977050,3858773572,4044652106,4303581645,4371029794,415,400,339,313,280,8004,8234,8458,8827,8706,12.7,12.8,12.8,12.8,13.3,Greater Adelaide
4RSAU,128938,133088,134402,135977,139101,49,50,50,50,50,867988719,929795331,938501121,1007196574,1028087865,500,464,400,367,320,6732,6986,6983,7407,7391,13.5,13.7,14.2,13.8,13.8,Rest of SA
5GPER,669950,716092,746047,774785,814577,44,44,44,44,44,6381034700,7060631128,7791969194,8346899979,8243895775,357,341,307,274,227,9525,9860,10444,10773,10120,12.1,11.8,11.6,11.7,12.2,Greater Perth
5RWAU,171223,181109,185589,192329,198857,46,46,46,46,46,1280347739,1460779198,1569895248,1672717419,1642310025,375,343,308,264,226,7478,8066,8459,8697,8259,12.6,12.5,12.2,12.0,12.3,Rest of WA
6GHOB,76227,77360,78354,79044,82530,47,48,48,48,48,494175323,514584663,524042104,551296241,583215320,340,357,303,285,260,6483,6652,6688,6975,7067,10.4,10.8,10.9,10.9,11.0,Greater Hobart
6RTAS,92018,92946,92848,93428,96988,49,49,49,50,50,551363133,566822862,578982526,597561312,612260047,336,356,304,262,239,5992,6098,6236,6396,6313,11.3,11.4,11.6,11.3,11.3,Rest of Tas.
7GDAR,43254,47149,49274,52041,56109,41,41,41,41,40,151598255,201441017,251231581,258610278,248374775,120,113,102,92,72,3505,4272,5099,4969,4427,4.6,4.6,4.7,4.7,5.0,Greater Darwin
7RNTE,15290,16419,16800,17165,18041,43,43,43,43,43,48365630,50186266,60780840,71870415,59237620,124,114,101,90,71,3163,3057,3618,4187,3283,3.5,3.7,3.8,3.9,4.1,Rest of NT
8ACTE,166608,173170,176953,178371,183566,44,44,44,44,44,839532923,883778827,983662098,1036207431,1024704529,312,299,292,284,266,5039,5104,5559,5809,5582,8.3,8.3,8.2,8.2,8.6,Australian Capital Territory
9OTER,655,730,716,746,765,47,47,46,47,48,4188971,6039612,6953715,6191984,5458867,1062,1142,1021,1090,1009,6395,8273,9712,8300,7136,10.5,12.2,10.9,11.2,14.7,Other Territories
