gccsa_code_2016,earners_persons_2010_11,earners_persons_2011_12,earners_persons_2012_13,earners_persons_2013_14,earners_persons_2014_15,median_age_of_earners_years_2010_11,median_age_of_earners_years_2011_12,median_age_of_earners_years_2012_13,median_age_of_earners_years_2013_14,median_age_of_earners_years_2014_15,income_aud_2010_11,income_aud_2011_12,income_aud_2012_13,income_aud_2013_14,income_aud_2014_15,median_aud_2010_11,median_aud_2011_12,median_aud_2012_13,median_aud_2013_14,median_aud_2014_15,mean_aud_2010_11,mean_aud_2011_12,mean_aud_2012_13,mean_aud_2013_14,mean_aud_2014_15,main_source_pc_of_earners_2010_11,main_source_pc_of_earners_2011_12,main_source_pc_of_earners_2012_13,main_source_pc_of_earners_2013_14,main_source_pc_of_earners_2014_15,gcc_name16
1GSYD,303439,314794,306940,286546,291608,50,49,49,50,50,879671924,901338738,929146874,1084252169,1353078726,109,107,124,119,143,2899,2863,3027,3784,4640,0.6,0.6,0.6,0.6,0.6,Greater Sydney
1RNSW,158633,162405,153312,139527,136555,52,52,52,52,53,286889991,286754102,340575007,628181540,432457497,84,80,92,89,108,1809,1766,2221,4502,3167,0.5,0.5,0.5,0.5,0.5,Rest of NSW
2GMEL,267703,281811,276317,254718,249656,49,49,49,49,50,601738738,627512295,668445378,784928253,955523376,100,101,114,115,139,2248,2227,2419,3082,3827,0.5,0.6,0.6,0.6,0.6,Greater Melbourne
2RVIC,82873,86110,84031,74748,71540,52,52,52,53,53,117719419,117029517,128065999,144239515,162334351,71,70,80,80,97,1420,1359,1524,1930,2269,0.4,0.4,0.5,0.4,0.5,Rest of Vic.
3GBRI,146134,155682,146191,135700,136679,49,48,49,49,49,293981247,308514255,333098619,367517142,418076073,102,109,114,114,136,2012,1982,2279,2708,3059,0.6,0.6,0.5,0.6,0.6,Greater Brisbane
3RQLD,163070,171041,160973,147985,145590,50,50,50,50,51,331297039,336289372,364227856,406789333,469583316,98,99,105,105,124,2032,1966,2263,2749,3225,0.7,0.7,0.7,0.7,0.7,Rest of Qld
4GADE,83430,84592,82258,75279,70607,52,52,52,52,53,183839765,175620161,195724784,211983022,234423924,118,111,134,136,159,2204,2076,2379,2816,3320,0.7,0.6,0.6,0.6,0.6,Greater Adelaide
4RSAU,24794,25340,24866,20142,18758,53,53,53,53,54,34842871,36166811,41110711,40685727,45001270,84,90,94,96,115,1405,1427,1653,2020,2399,0.6,0.6,0.6,0.5,0.6,Rest of SA
5GPER,132177,138034,136393,129489,130852,50,50,50,50,51,389755767,396444914,424967935,482284081,562573562,123,126,141,133,153,2949,2872,3116,3725,4299,0.9,0.8,0.8,0.8,0.9,Greater Perth
5RWAU,34325,34583,33640,30513,30822,49,49,50,50,51,75139993,67720583,67099722,70996190,79830218,101,92,98,96,108,2189,1958,1995,2327,2590,0.6,0.6,0.6,0.6,0.6,Rest of WA
6GHOB,13355,13211,12669,11823,11579,53,53,53,53,54,33926979,23795007,24241379,32880850,31465557,105,101,114,122,129,2540,1801,1913,2781,2717,0.5,0.5,0.5,0.5,0.5,Greater Hobart
6RTAS,15312,15846,15081,13346,13020,52,52,52,53,54,27073959,28161848,28853701,32643851,33835096,95,86,102,101,111,1768,1777,1913,2446,2599,0.6,0.6,0.6,0.6,0.6,Rest of Tas.
7GDAR,8475,8915,8755,8034,8069,45,45,45,46,46,10464475,13916873,14504640,13689338,16240216,68,76,82,67,77,1235,1561,1657,1704,2013,0.3,0.3,0.3,0.2,0.3,Greater Darwin
7RNTE,2574,2812,2595,2301,2275,47,46,46,46,47,3023401,4444556,4625720,4535964,4668415,82,76,84,74,75,1175,1581,1783,1971,2052,0.2,0.2,0.2,0.2,0.2,Rest of NT
8ACTE,30745,29997,28912,27088,27864,50,50,51,51,51,53882056,56603009,57194649,66234756,80109916,100,98,116,118,141,1753,1887,1978,2445,2875,0.4,0.4,0.4,0.4,0.5,Australian Capital Territory
9OTER,96,122,90,105,112,50,50,47,48,52,137092,211883,204683,185069,115197,115,68,182,116,117,1428,1737,2274,1763,1029,0.5,0.5,0.4,0.4,0.2,Other Territories
