gccsa_code_2016,earners_persons_2010_11,earners_persons_2011_12,earners_persons_2012_13,earners_persons_2013_14,earners_persons_2014_15,median_age_of_earners_years_2010_11,median_age_of_earners_years_2011_12,median_age_of_earners_years_2012_13,median_age_of_earners_years_2013_14,median_age_of_earners_years_2014_15,income_aud_2010_11,income_aud_2011_12,income_aud_2012_13,income_aud_2013_14,income_aud_2014_15,median_aud_2010_11,median_aud_2011_12,median_aud_2012_13,median_aud_2013_14,median_aud_2014_15,mean_aud_2010_11,mean_aud_2011_12,mean_aud_2012_13,mean_aud_2013_14,mean_aud_2014_15,main_source_pc_of_earners_2010_11,main_source_pc_of_earners_2011_12,main_source_pc_of_earners_2012_13,main_source_pc_of_earners_2013_14,main_source_pc_of_earners_2014_15,gcc_name16
1GSYD,333065,336095,342469,349463,363132,45,45,45,45,45,9427208534,9697157744,10095838889,10831494972,11620669378,12234,12697,13374,14246,14807,28304,28852,29480,30995,32001,7.3,7.2,7.3,7.4,7.5,Greater Sydney
1RNSW,244787,243749,244254,244980,249736,50,51,51,51,51,4462332254,4229341578,4037244096,4363926950,5193712042,8218,7800,7320,8157,9595,18229,17351,16529,17813,20797,9.3,8.9,8.8,8.8,9.3,Rest of NSW
2GMEL,296347,300969,309853,319681,335822,44,44,44,44,43,7318086471,7625542434,7776781809,8306001467,8998814924,10569,10834,11043,11689,12171,24694,25337,25098,25982,26796,6.9,6.8,6.9,7.1,7.3,Greater Melbourne
2RVIC,145601,146298,146395,147611,149389,51,51,51,51,52,2580242689,2514093369,2182445445,2744086594,2833720935,8268,8186,6665,8601,9445,17721,17185,14908,18590,18969,9.9,9.6,9.2,9.7,10.0,Rest of Vic.
3GBRI,144603,144421,144879,146907,152943,45,45,45,45,45,3317242967,3516277200,3540167501,3712922086,3910723626,9186,9703,9930,10298,10505,22940,24347,24435,25274,25570,6.2,6.0,6.0,6.0,6.2,Greater Brisbane
3RQLD,220884,218994,217901,216307,220219,48,49,49,49,49,3572309088,3836325766,3548230643,3482547135,3931716521,7715,8226,7873,7879,8384,16173,17518,16284,16100,17854,8.6,8.3,8.1,7.9,8.3,Rest of Qld
4GADE,92654,92133,91840,92776,94678,47,47,47,47,47,2313439570,2298928074,2279684070,2429962390,2529632281,10998,11129,10883,11737,12019,24969,24952,24822,26192,26718,7.2,7.0,7.0,7.0,7.2,Greater Adelaide
4RSAU,47779,47296,46548,46396,46629,51,51,52,52,53,1289197227,1118007373,874304679,1080309403,1231503767,11659,11031,8696,10973,12065,26983,23639,18783,23285,26411,13.4,12.6,11.8,12.3,12.9,Rest of SA
5GPER,139979,141205,142638,144076,149205,45,45,45,45,45,4211641704,4424901895,4583752801,4639237179,4741267126,13706,14105,14167,14157,13887,30088,31337,32136,32200,31777,7.2,6.9,6.7,6.7,6.7,Greater Perth
5RWAU,56202,55691,55730,56205,56914,49,50,50,50,51,1256870182,1229083260,1445817011,1753024463,1933601220,10709,10706,11442,13195,14048,22363,22070,25943,31190,33974,10.5,9.8,9.8,10.2,10.5,Rest of WA
6GHOB,16145,16696,16577,16687,17126,48,48,49,49,49,367194480,366224485,358336498,382965301,412946014,9986,9727,9807,10429,11259,22744,21935,21616,22950,24112,7.0,7.1,7.2,7.2,7.4,Greater Hobart
6RTAS,26320,26196,25907,25401,25652,50,51,51,52,52,446147071,446659979,370959908,438377828,490710908,7382,7373,6381,7688,8503,16951,17051,14319,17258,19130,8.7,8.6,8.4,8.6,9.0,Rest of Tas.
7GDAR,9280,9529,9569,9452,9590,44,44,44,44,44,225075813,255335267,253803014,253822079,252409429,12393,14153,12492,12139,11880,24254,26796,26523,26854,26320,6.3,6.2,5.6,5.1,5.1,Greater Darwin
7RNTE,3158,3144,3009,2967,3034,47,47,47,47,47,50033115,50407464,44043583,46890313,53375943,9087,8384,7852,8444,8844,15843,16033,14637,15804,17593,4.6,4.4,4.1,3.8,4.1,Rest of NT
8ACTE,20850,20828,20792,20982,21724,46,46,46,46,46,558701984,559161372,552211626,568837772,612546210,8928,9093,8202,8518,9037,26796,26847,26559,27111,28197,4.1,3.9,3.8,3.8,3.8,Australian Capital Territory
9OTER,122,121,134,125,147,49,49,49,51,51,5159675,4006601,4901828,5144014,4204099,24225,10974,16413,17568,10149,42292,33112,36581,41152,28599,6.7,6.2,6.4,6.0,6.5,Other Territories
