ogc_fid,gccsa_code,gccsa_name,life_expectancy_m_2008_10,life_expectancy_f_2008_10,life_expectancy_p_2008_10,life_expectancy_m_2009_11,life_expectancy_f_2009_11,life_expectancy_p_2009_11,life_expectancy_m_2010_12,life_expectancy_f_2010_12,life_expectancy_p_2010_12,life_expectancy_m_2011_13,life_expectancy_f_2011_13,life_expectancy_p_2011_13,life_expectancy_m_2012_14,life_expectancy_f_2012_14,life_expectancy_p_2012_14,life_expectancy_m_2013_15,life_expectancy_f_2013_15,life_expectancy_p_2013_15
2.0,1RNSW,Rest of NSW,78.5,83.4,80.9,78.7,83.4,81.0,78.8,83.5,81.1,78.7,83.5,81.1,78.9,83.6,81.2,78.9,83.7,81.2
1.0,1GSYD,Greater Sydney,80.6,84.8,82.7,80.9,85.0,82.9,81.2,85.2,83.1,81.3,85.2,83.2,81.6,85.4,83.4,81.7,85.4,83.5
4.0,2RVIC,Rest of Vic.,78.5,83.2,80.8,78.6,83.4,80.9,79.1,83.6,81.3,79.6,83.8,81.6,79.7,83.7,81.6,79.3,83.5,81.3
3.0,2GMEL,Greater Melbourne,80.6,84.8,82.6,81.1,85.0,83.0,81.4,85.2,83.3,81.7,85.4,83.5,81.9,85.5,83.7,82.0,85.5,83.7
5.0,3GBRI,Greater Brisbane,80.0,84.1,82.0,80.3,84.3,82.2,80.3,84.2,82.2,80.4,84.2,82.2,80.8,84.5,82.6,81.0,84.7,82.8
6.0,3RQLD,Rest of Qld,78.7,83.6,81.1,79.0,83.9,81.4,79.1,83.8,81.4,79.3,84.1,81.7,79.5,84.2,81.8,79.7,84.3,82.0
8.0,4RSAU,Rest of SA,78.4,83.8,81.1,78.9,83.8,81.3,78.9,83.9,81.3,78.9,83.8,81.3,79.0,83.8,81.4,79.2,83.9,81.5
7.0,4GADE,Greater Adelaide,79.9,83.7,81.8,80.0,84.0,82.0,80.2,84.3,82.2,80.4,84.5,82.4,80.6,84.5,82.5,80.8,84.8,82.7
9.0,5GPER,Greater Perth,80.3,84.9,82.6,80.8,85.3,83.0,80.9,85.5,83.1,81.1,85.4,83.2,81.4,85.5,83.4,81.4,85.7,83.5
10.0,5RWAU,Rest of WA,78.2,83.1,80.6,78.6,83.3,80.9,78.9,83.5,81.1,79.2,83.6,81.4,79.5,83.8,81.6,79.3,84.1,81.6
11.0,6GHOB,Greater Hobart,77.9,82.4,80.1,78.6,83.0,80.7,78.7,83.0,80.8,79.1,82.6,80.8,79.0,82.2,80.6,79.4,82.9,81.1
12.0,6RTAS,Rest of Tas.,78.0,82.1,80.0,78.3,82.3,80.2,78.6,82.4,80.5,78.3,82.5,80.3,78.6,82.5,80.5,78.5,82.6,80.5
14.0,7RNTE,Rest of NT,71.8,75.4,73.5,72.3,76.1,74.2,71.3,75.2,73.2,71.8,75.3,73.5,72.7,75.0,73.8,73.3,74.4,73.8
13.0,7GDAR,Greater Darwin,76.6,82.3,79.4,78.4,84.0,81.2,78.2,84.1,81.1,78.4,83.6,80.9,79.0,83.5,81.2,78.5,82.5,80.5
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,8ACTE,Australian Capital Territory,80.5,84.7,82.5,81.0,84.8,82.8,81.2,85.1,83.1,81.7,85.0,83.3,81.4,85.2,83.2,81.2,85.3,83.2
