gccsa_code,gccsa_name,year,num_bus_non_empl_bus,num_bus_1_4_empl,num_bus_5_19_empl,num_bus_20_plus_empl,num_bus_tot,num_bus_entr_non_empl_bus,num_bus_entr_1_4_empl,num_bus_entr_5_19_empl,num_bus_entr_20_plus_empl,num_bus_entr_tot,num_bus_exit_non_empl_bus,num_bus_exit_1_4_empl,num_bus_exit_5_19_empl,num_bus_exit_20_plus_empl,num_bus_exit_tot,bnkrpt_non_bus_rel_ns,bnkrpt_bus_rel,bnkrpt_tot,patent_applications,trademark_applications,lfs_lab_frc,lfs_unemployed,lfs_unemployment_rate_pc,lfs_participation_rate_pc,ye_wrk_ft_stdy_pt_pc,ye_wrk_pt_stdy_pt_pc,ye_wrk_pt_stdy_ft_pc,ye_wrk_ft_no_stdy_pc,ye_no_wrk_stdy_ft_pc,ye_wrk_ft_stdy_ft_pc,ye_fully_engaged_pc,ye_tot_age_15_19,sgpa_age_pens_ctrlnk,sgpa_age_pens_dva,sgpa_srvc_pens_dva,sgpa_inc_supp_dva,sgpa_carer_pay,sgpa_disable_supp_pens,sgpa_newstrt_allow,sgpa_newstrt_allow_365_days_plus_pc,sgpa_prnt_pay_single,sgpa_yth_all_ft_stud_apprntc,sgpa_yth_allow_oth,sgpa_family_tax_benefit_a,sgpa_family_tax_benefit_b,sgpa_tot_fam_tax_benf_recip,epi_med_emply_inc_aud,epi_tot_employ_inc_m_aud,epi_employ_inc_earners,epi_med_own_uninc_bus_inc_aud,epi_tot_own_uninc_bus_inc_m_aud,epi_own_uninc_bus_inc_earnrs,epi_med_invstmnt_inc_aud,epi_tot_invstmnt_inc_m_aud,epi_invstmnt_inc_earnrs,epi_med_supr_annuity_inc_aud,epi_tot_supr_annuity_inc_m_aud,epi_supr_annuity_inc_earnrs,epi_med_oth_inc_aud,epi_tot_oth_inc_m_aud,epi_oth_inc_earnrs,epi_med_tot_inc_aud,epi_tot_tot_inc_m_aud,epi_tot_inc_earnrs,avg_mnthly_hhld_rnt_paymnt_aud,avg_mnthly_hhld_mrtge_paymnt_aud,ba_priv_sect_hse,ba_priv_sect_dwell_excl_hse,ba_tot_priv_sect_dwell_units,ba_tot_dwell_units,ba_val_priv_sect_hses_m_aud,ba_val_priv_sect_dwell_excl_hse_m_aud,ba_val_tot_res_bld_m_aud,ba_val_tot_non_res_bld_m_aud,ba_val_tot_bld_m_aud,rpp_hse_num_trans,rpp_hse_med_sal_prc_aud,rpp_att_dwell_num_trans,rpp_att_dwell_med_sal_prc_aud
1GSYD,Greater Sydney,2010,,,,,,,,,,,,,,,,,,,2604.0,17089.0,,,,,,,,,,,,,,,,,,,,,,,,354106,300358,367672,,,,,,,,,,,,,,,,,,,,,8499.0,8837.0,17336.0,20389.0,3905.0,2216.0,6818.0,7274.0,14092.0,,,,
1GSYD,Greater Sydney,2011,284854.0,142104.0,37773.0,10070.0,474801.0,,,,,,,,,,,,,,2757.0,17103.0,2188855.0,125586.0,5.7,61.7,2.5,1.3,17.1,4.9,55.3,0.5,81.5,275788.0,,,,,,,,,,,,340218,293160,355336,,,,,,,,,,,,,,,,,,,1674.0,2441.0,8542.0,14185.0,22727.0,23566.0,4038.0,3709.0,8029.0,5423.0,13452.0,,,,
1GSYD,Greater Sydney,2012,286237.0,142750.0,39556.0,10463.0,479006.0,45397.0,22813.0,1960.0,268.0,70438.0,48752.0,14621.0,2037.0,399.0,65809.0,3871.0,988.0,4859.0,2856.0,17336.0,,,,,,,,,,,,,,,,,,,,,,,,296494,259080,309877,,,,,,,,,,,,,,,,,,,,,8567.0,16388.0,24955.0,25107.0,4001.0,4201.0,8322.0,5158.0,13480.0,,,,
1GSYD,Greater Sydney,2013,274585.0,138252.0,39255.0,10518.0,462610.0,37664.0,18226.0,1704.0,284.0,57878.0,54513.0,16379.0,2423.0,400.0,73715.0,3328.0,1016.0,4344.0,2749.0,17308.0,,,,,,,,,,,,,,,,,,,,,,,,334380,293797,350632,50422.0,134316.0,2112175.0,13475.0,10308.0,345570.0,433.0,18120.0,1803793.0,14885.0,1493.0,61518.0,125.0,950.0,310867.0,47281.0,165186.0,2565148.0,,,9926.0,20309.0,30235.0,30787.0,4111.0,5234.0,9674.0,6363.0,16037.0,47330.0,626000.0,41029.0,515000.0
1GSYD,Greater Sydney,2014,277583.0,142574.0,40096.0,10891.0,471144.0,45976.0,22673.0,2107.0,356.0,71112.0,45578.0,13716.0,1953.0,395.0,61642.0,3054.0,732.0,3786.0,2283.0,17540.0,,,,,,,,,,,,,,,,,,,,,,,,313463,281584,328481,,,,,,,,,,,,,,,,,,,,,12188.0,27019.0,39207.0,39738.0,4839.0,7004.0,12189.0,9662.0,21851.0,,,,
1RNSW,Rest of NSW,2010,,,,,,,,,,,,,,,,,,,697.0,2790.0,,,,,,,,,,,,,,,,,,,,,,,,255120,211199,261780,,,,,,,,,,,,,,,,,,,,,9374.0,2549.0,11923.0,14388.0,2753.0,483.0,3783.0,3815.0,7599.0,,,,
1RNSW,Rest of NSW,2011,130260.0,62742.0,22951.0,4341.0,220294.0,,,,,,,,,,,,,,657.0,2839.0,1141253.0,69877.0,6.1,56.4,3.9,1.4,19.4,8.0,42.3,0.6,75.5,166873.0,,,,,,,,,,,,243472,204813,251412,,,,,,,,,,,,,,,,,,,1020.0,1727.0,8205.0,2406.0,10612.0,11065.0,2640.0,417.0,3215.0,2009.0,5224.0,,,,
1RNSW,Rest of NSW,2012,129615.0,62313.0,23710.0,4426.0,220064.0,15253.0,7658.0,1016.0,90.0,24017.0,18153.0,5285.0,1168.0,162.0,24768.0,2271.0,695.0,2966.0,660.0,2919.0,,,,,,,,,,,,,,,,,,,,,,,,214617,184424,222412,,,,,,,,,,,,,,,,,,,,,7806.0,2098.0,9904.0,10097.0,2543.0,387.0,2991.0,2505.0,5496.0,,,,
1RNSW,Rest of NSW,2013,126324.0,60253.0,23370.0,4423.0,214370.0,13193.0,6361.0,835.0,74.0,20463.0,19057.0,5679.0,1318.0,172.0,26226.0,1998.0,683.0,2681.0,704.0,3086.0,,,,,,,,,,,,,,,,,,,,,,,,234526,202699,243425,44560.0,55256.0,1041157.0,7473.0,4002.0,238123.0,370.0,6288.0,926447.0,18318.0,1253.0,48976.0,93.0,300.0,152752.0,40702.0,67100.0,1325237.0,,,8742.0,2322.0,11064.0,11212.0,2788.0,425.0,3330.0,1996.0,5326.0,36560.0,350000.0,8703.0,300000.0
1RNSW,Rest of NSW,2014,126828.0,61104.0,23399.0,4473.0,215804.0,15275.0,7618.0,1185.0,122.0,24200.0,16875.0,4989.0,1169.0,162.0,23195.0,1897.0,568.0,2465.0,504.0,2809.0,,,,,,,,,,,,,,,,,,,,,,,,222918,195088,230765,,,,,,,,,,,,,,,,,,,,,10205.0,3212.0,13417.0,13526.0,3156.0,677.0,3949.0,2552.0,6501.0,,,,
