gcc_name16,gcc_code16,count_home_census_nt_0_14_yr,count_hom_census_nt_15_24_yr,count_hom_census_nt_25_34_yr,count_hom_census_nt_35_44_yr,count_hom_census_nt_45_54_yr,count_hom_census_nt_55_64_yr,count_hom_census_nt_65_74_yr,count_hom_census_nt_75_84_yr,count_hom_census_nt_85ov,counted_home_census_night_tot,vis_same_sa2_0_14_yr,vis_same_sa2_15_24_yr,vis_same_sa2_25_34_yr,vis_same_sa2_35_44_yr,vis_same_sa2_45_54_yr,vis_same_sa2_55_64_yr,vis_same_sa2_65_74_yr,vis_same_sa2_75_84_yr,vis_same_sa2_85ov,vis_same_sa2_total,vis_diff_sa2_nsw_0_14_yr,vis_diff_sa2_nsw_15_24_yr,vis_diff_sa2_nsw_25_34_yr,vis_diff_sa2_nsw_35_44_yr,vis_diff_sa2_nsw_45_54_yr,vis_diff_sa2_nsw_55_64_yr,vis_diff_sa2_nsw_65_74_yr,vis_diff_sa2_nsw_75_84_yr,vis_diff_sa2_nsw_85ov,vis_diff_sa2_nsw_total,vis_diff_sa2_vic_0_14_yr,vis_diff_sa2_vic_15_24_yr,vis_diff_sa2_vic_25_34_yr,vis_diff_sa2_vic_35_44_yr,vis_diff_sa2_vic_45_54_yr,vis_diff_sa2_vic_55_64_yr,vis_diff_sa2_vic_65_74_yr,vis_diff_sa2_vic_75_84_yr,vis_diff_sa2_vic_85ov,vis_diff_sa2_vic_total,vis_diff_sa2_qld_0_14_yr,vis_diff_sa2_qld_15_24_yr,vis_diff_sa2_qld_25_34_yr,vis_diff_sa2_qld_35_44_yr,vis_diff_sa2_qld_45_54_yr,vis_diff_sa2_qld_55_64_yr,vis_diff_sa2_qld_65_74_yr,vis_diff_sa2_qld_75_84_yr,vis_diff_sa2_qld_85ov,vis_diff_sa2_qld_total,vis_diff_sa2_sa_0_14_yr,vis_diff_sa2_sa_15_24_yr,vis_diff_sa2_sa_25_34_yr,vis_diff_sa2_sa_35_44_yr,vis_diff_sa2_sa_45_54_yr,vis_diff_sa2_sa_55_64_yr,vis_diff_sa2_sa_65_74_yr,vis_diff_sa2_sa_75_84_yr,vis_diff_sa2_sa_85ov,vis_diff_sa2_sa_total,vis_diff_sa2_wa_0_14_yr,vis_diff_sa2_wa_15_24_yr,vis_diff_sa2_wa_25_34_yr,vis_diff_sa2_wa_35_44_yr,vis_diff_sa2_wa_45_54_yr,vis_diff_sa2_wa_55_64_yr,vis_diff_sa2_wa_65_74_yr,vis_diff_sa2_wa_75_84_yr,vis_diff_sa2_wa_85ov,vis_diff_sa2_wa_total,vis_diff_sa2_tas_0_14_yr,vis_diff_sa2_tas_15_24_yr,vis_diff_sa2_tas_25_34_yr,vis_diff_sa2_tas_35_44_yr,vis_diff_sa2_tas_45_54_yr,vis_diff_sa2_tas_55_64_yr,vis_diff_sa2_tas_65_74_yr,vis_diff_sa2_tas_75_84_yr,vis_diff_sa2_tas_85ov,vis_diff_sa2_tas_total,vis_diff_sa2_nt_0_14_yr,vis_diff_sa2_nt_15_24_yr,vis_diff_sa2_nt_25_34_yr,vis_diff_sa2_nt_35_44_yr,vis_diff_sa2_nt_45_54_yr,vis_diff_sa2_nt_55_64_yr,vis_diff_sa2_nt_65_74_yr,vis_diff_sa2_nt_75_84_yr,vis_diff_sa2_nt_85ov,vis_diff_sa2_nt_total,vis_diff_sa2_act_0_14_yr,vis_diff_sa2_act_15_24_yr,vis_diff_sa2_act_25_34_yr,vis_diff_sa2_act_35_44_yr,vis_diff_sa2_act_45_54_yr,vis_diff_sa2_act_55_64_yr,vis_diff_sa2_act_65_74_yr,vis_diff_sa2_act_75_84_yr,vis_diff_sa2_act_85ov,vis_diff_sa2_act_total,vis_diff_sa2_ot_0_14_yr,vis_diff_sa2_ot_15_24_yr,vis_diff_sa2_ot_25_34_yr,vis_diff_sa2_ot_35_44_yr,vis_diff_sa2_ot_45_54_yr,vis_diff_sa2_ot_55_64_yr,vis_diff_sa2_ot_65_74_yr,vis_diff_sa2_ot_75_84_yr,vis_diff_sa2_ot_85ov,vis_diff_sa2_ot_total,vis_diff_sa2_tot_0_14_yr,vis_diff_sa2_tot_15_24_yr,vis_diff_sa2_tot_25_34_yr,vis_diff_sa2_tot_35_44_yr,vis_diff_sa2_tot_45_54_yr,vis_diff_sa2_tot_55_64_yr,vis_diff_sa2_tot_65_74_yr,vis_diff_sa2_tot_75_84_yr,vis_diff_sa2_tot_85ov,vis_diff_sa2_tot_total,tot_visitrs_0_14_yr,tot_visitrs_15_24_yr,tot_visitrs_25_34_yr,tot_visitrs_35_44_yr,tot_visitrs_45_54_yr,tot_visitrs_55_64_yr,tot_visitrs_65_74_yr,tot_visitrs_75_84_yr,tot_visitrs_85ov,tot_visitrs_total,total_0_14_yr,total_15_24_yr,total_25_34_yr,total_35_44_yr,total_45_54_yr,total_55_64_yr,total_65_74_yr,total_75_84_yr,total_85ov,total_total
Rest of NSW,1RNSW,471567,284884,271205,289758,329854,339177,279265,158674,67672,2492061,745,758,571,439,501,564,497,409,187,4678,11881,19111,16721,12429,13476,15709,13283,6332,2885,111824,687,1300,1559,1229,1634,2942,4561,1770,278,15962,1403,1950,2090,1808,2156,2570,1975,469,90,14506,123,260,325,226,351,626,979,280,39,3217,111,189,324,249,248,348,325,77,16,1888,45,111,81,80,161,366,529,167,17,1561,53,110,91,65,54,61,26,3,0,462,340,585,567,448,493,743,678,257,46,4160,0,0,3,0,0,4,0,0,0,17,14640,23615,21755,16539,18579,23377,22365,9360,3374,153596,15389,24374,22327,16985,19080,23940,22857,9770,3558,158278,486952,309252,293536,306744,348931,363118,302124,168447,71233,2650335
Greater Sydney,1GSYD,884116,607011,742969,673966,607256,503750,354607,194649,91116,4659438,764,906,819,570,584,476,456,327,208,5113,12831,18956,24322,15495,14019,13054,10521,6738,4238,120178,303,768,2056,2388,2540,1482,758,236,55,10583,403,1035,1696,1705,2019,1558,1012,282,62,9767,88,242,434,423,558,457,323,91,8,2636,222,351,745,650,721,546,270,91,15,3602,27,79,119,130,177,228,195,62,14,1024,28,112,116,89,85,50,31,7,0,519,106,402,486,436,396,353,227,81,24,2515,0,7,0,3,8,8,6,4,0,30,14010,21947,29973,21316,20528,17737,13341,7590,4420,150864,14776,22857,30789,21889,21112,18213,13792,7919,4630,155974,898886,629865,773757,695852,628363,521967,368405,202566,95750,4815419
Rest of Vic.,2RVIC,252969,154972,147197,157649,182213,184573,146766,81249,36394,1343977,285,327,221,181,211,225,234,175,111,1980,451,742,674,522,684,769,552,183,70,4646,6607,10086,8482,6143,6263,6890,5581,2795,1623,54471,394,467,553,434,464,515,368,61,10,3264,250,402,420,363,399,480,395,146,19,2872,111,148,199,140,191,239,140,40,8,1210,60,60,86,78,109,184,167,56,8,796,53,76,88,35,41,42,25,4,0,364,17,40,75,37,47,52,33,16,3,323,0,0,0,0,0,0,0,0,0,3,7939,12028,10576,7752,8194,9172,7265,3303,1734,67957,8223,12357,10798,7937,8405,9398,7491,3477,1847,69931,261196,167330,157989,165583,190619,193967,154255,84723,38240,1413908
Greater Melbourne,2GMEL,803188,581173,700568,617620,567683,455846,321714,183016,83768,4314571,520,727,613,475,455,397,403,322,177,4078,450,1098,2279,2395,2687,2216,1159,315,85,12681,12245,17840,21753,13564,11682,10996,9141,6614,4009,107844,354,772,1273,1119,1622,1367,803,189,48,7545,186,407,556,551,713,706,433,123,26,3697,177,451,650,674,816,760,468,129,31,4150,95,364,237,289,390,522,368,104,16,2393,61,136,100,73,85,70,45,6,0,576,38,133,267,170,193,171,119,21,5,1123,0,8,0,0,3,3,3,0,0,17,13612,21195,27110,18834,18192,16818,12551,7500,4213,140027,14138,21918,27718,19314,18646,17214,12947,7822,4396,144109,817321,603095,728285,636933,586324,473058,334663,190838,88162,4458678
Greater Brisbane,3GBRI,433539,301869,325027,304570,285662,231693,168419,83577,36578,2170935,366,424,348,226,220,223,185,147,75,2218,352,736,1053,835,1077,1306,1305,522,149,7345,188,321,646,614,601,730,1009,427,102,4636,8388,12123,11373,7135,6517,6604,5506,2888,1560,62090,54,77,134,133,178,242,341,94,27,1279,77,93,247,217,231,257,176,59,12,1366,44,44,60,54,105,184,251,105,13,851,36,91,108,61,82,67,22,8,0,475,49,41,94,92,95,111,119,30,9,647,0,3,0,3,4,6,3,3,0,23,9182,13537,13720,9139,8879,9504,8731,4135,1879,78712,9549,13957,14064,9373,9105,9735,8918,4286,1950,80925,443086,315826,339090,313941,294761,241424,177343,87860,38530,2251858
Rest of Qld,3RQLD,455175,274580,280194,291058,310179,283578,225412,115654,44902,2280744,690,634,528,429,426,421,372,311,133,3941,1861,1629,2917,2620,3164,6444,9634,3435,604,32309,2536,1071,2504,2724,2984,7364,13785,7023,1279,41257,11073,17804,20250,16371,18189,19631,15000,5497,1970,125793,528,307,591,574,801,1757,3097,1196,163,9012,316,256,519,436,598,1014,1050,270,41,4496,208,124,244,251,433,1284,2132,838,109,5630,160,193,230,145,140,155,103,16,0,1144,123,87,227,170,241,525,688,300,60,2415,0,0,0,3,0,7,7,0,0,17,16803,21478,27478,23292,26553,38168,45492,18578,4226,222080,17499,22106,28011,23721,26979,38593,45863,18888,4355,226013,472676,296691,308203,314785,337159,322176,271279,134542,49252,2506761
Rest of SA,4RSAU,64616,36357,36470,39338,48907,50938,42628,22895,9723,351874,187,158,114,107,148,152,169,92,61,1192,60,76,105,155,157,341,392,57,15,1365,86,150,234,184,303,579,577,117,19,2244,58,68,131,145,186,273,238,59,3,1156,1506,2518,2903,2278,2801,3135,2237,868,386,18637,41,38,106,79,126,233,205,36,12,890,7,9,29,21,31,59,95,11,3,268,16,28,20,24,41,49,30,3,0,213,7,4,11,6,11,27,41,0,0,108,0,0,0,0,0,0,0,0,0,0,1786,2896,3545,2900,3658,4698,3804,1159,434,24884,1973,3051,3655,3011,3810,4848,3976,1252,494,26078,66594,39410,40123,42349,52718,55785,46601,24147,10223,377955
Greater Adelaide,4GADE,220824,161235,168786,160370,166609,149512,112847,64814,32439,1237445,327,331,309,245,311,337,312,279,169,2626,94,186,402,394,449,460,337,102,28,2464,125,282,524,460,557,435,292,92,24,2798,87,144,253,234,334,332,189,48,11,1644,3978,5957,5999,3835,3678,3443,2884,1845,1331,32948,50,74,183,185,226,199,121,25,10,1068,17,20,27,37,48,64,59,13,4,288,57,115,106,91,102,115,53,11,3,659,21,38,47,48,57,42,56,5,3,318,0,0,3,0,0,0,0,0,0,5,4435,6818,7544,5284,5467,5092,4001,2142,1410,42183,4756,7144,7856,5528,5775,5421,4316,2428,1578,44809,225585,168378,176641,165901,172390,154937,117159,67242,34020,1282251
Greater Perth,5GPER,363544,242272,286921,258353,245001,200684,143117,77830,32902,1850635,212,309,295,218,187,229,284,227,99,2063,148,246,605,601,598,639,418,138,34,3421,104,188,530,490,544,606,456,174,24,3119,85,169,332,296,447,495,316,74,9,2229,29,77,164,169,228,239,180,61,21,1168,5795,8679,9553,5943,5265,4853,3853,2529,1450,47921,21,24,32,39,83,134,126,43,3,507,20,34,64,50,64,64,34,7,0,334,7,24,39,44,52,30,36,7,9,247,11,3,11,8,16,27,8,3,0,93,6218,9442,11326,7643,7300,7103,5424,3033,1548,59035,6431,9754,11621,7863,7490,7327,5704,3260,1643,61102,369979,252025,298548,266219,252494,208010,148824,81092,34546,1911733
Rest of WA,5RWAU,102588,51754,65514,66406,69114,61216,41595,20182,7252,485631,184,166,212,154,155,148,144,68,33,1273,179,179,653,628,812,1332,1453,243,20,5504,408,198,703,757,918,1752,2066,339,24,7171,117,203,965,1006,1204,1334,1105,146,13,6103,61,57,275,297,464,721,866,141,15,2906,3003,5134,12309,10035,10696,9920,6947,2304,525,60874,31,22,111,106,163,288,273,30,0,1028,23,37,89,73,72,70,36,7,0,412,14,6,17,24,29,102,97,12,0,307,0,0,0,0,3,0,3,0,0,8,3838,5845,15114,12930,14372,15515,12852,3224,603,84297,4022,6009,15328,13088,14532,15661,12996,3289,633,85577,106616,57764,80844,79496,83645,76879,54594,23475,7884,571201
