gcc_name16,gcc_code16,m_15_19_yr_married,m_15_19_yr_separated,m_15_19_yr_divorced,m_15_19_yr_widowed,m_15_19_yr_never_married,m_15_19_yr_tot,m_20_24_yr_married,m_20_24_yr_separated,m_20_24_yr_divorced,m_20_24_yr_widowed,m_20_24_yr_never_married,m_20_24_yr_tot,m_25_34_yr_married,m_25_34_yr_separated,m_25_34_yr_divorced,m_25_34_yr_widowed,m_25_34_yr_never_married,m_25_34_yr_tot,m_35_44_yr_married,m_35_44_yr_separated,m_35_44_yr_divorced,m_35_44_yr_widowed,m_35_44_yr_never_married,m_35_44_yr_tot,m_45_54_yr_married,m_45_54_yr_separated,m_45_54_yr_divorced,m_45_54_yr_widowed,m_45_54_yr_never_married,m_45_54_yr_tot,m_55_64_yr_married,m_55_64_yr_separated,m_55_64_yr_divorced,m_55_64_yr_widowed,m_55_64_yr_never_married,m_55_64_yr_tot,m_65_74_yr_married,m_65_74_yr_separated,m_65_74_yr_divorced,m_65_74_yr_widowed,m_65_74_yr_never_married,m_65_74_yr_tot,m_75_84_yr_married,m_75_84_yr_separated,m_75_84_yr_divorced,m_75_84_yr_widowed,m_75_84_yr_never_married,m_75_84_yr_tot,m_85ov_married,m_85ov_separated,m_85ov_divorced,m_85ov_widowed,m_85ov_never_married,m_85ov_tot,m_tot_married,m_tot_separated,m_tot_divorced,m_tot_widowed,m_tot_never_married,m_tot_tot,f_15_19_yr_married,f_15_19_yr_separated,f_15_19_yr_divorced,f_15_19_yr_widowed,f_15_19_yr_never_married,f_15_19_yr_tot,f_20_24_yr_married,f_20_24_yr_separated,f_20_24_yr_divorced,f_20_24_yr_widowed,f_20_24_yr_never_married,f_20_24_yr_tot,f_25_34_yr_married,f_25_34_yr_separated,f_25_34_yr_divorced,f_25_34_yr_widowed,f_25_34_yr_never_married,f_25_34_yr_tot,f_35_44_yr_married,f_35_44_yr_separated,f_35_44_yr_divorced,f_35_44_yr_widowed,f_35_44_yr_never_married,f_35_44_yr_tot,f_45_54_yr_married,f_45_54_yr_separated,f_45_54_yr_divorced,f_45_54_yr_widowed,f_45_54_yr_never_married,f_45_54_yr_tot,f_55_64_yr_married,f_55_64_yr_separated,f_55_64_yr_divorced,f_55_64_yr_widowed,f_55_64_yr_never_married,f_55_64_yr_tot,f_65_74_yr_married,f_65_74_yr_separated,f_65_74_yr_divorced,f_65_74_yr_widowed,f_65_74_yr_never_married,f_65_74_yr_tot,f_75_84_yr_married,f_75_84_yr_separated,f_75_84_yr_divorced,f_75_84_yr_widowed,f_75_84_yr_never_married,f_75_84_yr_tot,f_85ov_married,f_85ov_separated,f_85ov_divorced,f_85ov_widowed,f_85ov_never_married,f_85ov_tot,f_tot_married,f_tot_separated,f_tot_divorced,f_tot_widowed,f_tot_never_married,f_tot_tot,p_15_19_yr_married,p_15_19_yr_separated,p_15_19_yr_divorced,p_15_19_yr_widowed,p_15_19_yr_never_married,p_15_19_yr_tot,p_20_24_yr_married,p_20_24_yr_separated,p_20_24_yr_divorced,p_20_24_yr_widowed,p_20_24_yr_never_married,p_20_24_yr_tot,p_25_34_yr_married,p_25_34_yr_separated,p_25_34_yr_divorced,p_25_34_yr_widowed,p_25_34_yr_never_married,p_25_34_yr_tot,p_35_44_yr_married,p_35_44_yr_separated,p_35_44_yr_divorced,p_35_44_yr_widowed,p_35_44_yr_never_married,p_35_44_yr_tot,p_45_54_yr_married,p_45_54_yr_separated,p_45_54_yr_divorced,p_45_54_yr_widowed,p_45_54_yr_never_married,p_45_54_yr_tot,p_55_64_yr_married,p_55_64_yr_separated,p_55_64_yr_divorced,p_55_64_yr_widowed,p_55_64_yr_never_married,p_55_64_yr_tot,p_65_74_yr_married,p_65_74_yr_separated,p_65_74_yr_divorced,p_65_74_yr_widowed,p_65_74_yr_never_married,p_65_74_yr_tot,p_75_84_yr_married,p_75_84_yr_separated,p_75_84_yr_divorced,p_75_84_yr_widowed,p_75_84_yr_never_married,p_75_84_yr_tot,p_85ov_married,p_85ov_separated,p_85ov_divorced,p_85ov_widowed,p_85ov_never_married,p_85ov_tot,p_tot_married,p_tot_separated,p_tot_divorced,p_tot_widowed,p_tot_never_married,p_tot_tot
Rest of NSW,1RNSW,189,26,61,23,81534,81832,2356,177,78,48,72789,75449,48206,2773,2163,168,89923,143234,84111,6631,9237,376,48162,148516,97317,9325,21873,1296,40088,169896,110768,9162,29527,3581,25385,178427,103758,6244,22301,7673,10308,150284,54030,2104,7648,10781,3853,78420,14454,403,1313,9324,1072,26562,515192,36839,94198,33275,373118,1052624,159,40,28,26,77433,77694,4436,443,121,66,67036,72109,61708,4609,3588,336,76911,147152,90511,8987,14045,1147,41721,156403,103473,11243,29644,3927,30377,178659,112935,9268,35662,10762,16905,185530,92627,4773,24615,24525,6404,152945,40103,1342,8345,37809,2717,90318,7450,251,2025,33763,1343,44829,513403,40954,118072,112364,320846,1105649,352,69,90,58,158971,159525,6791,621,203,116,139825,147560,109907,7382,5754,500,166837,290388,174619,15619,23279,1519,89884,304924,200793,20560,51513,5220,70464,348557,223705,18431,65190,14349,42287,363959,196380,11015,46917,32202,16718,303231,94137,3445,15998,48587,6573,168736,21902,655,3337,43085,2411,71398,1028598,77797,212270,145640,693966,2158275
Greater Sydney,1GSYD,456,50,63,58,147352,147983,6395,279,201,110,165305,172289,143609,4988,5978,296,226835,381705,225374,10506,17789,614,90175,344463,204064,13011,31007,1703,57602,307388,173967,10784,33075,3865,31930,253616,128691,6987,21838,7533,14366,179414,65892,2516,7556,10880,5465,92308,19666,587,1600,11531,1762,35147,968114,49716,119103,36590,740789,1914314,851,65,57,59,139348,140387,14808,710,424,112,152394,168451,182395,8356,9719,577,191646,392700,229961,14849,27560,1931,77276,351579,203615,16487,46959,6127,47006,320191,167089,12464,47978,16523,26343,270395,110949,6561,31880,32128,11545,193069,46575,1916,11334,47061,4859,111741,9780,363,3414,44530,2785,60875,966018,61779,179333,149056,653198,2009383,1304,115,120,116,286699,288362,21204,988,625,226,317697,340737,326001,13352,15699,877,418473,774405,455333,25360,45342,2551,167449,696037,407676,29494,77966,7831,104602,627580,341052,23251,81055,20381,58273,524011,239643,13554,53715,39656,25917,372488,112462,4432,18890,57943,10328,204051,29450,949,5016,56063,4548,96022,1934134,111495,298433,185646,1393988,3923700
Rest of Vic.,2RVIC,86,16,33,19,44777,44925,1146,80,32,17,39652,40923,26168,1393,1048,75,48142,76820,46214,3561,4590,233,25571,80170,55127,5247,11727,712,20146,92963,62708,4868,15478,1993,12449,97495,57210,3349,11237,4079,5552,81432,29130,1009,3518,5580,2042,41289,7869,194,582,5023,681,14351,285658,19725,48243,17739,199012,570369,110,10,19,31,41871,42043,2049,202,42,43,36263,38606,33027,2389,1637,175,42937,80178,49693,4909,7043,633,23082,85363,58374,6318,16333,2058,16064,99158,63552,5063,19033,5890,8694,102238,52014,2578,12631,12847,3331,83397,21391,656,3869,20166,1466,47547,4227,133,905,18368,822,24446,284440,22265,61512,60219,174534,602974,197,27,44,44,86648,86967,3200,282,72,63,75919,79529,59199,3783,2684,257,91081,157001,95912,8472,11635,865,48649,165539,113505,11564,28062,2772,36217,192122,126258,9934,34515,7886,21139,199728,109225,5928,23867,16928,8883,164829,50518,1670,7383,25752,3512,88833,12094,325,1486,23393,1496,38801,570101,41991,109758,77958,373543,1173346
Greater Melbourne,2GMEL,409,50,57,50,136179,136742,4811,236,153,105,163048,168363,129957,4493,4705,296,219836,359284,202464,9769,15537,606,86614,314991,187329,13080,29634,1655,54080,285775,157293,10059,30878,3838,27526,229601,119859,5884,19133,7040,11207,163110,64677,2178,6623,10629,3987,88091,18855,516,1331,11035,1459,33202,885646,46266,108055,35269,703938,1779168,617,62,64,63,131463,132275,11244,580,325,126,152725,165007,164034,7376,8036,560,191056,371061,206047,13822,24213,1766,78242,324092,188350,16333,44649,5380,46826,301538,152955,11556,44956,14156,23682,247299,107523,5842,29238,29279,9289,181172,46797,1812,9980,45529,3837,107963,9506,306,2517,41447,2173,55950,887078,57699,163985,138297,639292,1886350,1028,113,126,114,267639,269015,16056,823,477,234,315779,333367,293991,11870,12740,852,410896,730345,408504,23598,39748,2372,164859,639084,375674,29411,74283,7034,100904,587317,310252,21614,75835,17996,51207,476902,227378,11722,48369,36315,20493,344283,111476,3996,16600,56162,7819,196050,28363,824,3847,52484,3637,89151,1772722,103964,272034,173569,1343226,3665515
Greater Brisbane,3GBRI,164,20,26,29,74280,74523,2949,197,97,56,82239,85533,58607,3215,2826,141,104277,169060,94091,6591,9734,378,45070,155864,92339,7588,17655,922,27489,145989,79815,5568,18269,2053,13030,118736,61463,3337,12063,3866,5408,86138,27923,1099,3847,4970,2014,39855,7431,240,730,4625,656,13676,424795,27845,65242,17032,354467,889380,271,32,21,29,71702,72056,5668,445,174,68,78855,85209,73819,5077,4332,316,90631,174171,98773,8747,14077,1042,39425,162065,93371,9094,25244,2948,22411,153071,77425,6146,25196,7014,10264,126053,53273,3198,16720,14496,4376,92065,19869,765,5283,19704,2024,47651,3856,142,1307,18307,1070,24673,426328,33655,92354,63919,320762,937019,439,54,45,58,145983,146581,8619,640,270,123,161093,170741,132424,8290,7155,457,194905,343233,192867,15340,23810,1421,84491,317932,185708,16680,42899,3864,49904,299059,157246,11713,43469,9069,23301,244790,114740,6538,28783,18360,9781,178208,47791,1865,9131,24674,4044,87505,11281,382,2036,22925,1724,38357,851120,61497,157593,80956,675227,1826402
Rest of Qld,3RQLD,167,39,34,29,76191,76455,2744,226,91,55,70078,73189,49091,2992,2554,168,92701,147501,84653,6800,9964,364,48532,150306,95356,9120,21318,1179,34593,161566,95094,7525,25887,2781,19104,150381,83322,5089,19197,5598,8109,121315,40395,1760,6257,7229,2983,58621,9957,311,1092,5810,901,18069,460766,33855,86388,23205,353190,957411,222,43,21,55,72496,72830,5008,476,123,78,66104,71787,63065,4913,4129,357,81197,153661,91880,9427,14842,1199,41034,158382,99181,10938,29433,3391,26456,169397,94737,7810,31255,8952,12543,155306,72985,3977,20837,18864,4462,121125,28039,1073,6645,25811,1737,63300,5040,182,1513,21478,845,29061,460161,38827,108804,80186,306871,994854,385,77,59,86,148682,149284,7756,700,216,131,136180,144979,112153,7900,6678,523,173896,301158,176530,16220,24807,1566,89567,308690,194534,20059,50749,4570,61057,330959,189830,15337,57144,11732,31648,305688,156306,9064,40037,24464,12569,242444,68433,2825,12905,33044,4714,121922,14995,498,2609,27288,1739,47131,920924,72686,195192,103393,660059,1952257
Rest of SA,4RSAU,41,4,3,5,10880,10933,402,27,10,8,9113,9562,6634,408,272,30,12514,19858,11331,955,1224,60,7356,20921,14820,1384,3411,187,6589,26390,17838,1440,4811,582,3581,28251,17232,938,3388,1144,1426,24131,8484,294,1037,1577,554,11942,2218,71,169,1326,174,3954,78998,5512,14330,4915,52191,155949,48,3,6,4,10131,10195,700,67,8,11,7844,8629,8336,626,424,53,9953,19391,12111,1167,1710,182,5702,20866,15442,1554,3964,623,4364,25939,18139,1180,4759,1536,1932,27537,15556,589,2980,3774,733,23633,6189,151,886,5275,251,12753,1147,25,215,4799,138,6336,77666,5368,14949,16259,41040,155286,92,9,11,7,21011,21132,1105,99,19,21,16955,18193,14971,1034,701,82,22467,39251,23436,2116,2930,242,13057,41789,30259,2937,7371,811,10953,52332,35975,2616,9571,2119,5510,55791,32783,1531,6367,4923,2154,47762,14670,441,1928,6850,809,24701,3368,96,382,6123,311,10292,156666,10881,29278,21179,93233,311230
Greater Adelaide,4GADE,111,13,30,21,40317,40489,1378,75,49,28,43958,45495,30332,1379,1355,72,54922,88071,49284,3182,4903,173,25442,82983,50889,4342,10442,577,19192,85442,48698,3287,12233,1346,10117,75675,41112,1850,7886,2545,3625,57017,22279,626,2575,3861,1114,30457,6921,180,556,4309,398,12371,251008,14933,40036,12933,199090,517997,160,11,23,25,38678,38894,2923,173,65,37,40850,44039,39188,2358,2253,195,46251,90237,50856,4418,7247,582,21170,84275,51675,5151,14978,1785,15044,88637,48530,3612,17192,4587,8130,82047,37710,1782,11471,9825,3010,63808,16649,530,3954,15829,1080,38044,3657,125,1101,16247,670,21797,251344,18150,58283,49106,174892,551769,270,22,56,41,78998,79385,4304,246,111,65,84808,89535,69517,3740,3609,271,101169,178301,100142,7596,12152,754,46609,167253,102560,9494,25423,2361,34242,174077,97225,6895,29424,5934,18247,157723,78819,3628,19364,12370,6639,120817,38932,1154,6529,19683,2198,68502,10580,307,1658,20556,1069,34170,502347,33086,98319,62040,373982,1069769
Greater Perth,5GPER,150,18,31,25,61182,61400,2368,116,57,41,65769,68351,54230,2355,2146,130,94343,153198,85539,4820,7190,278,37657,135474,83832,6105,14163,757,23199,128061,70509,4480,15298,1644,11204,103140,54111,2673,9892,2995,4324,73986,27178,843,3375,4255,1454,37102,7384,203,634,4004,455,12680,385296,21614,52780,14113,299581,773386,226,25,20,14,58446,58729,4987,304,119,41,59629,65083,69011,3846,3501,261,76866,153484,88376,6489,10664,833,30770,137133,83046,7117,20261,2322,17888,130632,68927,4841,21606,6031,8414,109824,46885,2484,14066,11817,3138,78385,19904,713,5155,17821,1310,44899,3711,129,1223,16277,635,21972,385063,25952,76618,55428,257084,800146,372,45,47,33,119632,120129,7356,422,171,82,125393,133434,123239,6201,5646,391,171203,306680,173908,11308,17857,1109,68424,272610,166880,13221,34425,3075,41085,258693,139441,9323,36906,7679,19618,212965,100995,5151,23955,14810,7459,152368,47076,1560,8527,22080,2765,82007,11087,331,1851,20278,1094,34652,770357,47568,129401,69549,556668,1573536
Rest of WA,5RWAU,73,8,12,3,15541,15633,658,50,19,11,13197,13936,12262,775,519,43,23267,36864,21156,1665,2060,82,12355,37316,23086,2211,4737,289,9005,39332,22123,1761,5972,693,4683,35231,16801,1058,3758,1158,1613,24386,7435,283,1095,1312,571,10696,1794,66,149,1014,131,3157,105377,7877,18333,4593,80366,216557,103,12,3,4,13963,14085,1023,95,19,17,11293,12444,14395,972,721,105,18002,34190,20116,1712,2347,239,9662,34084,21219,2128,5324,709,6490,35869,20628,1522,5984,1837,2847,32821,14118,732,3235,3338,843,22272,5161,178,985,4695,282,11297,844,24,204,3419,105,4595,97608,7367,18830,14357,63483,201648,177,16,16,6,29505,29712,1675,147,42,27,24489,26382,26656,1750,1242,145,41264,71057,41267,3378,4409,323,22018,71401,44303,4334,10065,1003,15497,75202,42751,3285,11960,2529,7531,68053,30922,1789,6998,4491,2454,46655,12595,454,2083,5998,857,21993,2635,91,353,4438,237,7752,202985,15252,37167,18959,143841,418207
Greater Hobart,6GHOB,8,3,3,4,6859,6880,196,11,6,8,6868,7088,4118,198,242,11,9371,13947,6952,568,809,33,4813,13171,8013,773,1939,104,3454,14285,8748,665,2374,295,2001,14085,7405,373,1591,501,713,10584,3752,120,511,776,233,5388,1037,25,81,695,62,1906,40228,2742,7568,2419,34376,87329,18,7,0,3,6663,6684,350,38,12,9,6550,6952,5218,395,317,37,8572,14541,7705,738,1283,126,4555,14411,8263,966,2882,292,2908,15312,8845,738,3368,847,1564,15358,6580,372,2213,1844,589,11598,2705,92,775,2888,241,6703,529,15,155,2536,137,3368,40212,3352,11000,8588,31775,94929,26,9,3,3,13524,13565,544,48,24,16,13414,14042,9338,591,563,48,17939,28485,14654,1308,2095,160,9371,27577,16278,1739,4819,399,6370,29598,17590,1403,5742,1142,3567,29440,13986,751,3804,2345,1303,22183,6461,212,1289,3661,473,12093,1563,40,238,3230,199,5275,80447,6093,18565,11007,66149,182260
Rest of Tas.,6RTAS,16,5,7,7,9014,9049,315,23,3,4,7798,8144,4567,287,242,15,9148,14256,8027,713,1064,46,5481,15328,10950,1124,2754,160,4539,19526,13257,1040,3677,433,2522,20926,12209,674,2471,1001,1085,17444,5698,218,744,1245,370,8281,1278,45,126,867,133,2440,56327,4132,11077,3777,40082,115389,24,9,0,7,8355,8395,545,54,12,10,6959,7579,5919,515,378,65,8201,15080,9141,938,1606,154,4922,16761,11924,1262,3527,533,3528,20777,13493,956,4190,1313,1715,21667,10746,505,2810,2924,669,17663,3944,111,799,4111,256,9219,656,22,168,3046,149,4046,56396,4380,13503,12166,34755,121201,45,14,4,16,17367,17443,861,79,13,15,14755,15724,10489,803,624,75,17355,29338,17171,1647,2671,204,10404,32094,22877,2389,6272,689,8070,40297,26754,1993,7868,1749,4235,42594,22952,1186,5285,3927,1750,35104,9641,334,1545,5355,631,17500,1937,65,292,3916,276,6490,112721,8514,24573,15941,74841,236592
Rest of NT,7RNTE,187,11,0,5,3212,3420,823,37,22,6,2657,3544,3318,148,108,19,4106,7695,3444,220,273,38,2164,6143,3250,316,552,101,1654,5881,2501,271,614,161,888,4439,1128,144,366,184,300,2119,298,24,94,115,92,624,48,3,5,38,22,116,15010,1183,2040,662,15092,33985,365,11,5,3,2643,3023,1006,57,16,13,2262,3357,3597,262,155,58,3916,7988,3410,284,312,127,2156,6283,3097,316,611,366,1611,6009,2143,250,690,523,768,4366,750,98,297,491,220,1852,170,12,70,309,74,639,23,0,16,130,18,192,14553,1298,2174,2034,13669,33722,553,22,7,10,5849,6446,1833,93,37,18,4917,6905,6911,415,262,81,8017,15691,6856,509,585,174,4318,12427,6350,639,1167,468,3271,11887,4645,517,1301,679,1656,8810,1877,240,666,675,512,3969,466,44,163,426,168,1266,71,3,28,171,42,310,29557,2479,4214,2692,28763,67701
Greater Darwin,7GDAR,23,4,3,5,4009,4039,301,22,8,3,4870,5198,4709,208,198,14,8917,14046,6654,342,634,28,3820,11472,5712,506,1268,75,2522,10094,4342,382,1322,110,1282,7434,2443,236,711,181,447,4021,740,56,191,159,101,1246,119,5,32,94,24,273,25045,1762,4366,668,25987,57821,19,3,3,4,3531,3560,513,27,8,3,3797,4355,5472,251,304,10,6769,12810,6062,382,761,66,3046,10315,4989,488,1297,246,1844,8858,3629,380,1337,454,812,6612,1742,148,682,613,203,3393,384,28,201,577,37,1226,66,6,37,235,10,356,22883,1715,4631,2210,20045,51481,45,9,9,8,7533,7600,813,46,20,4,8669,9555,10183,459,501,25,15685,26858,12713,727,1390,91,6859,21789,10705,991,2568,323,4366,18951,7974,763,2657,563,2091,14042,4189,386,1398,786,650,7413,1127,83,389,740,138,2470,181,14,65,328,32,626,47929,3477,8996,2872,46029,109301
Australian Capital Territory,8ACTE,28,8,7,10,12299,12350,403,25,17,0,15384,15829,11707,410,486,31,19740,32368,18723,844,1477,58,7768,28875,16289,1052,2711,165,4739,24959,13638,786,2715,294,2431,19870,10423,390,1678,584,849,13929,4802,126,555,746,205,6436,1366,26,110,737,78,2316,77380,3669,9750,2631,63494,156932,32,8,6,3,12075,12124,860,49,20,13,14589,15525,15136,661,728,38,17077,33639,18842,1077,2274,159,7076,29423,15890,1212,4141,421,4296,25955,13122,849,4254,1129,2210,21558,9033,453,2911,2304,795,15503,3518,129,964,3052,251,7913,706,12,232,2784,109,3839,77146,4443,15517,9900,58476,165485,58,11,13,14,24376,24468,1261,69,37,14,29971,31354,26842,1067,1212,72,36817,66008,37569,1923,3753,216,14841,58298,32176,2268,6849,585,9033,50915,26763,1634,6966,1425,4641,41426,19462,846,4589,2886,1642,29428,8322,259,1511,3799,460,14352,2075,37,337,3522,186,6155,154526,8118,25272,12530,121971,322415
