gcc_name16,gcc_code16,_0_4_yrs_indig_m,_0_4_yrs_indig_f,_0_4_yrs_indig_p,_0_4_yrs_non_indig_m,_0_4_yrs_non_indig_f,_0_4_yrs_non_indig_p,_0_4_yrs_indig_stat_notstated_m,_0_4_yrs_indig_stat_notstated_f,_0_4_yrs_indig_stat_notstated_p,_0_4_yrs_tot_m,_0_4_yrs_tot_f,_0_4_yrs_tot_p,_5_9_yrs_indig_m,_5_9_yrs_indig_f,_5_9_yrs_indig_p,_5_9_yrs_non_indig_m,_5_9_yrs_non_indig_f,_5_9_yrs_non_indig_p,_5_9_yrs_indig_stat_notstated_m,_5_9_yrs_indig_stat_notstated_f,_5_9_yrs_indig_stat_notstated_p,_5_9_yrs_tot_m,_5_9_yrs_tot_f,_5_9_yrs_tot_p,_10_14_yrs_indig_m,_10_14_yrs_indig_f,_10_14_yrs_indig_p,_10_14_yrs_non_indig_m,_10_14_yrs_non_indig_f,_10_14_yrs_non_indig_p,_10_14_yrs_indig_stat_notstated_m,_10_14_yrs_indig_stat_notstated_f,_10_14_yrs_indig_stat_notstated_p,_10_14_yrs_tot_m,_10_14_yrs_tot_f,_10_14_yrs_tot_p,_15_19_yrs_indig_m,_15_19_yrs_indig_f,_15_19_yrs_indig_p,_15_19_yrs_non_indig_m,_15_19_yrs_non_indig_f,_15_19_yrs_non_indig_p,_15_19_yrs_indig_stat_notstated_m,_15_19_yrs_indig_stat_notstated_f,_15_19_yrs_indig_stat_notstated_p,_15_19_yrs_tot_m,_15_19_yrs_tot_f,_15_19_yrs_tot_p,_20_24_yrs_indig_m,_20_24_yrs_indig_f,_20_24_yrs_indig_p,_20_24_yrs_non_indig_m,_20_24_yrs_non_indig_f,_20_24_yrs_non_indig_p,_20_24_yrs_indig_stat_notstated_m,_20_24_yrs_indig_stat_notstated_f,_20_24_yrs_indig_stat_notstated_p,_20_24_yrs_tot_m,_20_24_yrs_tot_f,_20_24_yrs_tot_p,_25_29_yrs_indig_m,_25_29_yrs_indig_f,_25_29_yrs_indig_p,_25_29_yrs_non_indig_m,_25_29_yrs_non_indig_f,_25_29_yrs_non_indig_p,_25_29_yrs_indig_stat_notstated_m,_25_29_yrs_indig_stat_notstated_f,_25_29_yrs_indig_stat_notstated_p,_25_29_yrs_tot_m,_25_29_yrs_tot_f,_25_29_yrs_tot_p,_30_34_yrs_indig_m,_30_34_yrs_indig_f,_30_34_yrs_indig_p,_30_34_yrs_non_indig_m,_30_34_yrs_non_indig_f,_30_34_yrs_non_indig_p,_30_34_yrs_indig_stat_notstated_m,_30_34_yrs_indig_stat_notstated_f,_30_34_yrs_indig_stat_notstated_p,_30_34_yrs_tot_m,_30_34_yrs_tot_f,_30_34_yrs_tot_p,_35_39_yrs_indig_m,_35_39_yrs_indig_f,_35_39_yrs_indig_p,_35_39_yrs_non_indig_m,_35_39_yrs_non_indig_f,_35_39_yrs_non_indig_p,_35_39_yrs_indig_stat_notstated_m,_35_39_yrs_indig_stat_notstated_f,_35_39_yrs_indig_stat_notstated_p,_35_39_yrs_tot_m,_35_39_yrs_tot_f,_35_39_yrs_tot_p,_40_44_yrs_indig_m,_40_44_yrs_indig_f,_40_44_yrs_indig_p,_40_44_yrs_non_indig_m,_40_44_yrs_non_indig_f,_40_44_yrs_non_indig_p,_40_44_yrs_indig_stat_notstated_m,_40_44_yrs_indig_stat_notstated_f,_40_44_yrs_indig_stat_notstated_p,_40_44_yrs_tot_m,_40_44_yrs_tot_f,_40_44_yrs_tot_p,_45_49_yrs_indig_m,_45_49_yrs_indig_f,_45_49_yrs_indig_p,_45_49_yrs_non_indig_m,_45_49_yrs_non_indig_f,_45_49_yrs_non_indig_p,_45_49_yrs_indig_stat_notstated_m,_45_49_yrs_indig_stat_notstated_f,_45_49_yrs_indig_stat_notstated_p,_45_49_yrs_tot_m,_45_49_yrs_tot_f,_45_49_yrs_tot_p,_50_54_yrs_indig_m,_50_54_yrs_indig_f,_50_54_yrs_indig_p,_50_54_yrs_non_indig_m,_50_54_yrs_non_indig_f,_50_54_yrs_non_indig_p,_50_54_yrs_indig_stat_notstated_m,_50_54_yrs_indig_stat_notstated_f,_50_54_yrs_indig_stat_notstated_p,_50_54_yrs_tot_m,_50_54_yrs_tot_f,_50_54_yrs_tot_p,_55_59_yrs_indig_m,_55_59_yrs_indig_f,_55_59_yrs_indig_p,_55_59_yrs_non_indig_m,_55_59_yrs_non_indig_f,_55_59_yrs_non_indig_p,_55_59_yrs_indig_stat_notstated_m,_55_59_yrs_indig_stat_notstated_f,_55_59_yrs_indig_stat_notstated_p,_55_59_yrs_tot_m,_55_59_yrs_tot_f,_55_59_yrs_tot_p,_60_64_yrs_indig_m,_60_64_yrs_indig_f,_60_64_yrs_indig_p,_60_64_yrs_non_indig_m,_60_64_yrs_non_indig_f,_60_64_yrs_non_indig_p,_60_64_yrs_indig_stat_notstated_m,_60_64_yrs_indig_stat_notstated_f,_60_64_yrs_indig_stat_notstated_p,_60_64_yrs_tot_m,_60_64_yrs_tot_f,_60_64_yrs_tot_p,_65_yrs_ov_indig_m,_65_yrs_ov_indig_f,_65_yrs_ov_indig_p,_65_yrs_ov_non_indig_m,_65_yrs_ov_non_indig_f,_65_yrs_ov_non_indig_p,_65_yrs_ov_indig_stat_notstated_m,_65_yrs_ov_indig_stat_notstated_f,_65_yrs_ov_indig_stat_notstated_p,_65_yrs_ov_tot_m,_65_yrs_ov_tot_f,_65_yrs_ov_tot_p,tot_indig_m,tot_indig_f,tot_indig_p,tot_non_indig_m,tot_non_indig_f,tot_non_indig_p,tot_indig_status_notstated_m,tot_indig_status_notstated_f,tot_indig_status_notstated_p,tot_tot_m,tot_tot_f,tot_tot_p
Rest of NSW,1RNSW,8933,8250,17179,65989,62171,128160,4720,4551,9271,79636,74976,154615,8968,8606,17572,72243,68762,141002,5155,4968,10125,86367,82337,168699,8403,7986,16386,69676,66163,135844,5002,4713,9716,83088,78863,161945,7605,7366,14973,69229,65576,134802,4997,4760,9752,81832,77694,159525,6266,5964,12231,64137,61514,125654,5043,4629,9675,75449,72109,147560,4904,4889,9790,61610,63126,124734,4986,4617,9606,71505,72628,144133,4030,4151,8182,62920,65784,128701,4778,4586,9368,71734,74519,146254,3448,3653,7100,61855,65556,127410,4486,4295,8787,69787,73506,143294,3600,4176,7779,69893,73737,143633,5237,4982,10217,78729,82902,161625,3604,4197,7804,73150,77770,150920,5653,5409,11065,82400,87382,169780,3336,3826,7161,78023,81698,159720,6134,5755,11895,87489,91280,178773,2949,3309,6257,81935,86449,168384,6501,6139,12643,91386,95897,187279,2315,2419,4735,78549,81341,159889,6180,5873,12053,87041,89638,176678,3743,4285,8034,232412,261646,494059,19109,22162,41277,255273,288090,543363,72102,73085,145189,1141623,1181290,2322911,87991,87447,175436,1301717,1341813,2643536
Greater Sydney,1GSYD,4045,3683,7729,147336,140144,287474,7649,7318,14968,159029,151145,310173,3971,3765,7742,147790,140005,287800,6948,6740,13693,158716,150522,309236,3967,3586,7548,134558,126880,261443,6186,5711,11899,144709,136177,280892,3783,3566,7344,137220,130560,267783,6972,6263,13237,147983,140387,288362,3359,3248,6607,158725,155397,314118,10198,9809,20012,172289,168451,340737,2590,2672,5263,173028,178234,351260,12533,12396,24931,188149,193306,381451,2032,2329,4369,179165,185387,364550,12350,11677,24030,193554,199397,392950,1792,1977,3769,164879,167014,331894,10274,9520,19795,176949,178510,355460,1870,2194,4062,156536,162465,319004,9108,8405,17514,167516,173063,340580,1787,2109,3898,146373,155131,301505,8454,7908,16362,156617,165145,321762,1611,1801,3417,141133,145692,286829,8026,7552,15575,150766,155048,305817,1332,1449,2777,128213,136141,264354,7328,7101,14432,136868,144692,281558,960,1127,2087,109475,118183,227658,6321,6396,12712,116752,125704,242452,1615,1898,3510,286796,341033,627831,18466,22748,41215,306877,365681,672559,34716,35419,70135,2211230,2282264,4493490,130823,129540,260364,2376766,2447221,4823991
Rest of Vic.,2RVIC,1495,1456,2948,38789,36567,75360,2719,2643,5360,43001,40662,83665,1507,1399,2912,41875,39487,81366,2923,2734,5658,46312,43620,89935,1305,1335,2640,40279,38466,78748,2854,2637,5490,44445,42428,86873,1210,1216,2428,40931,38136,79066,2786,2691,5477,44925,42043,86967,1000,920,1917,37085,35035,72125,2837,2652,5490,40923,38606,79529,754,835,1584,35080,35893,70970,2696,2583,5282,38530,39310,77842,584,659,1244,35123,37565,72683,2583,2637,5225,38294,40864,79154,511,602,1117,34820,37196,72015,2395,2493,4887,37726,40290,78014,556,625,1182,39046,41684,80729,2845,2770,5612,42442,45080,87518,570,679,1247,41657,44732,86387,3244,3050,6296,45471,48463,93933,552,593,1143,43626,46811,90438,3308,3292,6597,47486,50695,98187,477,521,1000,45281,48149,93423,3467,3467,6937,49225,52136,101361,388,389,775,44362,46134,90497,3522,3573,7094,48271,50095,98363,613,690,1305,125038,141422,266463,11416,13284,24698,137073,155391,292463,11531,11912,23444,642997,667267,1310270,49596,50510,100103,704128,729694,1433818
Greater Melbourne,2GMEL,1248,1261,2507,138629,131382,270013,7501,7155,14659,147382,139793,287178,1229,1257,2486,134650,128262,262908,6794,6316,13107,142674,135831,278506,1237,1125,2360,123302,116956,240259,5843,5559,11399,130382,123638,254017,1171,1172,2342,129162,124847,254010,6410,6249,12661,136742,132275,269015,1176,1163,2338,157749,154650,312400,9437,9192,18630,168363,165007,333367,1001,1024,2026,166386,171570,337950,11100,11354,22459,178485,183944,362435,842,781,1627,169012,175598,344607,10945,10733,21682,180801,187112,367913,687,718,1405,152039,154433,306475,9023,8418,17436,161748,163566,325319,736,733,1466,144237,151895,296133,8269,7896,16166,153241,160525,313768,748,720,1466,140373,150270,290643,7829,7642,15473,148946,158634,307580,533,634,1166,128800,135228,264029,7493,7042,14540,136829,142906,279728,446,459,903,116457,124814,241277,6794,6842,13641,123698,132121,255824,356,408,764,99552,108684,208232,5990,6090,12085,105899,115182,221078,526,685,1208,265578,321244,586819,18307,23154,41458,284403,345078,629487,11933,12136,24062,2065922,2149830,4215761,121739,123651,245390,2199597,2285616,4485211
Greater Brisbane,3GBRI,3207,3144,6353,68751,65193,133944,3891,3715,7603,75846,72050,147903,3225,3138,6370,71998,68271,140262,3739,3552,7294,78962,74960,153928,3153,2924,6077,66869,63212,130088,3238,3185,6416,73259,69317,142581,2973,2889,5864,68077,65762,133842,3469,3405,6872,74523,72056,146581,2701,2602,5309,77872,77663,155532,4961,4944,9901,85533,85209,170741,2032,2045,4078,76955,79161,156115,5178,5285,10466,84171,86492,170661,1700,1656,3353,78021,81104,159124,5167,4916,10087,84890,87680,172568,1416,1520,2936,71449,74546,145995,4399,3984,8382,77269,80046,157315,1454,1606,3069,72763,76375,149136,4378,4037,8414,78597,82021,160613,1329,1516,2848,70231,74436,144665,4447,3903,8353,76005,79858,155861,1146,1273,2424,64776,68208,132989,4063,3725,7788,69989,73211,143199,878,1030,1905,58895,62655,121552,3635,3429,7064,63409,67104,130519,675,767,1439,51404,54971,106382,3249,3206,6454,55331,58942,114276,909,1220,2134,130336,153165,283503,8424,10003,18422,139673,164393,304063,26813,27347,54158,1028414,1064716,2093128,62232,61288,123517,1117452,1153351,2270800
Rest of Qld,3RQLD,7921,7541,15468,63040,59845,122886,5045,4832,9870,76005,72221,148226,8448,8036,16481,69976,66147,136121,5271,5042,10316,83696,79226,162920,7727,7515,15245,67628,63722,131349,4962,4769,9723,80321,76005,156319,6889,6605,13497,64665,61415,126076,4899,4809,9715,76455,72830,149284,5611,5475,11080,61406,60714,122118,6171,5607,11775,73189,71787,144979,4445,4613,9059,62145,65020,127172,6642,5860,12502,73236,75497,148732,3748,4134,7885,63974,68512,132487,6548,5516,12059,74265,78159,152423,3420,3727,7153,62257,66670,128929,6005,5069,11071,71682,75472,147156,3527,3888,7415,68652,73526,142179,6444,5498,11946,78620,82915,161537,3313,3792,7098,70978,75640,146617,6777,5862,12640,81063,85294,166356,2972,3237,6210,70755,75010,145766,6777,5852,12627,80501,84100,164603,2411,2709,5122,69784,73337,143128,6619,5711,12337,78817,81760,160585,1759,2015,3777,64136,66220,130360,5665,5305,10969,71564,73541,145106,2676,3349,6032,179597,193093,372694,15733,17038,32775,198009,213487,411492,64873,66649,131520,1038999,1068880,2107878,93554,86775,180324,1197426,1222294,2419724
Rest of SA,4RSAU,855,797,1649,9128,8802,17932,642,617,1255,10628,10211,20840,923,877,1801,10401,9576,19976,700,651,1350,12027,11104,23131,854,844,1693,10222,9605,19821,696,662,1356,11767,11107,22869,755,712,1461,9557,8898,18454,626,591,1216,10933,10195,21132,629,631,1262,8316,7452,15761,617,547,1168,9562,8629,18193,567,554,1128,8615,8291,16911,646,566,1214,9833,9415,19247,525,511,1039,8858,8869,17727,639,591,1235,10026,9978,19997,392,416,810,8750,8797,17542,652,552,1206,9792,9763,19557,443,460,901,9979,10003,19977,715,636,1343,11130,11099,22227,453,495,945,11450,11378,22826,894,768,1662,12796,12640,25436,436,427,862,12224,12064,24282,944,810,1752,13594,13304,26897,327,349,675,12956,12755,25710,953,947,1903,14234,14052,28286,233,270,501,12821,12360,25178,965,864,1826,14019,13492,27505,376,418,802,36765,39222,75989,2884,3077,5959,40026,42723,82752,7770,7755,15530,170028,168067,338096,12565,11879,24445,190368,187706,378074
Greater Adelaide,4GADE,1124,1002,2124,36386,34282,70670,1728,1623,3351,39238,36906,76145,1091,1072,2162,36652,35284,71937,1627,1544,3173,39373,37897,77270,991,972,1965,34797,32925,67720,1497,1344,2847,37283,35243,72533,1052,1016,2062,37863,36274,74140,1573,1603,3172,40489,38894,79385,844,873,1718,42594,41212,83811,2056,1947,4006,45495,44039,89535,730,748,1476,40616,41491,82108,2144,2082,4223,43487,44324,87807,566,597,1162,41804,43269,85074,2218,2049,4263,44579,45916,90495,439,498,935,38758,39595,78357,1995,1753,3746,41184,41853,83037,458,555,1010,39383,40180,79564,1956,1690,3651,41800,42425,84217,426,530,954,40727,42308,83039,2092,1862,3956,43247,44698,87943,362,451,815,39784,41616,81402,2047,1871,3923,42190,43942,86131,315,391,707,37948,40742,78689,2046,1962,4008,40311,43097,83406,267,274,538,33317,36904,70224,1785,1769,3554,35369,38948,74316,332,444,774,93962,115934,209901,5539,7269,12813,99844,123645,223491,8977,9426,18403,594606,622014,1216624,30307,30379,60689,633888,661823,1295714
Greater Perth,5GPER,1840,1746,3585,59790,56773,116565,3408,3155,6558,65040,61672,126713,1800,1782,3579,60300,57082,117383,3048,2818,5869,65142,61685,126833,1769,1727,3492,55510,52546,108053,2688,2550,5237,59965,56820,116781,1718,1581,3299,56825,54482,111304,2853,2669,5520,61400,58729,120129,1609,1442,3054,62615,59724,122344,4120,3916,8039,68351,65083,133434,1424,1207,2634,67853,69305,137152,5611,4936,10549,74881,75449,150329,1107,1021,2129,71674,72329,144004,5529,4694,10220,78313,78040,156352,860,835,1696,63412,64448,127862,4482,3592,8071,68747,68877,137621,823,863,1688,61755,63853,125610,4148,3544,7693,66728,68258,134986,770,873,1642,61559,63483,125040,4153,3359,7517,66480,67715,134195,640,699,1344,57110,58989,116104,3834,3229,7057,61581,62922,124498,512,608,1113,51048,54381,105433,3396,3074,6473,54954,58065,113020,355,455,808,44837,48478,93317,2995,2822,5820,48183,51757,99944,482,676,1156,115513,135357,250869,7773,9230,17000,123769,145260,269027,15704,15518,31214,889811,911224,1801031,58028,53585,111612,963536,980326,1943858
Rest of WA,5RWAU,2488,2306,4792,14080,13189,27265,1468,1325,2796,18037,16823,34861,2603,2461,5059,15009,14252,29260,1461,1406,2868,19070,18117,37183,2405,2395,4798,13546,13033,26584,1327,1219,2544,17282,16644,33920,2118,1972,4088,12307,11041,23351,1203,1070,2270,15633,14085,29712,1837,1715,3555,10827,9613,20442,1271,1108,2379,13936,12444,26382,1754,1694,3447,13728,12937,26672,2169,1548,3717,17657,16181,33831,1531,1595,3131,15367,14829,30193,2318,1586,3904,19206,18012,37225,1323,1375,2701,14827,13921,28749,2048,1404,3449,18201,16706,34902,1342,1297,2644,15665,14666,30331,2106,1409,3520,19115,17375,36491,1186,1376,2562,16434,15175,31605,2121,1531,3650,19738,18083,37816,1029,1194,2221,16462,15055,31511,2111,1538,3648,19602,17783,37385,852,951,1796,15985,15014,31000,2019,1536,3551,18852,17496,36346,630,724,1351,14179,13324,27503,1569,1270,2847,16378,15326,31706,884,1138,2019,33748,33438,67186,3606,3586,7195,38244,38164,76405,21977,22198,44169,222160,209496,431657,26799,21536,48341,270936,253230,524167
