gcc_name16,gcc_code16,aust_bth_parents_brn_overseas,aust_fath_only_brn_overseas,aust_moth_only_brn_overseas,aust_both_parents_born_aust,aust_birthplace_not_stated,aust_tot_responses,aust_abor_bth_parents_brn_overseas,aust_abor_fath_only_brn_overseas,aust_abor_moth_only_brn_overseas,aust_abor_bth_parents_brn_aus,aust_abor_birthplace_notstated,aust_abor_tot_responses,chinese_bth_parents_brn_overseas,chinese_fath_only_brn_overseas,chinese_moth_only_brn_overseas,chinese_bth_parents_brn_aus,chinese_birthplace_notstated,chinese_tot_responses,croatian_bth_parents_brn_overseas,croatian_fath_only_brn_overseas,croatian_moth_only_brn_overseas,croatian_bth_parents_brn_aus,croatian_birthplace_notstated,croatian_tot_responses,dutch_bth_parents_brn_overseas,dutch_fath_only_brn_overseas,dutch_moth_only_brn_overseas,dutch_bth_parents_brn_aus,dutch_birthplace_notstated,dutch_tot_responses,english_bth_parents_brn_overseas,english_fath_only_brn_overseas,english_moth_only_brn_overseas,english_bth_parents_brn_aus,english_birthplace_notstated,english_tot_responses,filipino_bth_parents_brn_overseas,filipino_fath_only_brn_overseas,filipino_moth_only_brn_overseas,filipino_bth_parents_brn_aus,filipino_birthplace_notstated,filipino_tot_responses,french_bth_parents_brn_overseas,french_fath_only_brn_overseas,french_moth_only_brn_overseas,french_bth_parents_brn_aus,french_birthplace_notstated,french_tot_responses,german_bth_parents_brn_overseas,german_fath_only_brn_overseas,german_moth_only_brn_overseas,german_bth_parents_brn_aus,german_birthplace_notstated,german_tot_responses,greek_bth_parents_brn_overseas,greek_fath_only_brn_overseas,greek_moth_only_brn_overseas,greek_bth_parents_brn_aus,greek_birthplace_notstated,greek_tot_responses,hungarian_bth_parents_brn_overseas,hungarian_fath_only_brn_overseas,hungarian_moth_only_brn_overseas,hungarian_bth_parents_brn_aus,hungarian_birthplace_notstated,hungarian_tot_responses,indian_bth_parents_brn_overseas,indian_fath_only_brn_overseas,indian_moth_only_brn_overseas,indian_bth_parents_brn_aus,indian_birthplace_notstated,indian_tot_responses,irish_bth_parents_brn_overseas,irish_fath_only_brn_overseas,irish_moth_only_brn_overseas,irish_bth_parents_brn_aus,irish_birthplace_notstated,irish_tot_responses,italian_bth_parents_brn_overseas,italian_fath_only_brn_overseas,italian_moth_only_brn_overseas,italian_bth_parents_brn_aus,italian_birthplace_notstated,italian_tot_responses,korean_bth_parents_brn_overseas,korean_fath_only_brn_overseas,korean_moth_only_brn_overseas,korean_bth_parents_brn_aus,korean_birthplace_notstated,korean_tot_responses,lebanese_bth_parents_brn_overseas,lebanese_fath_only_brn_overseas,lebanese_moth_only_brn_overseas,lebanese_bth_parents_brn_aus,lebanese_birthplace_notstated,lebanese_tot_responses,macedonian_bth_parents_brn_overseas,macdonian_fath_only_brn_overseas,macdonian_moth_only_brn_overseas,macdonian_bth_parents_brn_aus,macdonian_birthplace_notstated,macedonian_tot_responses,maltese_bth_parents_brn_overseas,maltese_fath_only_brn_overseas,maltese_moth_only_brn_overseas,maltese_bth_parents_brn_aus,maltese_birthplace_notstated,maltese_tot_responses,maori_bth_parents_brn_overseas,maori_fath_only_brn_overseas,maori_moth_only_brn_overseas,maori_bth_parents_brn_aus,maori_birthplace_notstated,maori_tot_responses,nz_bth_parents_brn_overseas,nz_fath_only_brn_overseas,nz_moth_only_brn_overseas,nz_bth_parents_brn_aus,nz_birthplace_notstated,nz_tot_responses,polish_bth_parents_brn_overseas,polish_fath_only_brn_overseas,polish_moth_only_brn_overseas,polish_bth_parents_brn_aus,polish_birthplace_notstated,polish_tot_responses,russian_bth_parents_brn_overseas,russian_fath_only_brn_overseas,russian_moth_only_brn_overseas,russian_bth_parents_brn_aus,russian_birthplace_notstated,russian_tot_responses,scottish_bth_parents_brn_overseas,scottish_fath_only_brn_overseas,scottish_moth_only_brn_overseas,scottish_bth_parents_brn_aus,scottish_birthplace_notstated,scottish_tot_responses,serbian_bth_parents_brn_overseas,serbian_fath_only_brn_overseas,serbian_moth_only_brn_overseas,serbian_bth_parents_brn_aus,serbian_birthplace_notstated,serbian_tot_responses,sth_african_bth_parents_brn_overseas,sth_african_fath_only_brn_overseas,sth_african_moth_only_brn_overseas,sth_afrcan_bth_parents_brn_aus,sth_african_birthplace_notstated,sth_african_tot_responses,spanish_bth_parents_brn_overseas,spanish_fath_only_brn_overseas,spanish_moth_only_brn_overseas,spanish_bth_parents_brn_aus,spanish_birthplace_notstated,spanish_tot_responses,sri_lankan_bth_parents_brn_overseas,sri_lankan_fath_only_brn_overseas,sri_lankan_moth_only_brn_overseas,sri_lankan_bth_parents_brn_aus,sri_lankan_birthplace_notstated,sri_lankan_tot_responses,turkish_bth_parents_brn_overseas,turkish_fath_only_brn_overseas,turkish_moth_only_brn_overseas,turkish_bth_parents_brn_aus,turkish_birthplace_notstated,turkish_tot_responses,vietnamese_bth_parents_brn_overseas,vietnamese_fath_only_brn_overseas,vietnamese_moth_only_brn_overseas,vietnamese_bth_parents_brn_aus,vietnamese_birthplace_notstated,vietnamese_tot_responses,welsh_bth_parents_brn_overseas,welsh_fath_only_brn_overseas,welsh_moth_only_brn_overseas,welsh_bth_parents_brn_aus,welsh_birthplace_notstated,welsh_tot_responses,other_bth_parents_brn_overseas,other_fath_only_brn_overseas,other_moth_only_brn_overseas,other_bth_parents_brn_aus,other_birthplace_notstated,other_tot_responses,ancestry_notstated_bth_parents_brn_overseas,ancestry_notstated_fath_only_brn_overseas,ancestry_notstated_moth_only_brn_overseas,ancestry_notstated_bth_parents_brn_aus,ancestry_notstated_birthplace_notstated,ancestry_notstated_tot_responses,tot_p_bth_parents_brn_overseas,tot_p_fath_only_brn_overseas,tot_p_moth_only_brn_overseas,tot_p_bth_parents_brn_aus,tot_p_birthplace_notstated,tot_p_tot_responses
Rest of NSW,1RNSW,10227,79934,57618,955603,20320,1123700,73,633,266,18358,508,19834,18223,977,1344,5249,312,26116,4606,919,447,1722,93,7785,14781,4922,3201,9986,338,33229,123170,74496,54308,807720,19228,1078927,10936,403,2682,541,268,14835,4148,982,788,6591,151,12659,20947,7664,5376,77250,1604,112831,6328,1908,755,5850,195,15037,3180,765,341,1288,80,5659,15443,724,543,918,139,17768,24672,17005,11539,266010,4718,323951,22593,7845,3064,33272,913,67680,2391,60,181,134,27,2799,2708,822,414,2083,81,6111,9422,1191,600,2258,152,13623,4894,1632,903,4708,149,12284,4759,1478,1005,1377,150,8760,7090,3920,2896,2350,207,16461,7418,1608,1070,4511,170,14769,2666,521,436,1424,42,5094,32584,20053,14521,207673,3880,278714,3264,390,262,608,66,4588,4143,816,637,502,57,6151,5199,682,514,2585,139,9112,1835,177,160,188,36,2399,1852,287,125,170,34,2467,3476,155,257,118,40,4048,5609,2115,1295,9280,206,18499,74159,14639,10746,25584,1711,126839,4064,1250,890,23959,172042,202203,375394,147641,104928,1799833,215740,2643536
Greater Sydney,1GSYD,60420,150269,108726,798863,15705,1133985,225,947,428,9093,217,10908,455797,6755,11260,10386,3776,487976,25103,3299,1994,6767,319,37480,22843,6865,4048,10722,367,44848,302099,123096,87578,691161,16215,1220145,91232,2194,6900,1160,927,102412,19180,2566,1749,7763,317,31573,45192,11240,7874,57216,1379,122901,68548,11561,6125,30297,1186,117714,12615,2198,1152,2858,155,18979,186035,2883,2456,1546,1097,194018,76657,34033,23332,278188,4423,416642,102234,24738,11427,63656,2110,204160,61462,394,1209,412,283,63766,107839,20979,9517,20346,1685,160372,19204,2159,1228,3206,194,25996,27899,6967,3949,17794,551,57161,18156,2792,1775,1194,402,24316,22099,7302,5377,2969,319,38069,25071,3473,2625,6281,268,37714,20232,1572,1515,2891,316,26529,66971,29366,21370,186467,3272,307460,19215,1646,1035,1870,281,24053,21671,2581,1946,813,151,27160,32639,1885,1591,2961,359,39432,21799,822,651,430,120,23825,20212,2012,1161,1386,234,25001,99632,1215,2359,1009,1234,105449,10219,2677,1753,9230,176,24048,650381,45358,35422,42742,7084,780981,25529,2401,1832,13998,261215,304969,2385354,310176,219852,1595035,313571,4823991
Rest of Vic.,2RVIC,5782,40214,28238,488879,10903,574017,30,160,46,2611,83,2932,9677,378,613,3175,174,14021,4420,702,344,1523,95,7079,13451,4597,2897,9610,349,30901,62833,38023,27642,434943,10935,574375,6072,159,1168,216,153,7772,1713,403,281,3360,87,5843,11621,4347,2893,46024,1017,65903,3877,1005,359,2907,127,8274,2046,422,213,808,55,3543,9599,372,203,401,87,10658,13087,9454,5965,155236,2801,186544,17425,5329,2170,26517,904,52352,721,9,39,37,5,810,500,179,73,436,7,1194,1612,257,125,534,39,2567,3514,1053,521,2719,105,7916,2038,463,313,413,41,3265,3258,1654,1326,885,87,7204,4220,868,511,2448,126,8172,1314,214,165,602,42,2333,16810,10350,7430,125650,2486,162731,1487,199,107,276,46,2120,1704,322,224,242,28,2523,1823,288,240,1200,39,3595,1643,202,126,187,17,2169,1456,222,80,166,21,1947,1842,82,133,49,34,2140,2369,779,498,4146,85,7876,39880,6328,4777,13636,934,65559,2627,697,564,14635,95081,113603,209446,76584,53395,974478,119909,1433818
Greater Melbourne,2GMEL,47126,136637,99278,779973,14361,1077375,274,335,161,3271,80,4119,334084,4396,7642,7633,2568,356324,24875,3291,1813,5698,349,36030,32171,9866,6162,17903,585,66680,268955,117192,86456,704543,15908,1193051,53378,1075,4739,743,565,60497,15410,2053,1576,7598,265,26901,44588,13025,8884,67693,1534,135721,101172,14709,7656,36758,1805,162103,12689,2118,1264,3247,226,19536,189856,3291,2393,1682,1227,198454,63765,32220,21676,287902,4533,410092,151019,33118,16031,96282,3660,300114,16192,130,420,182,73,17002,31091,6027,2731,4658,591,45098,29282,3445,1966,5865,437,40995,35968,7451,4640,17263,596,65921,14008,1486,1130,720,310,17652,19657,5826,4447,2049,297,32279,30893,4667,3448,8930,400,48332,17237,1311,1298,2279,212,22335,64908,29233,22259,209088,3568,329064,17227,1486,862,1598,242,21406,15001,2075,1469,717,118,19384,17974,1342,1100,2745,224,23387,50711,2316,1568,1490,316,56397,28438,3232,1547,2068,343,35625,100274,1205,2366,794,1268,105907,8391,2301,1587,8928,165,21364,516901,36225,29457,40995,6383,629970,24575,2248,1761,15644,233690,277920,2072066,288560,206204,1634121,284254,4485211
Greater Brisbane,3GBRI,18166,85746,66318,553892,9694,733813,99,498,250,6188,124,7161,87960,2052,3399,5489,698,99593,4030,788,378,1194,55,6452,17219,5485,3370,9090,293,35462,199516,78195,58079,495512,10899,842199,23364,652,3764,547,259,28587,7864,1255,939,4638,117,14808,24915,9461,6636,93909,1533,136453,7197,2568,1138,6855,219,17967,4147,814,393,1175,48,6570,50541,1351,1023,976,341,54231,44864,20412,14253,197050,2906,279484,19920,7517,3341,27498,620,58895,13913,66,400,134,53,14568,2172,703,339,1576,36,4823,1102,166,102,189,8,1569,2239,1026,566,2643,59,6530,25130,2629,1860,936,444,31007,21662,6372,5042,2044,289,35411,8069,1597,1091,4205,148,15109,5007,657,578,1866,73,8185,51489,19971,14759,145974,2393,234584,3706,370,241,371,44,4735,12167,1156,932,401,66,14726,8967,804,639,2048,100,12563,6442,376,290,304,42,7452,1527,245,88,93,18,1971,22704,477,752,355,225,24508,6425,1552,1056,6742,108,15885,181902,17703,15656,26467,2504,244232,7932,1224,964,11974,126128,148222,723337,158956,120730,1115505,152278,2270800
Rest of Qld,3RQLD,13815,77682,63262,742467,14430,911660,109,707,324,28190,382,29717,25539,1205,1678,7690,404,36509,3381,671,311,1245,60,5673,17618,4754,3346,9030,335,35079,191185,70642,55604,616695,14619,948744,18938,466,3672,772,335,24180,7089,1053,890,5245,183,14460,25622,8970,6749,115850,2113,159307,4101,1642,746,4961,122,11576,3520,686,295,971,76,5550,17640,705,471,826,138,19783,38067,16390,12182,213305,3765,283710,20949,8278,3823,38534,923,72517,6819,38,241,100,47,7246,1107,398,209,1123,20,2859,602,109,66,199,3,976,3836,1504,889,5218,116,11562,17302,2151,1641,1137,298,22530,19305,5984,4480,2207,282,32263,6032,1130,799,3596,117,11684,3447,517,449,1549,54,6018,47860,17916,13688,168328,3175,250975,1755,245,120,314,31,2466,9788,885,774,434,65,11939,5926,773,511,2794,106,10108,2340,187,128,273,14,2945,1058,187,66,134,13,1463,3300,125,230,86,46,3791,6252,1421,962,6604,196,15438,100785,14464,13909,42590,2113,173860,5737,1293,1078,19548,176390,204054,498673,143332,113304,1454144,210272,2419724
Rest of SA,4RSAU,1556,9903,7772,136640,3173,159042,14,86,29,4391,76,4600,1429,46,86,410,17,1988,635,123,43,320,11,1130,3036,781,603,1636,73,6129,24220,9640,8056,110419,2877,155220,2153,39,348,57,38,2641,497,72,74,730,16,1394,3636,1742,1267,33762,646,41055,1463,257,131,1032,69,2955,371,106,25,155,19,671,1373,67,52,90,17,1590,3297,1528,1076,23275,477,29648,2759,960,370,3859,123,8073,132,4,23,20,4,181,86,39,14,122,3,261,38,6,9,12,0,67,234,85,62,281,12,676,675,110,122,120,24,1059,658,295,188,148,18,1306,844,191,127,824,36,2019,236,34,43,134,4,445,5285,2139,1740,24267,478,33916,172,23,20,48,4,272,530,50,57,16,6,657,397,64,25,220,16,718,175,19,14,14,3,229,132,12,11,18,4,176,393,26,33,15,7,480,846,233,158,983,21,2239,7494,1263,885,3065,170,12878,657,163,155,3627,24195,28801,54740,17920,13973,260570,30867,378074
Greater Adelaide,4GADE,10751,46149,33773,303718,6103,400485,43,248,112,3036,87,3526,46364,837,1284,1407,325,50216,4454,716,370,1446,60,7042,9960,3176,2032,4990,153,20315,122129,46059,35997,272385,6625,483198,11135,295,1391,262,151,13232,2677,522,373,2519,61,6156,16314,6543,4494,60279,1058,88691,19459,3639,1618,10139,355,35205,3070,607,246,962,52,4936,29867,571,410,399,188,31444,19825,8176,5553,69748,1272,104573,42195,10009,4275,30324,1073,87874,3816,53,160,153,27,4206,2811,677,322,1102,50,4960,952,131,94,341,15,1521,2858,804,499,1893,73,6130,1180,410,231,226,40,2092,2731,1346,863,494,46,5484,10353,1580,990,3581,165,16669,4140,382,325,820,51,5718,25115,9623,7439,62912,1222,106312,4341,416,232,543,55,5588,3169,357,334,159,24,4041,3272,321,260,783,48,4684,3175,156,138,100,24,3596,809,101,42,72,12,1030,18276,535,533,263,183,19790,4734,1019,705,3309,92,9849,97242,8483,6196,12222,1213,125363,4236,529,466,5748,57388,68359,458106,91001,65325,607386,73896,1295714
Greater Perth,5GPER,20617,84847,67022,369324,7430,549235,104,340,192,3879,78,4600,91209,1859,3031,2448,674,99229,8606,1979,1018,5119,151,16875,20638,5114,3341,8034,272,37392,289892,76533,60817,286477,8781,722500,25858,344,1782,212,245,28445,9091,853,690,2322,119,13075,22458,5027,3968,23216,626,55298,6149,1906,939,4395,159,13548,2923,459,301,626,35,4350,60417,1698,1228,1228,360,64933,64677,15233,11213,85233,1908,178256,44583,13473,6471,38118,1134,103773,7271,90,245,75,42,7716,1953,356,226,358,32,2913,5978,880,542,1715,81,9197,1912,623,323,1002,48,3901,17605,1490,1036,453,296,20879,16046,4688,3080,1065,234,25119,11410,1536,1234,3076,156,17417,3865,304,379,620,34,5196,66278,16469,12672,70344,1692,167460,5125,383,255,335,60,6161,21736,1442,1306,371,143,24999,7282,578,490,1454,79,9886,6659,382,256,197,32,7523,1889,182,110,84,18,2279,19524,317,612,194,155,20790,11321,1760,1237,3821,166,18304,192965,14481,13728,14959,2108,238239,8138,989,782,5883,116638,132434,883843,149159,115761,657057,138046,1943858
Rest of WA,5RWAU,3381,20694,16768,164566,3603,209014,24,233,97,15444,249,16050,3209,157,239,653,54,4312,669,219,110,663,17,1678,4741,1359,988,2348,89,9529,51017,18996,15623,117642,3442,206721,6132,59,544,163,88,6987,1403,168,157,720,31,2482,4857,1318,1207,9873,257,17510,476,234,90,730,18,1550,360,84,53,131,9,635,3255,162,134,227,34,3816,9690,3304,2615,29275,678,45555,5140,2283,957,10336,299,19010,523,12,41,14,4,597,142,24,20,38,5,231,326,55,39,218,11,651,237,119,59,210,11,644,5123,537,422,261,158,6502,3891,1350,853,410,102,6597,1686,340,258,967,32,3283,479,55,74,170,15,791,11871,4155,3255,26268,633,46188,220,23,16,57,10,326,3323,230,262,107,32,3955,835,96,86,452,18,1481,435,27,35,28,6,534,98,22,9,23,0,146,788,19,42,17,15,881,1754,415,274,1269,45,3745,17422,2564,2478,5300,337,28106,1312,300,282,3833,48500,54229,115500,35430,28237,288527,56471,524167
