gcc_name16,gcc_code16,south_africa_before_1946,south_africa_1946_1955,south_africa_1956_1965,south_africa_1966_1975,south_africa_1976_1985,south_africa_1986_1995,south_africa_1996_2005,south_africa_2006_2010,south_africa_2011,south_africa_2012,south_africa_2013,south_africa_2014,south_africa_2015,south_africa_2016,south_africa_yr_arrival_notstated,south_africa_tot,sri_lanka_before_1946,sri_lanka_1946_1955,sri_lanka_1956_1965,sri_lanka_1966_1975,sri_lanka_1976_1985,sri_lanka_1986_1995,sri_lanka_1996_2005,sri_lanka_2006_2010,sri_lanka_2011,sri_lanka_2012,sri_lanka_2013,sri_lanka_2014,sri_lanka_2015,sri_lanka_2016,sri_lanka_yr_arrival_notstated,sri_lanka_tot,thailand_before_1946,thailand_1946_1955,thailand_1956_1965,thailand_1966_1975,thailand_1976_1985,thailand_1986_1995,thailand_1996_2005,thailand_2006_2010,thailand_2011,thailand_2012,thailand_2013,thailand_2014,thailand_2015,thailand_2016,thailand_yr_arrival_notstated,thailand_tot,fmr_yugoslav_rep_of_macedonia_before_1946,fmr_yugoslav_rep_of_macedonia_1946_1955,fmr_yugoslav_rep_of_macedonia_1956_1965,fmr_yugoslav_rep_of_macedonia_1966_1975,fmr_yugoslav_rep_of_macedonia_1976_1985,fmr_yugoslav_rep_of_macedonia_1986_1995,fmr_yugoslav_rep_of_macedonia_1996_2005,fmr_yugoslav_rep_of_macedonia_2006_2010,fmr_yugoslav_rep_of_macedonia_2011,fmr_yugoslav_rep_of_macedonia_2012,fmr_yugoslav_rep_of_macedonia_2013,fmr_yugoslav_rep_of_macedonia_2014,fmr_yugoslav_rep_of_macedonia_2015,fmr_yugoslav_rep_of_macedonia_2016,fmr_yugoslav_rep_of_macedonia_arrival_notstated,fmr_yugoslav_rep_of_macedonia_tot,turkey_before_1946,turkey_1946_1955,turkey_1956_1965,turkey_1966_1975,turkey_1976_1985,turkey_1986_1995,turkey_1996_2005,turkey_2006_2010,turkey_2011,turkey_2012,turkey_2013,turkey_2014,turkey_2015,turkey_2016,turkey_yr_arrival_notstated,turkey_tot,united_kingdom_before_1946,united_kingdom_1946_1955,united_kingdom_1956_1965,united_kingdom_1966_1975,united_kingdom_1976_1985,united_kingdom_1986_1995,united_kingdom_1996_2005,united_kingdom_2006_2010,united_kingdom_2011,united_kingdom_2012,united_kingdom_2013,united_kingdom_2014,united_kingdom_2015,united_kingdom_2016,united_kingdom_yr_arrival_notstated,united_kingdom_tot,usa_before_1946,usa_1946_1955,usa_1956_1965,usa_1966_1975,usa_1976_1985,usa_1986_1995,usa_1996_2005,usa_2006_2010,united_states_america_2011,united_states_america_2012,united_states_america_2013,united_states_america_2014,united_states_america_2015,united_states_america_2016,usa_year_of_arrival_notstated,usa_total,vietnam_before_1946,vietnam_1946_1955,vietnam_1956_1965,vietnam_1966_1975,vietnam_1976_1985,vietnam_1986_1995,vietnam_1996_2005,vietnam_2006_2010,vietnam_2011,vietnam_2012,vietnam_2013,vietnam_2014,vietnam_2015,vietnam_2016,vietnam_yr_arrival_notstated,vietnam_tot,zimbabwe_before_1946,zimbabwe_1946_1955,zimbabwe_1956_1965,zimbabwe_1966_1975,zimbabwe_1976_1985,zimbabwe_1986_1995,zimbabwe_1996_2005,zimbabwe_2006_2010,zimbabwe_2011,zimbabwe_2012,zimbabwe_2013,zimbabwe_2014,zimbabwe_2015,zimbabwe_2016,zimbabwe_yr_arrival_notstated,zimbabwe_tot,born_elsewhere_before_1946,born_elsewhere_1946_1955,born_elsewhere_1956_1965,born_elsewhere_1966_1975,born_elsewhere_1976_1985,born_elsewhere_1986_1995,born_elsewhere_1996_2005,born_elsewhere_2006_2010,born_elsewhere_2011,born_elsewhere_2012,born_elsewhere_2013,born_elsewhere_2014,born_elsewhere_2015,born_elsewhere_2016,born_elsewhere_yr_arrival_notstated,born_elsewhere_tot,tot_before_1946,tot_1946_1955,tot_1956_1965,tot_1966_1975,tot_1976_1985,tot_1986_1995,tot_1996_2005,tot_2006_2010,tot_2011,tot_2012,tot_2013,tot_2014,tot_2015,tot_2016,tot_yr_arrival_notstated,tot_tot
Rest of NSW,1RNSW,15,55,267,530,954,727,2030,1773,234,333,165,117,184,92,167,7666,3,26,64,120,145,283,245,509,99,159,158,106,111,65,67,2153,0,0,8,53,140,336,764,843,160,162,203,231,199,126,223,3451,14,55,637,2946,534,552,226,129,10,22,16,24,20,3,229,5397,0,3,8,399,147,195,169,67,15,6,22,16,12,13,57,1137,727,9166,18147,26225,9097,6208,7045,4991,983,945,953,707,663,323,3840,90014,7,120,270,1039,781,833,1426,1048,248,240,210,245,268,156,262,7152,0,4,10,47,680,345,278,387,98,150,151,192,211,192,256,3002,3,7,57,51,241,131,453,456,77,62,82,44,79,39,44,1822,155,2359,4325,8368,3931,4001,5074,5441,1169,1469,1547,1965,1985,1327,2266,45371,1489,23886,37824,53405,30322,27074,33025,30984,6459,7953,7637,8176,8434,5222,13921,295805
Greater Sydney,1GSYD,25,73,470,1414,4826,6164,10952,5663,1007,809,838,937,846,623,667,35313,20,40,288,1129,1674,6856,6174,4468,746,1775,1014,657,685,429,616,26568,3,4,38,230,1233,2847,4882,4778,746,1083,1463,1861,1824,898,1336,23224,12,31,771,5313,1054,1707,1077,352,55,44,111,106,66,51,349,11089,3,16,71,3438,1803,2182,1921,872,188,159,153,159,187,117,371,11644,893,8823,21161,35348,18715,18694,26302,19670,4691,4946,4828,4359,4381,2170,5266,180238,36,147,458,1815,1660,2657,4359,3588,922,1101,1105,1338,1676,1224,768,22846,0,22,50,740,25693,23105,9776,7785,1457,1865,2211,2101,2040,1218,2975,81045,3,10,62,115,416,401,1634,1161,183,136,130,112,128,106,64,4662,509,5744,9215,34644,33318,51612,60153,49202,8653,10722,14323,15751,17999,12708,11150,335695,3091,40005,83174,155054,170698,289275,335651,257628,50572,59310,69069,72714,77933,49974,59330,1773496
Rest of Vic.,2RVIC,5,15,86,251,344,242,801,690,145,93,53,95,75,41,52,2992,3,36,64,134,86,147,223,470,73,172,102,65,84,56,63,1776,0,0,3,18,52,146,279,674,111,120,146,149,145,77,134,2059,0,14,190,417,80,80,38,8,4,3,0,3,7,0,29,883,0,0,14,265,111,154,148,65,18,3,4,11,12,7,52,861,305,5556,10877,12472,4450,2937,3156,2636,527,402,401,354,313,139,1974,46501,3,41,68,498,301,303,585,396,113,91,109,108,130,58,90,2889,0,0,0,28,243,243,222,270,52,54,72,59,68,50,290,1656,0,4,21,17,55,52,168,198,23,26,25,16,12,11,13,652,83,1470,2219,3146,1552,1655,2960,3771,704,808,1009,876,1059,646,1339,23286,661,16446,23518,24265,13053,11715,16973,19756,3653,4069,4421,3985,4532,2942,7990,157988
Greater Melbourne,2GMEL,23,55,371,999,3418,3705,6870,4548,691,696,580,652,692,434,429,24168,17,185,844,3558,2771,9894,9821,12601,1917,3187,2317,2002,2210,1548,1155,54030,0,4,19,135,840,1541,2540,3283,579,664,771,911,1157,732,728,13909,15,230,1011,7467,1961,2673,1552,627,109,97,156,115,120,42,565,16747,3,42,110,4470,2426,3105,2149,986,224,161,207,155,192,133,509,14861,834,10605,24906,36208,17967,14586,18160,16153,3851,3744,3258,3038,3118,1719,4813,162962,16,133,324,1319,1331,1911,3383,2698,791,789,810,974,1069,640,575,16765,4,16,47,388,21450,23326,9710,8822,1615,1950,2516,2438,2428,1499,2849,79054,0,7,47,70,331,261,1012,1335,151,165,132,161,182,123,60,4032,398,6412,9872,25147,25537,42380,49374,40812,8242,10040,11701,11858,12823,8364,8555,271525,2693,52466,107623,144553,126535,192884,236867,249780,48840,58009,64454,67434,71972,45937,50214,1520253
Greater Brisbane,3GBRI,11,24,190,619,1583,1765,7415,6232,886,922,670,536,547,320,342,22068,0,50,166,480,406,1119,1130,1728,363,529,350,240,205,197,117,7087,0,0,16,64,270,770,1019,1332,297,224,274,323,345,240,265,5436,0,4,31,194,87,104,121,34,3,12,7,6,9,3,14,644,0,8,3,120,69,119,177,133,40,33,28,18,33,23,46,859,319,5426,13063,23257,11558,10990,15146,14624,2460,2396,1810,1534,1509,764,3030,107896,4,99,213,971,700,937,1822,1424,402,392,393,433,508,365,255,8919,3,6,13,301,4768,4398,1843,2055,396,457,610,503,479,290,593,16731,0,6,49,66,547,450,1617,1248,135,105,97,89,100,74,72,4659,144,1361,2900,8673,8036,15193,21136,19051,3887,4599,5477,5141,5768,4426,4049,109835,899,14473,25845,48614,53866,75828,108987,111172,21836,23594,24110,23005,24063,16518,19776,592593
Rest of Qld,3RQLD,8,35,230,525,1138,1189,5372,5751,682,821,593,557,536,288,298,18013,0,27,117,216,113,249,258,705,140,292,106,112,146,92,83,2658,0,3,8,47,217,570,924,1126,219,213,249,263,301,159,232,4524,0,0,27,107,32,46,58,15,0,0,0,6,0,4,3,306,0,8,17,167,87,112,82,72,3,23,7,11,16,10,31,632,391,7067,14800,22902,10308,9888,13515,13358,1926,2095,1733,1578,1601,917,3418,105487,6,104,268,1121,705,996,1481,1298,319,292,283,343,351,257,250,8064,0,3,5,65,358,339,302,743,108,117,167,199,153,94,132,2788,0,9,60,93,442,347,1389,1245,122,129,91,103,77,47,50,4203,161,1592,3648,7717,5316,6287,8959,9335,2031,2393,2746,2808,3289,2100,2887,61267,1092,17287,29571,47354,42317,47964,69642,70903,13457,14759,13787,13735,13827,8524,15872,420086
Rest of SA,4RSAU,3,7,40,50,57,33,222,277,61,87,43,38,32,27,26,1008,0,0,9,11,18,9,11,59,11,60,30,11,18,3,7,268,0,0,0,3,13,36,61,134,20,19,44,27,18,10,19,418,0,0,4,9,0,0,0,0,0,0,0,0,0,0,3,17,0,3,0,26,14,21,5,0,0,3,0,0,0,0,3,77,55,1507,5345,7543,1288,842,702,777,87,165,101,82,72,44,836,19435,0,9,19,118,58,80,114,87,17,12,13,22,20,3,25,589,0,0,0,11,44,42,35,85,9,6,12,32,28,30,54,394,0,0,7,7,18,7,51,127,15,18,19,12,8,3,14,313,18,331,541,659,296,230,348,648,234,205,205,171,266,136,378,4656,144,3689,8441,10037,3121,2411,3003,4184,862,1006,966,922,1013,503,2122,42430
Greater Adelaide,4GADE,7,20,138,279,381,453,1604,1513,247,272,200,110,141,123,99,5587,0,19,50,131,216,267,334,910,243,451,278,125,268,163,57,3520,0,0,10,14,302,465,502,458,81,109,88,96,118,60,125,2417,3,43,57,115,30,38,37,10,8,3,5,0,0,0,9,368,0,15,35,136,39,67,81,71,5,5,14,13,6,7,12,508,284,5604,20200,30240,7643,6572,7367,8988,1396,1653,1032,848,761,399,2526,95504,3,27,109,509,371,458,766,538,117,174,152,151,170,123,93,3760,0,0,4,136,4345,3828,1424,1530,280,314,406,395,478,355,444,13932,0,4,46,31,72,81,301,332,48,66,55,28,44,37,15,1173,92,2495,2550,4188,3718,5816,9911,11314,2402,2601,3213,2942,3193,2490,1786,58706,747,20021,42202,47136,26453,30062,39169,55235,9986,11773,12410,12468,14059,9051,10283,341062
Greater Perth,5GPER,13,39,285,730,2604,3323,9351,11069,1766,1906,1313,1004,854,461,548,35262,14,96,101,374,349,978,974,1810,387,671,560,373,255,203,134,7286,0,6,9,71,440,838,1166,1895,316,342,352,338,356,209,238,6584,7,109,155,876,361,650,353,187,17,37,29,24,19,29,97,2952,0,14,9,123,84,178,304,175,57,45,51,17,26,16,39,1138,539,5967,14620,46580,23326,25401,26462,27844,5846,6700,4876,3711,2846,1359,5117,201207,7,65,182,840,730,966,1446,1310,368,413,324,355,367,233,275,7885,0,7,9,86,4055,4005,1613,1958,367,446,636,514,515,308,610,15131,0,10,85,108,1039,904,2365,3193,348,500,330,253,273,139,138,9684,100,1554,2506,9401,6246,12062,18488,21442,3940,5222,5222,5012,5211,3403,3012,102807,1233,19361,29802,78872,62622,86094,107541,136513,29698,35697,29815,26072,24658,14467,20096,702545
Rest of WA,5RWAU,3,7,65,160,330,301,1347,2032,363,369,217,208,133,54,101,5694,3,21,10,14,16,34,41,144,32,24,42,31,32,16,47,509,0,0,0,5,44,111,225,345,67,60,77,65,92,37,87,1209,3,21,12,22,16,18,5,3,0,0,0,0,0,0,8,105,0,0,0,9,6,9,13,13,3,3,3,5,4,0,3,61,148,1736,3760,10134,3662,2891,2697,2683,602,647,462,349,276,127,1181,31341,0,14,50,238,158,154,210,170,54,57,51,70,61,39,40,1377,0,0,0,5,96,141,78,115,14,26,51,29,41,12,80,706,0,0,31,34,206,164,487,587,92,86,87,50,56,34,33,1946,18,306,461,1142,647,726,1071,1712,359,498,487,423,471,245,614,9182,274,4319,5988,14404,9160,8928,11351,16181,3769,4337,3507,2836,2757,1423,4266,93497
