gcc_name16,gcc_code16,male_spks_se_asia_austronesia_lang_oth_spks_eng_notwell,male_spks_se_asia_austronesia_lang_oth_all_eng_profic,male_spks_se_asia_austronesia_lang_oth_eng_profic_notstated,male_spks_se_asia_austronesia_lang_oth_tot,male_spks_se_asia_austronesia_lang_tot_spks_eng_well,male_spks_se_asia_austronesia_lang_tot_spks_eng_notwell,male_spks_se_asia_austronesia_lang_tot_all_eng_profic,male_spks_se_asia_austronesia_lang_tot_eng_profic_notstated,male_spks_se_asia_austronesia_lang_tot_tot,male_spks_spanish_spks_eng_well,male_spks_spanish_spks_eng_notwell,male_spks_spanish_all_eng_profic,male_spks_spanish_eng_profic_notstated,male_spks_spanish_tot,male_spks_tamil_spks_eng_well,male_spks_tamil_spks_eng_notwell,male_spks_tamil_all_eng_profic,male_spks_tamil_eng_profic_notstated,male_spks_tamil_tot,male_spks_thai_spks_eng_well,male_spks_thai_spks_eng_notwell,male_spks_thai_all_eng_profic,male_spks_thai_eng_profic_notstated,male_spks_thai_tot,male_spks_turkish_spks_eng_well,male_spks_turkish_spks_eng_notwell,male_spks_turkish_all_eng_profic,male_spks_turkish_eng_profic_notstated,male_spks_turkish_tot,male_spks_vietnamese_spks_eng_well,male_spks_vietnamese_spks_eng_notwell,male_spks_vietnamese_all_eng_profic,male_spks_vietnamese_eng_profic_notstated,male_spks_vietnamese_tot,male_spks_oth_spks_eng_well,male_spks_oth_spks_eng_notwell,male_spks_oth_all_eng_profic,male_spks_oth_eng_profic_notstated,male_spks_oth_tot,male_all_lang_spks_eng_well,male_all_lang_spks_eng_notwell,male_all_lang_all_eng_profic,male_all_lang_eng_profic_notstated,male_all_lang_tot,male_lang_spkn_home_notstated_spks_eng_well,male_lang_spkn_home_notstated_spks_eng_notwell,male_lang_spkn_home_notstated_all_eng_profic,male_lang_spkn_home_notstated_eng_profic_notstated,male_lang_spkn_home_notstated_tot,male_tot_spks_eng_only,male_tot_spks_eng_well,male_tot_spks_eng_notwell,male_tot_all_eng_profic,male_tot_eng_profic_notstated,male_tot_tot,female_spks_eng_only_tot,female_spks_afrikaans_spks_eng_well,female_spks_afrikaans_spks_eng_notwell,female_spks_afrikaans_all_eng_profic,female_spks_afrikaans_eng_profic_notstated,female_spks_afrikaans_tot,female_spks_arabic_spks_eng_well,female_spks_arabic_spks_eng_notwell,female_spks_arabic_all_eng_profic,female_spks_arabic_eng_profic_notstated,female_spks_arabic_tot,female_spks_aus_indig_lang_spks_eng_well,female_spks_aus_indig_lang_spks_eng_notwell,female_spks_aus_indig_lang_all_eng_profic,female_spks_aus_indig_lang_eng_profic_notstated,female_spks_aus_indig_lang_tot,female_spks_cl_cantones_spks_eng_well,female_spks_cl_cantones_spks_eng_notwell,female_spks_cl_cantones_all_eng_profic,female_spks_cl_cantones_eng_profic_notstated,female_spks_cl_cantones_tot,female_spks_cl_mandarin_spks_eng_well,female_spks_cl_mandarin_spks_eng_notwell,female_spks_cl_mandarin_all_eng_profic,female_spks_cl_mandarin_eng_profic_notstated,female_spks_cl_mandarin_tot,female_spks_cl_oth_spks_eng_well,female_spks_cl_oth_spks_eng_notwell,female_spks_cl_oth_all_eng_profic,female_spks_cl_oth_eng_profic_notstated,female_spks_cl_oth_tot,female_spks_cl_tot_spks_eng_well,female_spks_cl_tot_spks_eng_notwell,female_spks_cl_tot_all_eng_profic,female_spks_cl_tot_eng_profic_notstated,female_spks_cl_tot_tot,female_spks_croatian_spks_eng_well,female_spks_croatian_spks_eng_notwell,female_spks_croatian_all_eng_profic,female_spks_croatian_eng_profic_notstated,female_spks_croatian_tot,female_spks_dutch_spks_eng_well,female_spks_dutch_spks_eng_notwell,female_spks_dutch_all_eng_profic,female_spks_dutch_eng_profic_notstated,female_spks_dutch_tot,female_spks_french_spks_eng_well,female_spks_french_spks_eng_notwell,female_spks_french_all_eng_profic,female_spks_french_eng_profic_notstated,female_spks_french_tot,female_spks_german_spks_eng_well,female_spks_german_spks_eng_notwell,female_spks_german_all_eng_profic,female_spks_german_eng_profic_notstated,female_spks_german_tot,female_spks_greek_spks_eng_well,female_spks_greek_spks_eng_notwell,female_spks_greek_all_eng_profic,female_spks_greek_eng_profic_notstated,female_spks_greek_tot,female_spks_indo_aryan_lang_bengali_spks_eng_well,female_spks_indo_aryan_lang_bengali_spks_eng_notwell,female_spks_indo_aryan_lang_bengali_all_eng_profic,female_spks_indo_aryan_lang_bengali_eng_profic_notstated,female_spks_indo_aryan_lang_bengali_tot,female_spks_indo_aryan_lang_hindi_spks_eng_well,female_spks_indo_aryan_lang_hindi_spks_eng_notwell,female_spks_indo_aryan_lang_hindi_all_eng_profic,female_spks_indo_aryan_lang_hindi_eng_profic_notstated,female_spks_indo_aryan_lang_hindi_tot,female_spks_indo_aryan_lang_punjabi_spks_eng_well,female_spks_indo_aryan_lang_punjabi_spks_eng_notwell,female_spks_indo_aryan_lang_punjabi_all_eng_profic,female_spks_indo_aryan_lang_punjabi_eng_profic_notstated,female_spks_indo_aryan_lang_punjabi_tot,female_spks_indo_aryan_lang_sinhalese_spks_eng_well,female_spks_indo_aryan_lang_sinhale_spks_eng_notwell,female_spks_indo_aryan_lang_sinhalese_all_eng_profic,female_spks_indo_aryan_lang_sinhalese_eng_profic_notstated,female_spks_indo_aryan_lang_sinhalese_tot,female_spks_indo_aryan_lang_urdu_spks_eng_well,female_spks_indo_aryan_lang_urdu_spks_eng_notwell,female_spks_indo_aryan_lang_urdu_all_eng_profic,female_spks_indo_aryan_lang_urdu_eng_profic_notstated,female_spks_indo_aryan_lang_urdu_tot,female_spks_indo_aryan_lang_oth_spks_eng_well,female_spks_indo_aryan_lang_oth_spks_eng_notwell,female_spks_indo_aryan_lang_oth_all_eng_profic,female_spks_indo_aryan_lang_oth_eng_profic_notstated,female_spks_indo_aryan_lang_oth_tot,female_spks_indo_aryan_lang_tot_spks_eng_well,female_spks_indo_aryan_lang_tot_spks_eng_notwell,female_spks_indo_aryan_lang_tot_all_eng_profic,female_spks_indo_aryan_lang_tot_eng_profic_notstated,female_spks_indo_aryan_lang_tot_tot,female_spks_italian_spks_eng_well,female_spks_italian_spks_eng_notwell,female_spks_italian_all_eng_profic,female_spks_italian_eng_profic_notstated,female_spks_italian_tot,female_spks_japanese_spks_eng_well,female_spks_japanese_spks_eng_notwell,female_spks_japanese_all_eng_profic,female_spks_japanese_eng_profic_notstated,female_spks_japanese_tot,female_spks_korean_spks_eng_well,female_spks_korean_spks_eng_notwell,female_spks_korean_all_eng_profic
Rest of NSW,1RNSW,27,409,8,413,3156,119,3272,48,3327,2732,316,3041,40,3083,609,67,676,4,681,777,200,980,16,993,773,150,922,9,928,1218,358,1580,9,1592,10752,2406,13155,352,13516,62003,10017,72016,1144,73164,3346,281,3626,93553,97180,1131372,65348,10294,75643,94701,1301717,1170957,1131,24,1155,11,1157,2428,650,3074,43,3118,635,34,673,37,708,1600,613,2217,27,2242,3992,1486,5476,46,5524,333,137,472,4,478,5925,2243,8163,84,8246,1099,171,1271,26,1297,1500,34,1536,26,1562,1795,89,1886,22,1905,3698,107,3802,59,3860,2274,397,2671,53,2728,615,67,676,3,682,1296,84,1380,13,1394,1859,422,2279,26,2307,575,40,618,3,626,574,84,658,11,666,1464,299,1763,13,1776,6385,992,7375,82,7453,5422,958,6381,136,6525,1076,140,1212,17,1229,708,303,1014
Greater Sydney,1GSYD,137,2105,15,2118,39457,2042,41500,324,41826,23653,2889,26540,288,26825,13706,1242,14940,105,15048,5447,2382,7829,63,7894,8268,1566,9828,97,9921,33287,12847,46137,274,46411,85464,18623,104087,2210,106297,691381,134723,826104,8023,834127,5862,1394,7263,134945,142206,1400433,697247,136121,833363,142972,2376766,1416378,2697,39,2734,12,2746,77864,16925,94790,872,95663,262,8,273,20,290,51893,21617,73516,375,73890,87444,36247,123693,666,124353,6312,2789,9098,49,9153,145651,60653,206303,1091,207394,8188,1369,9552,86,9640,3035,79,3113,40,3152,9851,395,10244,93,10338,8252,245,8503,98,8599,32125,7063,39187,395,39575,12132,1577,13706,94,13801,29800,1843,31647,288,31928,11162,1586,12753,97,12843,4787,217,4999,24,5027,10697,1383,12079,136,12211,25324,2653,27976,207,28178,93905,9258,103157,839,103995,27289,4753,32043,366,32408,7580,1395,8967,67,9033,19326,10659,29991
Rest of Vic.,2RVIC,62,330,4,334,1999,144,2137,13,2155,706,86,798,6,805,382,55,438,4,439,320,93,405,4,414,579,189,768,9,776,675,276,946,14,961,7066,2194,9261,231,9485,34836,6473,41310,662,41964,1813,179,1991,52319,54309,607852,36648,6651,43302,52976,704128,633556,447,7,451,3,452,1143,326,1469,26,1495,114,0,117,3,116,683,200,886,6,895,2391,1082,3475,42,3512,167,77,245,0,246,3246,1363,4609,49,4660,1291,250,1543,13,1550,1208,21,1232,23,1255,872,35,908,11,918,1870,60,1933,29,1960,1326,245,1574,32,1603,222,29,247,3,248,750,61,812,7,819,1286,228,1518,18,1537,502,41,540,7,549,305,44,347,3,349,599,85,686,13,700,3660,485,4148,50,4193,4402,788,5188,87,5276,538,64,601,6,601,250,62,311
Greater Melbourne,2GMEL,178,3032,22,3057,24523,1055,25575,198,25776,14371,1599,15975,184,16152,12030,1195,13226,119,13343,2836,687,3527,35,3556,12559,2350,14911,157,15068,34472,12219,46693,372,47065,86805,20793,107593,2117,109709,587647,107107,694753,7322,702072,5326,1312,6634,119772,126408,1371118,592972,108413,701384,127096,2199597,1410070,2299,33,2328,17,2338,30500,6860,37359,424,37780,153,4,161,0,161,30057,10234,40292,228,40524,74936,26096,101034,558,101589,7007,2861,9870,57,9924,111996,39197,151191,841,152038,7736,1373,9113,109,9221,3359,102,3463,43,3502,8845,359,9204,74,9285,8284,249,8530,100,8637,44203,11084,55290,518,55807,4482,437,4919,37,4954,21912,1437,23349,182,23526,19845,3018,22866,234,23092,16459,1212,17670,137,17805,8010,1179,9191,86,9277,13061,1493,14551,94,14643,83762,8784,92546,760,93310,44804,9007,53807,690,54498,5138,904,6044,51,6095,5552,2251,7804
Greater Brisbane,3GBRI,58,956,10,966,7759,344,8105,66,8168,6279,775,7053,52,7110,1952,184,2143,16,2158,1048,241,1289,8,1294,564,78,640,7,645,7815,2752,10566,63,10630,26924,5751,32676,763,33434,146492,25431,171927,1814,173738,2645,389,3032,65932,68963,874756,149137,25817,174958,67741,1117452,896353,3095,44,3143,20,3170,3575,1080,4658,50,4709,353,10,363,12,372,8063,2339,10405,55,10453,22383,7009,29391,142,29534,1245,486,1728,16,1741,31691,9829,41523,208,41736,1026,144,1171,9,1182,1867,40,1899,19,1918,3162,169,3325,34,3361,3869,119,3993,40,4035,3404,416,3823,38,3859,1067,151,1218,3,1223,6835,407,7241,68,7312,4906,729,5634,71,5704,2050,139,2189,9,2198,1478,225,1705,11,1719,4305,410,4716,31,4744,20644,2061,22702,196,22903,4538,559,5094,83,5173,3405,598,4003,26,4031,4627,2151,6779
Rest of Qld,3RQLD,23,451,6,461,5576,219,5791,62,5855,2624,221,2842,42,2882,669,121,786,6,794,985,179,1163,14,1178,421,56,478,3,476,1132,405,1531,13,1543,15651,2946,18592,442,19035,76120,11434,87546,1373,88915,3240,304,3544,95314,98852,1009655,79353,11733,91091,96682,1197426,1031069,3117,38,3149,26,3173,1307,314,1622,19,1638,5671,555,6234,289,6517,2120,680,2801,21,2818,6454,2354,8811,81,8885,370,179,547,4,550,8942,3208,12152,99,12253,805,94,898,9,912,1878,56,1931,12,1948,2793,158,2954,17,2975,4594,142,4733,49,4786,1373,152,1529,23,1549,476,50,527,3,530,1588,80,1676,6,1684,1850,314,2165,26,2192,695,44,737,10,747,432,39,473,4,480,1770,410,2185,21,2201,6811,948,7761,72,7832,4333,530,4870,76,4947,4799,1129,5921,39,5961,2157,1052,3214
Rest of SA,4RSAU,9,55,0,55,719,44,764,7,765,106,11,111,3,121,74,18,93,0,93,57,15,71,0,70,58,11,68,3,68,147,66,218,3,221,1202,492,1694,41,1733,7593,1500,9096,163,9253,549,46,600,14030,14629,166487,8138,1547,9692,14192,190368,165980,248,3,254,0,254,69,18,82,3,87,1175,163,1337,38,1369,75,25,98,4,96,310,267,579,11,592,25,25,50,0,53,409,320,727,14,737,135,21,156,0,156,244,8,252,0,252,151,12,162,0,162,552,17,566,10,574,554,129,691,12,696,58,9,62,0,62,109,11,119,0,120,288,78,369,7,373,58,5,68,0,68,57,6,64,0,64,41,5,52,0,49,617,117,731,11,738,643,82,728,6,731,82,10,100,3,98,31,17,50
Greater Adelaide,4GADE,41,704,5,710,4287,223,4509,38,4548,2318,227,2542,32,2572,1201,145,1347,12,1358,426,104,529,7,535,263,24,290,3,296,6403,2301,8707,62,8763,17235,5001,22232,489,22720,101988,19522,121510,1384,122891,1664,302,1965,30054,32016,478987,103654,19818,123471,31439,633888,498145,907,19,923,8,931,3294,964,4258,39,4301,350,18,366,12,383,3675,1138,4810,30,4839,11553,3294,14849,75,14926,803,293,1093,3,1100,16023,4730,20753,112,20863,1225,196,1423,23,1447,1132,21,1149,9,1164,1230,64,1292,14,1304,2884,98,2984,31,3012,9124,1854,10976,122,11102,986,111,1100,8,1102,3089,247,3339,24,3356,3341,511,3854,40,3897,1149,80,1233,7,1240,1110,165,1269,11,1284,3764,1153,4913,36,4944,13439,2270,15706,121,15825,12033,2437,14473,188,14655,1026,129,1155,9,1166,1398,454,1852
Greater Perth,5GPER,168,2768,19,2794,15628,794,16420,138,16555,4177,392,4569,36,4599,3097,296,3396,34,3432,1388,222,1606,25,1629,728,138,867,10,872,6640,2383,9016,70,9089,30724,6026,36750,753,37502,162232,24720,186949,2013,188965,2533,377,2909,62609,65521,709057,164761,25098,189860,64620,963536,719772,5669,89,5756,36,5790,5111,1294,6412,74,6485,356,12,366,13,383,7804,2205,10013,45,10059,18358,5869,24233,139,24368,1791,412,2206,10,2219,27958,8488,36446,195,36645,2422,342,2768,19,2790,2295,60,2351,28,2372,4262,169,4429,46,4478,3878,119,4003,44,4038,2060,256,2314,30,2345,1305,167,1469,10,1485,4310,408,4719,23,4745,4460,665,5120,47,5167,2141,147,2285,11,2300,1814,277,2095,24,2122,4912,600,5515,39,5553,18944,2266,21214,153,21369,12044,1773,13815,205,14022,2691,489,3186,18,3201,2276,1046,3329
Rest of WA,5RWAU,85,657,9,665,3332,212,3538,29,3569,367,24,388,10,394,166,9,176,0,181,231,34,258,3,261,34,3,42,0,42,284,132,417,8,421,2876,569,3451,104,3550,19032,2276,21310,471,21782,864,91,956,28803,29757,219403,19892,2365,22264,29275,270936,208689,1338,22,1359,9,1371,127,33,161,0,159,4239,421,4660,223,4883,185,51,233,4,234,714,333,1048,11,1055,36,17,51,0,51,932,396,1331,13,1340,115,12,126,4,129,451,19,469,8,479,474,21,493,4,499,908,23,929,15,945,96,13,106,4,111,76,16,86,0,89,208,34,239,4,243,157,30,187,0,188,128,11,142,0,142,106,15,122,0,122,196,27,227,5,231,871,136,1007,14,1023,1119,140,1263,23,1285,222,27,247,3,255,130,55,188
