gcc_name16,gcc_code16,m_15_19_yr_volunteer,m_15_19_yr_not_a_volunteer,m_15_19_yr_voluntary_work_ns,m_15_19_yr_tot,m_20_24_yr_volunteer,m_20_24_yr_not_a_volunteer,m_20_24_yr_voluntary_work_ns,m_20_24_yr_tot,m_25_34_yr_volunteer,m_25_34_yr_not_a_volunteer,m_25_34_yr_voluntary_work_ns,m_25_34_yr_tot,m_35_44_yr_volunteer,m_35_44_yr_not_a_volunteer,m_35_44_yr_voluntary_work_ns,m_35_44_yr_tot,m_45_54_yr_volunteer,m_45_54_yr_not_a_volunteer,m_45_54_yr_voluntary_work_ns,m_45_54_yr_tot,m_55_64_yr_volunteer,m_55_64_yr_not_a_volunteer,m_55_64_yr_voluntary_work_ns,m_55_64_yr_tot,m_65_74_yr_volunteer,m_65_74_yr_not_a_volunteer,m_65_74_yr_voluntary_work_ns,m_65_74_yr_tot,m_75_84_yr_volunteer,m_75_84_yr_not_a_volunteer,m_75_84_yr_voluntary_work_ns,m_75_84_yr_tot,m_85ov_volunteer,m_85ov_not_a_volunteer,m_85_ov_voluntary_work_ns,m_85ov_tot,m_tot_volunteer,m_tot_not_a_volunteer,m_tot_voluntary_work_ns,m_tot_tot,f_15_19_yr_volunteer,f_15_19_yr_not_a_volunteer,f_15_19_yr_voluntary_work_ns,f_15_19_yr_tot,f_20_24_yr_volunteer,f_20_24_yr_not_a_volunteer,f_20_24_yr_voluntary_work_ns,f_20_24_yr_tot,f_25_34_yr_volunteer,f_25_34_yr_not_a_volunteer,f_25_34_yr_voluntary_work_ns,f_25_34_yr_tot,f_35_44_yr_volunteer,f_35_44_yr_not_a_volunteer,f_35_44_yr_voluntary_work_ns,f_35_44_yr_tot,f_45_54_yr_volunteer,f_45_54_yr_not_a_volunteer,f_45_54_yr_voluntary_work_ns,f_45_54_yr_tot,f_55_64_yr_volunteer,f_55_64_yr_not_a_volunteer,f_55_64_yr_voluntary_work_ns,f_55_64_yr_tot,f_65_74_yr_volunteer,f_65_74_yr_not_a_volunteer,f_65_74_yr_voluntary_work_ns,f_65_74_yr_tot,f_75_84_yr_volunteer,f_75_84_yr_not_a_volunteer,f_75_84_yr_voluntary_work_ns,f_75_84_yr_tot,f_85ov_volunteer,f_85ov_not_a_volunteer,f_85_ov_voluntary_work_ns,f_85ov_tot,f_tot_volunteer,f_tot_not_a_volunteer,f_tot_voluntary_work_ns,f_tot_tot,p_15_19_yr_volunteer,p_15_19_yr_not_a_volunteer,p_15_19_yr_voluntary_work_ns,p_15_19_yr_tot,p_20_24_yr_volunteer,p_20_24_yr_not_a_volunteer,p_20_24_yr_voluntary_work_ns,p_20_24_yr_tot,p_25_34_yr_volunteer,p_25_34_yr_not_a_volunteer,p_25_34_yr_voluntary_work_ns,p_25_34_yr_tot,p_35_44_yr_volunteer,p_35_44_yr_not_a_volunteer,p_35_44_yr_voluntary_work_ns,p_35_44_yr_tot,p_45_54_yr_volunteer,p_45_54_yr_not_a_volunteer,p_45_54_yr_voluntary_work_ns,p_45_54_yr_tot,p_55_64_yr_volunteer,p_55_64_yr_not_a_volunteer,p_55_64_yr_voluntary_work_ns,p_55_64_yr_tot,p_65_74_yr_volunteer,p_65_74_yr_not_a_volunteer,p_65_74_yr_voluntary_work_ns,p_65_74_yr_tot,p_75_84_yr_volunteer,p_75_84_yr_not_a_volunteer,p_75_84_yr_voluntary_work_ns,p_75_84_yr_tot,p_85ov_volunteer,p_85ov_not_a_volunteer,p_85_ov_voluntary_work_ns,p_85ov_tot,p_tot_volunteer,p_tot_not_a_volunteer,p_tot_voluntary_work_ns,p_tot_tot
Rest of NSW,1RNSW,13822,59016,8994,81832,10673,57800,6971,75449,20311,109179,13741,143234,30200,105262,13050,148516,36009,119269,14613,169896,36147,127071,15208,178427,33549,101723,15019,150284,13817,53504,11094,78420,2287,19091,5190,26562,196818,751919,103888,1052624,16511,53264,7915,77694,13200,53480,5434,72109,27184,109621,10345,147152,43702,102320,10379,156403,44596,121452,12612,178659,43622,128012,13902,185530,41557,96589,14796,152945,17925,58526,13869,90318,3408,31918,9513,44829,251702,755183,98762,1105649,30333,112282,16912,159525,23873,111278,12404,147560,47489,218805,24089,290388,73905,207582,23435,304924,80609,240724,27227,348557,79767,255078,29114,363959,75099,198319,29816,303231,31746,112030,24961,168736,5693,51002,14698,71398,448524,1507099,202650,2158275
Greater Sydney,1GSYD,26433,110614,10927,147983,24227,134746,13306,172289,44289,305496,31921,381705,53876,266068,24519,344463,55407,231312,20669,307388,39968,196937,16710,253616,29407,136456,13553,179414,12371,70643,9296,92308,2479,27748,4919,35147,288472,1480015,145831,1914314,31197,99509,9671,140387,30951,125693,11816,168451,56377,307818,28502,392700,75760,254678,21136,351579,69877,231993,18320,320191,47137,207093,16169,270395,35623,142905,14537,193069,15149,84426,12162,111741,3360,47824,9691,60875,365435,1501936,142009,2009383,57637,210124,20603,288362,55179,260440,25120,340737,100661,613317,60423,774405,129640,520748,45649,696037,125284,463301,38992,627580,87103,404030,32885,524011,65036,279359,28090,372488,27522,155071,21465,204051,5843,75569,14608,96022,653910,2981958,287834,3923700
Rest of Vic.,2RVIC,9444,30416,5069,44925,7166,30206,3547,40923,13007,56464,7350,76820,19158,53917,7096,80170,24325,60431,8205,92963,24219,64849,8429,97495,21431,51295,8704,81432,8907,26252,6128,41289,1479,10109,2765,14351,129138,383938,57298,570369,10644,26851,4553,42043,8221,27433,2955,38606,16716,57718,5744,80178,27096,52457,5812,85363,29222,62843,7096,99158,26896,67319,8016,102238,24873,49935,8592,83397,10442,29477,7625,47547,2082,17609,4754,24446,156185,391641,55148,602974,20088,57260,9620,86967,15381,57646,6507,79529,29720,114178,13099,157001,46251,106375,12911,165539,53552,123269,15293,192122,51116,132171,16447,199728,46303,101232,17297,164829,19355,55730,13751,88833,3557,27721,7523,38801,285320,775581,112446,1173346
Greater Melbourne,2GMEL,22503,104015,10231,136742,25667,130899,11791,168363,44985,287112,27188,359284,52883,241145,20965,314991,55178,212461,18134,285775,38113,176537,14949,229601,28807,121527,12774,163110,12807,65507,9772,88091,2522,25968,4717,33202,283468,1365181,130517,1779168,27838,94988,9449,132275,34356,119887,10767,165007,58665,287004,25390,371061,74402,231000,18693,324092,67018,217434,17088,301538,44916,187276,15106,247299,36038,130724,14403,181172,15514,79786,12657,107963,3220,43881,8850,55950,361967,1391975,132405,1886350,50338,198999,19678,269015,60023,250787,22554,333367,103655,574117,52581,730345,127286,472142,39649,639084,122193,429896,35221,587317,83030,363819,30054,476902,64846,252252,27181,344283,28326,145296,22430,196050,5743,69844,13567,89151,645439,2757155,262923,3665515
Greater Brisbane,3GBRI,13286,55789,5442,74523,12218,66829,6489,85533,21062,134213,13791,169060,27131,117540,11194,155864,27498,108256,10232,145989,20094,90530,8118,118736,16265,63081,6789,86138,6425,28925,4506,39855,983,10275,2423,13676,144962,675439,68982,889380,15816,51325,4914,72056,17024,62516,5662,85209,29588,132831,11752,174171,40875,112040,9152,162065,36421,107934,8714,153071,25454,92940,7651,126053,20753,64353,6959,92065,7687,34051,5902,47651,1249,18341,5085,24673,194871,676341,65804,937019,29103,107116,10364,146581,29244,129344,12157,170741,50646,267048,25545,343233,68003,229579,20344,317932,63927,216192,18945,299059,45550,183471,15770,244790,37027,127434,13751,178208,14111,62981,10406,87505,2230,28617,7507,38357,339835,1351781,134782,1826402
Rest of Qld,3RQLD,13254,55129,8076,76455,9797,55741,7644,73189,19601,112044,15858,147501,27679,107932,14698,150306,30588,115444,15535,161566,26180,110159,14042,150381,22151,86797,12370,121315,8889,41894,7832,58621,1247,13311,3512,18069,159388,698457,99571,957411,15709,49908,7210,72830,12631,52794,6360,71787,28379,112586,12695,153661,42500,104071,11817,158382,40390,116015,12989,169397,33317,109609,12381,155306,28058,81289,11783,121125,10832,43216,9259,63300,1730,21299,6030,29061,213553,690781,90516,994854,28959,105041,15290,149284,22437,108536,14002,144979,47978,224629,28550,301158,70176,212003,26512,308690,70975,231460,28524,330959,59503,219771,26422,305688,50207,168084,24149,242444,19721,85105,17088,121922,2978,34612,9538,47131,372935,1389237,190085,1952257
Rest of SA,4RSAU,2565,7088,1278,10933,1828,6805,925,9562,4014,13728,2117,19858,5826,13002,2104,20921,7268,16816,2309,26390,7541,18403,2311,28251,7205,14615,2313,24131,2973,7430,1540,11942,497,2771,689,3954,39713,100658,15577,155949,2791,6339,1071,10195,1854,6110,669,8629,5106,12945,1343,19391,7847,11650,1366,20866,8385,15758,1798,25939,8434,17093,2011,27537,8309,13219,2100,23633,3371,7662,1720,12753,665,4527,1142,6336,46770,95305,13216,155286,5354,13426,2348,21132,3680,12920,1588,18193,9118,26671,3455,39251,13671,24646,3470,41789,15654,32568,4105,52332,15976,35495,4321,55791,15515,27838,4412,47762,6348,15096,3252,24701,1163,7300,1832,10292,86479,195965,28791,311230
Greater Adelaide,4GADE,7066,30766,2659,40489,7235,35733,2529,45495,12305,70320,5447,88071,15305,62787,4889,82983,16896,63605,4936,85442,14133,57190,4349,75675,13309,39914,3795,57017,5609,21854,2984,30457,1035,9729,1603,12371,92890,391901,33203,517997,8525,28028,2334,38894,9334,32454,2249,44039,15440,70049,4746,90237,21333,58990,3948,84275,20411,64052,4174,88637,17013,60794,4244,82047,16132,43316,4360,63808,6441,27568,4035,38044,1345,17523,2927,21797,115977,402782,33013,551769,15590,58790,4996,79385,16568,68185,4779,89535,27740,140370,10191,178301,36637,121780,8839,167253,37309,127657,9112,174077,31150,117980,8597,157723,29433,83232,8149,120817,12057,49424,7023,68502,2382,27255,4535,34170,208870,794686,66217,1069769
Greater Perth,5GPER,12167,44770,4465,61400,9997,52832,5520,68351,18570,120364,14262,153198,22470,101908,11096,135474,23475,94947,9639,128061,15904,79759,7484,103140,12762,55272,5957,73986,5510,27167,4430,37102,914,9433,2332,12680,121762,586443,65184,773386,14871,39837,4019,58729,13229,47330,4526,65083,25173,117228,11085,153484,33611,95356,8165,137133,30022,93064,7547,130632,19640,83347,6839,109824,15256,56823,6303,78385,6626,32259,6015,44899,1182,16194,4594,21972,159611,581442,59094,800146,27035,84606,8483,120129,23218,100167,10044,133434,43739,237595,25342,306680,56085,197259,19261,272610,53496,188012,17186,258693,35539,163110,14322,212965,28015,112088,12262,152368,12138,59424,10445,82007,2098,25621,6926,34652,281373,1167888,124280,1573536
Rest of WA,5RWAU,3046,10389,2193,15633,1983,10127,1823,13936,5601,25512,5747,36864,8247,23874,5197,37316,9102,25239,4996,39332,7438,23714,4083,35231,5928,15633,2823,24386,2240,6807,1653,10696,359,2191,608,3157,43948,143480,29123,216557,3279,8950,1857,14085,2227,8862,1350,12444,7767,22792,3632,34190,11593,19298,3194,34084,10554,21887,3424,35869,8507,21131,3181,32821,6600,13188,2483,22272,2639,6820,1839,11297,404,3277,914,4595,53561,126203,21884,201648,6325,19336,4048,29712,4216,18997,3173,26382,13372,48308,9377,71057,19839,43169,8392,71401,19651,47122,8426,75202,15938,44844,7265,68053,12525,28823,5308,46655,4882,13627,3492,21993,762,5462,1525,7752,97510,269683,51005,418207
