gcc_name16,gcc_code16,m_15_19_prvided_unpaid_assist,m_15_19_no_unpad_asst_prvided,m_15_19_unpaid_assist_ns,m_15_19_tot,m_20_24_prvided_unpaid_assist,m_20_24_no_unpad_asst_prvided,m_20_24_unpaid_assist_ns,m_20_24_tot,m_25_34_prvided_unpaid_assist,m_25_34_no_unpad_asst_prvided,m_25_34_unpaid_assist_ns,m_25_34_tot,m_35_44_prvided_unpaid_assist,m_35_44_no_unpad_asst_prvided,m_35_44_unpaid_assist_ns,m_35_44_tot,m_45_54_prvided_unpaid_assist,m_45_54_no_unpad_asst_prvided,m_45_54_unpaid_assist_ns,m_45_54_tot,m_55_64_prvided_unpaid_assist,m_55_64_no_unpad_asst_prvided,m_55_64_unpaid_assist_ns,m_55_64_tot,m_65_74_prvided_unpaid_assist,m_65_74_no_unpad_asst_prvided,m_65_74_unpaid_assist_ns,m_65_74_tot,m_75_84_prvided_unpaid_assist,m_75_84_no_unpad_asst_prvided,m_75_84_unpaid_assist_ns,m_75_84_tot,m_85_ov_prvided_unpaid_assist,m_85_ov_no_unpad_asst_prvided,m_85_ov_unpaid_assist_ns,m_85_ov_tot,m_tot_prvided_unpaid_assist,m_tot_no_unpaid_asst_prvided,m_tot_unpaid_assist_ns,m_tot_tot,f_15_19_prvided_unpaid_assist,f_15_19_no_unpad_asst_prvided,f_15_19_unpaid_assist_ns,f_15_19_tot,f_20_24_prvided_unpaid_assist,f_20_24_no_unpad_asst_prvided,f_20_24_unpaid_assist_ns,f_20_24_tot,f_25_34_prvided_unpaid_assist,f_25_34_no_unpad_asst_prvided,f_25_34_unpaid_assist_ns,f_25_34_tot,f_35_44_prvided_unpaid_assist,f_35_44_no_unpad_asst_prvided,f_35_44_unpaid_assist_ns,f_35_44_tot,f_45_54_prvided_unpaid_assist,f_45_54_no_unpad_asst_prvided,f_45_54_unpaid_assist_ns,f_45_54_tot,f_55_64_prvided_unpaid_assist,f_55_64_no_unpad_asst_prvided,f_55_64_unpaid_assist_ns,f_55_64_tot,f_65_74_prvided_unpaid_assist,f_65_74_no_unpad_asst_prvided,f_65_74_unpaid_assist_ns,f_65_74_tot,f_75_84_prvided_unpaid_assist,f_75_84_no_unpad_asst_prvided,f_75_84_unpaid_assist_ns,f_75_84_tot,f_85_ov_prvided_unpaid_assist,f_85_ov_no_unpad_asst_prvided,f_85_ov_unpaid_assist_ns,f_85_ov_tot,f_tot_prvided_unpaid_assist,f_tot_no_unpaid_asst_prvided,f_tot_unpaid_assist_ns,f_tot_tot,p_15_19_prvided_unpaid_assist,p_15_19_no_unpad_asst_prvided,p_15_19_unpaid_assist_ns,p_15_19_tot,p_20_24_prvided_unpaid_assist,p_20_24_no_unpad_asst_prvided,p_20_24_unpaid_assist_ns,p_20_24_tot,p_25_34_prvided_unpaid_assist,p_25_34_no_unpad_asst_prvided,p_25_34_unpaid_assist_ns,p_25_34_tot,p_35_44_prvided_unpaid_assist,p_35_44_no_unpad_asst_prvided,p_35_44_unpaid_assist_ns,p_35_44_tot,p_45_54_prvided_unpaid_assist,p_45_54_no_unpad_asst_prvided,p_45_54_unpaid_assist_ns,p_45_54_tot,p_55_64_prvided_unpaid_assist,p_55_64_no_unpad_asst_prvided,p_55_64_unpaid_assist_ns,p_55_64_tot,p_65_74_prvided_unpaid_assist,p_65_74_no_unpad_asst_prvided,p_65_74_unpaid_assist_ns,p_65_74_tot,p_75_84_prvided_unpaid_assist,p_75_84_no_unpad_asst_prvided,p_75_84_unpaid_assist_ns,p_75_84_tot,p_85_ov_prvided_unpaid_assist,p_85_ov_no_unpad_asst_prvided,p_85_ov_unpaid_assist_ns,p_85_ov_tot,p_tot_prvided_unpaid_assist,p_tot_no_unpaid_asst_prvided,p_tot_unpaid_assist_ns,p_tot_tot
Rest of NSW,1RNSW,3710,68461,9661,81832,3982,64005,7462,75449,10061,118674,14500,143234,14960,119642,13915,148516,22039,132086,15765,169896,25900,135993,16542,178427,17272,116054,16964,150284,7971,57672,12780,78420,2218,18476,5865,26562,108109,831054,113459,1052624,4254,64903,8532,77694,5358,60925,5827,72109,16817,119238,11104,147152,25144,120048,11219,156403,36123,128874,13655,178659,42274,127967,15295,185530,23642,112154,17147,152945,9105,64931,16286,90318,1671,32585,10571,44829,164377,831628,109642,1105649,7966,133365,18195,159525,9342,124934,13289,147560,26870,237905,25603,290388,40099,239687,25138,304924,58165,260965,29422,348557,68166,263958,31832,363959,40911,228208,34111,303231,17073,122600,29065,168736,3890,51063,16441,71398,272486,1662685,223101,2158275
Greater Sydney,1GSYD,6595,129490,11893,147983,8487,149562,14237,172289,21954,325991,33767,381705,30515,287787,26166,344463,37390,247718,22279,307388,35232,200080,18303,253616,21294,142945,15180,179414,9826,71876,10608,92308,3038,26591,5522,35147,174323,1582031,157964,1914314,7195,122545,10648,140387,10358,145440,12659,168451,33578,328862,30260,392700,48374,280205,22997,351579,59873,240315,20000,320191,57211,195353,17830,270395,30933,145553,16586,193069,11697,85993,14053,111741,2454,47655,10766,60875,261674,1591920,155789,2009383,13788,252034,22543,288362,18846,295005,26894,340737,55533,654852,64021,774405,78885,567990,49161,696037,97266,488028,42282,627580,92443,395436,36133,524011,52223,288499,31763,372488,21523,157861,24663,204051,5486,74243,16290,96022,435993,3173953,313753,3923700
Rest of Vic.,2RVIC,1861,37634,5435,44925,2119,34936,3873,40923,5322,63784,7721,76820,8068,64507,7598,80170,11573,72505,8890,92963,13941,74402,9150,97495,9027,62644,9760,81432,4174,29962,7150,41289,1157,10022,3173,14351,57236,450389,62747,570369,2194,34960,4882,42043,2826,32603,3178,38606,9233,64806,6133,80178,13880,65132,6355,85363,20032,71447,7680,99158,22980,70482,8776,102238,12746,60719,9936,83397,4694,33852,9001,47547,927,18122,5399,24446,89514,452123,61335,602974,4052,72597,10317,86967,4943,67537,7050,79529,14555,128590,13856,157001,21949,129638,13950,165539,31598,143949,16569,192122,36917,144888,17921,199728,21774,123359,19697,164829,8870,63813,16147,88833,2084,28144,8578,38801,146750,902516,124080,1173346
Greater Melbourne,2GMEL,5451,120125,11166,136742,7828,147727,12802,168363,20453,309929,28902,359284,27976,264527,22491,314991,35643,230378,19759,285775,33054,180287,16258,229601,19875,128823,14414,163110,10040,66773,11282,88091,2979,24769,5458,33202,163292,1473343,142533,1779168,6265,115694,10312,132275,9959,143449,11593,165007,31238,312688,27136,371061,45109,258671,20312,324092,58748,224149,18642,301538,55166,175507,16630,247299,29743,134825,16605,181172,11811,81264,14884,107963,2283,43648,10020,55950,250314,1489901,146132,1886350,11714,235820,21480,269015,17790,291183,24395,333367,51694,622614,56039,730345,73083,523203,42802,639084,94388,454525,38398,587317,88218,355793,32889,476902,49619,263653,31017,344283,21855,148038,26160,196050,5261,68415,15479,89151,413611,2963240,288662,3665515
Greater Brisbane,3GBRI,3194,65413,5911,74523,3690,74919,6921,85533,9382,145230,14454,169060,13379,130551,11937,155864,16194,118952,10837,145989,16044,93992,8706,118736,10219,68310,7616,86138,4354,30306,5188,39855,1187,9722,2766,13676,77644,737403,74339,889380,3542,63240,5273,72056,4830,74365,6011,85209,14930,146800,12441,174171,21909,130328,9831,162065,27009,116681,9384,153071,26429,91246,8376,126053,14819,69271,7977,92065,4835,35902,6908,47651,836,18257,5583,24673,119145,746093,71781,937019,6739,128654,11187,146581,8521,149289,12938,170741,24310,292027,26892,343233,35290,260877,21769,317932,43200,235640,20218,299059,42474,185241,17078,244790,25036,137577,15586,178208,9197,66208,12099,87505,2019,27983,8355,38357,196784,1483489,146122,1826402
Rest of Qld,3RQLD,3062,64695,8696,76455,3316,61815,8055,73189,8609,122352,16542,147501,12636,122205,15469,150306,16549,128571,16444,161566,17905,117533,14949,150381,12179,95475,13661,121315,5771,43817,9027,58621,1479,12628,3966,18069,81514,769079,106812,957411,3604,61531,7694,72830,4297,60754,6742,71787,14395,125828,13434,153661,21762,124050,12575,158382,28428,127069,13903,169397,30363,111567,13374,155306,17693,90125,13312,121125,6361,46049,10896,63300,1152,21247,6659,29061,128048,768218,98586,994854,6666,126222,16394,149284,7613,122565,14796,144979,23006,248179,29976,301158,34403,246251,28042,308690,44975,255639,30347,330959,48260,229099,28323,305688,29870,185595,26974,242444,12131,89865,19923,121922,2634,33870,10625,47131,209560,1537294,205400,1952257
Rest of SA,4RSAU,491,9050,1394,10933,499,8082,981,9562,1378,16244,2233,19858,2044,16667,2210,20921,3064,20843,2479,26390,3700,22039,2517,28251,2644,18877,2614,24131,1204,8925,1813,11942,296,2861,803,3954,15317,123585,17049,155949,601,8444,1154,10195,667,7245,716,8629,2234,15701,1452,19391,3289,16099,1482,20866,4923,19063,1950,25939,5890,19436,2213,27537,3491,17629,2510,23633,1237,9395,2130,12753,229,4801,1302,6336,22567,117812,14908,155286,1090,17494,2547,21132,1168,15328,1695,18193,3612,31948,3691,39251,5335,32764,3688,41789,7990,39907,4434,52332,9590,41473,4734,55791,6133,36506,5123,47762,2437,18320,3944,24701,524,7663,2098,10292,37881,241399,31953,311230
Greater Adelaide,4GADE,1753,35789,2946,40489,2289,40437,2771,45495,5590,76588,5897,88071,7926,69777,5278,82983,10996,69059,5388,85442,11762,59185,4723,75675,7279,45371,4369,57017,3350,23603,3501,30457,1175,9368,1828,12371,52123,429177,36695,517997,1922,34355,2610,38894,2894,38715,2425,44039,8918,76172,5147,90237,12565,67396,4313,84275,17364,66722,4556,88637,19349,57962,4738,82047,10582,48156,5070,63808,3836,29311,4892,38044,796,17645,3361,21797,78226,436429,37114,551769,3674,70148,5562,79385,5183,79154,5199,89535,14505,152754,11041,178301,20491,137172,9588,167253,28358,135775,9942,174077,31113,117152,9466,157723,17857,93521,9439,120817,7189,52918,8392,68502,1968,27013,5189,34170,130351,865607,73809,1069769
Greater Perth,5GPER,2286,54286,4818,61400,2861,59684,5807,68351,7465,130850,14883,153198,9926,113871,11680,135474,12750,105113,10197,128061,12830,82323,7986,103140,7973,59384,6632,73986,3817,28249,5042,37102,1133,8909,2632,12680,61047,642674,69668,773386,2688,51658,4384,58729,3628,56656,4804,65083,11816,130015,11650,153484,16217,112102,8814,137133,21265,101196,8177,130632,22161,80389,7278,109824,12092,59181,7110,78385,4483,33579,6840,44899,835,16134,5001,21972,95186,640909,64056,800146,4980,105944,9204,120129,6485,116342,10611,133434,19284,260863,26536,306680,26143,225973,20490,272610,34011,206306,18374,258693,34988,162709,15261,212965,20064,118570,13736,152368,8307,61822,11878,82007,1966,25047,7637,34652,156231,1283578,133724,1573536
Rest of WA,5RWAU,630,12689,2316,15633,667,11340,1930,13936,1908,29022,5935,36864,2589,29334,5397,37316,3284,30855,5195,39332,3508,27437,4290,35231,2217,19052,3111,24386,921,7899,1872,10696,247,2219,694,3157,15972,169844,30744,216557,751,11368,1956,14085,849,10181,1414,12444,3029,27357,3806,34190,3890,26794,3400,34084,5347,26871,3647,35869,5751,23694,3373,32821,2940,16537,2795,22272,1077,8035,2178,11297,182,3389,1022,4595,23822,154233,23593,201648,1381,24057,4273,29712,1518,21517,3346,26382,4941,56376,9740,71057,6475,56121,8794,71401,8636,57726,8840,75202,9254,51127,7663,68053,5160,35589,5913,46655,2004,15940,4056,21993,429,5609,1712,7752,39790,324075,54339,418207
