gcc_name16,gcc_code16,p_15_yrs_over_m,p_15_yrs_over_f,p_15_yrs_over_p,lfs_emplyed_wrked_full_time_m,lfs_emplyed_wrked_full_time_f,lfs_emplyed_wrked_full_time_p,lfs_emplyed_wrked_part_time_m,lfs_emplyed_wrked_part_time_f,lfs_emplyed_wrked_part_time_p,lfs_employed_away_from_work_m,lfs_employed_away_from_work_f,lfs_employed_away_from_work_p,lfs_unmplyed_lookng_for_wrk_m,lfs_unmplyed_lookng_for_wrk_f,lfs_unmplyed_lookng_for_wrk_p,lfs_tot_lf_m,lfs_tot_lf_f,lfs_tot_lf_p,lfs_n_the_labour_force_m,lfs_n_the_labour_force_f,lfs_n_the_labour_force_p,percent_unem_loyment_m,percent_unem_loyment_f,percent_unem_loyment_p,percnt_labforc_prticipation_m,percnt_labforc_prticipation_f,percnt_labforc_prticipation_p,percnt_employment_to_populn_m,percnt_employment_to_populn_f,percnt_employment_to_populn_p,non_sch_quals_postgrad_dgre_m,non_sch_quals_postgrad_dgre_f,non_sch_quals_postgrad_dgre_p,non_sch_quals_gr_dip_gr_crt_m,non_sch_quals_gr_dip_gr_crt_f,non_sch_quals_gr_dip_gr_crt_p,non_sch_quals_bchelr_degree_m,non_sch_quals_bchelr_degree_f,non_sch_quals_bchelr_degree_p,non_sch_quls_advncd_dip_dip_m,non_sch_quls_advncd_dip_dip_f,non_sch_quls_advncd_dip_dip_p,non_sch_quls_cert3a4_level_m,non_sch_quls_cert3a4_level_f,non_sch_quls_cert3a4_level_p,non_sch_quls_cert1a2_level_m,non_sch_quls_cert1a2_level_f,non_sch_quls_cert1a2_level_p,non_sch_quls_certnfd_level_m,non_sch_quls_certnfd_level_f,non_sch_quls_certnfd_level_p,non_sch_quls_certtot_level_m,non_sch_quls_certtot_level_f,non_sch_quls_certtot_level_p,migtn_lvd_same_add_1_yr_ago_m,migtn_lvd_same_add_1_yr_ago_f,migtn_lvd_same_add_1_yr_ago_p,migtn_lvd_diff_add_1_yr_ago_m,migtn_lvd_diff_add_1_yr_ago_f,migtn_lvd_diff_add_1_yr_ago_p,migtn_lvd_sme_add_5_yrs_ago_m,migtn_lvd_sme_add_5_yrs_ago_f,migtn_lvd_sme_add_5_yrs_ago_p,mign_lvd_diff_add_5_yrs_ago_m,mign_lvd_diff_add_5_yrs_ago_f,mign_lvd_diff_add_5_yrs_ago_p
Rest of NSW,1RNSW,1052624,1105649,2158275,418117,234162,652283,123559,263912,387471,30350,34061,64405,43178,35237,78414,615204,567378,1182580,359273,457951,817222,7.0,6.2,6.6,58.4,51.3,54.8,54.3,48.1,51.2,27345,28666,56011,11275,21821,33097,87606,135225,222826,68256,108207,176459,288213,136401,424613,10302,20984,31288,18118,34438,52561,316637,191830,508464,993444,1027032,2020483,174202,186140,360342,677976,693573,1371549,438426,471647,910069
Greater Sydney,1GSYD,1914314,2009383,3923700,910114,570101,1480218,243808,438797,682605,51004,58887,109892,75539,70645,146187,1280466,1138432,2418899,515700,751080,1266780,5.9,6.2,6.0,66.9,56.7,61.6,62.9,53.1,57.9,146564,141535,288103,27022,43101,70126,344760,408013,752774,156477,209509,365989,322677,150288,472968,12035,23465,35504,31293,50922,82214,366004,224681,590682,1813259,1882487,3695742,347545,356145,703690,1174217,1227942,2402160,895491,922415,1817909
Rest of Vic.,2RVIC,570369,602974,1173346,234794,118914,353709,68491,156564,225059,18618,21202,39816,21485,17739,39226,343395,314414,657811,184566,244136,428695,6.3,5.6,6.0,60.2,52.1,56.1,56.4,49.2,52.7,11878,13870,25751,7883,16687,24568,45455,74426,119877,39014,60587,99599,151078,71971,223051,4831,9643,14474,8163,12724,20885,164071,94335,258412,541896,561765,1103667,88947,96643,185586,373929,383807,757736,228433,248102,476528
Greater Melbourne,2GMEL,1779168,1886350,3665515,832140,483498,1315635,237273,457903,695178,47531,57147,104679,79219,74403,153625,1196169,1072952,2269119,476594,702548,1179140,6.6,6.9,6.8,67.2,56.9,61.9,62.8,52.9,57.7,117203,116849,234048,33627,60941,94567,306975,370617,677594,152216,194798,347014,319171,151130,470297,10794,18699,29489,23105,36199,59301,353062,206028,559093,1675034,1747492,3422525,328552,342514,671061,1096453,1151547,2247996,823346,858437,1681782
Greater Brisbane,3GBRI,889380,937019,1826402,420744,260960,681706,113439,225863,339295,23839,28938,52783,45182,40460,85640,603202,556220,1159423,231493,324913,556409,7.5,7.3,7.4,67.8,59.4,63.5,62.7,55.0,58.8,45729,44127,89862,14109,24761,38864,125320,164230,289552,71243,95905,167153,198586,100882,299466,8145,12776,20924,12974,19868,32842,219698,133532,353230,818685,849173,1667859,194256,203427,397686,506042,525194,1031241,463357,486799,950163
Rest of Qld,3RQLD,957411,994854,1952257,409925,239777,649705,111621,239832,351455,28633,29731,58366,48396,40632,89036,598581,549977,1148556,276401,368032,644430,8.1,7.4,7.8,62.5,55.3,58.8,57.5,51.2,54.3,21134,22978,44113,9185,18572,27763,76604,125118,201725,64227,98453,162678,264303,122731,387034,9710,16265,25981,15259,23362,38621,289272,162355,451634,866942,886345,1753287,196690,211725,408424,540888,544261,1085150,475601,509432,985031
Rest of SA,4RSAU,155949,155286,311230,61887,29256,91144,17441,39557,57000,5075,5091,10166,6488,4646,11133,90894,78550,169447,54020,66177,120195,7.1,5.9,6.6,58.3,50.6,54.4,54.1,47.6,50.9,1528,1866,3392,1080,2411,3484,7772,14413,22186,7913,13277,21190,40298,19435,59736,1994,3316,5316,2902,3757,6656,45202,26509,71708,149177,147741,296920,21944,22938,44879,107249,104582,211829,56246,58839,115090
Greater Adelaide,4GADE,517997,551769,1069769,218451,125112,343558,70829,142343,213169,13367,16960,30332,27472,21578,49051,330113,305996,636107,161755,218993,380752,8.3,7.1,7.7,63.7,55.5,59.5,58.4,51.5,54.9,24007,23540,47543,7889,13726,21617,68116,89866,157982,40965,52798,93765,113267,58233,171499,5680,8608,14287,8317,12202,20520,127265,79042,206310,495955,520058,1016016,85275,89735,175004,341319,356926,698246,217712,231847,449563
Greater Perth,5GPER,773386,800146,1573536,363315,201826,565148,99927,206352,306272,24161,24620,48775,44578,36904,81482,531981,469701,1001684,188907,280385,469289,8.4,7.9,8.1,68.8,58.7,63.7,63.0,54.1,58.5,36944,33532,70476,11808,21116,32920,112861,144603,257460,64914,81829,146738,177409,78999,256410,6766,11541,18307,11027,20149,31179,195204,110692,305893,715593,735620,1451214,151480,156111,307594,443462,458608,902063,387426,398538,785966
Rest of WA,5RWAU,216557,201648,418207,100337,48364,148695,20988,48876,69864,9436,7431,16866,9173,6860,16033,139933,111532,251465,52901,71392,124292,6.6,6.2,6.4,64.6,55.3,60.1,60.4,51.9,56.3,2997,3063,6061,1703,3901,5607,13903,23106,37007,12331,18198,30524,60436,24259,84691,2525,4530,7059,3523,5229,8757,66485,34024,100507,192985,183971,376950,42019,40768,82787,120394,113848,234247,101951,99182,201131
Greater Hobart,6GHOB,87329,94929,182260,35027,21149,56178,12094,25089,37186,2376,3142,5523,3933,2857,6784,53435,52238,105673,28830,37327,66155,7.4,5.5,6.4,61.2,55.0,58.0,56.7,52.0,54.3,4126,4525,8647,1547,2825,4376,10969,14764,25733,6178,8196,14376,19694,10089,29781,922,1679,2599,1242,2264,3511,21857,14033,35889,83025,88501,171526,14643,15818,30462,57166,60773,117941,36844,40154,76996
Rest of Tas.,6RTAS,115389,121201,236592,43225,22242,65464,13908,30410,44321,3660,3957,7617,5505,3978,9485,66299,60585,126885,41123,52430,93551,8.3,6.6,7.5,57.5,50.0,53.6,52.7,46.7,49.6,2275,2453,4730,1096,2049,3146,7904,13212,21116,6853,10196,17053,30135,14210,44347,1355,2694,4053,1790,3314,5103,33283,20218,53503,110212,113512,223728,17187,18609,35794,78939,79822,158765,43474,47241,90715
Rest of NT,7RNTE,33985,33722,67701,12175,9609,21784,2554,4031,6579,1161,1227,2386,2314,1825,4139,18202,16695,34892,10828,12404,23237,12.7,10.9,11.9,53.6,49.5,51.5,46.8,44.1,45.4,656,949,1605,322,731,1051,2045,3459,5506,1609,1971,3578,5650,2606,8255,564,742,1309,546,617,1159,6753,3966,10727,32322,32204,64521,6041,6201,12247,23047,23183,46231,12570,12672,25239
Greater Darwin,7GDAR,57821,51481,109301,31136,20766,51904,5324,9485,14809,2427,2218,4641,1876,1584,3466,40764,34055,74817,9750,12102,21855,4.6,4.7,4.6,70.5,66.2,68.5,67.3,63.1,65.3,2189,2455,4646,775,1652,2430,6171,9019,15194,4250,4896,9149,14931,6073,21000,602,831,1432,826,1093,1921,16354,7994,24352,45097,41819,86924,15030,14342,29369,24727,23064,47789,32313,30043,62358
Australian Capital Territory,8ACTE,156932,165485,322415,79559,57377,136935,20409,36593,57001,4650,6840,11485,5370,4797,10167,109984,105599,215586,37825,50604,88427,4.9,4.5,4.7,70.1,63.8,66.9,66.7,60.9,63.7,18761,16021,34782,5276,8125,13404,32304,39304,71604,13269,16462,29724,22667,12507,35174,1179,1804,2990,1760,3641,5398,25608,17952,43557,144451,150035,294482,32909,33952,66855,88330,93519,181846,81850,83884,165732
