gcc_name16,gcc_code16,sme_usl_ad_5_yr_ago_as_2016_m,sme_usl_ad_5_yr_ago_as_2016_f,sme_usl_ad_5_yr_ago_as_2016_p,dif_usl_ad_5_yr_ago_sme_sa2_m,dif_usl_ad_5_yr_ago_sme_sa2_f,dif_usl_ad_5_yr_ago_sme_sa2_p,dif_us_ad_5_ago_dif_sa2_nsw_m,dif_us_ad_5_ago_dif_sa2_nsw_f,dif_us_ad_5_ago_dif_sa2_nsw_p,dif_us_ad_5_ago_dif_sa2_vic_m,dif_us_ad_5_ago_dif_sa2_vic_f,dif_us_ad_5_ago_dif_sa2_vic_p,dif_us_ad_5_ago_dif_sa2_qld_m,dif_us_ad_5_ago_dif_sa2_qld_f,dif_us_ad_5_ago_dif_sa2_qld_p,dif_us_ad_5_ago_dif_sa2_sa_m,dif_us_ad_5_ago_dif_sa2_sa_f,dif_us_ad_5_ago_dif_sa2_sa_p,dif_us_ad_5_ago_dif_sa2_wa_m,dif_us_ad_5_ago_dif_sa2_wa_f,dif_us_ad_5_ago_dif_sa2_wa_p,dif_us_ad_5_ago_dif_sa2_tas_m,dif_us_ad_5_ago_dif_sa2_tas_f,dif_us_ad_5_ago_dif_sa2_tas_p,dif_us_ad_5_ago_dif_sa2_nt_m,dif_us_ad_5_ago_dif_sa2_nt_f,dif_us_ad_5_ago_dif_sa2_nt_p,dif_us_ad_5_ago_dif_sa2_act_m,dif_us_ad_5_ago_dif_sa2_act_f,dif_us_ad_5_ago_dif_sa2_act_p,dif_us_ad_5_ago_dif_sa2_ot_m,dif_us_ad_5_ago_dif_sa2_ot_f,dif_us_ad_5_ago_dif_sa2_ot_p,dif_us_ad_5_ago_dif_sa2_tot_m,dif_us_ad_5_ago_dif_sa2_tot_f,dif_us_ad_5_ago_dif_sa2_tot_p,difnt_usl_add_5_yr_ago_os_m,difnt_usl_add_5_yr_ago_os_f,difnt_usl_add_5_yr_ago_os_p,difnt_usl_add_5_yr_ago_ns_m,difnt_usl_add_5_yr_ago_ns_f,difnt_usl_add_5_yr_ago_ns_p,difnt_usl_add_5_yr_ago_tot_m,difnt_usl_add_5_yr_ago_tot_f,difnt_usl_add_5_yr_ago_tot_p,n_stated_m,n_stated_f,n_stated_p,tot_m,tot_f,tot_p
Other Territories,9OTER,1211,1194,2402,130,154,281,100,72,176,25,16,38,69,43,108,13,12,22,100,85,185,7,3,8,8,3,19,22,27,50,4,0,5,348,259,611,84,105,186,10,15,27,572,537,1109,515,231,750,2295,1970,4261
Australian Capital Territory,8ACTE,88330,93519,181846,4839,4874,9712,13370,14123,27491,3328,3362,6688,3563,3525,7086,1113,1111,2228,1070,1064,2136,383,418,803,628,644,1266,38288,38576,76862,27,30,58,61771,62850,124620,14077,15185,29261,1165,980,2137,81850,83884,165732,11364,11130,22492,181533,188539,370069
Rest of NT,7RNTE,23047,23183,46231,2229,2190,4416,928,933,1859,832,890,1725,1472,1310,2784,682,645,1333,491,462,953,104,116,220,3679,3750,7428,84,75,159,5,3,7,8282,8184,16463,1524,1716,3237,537,587,1125,12570,12672,25239,5849,4733,10579,41464,40587,82052
Greater Darwin,7GDAR,24727,23064,47789,1887,1839,3729,2397,1950,4347,2130,1896,4026,3707,2972,6680,1295,1194,2487,1979,1672,3653,260,236,495,12383,12097,24484,286,221,509,13,0,16,24445,22237,46683,5269,5434,10703,714,528,1242,32313,30043,62358,9717,6820,16532,66758,59922,126676
Rest of Tas.,6RTAS,78939,79822,158765,9958,10855,20812,1869,1927,3802,1848,1891,3738,2386,2531,4917,576,578,1154,1403,1454,2851,22004,24527,46527,259,280,534,129,112,236,7,9,18,30471,33295,63771,2370,2475,4844,683,612,1294,43474,47241,90715,10708,11007,21712,133123,138071,271193
Greater Hobart,6GHOB,57166,60773,117941,6040,6626,12672,1309,1433,2741,1493,1676,3164,1380,1564,2944,313,347,660,657,673,1330,21140,23030,44171,221,192,412,174,198,372,11,7,16,26694,29121,55812,3494,3824,7316,615,582,1195,36844,40154,76996,7263,7158,14425,101270,108089,209354
Rest of WA,5RWAU,120394,113848,234247,27359,28059,55413,2504,1972,4476,2228,1971,4195,3798,2921,6723,1248,1003,2254,52062,50868,102934,630,567,1203,972,902,1877,110,99,211,33,33,74,63599,60338,123934,9055,9027,18082,1945,1760,3699,101951,99182,201131,30554,23375,53929,252904,236409,489308
Greater Perth,5GPER,443462,458608,902063,49156,50778,99930,7723,7446,15168,7186,7149,14334,7037,6896,13931,2676,2562,5234,226906,234578,461485,1179,1229,2403,1690,1608,3294,789,808,1598,127,93,222,255310,262362,517676,77020,80198,157223,5937,5203,11138,387426,398538,785966,67613,61503,129117,898498,918654,1817151
Rest of SA,4RSAU,107249,104582,211829,20467,21778,42248,1245,1208,2455,1832,1808,3640,1443,1370,2811,25489,26901,52396,1010,978,1992,233,245,481,855,912,1768,70,75,150,7,3,11,32183,33514,65693,2687,2754,5439,913,799,1709,56246,58839,115090,16243,14075,30316,179738,177494,357237
Greater Adelaide,4GADE,341319,356926,698246,28121,30254,58370,5125,5076,10206,4692,4888,9580,3776,3892,7671,133567,143574,277137,1889,1812,3700,550,631,1179,1879,1923,3809,705,673,1377,21,12,31,152207,162474,314682,33848,35834,69678,3539,3284,6821,217712,231847,449563,35622,36142,71759,594652,624913,1219568
