gcc_name16,gcc_code16,m_emp_fullt_15_19,m_emp_fullt_20_24,m_emp_fullt_25_34,m_emp_fullt_35_44,m_emp_fullt_45_54,m_emp_fullt_55_64,m_emp_fullt_65_74,m_emp_fullt_75_84,m_emp_fullt_85ov,m_emp_fullt_tot,m_emp_partt_15_19,m_emp_partt_20_24,m_emp_partt_25_34,m_emp_partt_35_44,m_emp_partt_45_54,m_emp_partt_55_64,m_emp_partt_65_74,m_emp_partt_75_84,m_emp_partt_85ov,m_emp_partt_tot,m_emp_awy_f_wrk_15_19,m_emp_awy_f_wrk_20_24,m_emp_awy_f_wrk_25_34,m_emp_awy_f_wrk_35_44,m_emp_awy_f_wrk_45_54,m_emp_awy_f_wrk_55_64,m_emp_awy_f_wrk_65_74,m_emp_awy_f_wrk_75_84,m_emp_awy_f_wrk_85ov,m_emp_awy_f_wrk_tot,m_hours_wkd_ns_15_19,m_hours_wkd_ns_20_24,m_hours_wkd_ns_25_34,m_hours_wkd_ns_35_44,m_hours_wkd_ns_45_54,m_hours_wkd_ns_55_64,m_hours_wkd_ns_65_74,m_hours_wkd_ns_75_84,m_hours_wkd_ns_85ov,m_hours_wkd_ns_tot,m_tot_emp_15_19,m_tot_emp_20_24,m_tot_emp_25_34,m_tot_emp_35_44,m_tot_emp_45_54,m_tot_emp_55_64,m_tot_emp_65_74,m_tot_emp_75_84,m_tot_emp_85ov,m_tot_emp_tot,m_unem_look_ftw_15_19,m_unem_look_ftw_20_24,m_unem_look_ftw_25_34,m_unem_look_ftw_35_44,m_unem_look_ftw_45_54,m_unem_look_ftw_55_64,m_unem_look_ftw_65_74,m_unem_look_ftw_75_84,m_unem_look_ftw_85ov,m_unem_look_ftw_tot,m_unem_look_ptw_15_19,m_unem_look_ptw_20_24,m_unem_look_ptw_25_34,m_unem_look_ptw_35_44,m_unem_look_ptw_45_54,m_unem_look_ptw_55_64,m_unem_look_ptw_65_74,m_unem_look_ptw_75_84,m_unem_look_ptw_85ov,m_unem_look_ptw_tot,m_tot_unemp_15_19,m_tot_unemp_20_24,m_tot_unemp_25_34,m_tot_unemp_35_44,m_tot_unemp_45_54,m_tot_unemp_55_64,m_tot_unemp_65_74,m_tot_unemp_75_84,m_tot_unemp_85ov,m_tot_unemp_tot,m_tot_lf_15_19,m_tot_lf_20_24,m_tot_lf_25_34,m_tot_lf_35_44,m_tot_lf_45_54,m_tot_lf_55_64,m_tot_lf_65_74,m_tot_lf_75_84,m_tot_lf_85ov,m_tot_lf_tot,m_not_in_lf_15_19,m_not_in_lf_20_24,m_not_in_lf_25_34,m_not_in_lf_35_44,m_not_in_lf_45_54,m_not_in_lf_55_64,m_not_in_lf_65_74,m_not_in_lf_75_84,m_not_in_lf_85ov,m_not_in_lf_tot,m_lfs_ns_15_19,m_lfs_ns_20_24,m_lfs_ns_25_34,m_lfs_ns_35_44,m_lfs_ns_45_54,m_lfs_ns_55_64,m_lfs_ns_65_74,m_lfs_ns_75_84,m_lfs_ns_85ov,m_lfs_ns_tot,m_tot_15_19,m_tot_20_24,m_tot_25_34,m_tot_35_44,m_tot_45_54,m_tot_55_64,m_tot_65_74,m_tot_75_84,m_tot_85ov,m_tot_tot,f_emp_fullt_15_19,f_emp_fullt_20_24,f_emp_fullt_25_34,f_emp_fullt_35_44,f_emp_fullt_45_54,f_emp_fullt_55_64,f_emp_fullt_65_74,f_emp_fullt_75_84,f_emp_fullt_85ov,f_emp_fullt_tot,f_emp_partt_15_19,f_emp_partt_20_24,f_emp_partt_25_34,f_emp_partt_35_44,f_emp_partt_45_54,f_emp_partt_55_64,f_emp_partt_65_74,f_emp_partt_75_84,f_emp_partt_85ov,f_emp_partt_tot,f_emp_awy_f_wrk_15_19,f_emp_awy_f_wrk_20_24,f_emp_awy_f_wrk_25_34,f_emp_awy_f_wrk_35_44,f_emp_awy_f_wrk_45_54,f_emp_awy_f_wrk_55_64,f_emp_awy_f_wrk_65_74,f_emp_awy_f_wrk_75_84,f_emp_awy_f_wrk_85ov,f_emp_awy_f_wrk_tot,f_hours_wkd_ns_15_19,f_hours_wkd_ns_20_24,f_hours_wkd_ns_25_34,f_hours_wkd_ns_35_44,f_hours_wkd_ns_45_54,f_hours_wkd_ns_55_64,f_hours_wkd_ns_65_74,f_hours_wkd_ns_75_84,f_hours_wkd_ns_85ov,f_hours_wkd_ns_tot,f_tot_emp_15_19,f_tot_emp_20_24,f_tot_emp_25_34,f_tot_emp_35_44,f_tot_emp_45_54,f_tot_emp_55_64,f_tot_emp_65_74,f_tot_emp_75_84,f_tot_emp_85ov,f_tot_emp_tot,f_unem_look_ftw_15_19,f_unem_look_ftw_20_24,f_unem_look_ftw_25_34,f_unem_look_ftw_35_44,f_unem_look_ftw_45_54,f_unem_look_ftw_55_64,f_unem_look_ftw_65_74,f_unem_look_ftw_75_84,f_unem_look_ftw_85ov,f_unem_look_ftw_tot,f_unem_look_ptw_15_19,f_unem_look_ptw_20_24,f_unem_look_ptw_25_34,f_unem_look_ptw_35_44,f_unem_look_ptw_45_54,f_unem_look_ptw_55_64,f_unem_look_ptw_65_74,f_unem_look_ptw_75_84,f_unem_look_ptw_85ov,f_unem_look_ptw_tot,f_tot_unemp_15_19,f_tot_unemp_20_24,f_tot_unemp_25_34,f_tot_unemp_35_44,f_tot_unemp_45_54,f_tot_unemp_55_64,f_tot_unemp_65_74,f_tot_unemp_75_84,f_tot_unemp_85ov,f_tot_unemp_tot
Rest of NSW,1RNSW,11181,32356,87177,95037,101595,73553,14739,2155,329,418117,18572,14871,16985,15146,18542,23836,12775,2511,323,123559,1185,1327,2819,2724,3573,4463,1448,270,60,17875,1059,1516,2366,2169,2297,1741,815,400,115,12471,31996,50069,109349,115070,126013,103588,29774,5330,829,572026,3360,5162,6013,5061,5321,4571,270,48,21,29817,4213,2313,1645,1147,1338,2079,538,70,13,13361,7569,7475,7652,6206,6655,6651,810,119,28,43178,39564,57542,117005,121278,132670,110246,30588,5448,861,615204,37612,12762,16292,17444,25280,55298,107801,65014,21776,359273,4658,5143,9938,9793,11945,12884,11898,7956,3929,78155,81832,75449,143234,148516,169896,178427,150284,78420,26562,1052624,4841,20646,47125,48977,64004,41811,5958,688,116,234162,26679,22449,42031,55261,56952,46844,12168,1345,186,263912,1476,1897,7171,4187,3773,4589,1235,164,28,24521,1076,1064,1484,1614,1766,1442,639,353,115,9542,34072,46056,97810,110036,126491,94689,19994,2544,440,532137,2087,2714,3311,3040,3188,1880,77,19,8,16317,4565,2613,3289,3135,2703,2314,261,20,14,18920,6647,5324,6597,6177,5885,4195,343,42,22,35237
Greater Sydney,1GSYD,12874,58598,240191,242212,204166,125984,24078,1769,246,910114,29858,44784,48832,32511,31451,32925,19553,3506,386,243808,1709,2291,5255,4750,4294,4562,1659,251,54,24813,1451,3444,7255,5393,4636,2851,863,225,69,26188,45892,109120,301533,284869,244549,166319,46144,5751,758,1204929,3026,7024,11899,9248,8537,6407,632,56,15,46846,8337,7239,4592,2168,2175,3088,957,124,11,28691,11367,14264,16493,11413,10711,9493,1584,176,25,75539,57260,123383,318029,296282,255260,175814,47733,5930,785,1280466,83990,38224,37022,27824,34866,63551,120585,79216,30425,515700,6728,10672,26660,20352,17262,14253,11107,7170,3941,118150,147983,172289,381705,344463,307388,253616,179414,92308,35147,1914314,6367,48013,170893,131966,128017,73996,10248,522,87,570101,40293,51999,79406,97750,86296,61673,19249,1932,196,438797,2015,2949,14494,9525,4824,4785,1488,158,23,40250,1308,2684,4879,3492,3241,2060,668,210,89,18637,49981,105648,269666,242735,222380,142504,31649,2820,395,1067789,1987,4447,8657,6022,5728,3255,151,35,19,30297,8709,6702,7479,7186,5752,3944,497,62,24,40352,10691,11150,16143,13202,11479,7198,652,99,38,70645
Rest of Vic.,2RVIC,5481,18489,48131,51897,57159,43217,8873,1314,243,234794,10963,7981,8560,7951,9747,13679,7824,1556,231,68491,623,707,1548,1724,2252,3127,1149,199,40,11366,623,874,1312,1207,1331,1093,480,244,77,7251,17688,28046,59550,62778,70488,61117,18334,3308,602,321909,1383,2645,3196,2528,2698,2453,118,17,11,15043,2130,1099,745,575,609,982,275,22,4,6443,3516,3739,3945,3099,3308,3440,398,39,12,21485,21203,31781,63495,65876,73801,64555,18731,3347,610,343395,21191,6310,8062,9100,12572,25941,55933,33672,11788,184566,2534,2827,5273,5201,6594,7000,6767,4269,1952,42416,44925,40923,76820,80170,92963,97495,81432,41289,14351,570369,2110,10712,24862,23381,32505,21726,3154,373,92,118914,15136,12878,23365,32476,35025,29251,7478,803,149,156564,804,1152,4185,2642,2612,3166,939,119,28,15638,673,658,809,878,982,929,406,180,51,5562,18727,25392,53221,59380,71122,55072,11977,1471,318,296681,856,1387,1591,1442,1598,1031,36,14,7,7970,2339,1274,1623,1663,1431,1254,158,16,9,9769,3194,2665,3220,3107,3031,2282,193,34,17,17739
Greater Melbourne,2GMEL,9044,51090,224153,219534,190831,115086,20596,1536,275,832140,30062,46489,48262,30860,29117,30635,18410,3077,365,237273,1306,2181,5258,4719,4399,4587,1677,252,41,24418,1179,3012,6481,4686,4022,2545,852,245,96,23117,41591,102768,284146,259809,228358,152859,41533,5108,766,1116953,2718,7632,13153,9601,8828,6317,550,36,15,48845,10065,8423,4575,2024,1889,2436,867,97,7,30378,12778,16054,17727,11618,10718,8751,1420,129,21,79219,54372,118825,301875,271426,239081,161614,42950,5238,785,1196169,76387,39839,34250,25724,31117,55111,109824,75558,28782,476594,5986,9696,23162,17838,15578,12873,10340,7293,3629,106398,136742,168363,359284,314991,285775,229601,163110,88091,33202,1779168,3247,38878,153816,108220,110154,60944,7730,399,113,483498,40451,55557,82111,102211,94097,64083,17668,1533,195,457903,1555,2909,14178,9618,5175,5041,1444,148,40,40097,1266,2365,4337,3155,3115,1837,638,233,90,17045,46521,99704,254436,223203,212541,131905,27484,2316,430,998542,1776,5030,9390,6257,5415,2831,132,27,14,30861,10740,8442,7760,7140,5476,3431,472,59,19,43544,12514,13474,17152,13396,10884,6265,605,86,29,74403
Greater Brisbane,3GBRI,7390,32669,105549,108111,97578,58647,10028,692,78,420744,18919,21265,21720,14594,13824,14002,7774,1225,115,113439,835,1236,2841,2519,2617,2687,773,72,16,13600,729,1458,2645,2129,1725,1056,334,126,40,10244,27885,56631,132753,127344,115741,76389,18907,2116,253,558022,3199,5512,7111,5252,4957,3778,305,25,8,30145,6037,3282,2131,1031,846,1210,459,45,3,15039,9230,8786,9242,6283,5805,4988,765,69,13,45182,37119,65423,141992,133630,121544,81374,19671,2189,265,603202,34059,14966,16275,13245,15792,30409,60937,34320,11480,231493,3353,5145,10794,8991,8655,6951,5534,3347,1932,54687,74523,85533,169060,155864,145989,118736,86138,39855,13676,889380,3932,24780,69473,60251,63294,34851,4159,188,23,260960,26527,27335,41236,49160,43293,29566,8032,655,46,225863,972,1688,7478,4549,2955,2850,661,51,9,21219,766,1008,1778,1490,1401,835,289,99,54,7720,32200,54809,119970,115453,110948,68103,13145,993,131,515756,2040,3427,4864,3522,3290,1775,71,18,12,19017,6136,3548,3976,3429,2495,1620,223,16,3,21445,8172,6972,8836,6955,5789,3393,295,38,12,40460
Rest of Qld,3RQLD,9910,32498,89735,96642,98669,66991,13653,1631,189,409925,19456,13910,16685,14420,16395,18448,10337,1779,195,111621,1020,1147,3054,3170,3552,3786,1151,164,36,17073,889,1311,2404,2298,2166,1537,635,261,55,11566,31274,48863,111876,116529,120785,90768,25772,3839,480,550177,3831,5706,7138,5978,6453,5739,440,51,9,35356,4846,2026,1612,1080,1077,1700,606,85,10,13047,8685,7730,8747,7060,7532,7437,1051,140,18,48396,39960,56595,120620,123588,128319,98205,26822,3972,495,598581,31532,10178,13234,14070,19540,39795,84337,48836,14889,276401,4969,6415,13645,12650,13711,12389,10162,5808,2689,82430,76455,73189,147501,150306,161566,150381,121315,58621,18069,957411,5364,22804,51877,51999,63093,38312,5749,516,67,239777,26967,20583,40272,51935,50656,37876,10373,1061,106,239832,1126,1581,6525,3726,3441,3479,898,117,17,20912,921,916,1596,1689,1654,1234,516,230,68,8817,34380,45886,100261,109352,118848,80905,17536,1919,266,509346,2378,3077,4141,3788,4222,2530,107,19,4,20263,4907,2447,3679,3628,2974,2383,321,22,10,20374,7283,5518,7823,7414,7202,4912,433,38,11,40632
Rest of SA,4RSAU,1465,4696,11966,12918,15435,12340,2623,366,72,61887,2466,1550,2152,2087,2862,3612,2180,470,59,17441,141,210,442,523,684,880,322,61,20,3283,156,174,309,287,363,274,123,82,24,1797,4219,6626,14877,15815,19339,17111,5250,982,179,84403,451,768,1014,801,960,849,35,9,0,4887,431,202,190,144,227,329,67,9,3,1602,885,967,1200,941,1183,1179,105,19,3,6488,5102,7601,16073,16763,20530,18288,5359,1004,178,90894,5230,1352,2428,2783,4051,8039,16966,9877,3288,54020,601,610,1357,1378,1811,1918,1806,1062,485,11031,10933,9562,19858,20921,26390,28251,24131,11942,3954,155949,564,2440,5233,5720,8344,5804,989,132,30,29256,3482,2727,6019,7976,9174,7815,2074,259,36,39557,166,276,982,588,628,821,247,38,5,3762,126,117,212,198,247,228,121,60,17,1331,4342,5561,12447,14494,18395,14669,3435,478,90,73903,241,405,444,470,511,303,7,5,3,2395,488,235,413,402,371,303,37,9,0,2247,730,633,855,874,876,609,52,8,3,4646
Greater Adelaide,4GADE,2682,14442,51781,54048,53551,35590,5857,428,61,218451,9422,12223,13144,9556,9657,10116,5719,904,89,70829,447,739,1606,1506,1740,1732,544,83,14,8416,301,655,1252,973,898,571,221,62,18,4959,12855,28054,67781,66088,65845,48014,12338,1472,192,302646,1297,3062,4606,3579,3324,2444,136,15,9,18481,3219,2072,1259,693,668,831,215,30,4,8989,4518,5137,5867,4276,3992,3274,348,48,11,27472,17377,33196,73651,70361,69840,51286,12686,1520,203,330113,21693,10253,9951,8612,11443,20665,41313,26830,11002,161755,1423,2047,4461,4008,4161,3723,3016,2101,1167,26121,40489,45495,88071,82983,85442,75675,57017,30457,12371,517997,1205,10024,31979,26105,32415,20732,2497,129,27,125112,13559,16030,24287,30226,29623,22281,5815,468,55,142343,533,992,4478,2622,1848,1975,530,48,6,13030,334,517,907,688,700,474,186,86,33,3930,15630,27570,61646,59640,64586,45460,9025,730,120,284414,766,1604,2504,1898,1737,890,36,7,3,9445,3370,2040,2082,1941,1549,1019,108,21,7,12137,4135,3645,4592,3839,3286,1909,144,25,10,21578
Greater Perth,5GPER,5495,24790,94810,92079,84590,51795,9103,574,80,363315,15034,17860,18851,12311,12196,13492,8604,1449,125,99927,674,1253,3469,3012,3061,2922,895,116,8,15414,538,1166,2376,1829,1531,923,292,81,18,8738,21735,45064,119509,109226,101374,69139,18888,2221,234,487403,2265,4529,7482,6175,6149,4706,417,35,3,31765,4867,2845,1778,861,746,1120,537,62,3,12814,7130,7374,9259,7039,6901,5826,951,97,4,44578,28866,52443,128770,116266,108275,74963,19842,2316,244,531981,29763,11680,12791,10231,11597,21636,49258,31382,10564,188907,2770,4228,11641,8976,8193,6542,4884,3406,1864,52505,61400,68351,153198,135474,128061,103140,73986,37102,12680,773386,2729,18963,58258,41807,48137,28230,3507,170,28,201826,20422,22206,36826,45534,41913,30269,8373,737,63,206352,772,1362,6139,3743,2719,2674,742,65,6,18226,550,902,1521,1175,1167,732,245,80,26,6392,24475,43430,102745,92260,93935,61903,12870,1050,123,432800,1413,2447,4302,3436,3270,1618,85,19,9,16595,4957,2795,4027,3916,2637,1705,247,26,5,20316,6363,5242,8329,7356,5911,3330,328,40,10,36904
Rest of WA,5RWAU,2465,6976,22411,23579,24096,16695,3590,457,66,100337,3022,1646,2888,2893,3366,4053,2520,540,58,20988,191,356,1282,1249,1497,1486,441,75,5,6577,212,283,552,539,580,413,181,69,15,2851,5893,9255,27139,28264,29539,22642,6731,1143,153,130758,682,1034,1500,1341,1389,1128,102,3,0,7183,569,251,236,230,209,354,132,15,0,1992,1253,1283,1739,1562,1603,1477,234,17,0,9173,7147,10542,28874,29824,31142,24122,6959,1160,152,139933,7193,1999,3302,3194,3862,7437,15094,8295,2521,52901,1296,1401,4685,4295,4326,3671,2331,1239,481,23725,15633,13936,36864,37316,39332,35231,24386,10696,3157,216557,1308,4367,10533,10018,12645,8139,1215,129,12,48364,4290,2772,8171,11405,10897,8593,2414,291,42,48876,198,322,1493,935,1030,1134,306,34,3,5468,172,179,340,354,435,302,112,63,7,1968,5965,7637,20539,22712,25010,18168,4051,523,71,104674,371,515,742,762,764,423,14,4,0,3594,579,269,728,670,506,438,62,6,0,3264,949,786,1473,1430,1271,862,73,12,0,6860
