gcc_name16,gcc_code16,d_15_17_fpeaw_mpeft,d_15_17_fpeaw_mpept,d_15_17_fpeaw_mpeaw,d_15_17_fpeaw_mpehns,d_15_17_fpeaw_mpet,d_15_17_fpeaw_mpulftw,d_15_17_fpeaw_mpulptw,d_15_17_fpeaw_mput,d_15_17_fpeaw_mptlf,d_15_17_fpeaw_mpnlf,d_15_17_fpeaw_mplfsns,d_15_17_fpeaw_t,d_15_17_fphns_mpeft,d_15_17_fphns_mpept,d_15_17_fphns_mpeaw,d_15_17_fphns_mpehns,d_15_17_fphns_mpet,d_15_17_fphns_mpulftw,d_15_17_fphns_mpulptw,d_15_17_fphns_mput,d_15_17_fphns_mptlf,d_15_17_fphns_mpnlf,d_15_17_fphns_mplfsns,d_15_17_fphns_t,d_15_17_fpet_mpeft,d_15_17_fpet_mpept,d_15_17_fpet_mpeaw,d_15_17_fpet_mpehns,d_15_17_fpet_mpet,d_15_17_fpet_mpulftw,d_15_17_fpet_mpulptw,d_15_17_fpet_mput,d_15_17_fpet_mptlf,d_15_17_fpet_mpnlf,d_15_17_fpet_mplfsns,d_15_17_fpet_t,d_15_17_fpulftw_mpeft,d_15_17_fpulftw_mpept,d_15_17_fpulftw_mpeaw,d_15_17_fpulftw_mpehns,d_15_17_fpulftw_mpet,d_15_17_fpulftw_mpulftw,d_15_17_fpulftw_mpulptw,d_15_17_fpulftw_mput,d_15_17_fpulftw_mptlf,d_15_17_fpulftw_mpnlf,d_15_17_fpulftw_mplfsns,d_15_17_fpulftw_t,d_15_17_fpulptw_mpeft,d_15_17_fpulptw_mpept,d_15_17_fpulptw_mpeaw,d_15_17_fpulptw_mpehns,d_15_17_fpulptw_mpet,d_15_17_fpulptw_mpulftw,d_15_17_fpulptw_mpulptw,d_15_17_fpulptw_mput,d_15_17_fpulptw_mptlf,d_15_17_fpulptw_mpnlf,d_15_17_fpulptw_mplfsns,d_15_17_fpulptw_t,d_15_17_fput_mpeft,d_15_17_fput_mpept,d_15_17_fput_mpeaw,d_15_17_fput_mpehns,d_15_17_fput_mpet,d_15_17_fput_mpulftw,d_15_17_fput_mpulptw,d_15_17_fput_mput,d_15_17_fput_mptlf,d_15_17_fput_mpnlf,d_15_17_fput_mplfsns,d_15_17_fput_t,d_15_17_fptlf_mpeft,d_15_17_fptlf_mpept,d_15_17_fptlf_mpeaw,d_15_17_fptlf_mpehns,d_15_17_fptlf_mpet,d_15_17_fptlf_mpulftw,d_15_17_fptlf_mpulptw,d_15_17_fptlf_mput,d_15_17_fptlf_mptlf,d_15_17_fptlf_mpnlf,d_15_17_fptlf_mplfsns,d_15_17_fptlf_t,d_15_17_fpnlf_mpeft,d_15_17_fpnlf_mpept,d_15_17_fpnlf_mpeaw,d_15_17_fpnlf_mpehns,d_15_17_fpnlf_mpet,d_15_17_fpnlf_mpulftw,d_15_17_fpnlf_mpulptw,d_15_17_fpnlf_mput,d_15_17_fpnlf_mptlf,d_15_17_fpnlf_mpnlf,d_15_17_fpnlf_mplfsns,d_15_17_fpnlf_t,d_15_17_fplfsns_mpeft,d_15_17_fplfsns_mpept,d_15_17_fplfsns_mpeaw,d_15_17_fplfsns_mpehns,d_15_17_fplfsns_mpet,d_15_17_fplfsns_mpulftw,d_15_17_fplfsns_mpulptw,d_15_17_fplfsns_mput,d_15_17_fplfsns_mptlf,d_15_17_fplfsns_mpnlf,d_15_17_fplfsns_mplfsns,d_15_17_fplfsns_t,d_15_17_fpt_mpeft,d_15_17_fpt_mpept,d_15_17_fpt_mpeaw,d_15_17_fpt_mpehns,d_15_17_fpt_mpet,d_15_17_fpt_mpulftw,d_15_17_fpt_mpulptw,d_15_17_fpt_mput,d_15_17_fpt_mptlf,d_15_17_fpt_mpnlf,d_15_17_fpt_mplfsns,d_15_17_fpt_t,d_18_20_fpeft_mpeft,d_18_20_fpeft_mpept,d_18_20_fpeft_mpeaw,d_18_20_fpeft_mpehns,d_18_20_fpeft_mpet,d_18_20_fpeft_mpulftw,d_18_20_fpeft_mpulptw,d_18_20_fpeft_mput,d_18_20_fpeft_mptlf,d_18_20_fpeft_mpnlf,d_18_20_fpeft_mplfsns,d_18_20_fpeft_t,d_18_20_fpept_mpeft,d_18_20_fpept_mpept,d_18_20_fpept_mpeaw,d_18_20_fpept_mpehns,d_18_20_fpept_mpet,d_18_20_fpept_mpulftw,d_18_20_fpept_mpulptw,d_18_20_fpept_mput,d_18_20_fpept_mptlf,d_18_20_fpept_mpnlf,d_18_20_fpept_mplfsns,d_18_20_fpept_t,d_18_20_fpeaw_mpeft,d_18_20_fpeaw_mpept,d_18_20_fpeaw_mpeaw,d_18_20_fpeaw_mpehns,d_18_20_fpeaw_mpet,d_18_20_fpeaw_mpulftw,d_18_20_fpeaw_mpulptw,d_18_20_fpeaw_mput,d_18_20_fpeaw_mptlf,d_18_20_fpeaw_mpnlf,d_18_20_fpeaw_mplfsns,d_18_20_fpeaw_t,d_18_20_fphns_mpeft,d_18_20_fphns_mpept,d_18_20_fphns_mpeaw,d_18_20_fphns_mpehns,d_18_20_fphns_mpet,d_18_20_fphns_mpulftw,d_18_20_fphns_mpulptw,d_18_20_fphns_mput,d_18_20_fphns_mptlf,d_18_20_fphns_mpnlf,d_18_20_fphns_mplfsns,d_18_20_fphns_t,d_18_20_fpet_mpeft,d_18_20_fpet_mpept,d_18_20_fpet_mpeaw,d_18_20_fpet_mpehns,d_18_20_fpet_mpet,d_18_20_fpet_mpulftw,d_18_20_fpet_mpulptw,d_18_20_fpet_mput,d_18_20_fpet_mptlf,d_18_20_fpet_mpnlf,d_18_20_fpet_mplfsns,d_18_20_fpet_t,d_18_20_fpulftw_mpeft,d_18_20_fpulftw_mpept,d_18_20_fpulftw_mpeaw,d_18_20_fpulftw_mpehns,d_18_20_fpulftw_mpet,d_18_20_fpulftw_mpulftw,d_18_20_fpulftw_mpulptw,d_18_20_fpulftw_mput,d_18_20_fpulftw_mptlf,d_18_20_fpulftw_mpnlf,d_18_20_fpulftw_mplfsns,d_18_20_fpulftw_t,d_18_20_fpulptw_mpeft,d_18_20_fpulptw_mpept,d_18_20_fpulptw_mpeaw,d_18_20_fpulptw_mpehns,d_18_20_fpulptw_mpet,d_18_20_fpulptw_mpulftw,d_18_20_fpulptw_mpulptw,d_18_20_fpulptw_mput
Rest of NSW,1RNSW,522,100,152,15,788,13,8,17,805,60,0,861,221,28,11,274,536,11,0,11,546,41,8,594,33130,4414,744,626,38911,603,127,730,39643,2170,48,41857,293,67,7,14,392,98,7,104,493,71,0,569,460,88,15,14,571,52,24,78,647,57,0,710,754,156,20,32,963,152,32,184,1149,132,0,1275,33883,4569,765,658,39874,752,162,911,40786,2302,51,43136,5094,879,169,142,6286,285,59,351,6637,2040,26,8698,52,12,3,9,73,0,3,4,78,15,90,181,39032,5461,940,809,46238,1040,227,1263,47503,4358,163,52015,4211,489,65,35,4797,86,27,112,4915,327,4,5237,4147,630,79,33,4884,65,24,87,4975,340,3,5320,122,26,57,6,216,3,0,3,221,18,0,240,44,6,3,58,109,6,0,6,114,14,3,129,8530,1146,202,130,10007,163,54,216,10221,701,8,10928,71,16,0,0,86,29,0,29,123,21,0,144,96,17,3,0,115,11,7,14
Greater Sydney,1GSYD,758,131,191,13,1089,19,3,22,1105,62,3,1174,364,65,14,499,933,20,4,31,965,78,30,1068,61265,7397,878,1082,70616,1366,309,1672,72295,3788,108,76187,796,174,9,21,1004,188,19,211,1215,130,0,1347,1224,332,21,31,1615,139,86,228,1841,189,3,2033,2019,505,30,57,2621,330,110,431,3049,318,7,3376,63287,7904,906,1135,73235,1695,414,2106,75342,4104,112,79560,15354,3370,282,556,19553,640,231,868,20423,5451,72,25944,80,28,0,74,191,3,0,3,192,31,212,431,78719,11299,1193,1768,92978,2334,644,2978,95961,9585,397,105941,17926,2004,213,113,20261,443,114,552,20812,1415,13,22242,14216,2441,186,137,16976,330,94,425,17404,1056,17,18474,453,89,158,9,707,9,9,10,719,56,4,777,190,39,13,354,600,6,3,11,612,53,25,685,32786,4572,573,609,38542,790,212,1007,39548,2573,59,42176,414,90,10,12,532,109,15,124,656,97,0,750,584,190,13,22,808,74,65,144
Rest of Vic.,2RVIC,370,58,103,8,533,7,0,10,542,42,0,580,135,22,0,218,379,3,0,3,383,15,3,400,19732,2299,460,414,22904,295,56,347,23245,1080,45,24373,184,35,3,4,222,46,3,49,268,28,0,299,264,34,9,11,310,24,11,37,352,42,0,389,443,72,10,15,535,71,18,89,618,65,0,686,20173,2370,463,422,23435,365,71,430,23864,1142,48,25059,3047,494,116,123,3774,138,38,174,3956,1080,11,5043,47,5,0,4,57,3,0,3,63,4,65,131,23268,2871,584,551,27271,505,108,612,27880,2224,121,30233,2527,288,52,21,2887,35,4,37,2923,171,4,3104,2976,435,71,42,3525,44,11,49,3577,188,4,3770,108,19,46,6,179,0,0,0,183,9,0,189,40,10,0,38,89,0,0,0,95,5,0,96,5656,758,163,108,6688,75,12,93,6773,379,18,7164,57,13,0,0,73,21,0,24,95,7,0,101,82,10,3,0,93,4,7,11
Greater Melbourne,2GMEL,757,133,196,14,1093,24,8,28,1120,70,4,1193,396,70,11,477,952,28,5,38,988,62,24,1073,57570,7075,917,991,66551,1367,283,1649,68200,3429,95,71723,760,157,10,21,952,245,18,266,1217,116,3,1337,1193,231,16,46,1485,158,81,237,1718,156,0,1870,1952,392,30,68,2436,404,93,497,2935,274,6,3214,59526,7468,942,1052,68987,1770,380,2145,71133,3696,104,74931,13307,2404,246,426,16382,649,165,817,17202,4463,68,21734,97,25,0,54,177,3,0,4,181,19,187,381,72934,9891,1193,1539,85556,2417,550,2966,88520,8178,353,97047,15731,1776,180,131,17807,467,96,559,18368,1240,18,19627,16582,2566,207,151,19510,377,77,459,19968,1126,23,21116,439,101,157,17,707,17,3,22,729,55,0,781,210,26,4,294,529,15,3,23,549,47,12,614,32960,4467,544,592,38562,876,183,1056,39615,2469,51,42139,437,83,8,16,535,161,11,170,712,74,7,790,611,162,14,16,804,78,57,136
Greater Brisbane,3GBRI,458,77,106,11,649,19,3,19,671,46,3,718,170,26,3,218,421,17,0,14,433,31,8,475,30125,3323,560,444,34449,817,125,945,35391,1811,32,37236,479,79,11,23,590,123,10,140,727,74,0,802,582,103,7,20,718,56,19,78,792,69,0,864,1064,179,21,45,1306,182,30,213,1522,145,0,1667,31183,3502,580,484,35754,997,160,1159,36909,1951,37,38896,5900,990,139,177,7211,308,58,360,7567,1785,20,9370,32,3,0,18,52,0,0,0,52,3,68,128,37113,4496,723,679,43013,1305,214,1518,44529,3744,126,48395,6844,630,102,38,7615,226,34,261,7877,466,11,8349,5296,812,68,43,6207,185,34,223,6432,325,3,6756,181,34,70,0,290,3,5,8,293,23,0,319,72,3,0,86,160,4,0,7,167,16,3,194,12398,1480,235,164,14272,416,73,493,14765,832,18,15613,154,23,9,4,181,47,0,49,234,23,0,261,237,22,6,10,276,18,16,33
Rest of Qld,3RQLD,415,84,144,0,642,20,0,22,666,55,0,721,191,29,4,249,470,12,7,15,490,35,9,530,29015,3760,712,545,34034,815,138,956,34988,1772,38,36801,425,77,15,15,537,168,8,175,704,94,4,806,586,107,5,16,709,52,16,68,778,64,0,846,1006,183,19,30,1242,220,22,243,1490,160,4,1655,30023,3938,736,579,35278,1037,164,1202,36474,1935,41,38455,4966,781,192,158,6101,312,57,367,6464,1615,30,8112,46,6,0,14,65,3,0,5,65,8,75,149,35036,4728,927,749,41446,1350,217,1565,43010,3563,144,46713,3033,357,55,23,3473,93,18,114,3578,193,8,3783,2539,441,44,28,3045,66,12,82,3129,217,4,3347,100,8,46,0,156,0,0,0,155,7,0,165,36,3,3,40,87,3,0,3,92,11,4,110,5714,805,146,90,6756,162,37,202,6954,434,15,7402,71,17,4,10,98,35,0,35,131,11,0,144,79,29,0,3,111,9,4,14
Rest of SA,4RSAU,76,10,31,3,118,3,0,5,120,17,0,138,28,3,6,33,73,0,0,0,73,12,0,82,4712,604,123,78,5517,108,26,133,5649,306,8,5962,42,15,0,4,64,28,0,26,94,16,0,107,65,8,0,3,76,6,3,13,88,6,0,92,107,28,5,6,145,37,3,34,177,17,0,202,4817,627,124,85,5663,140,28,165,5831,319,10,6160,678,140,29,22,869,39,8,48,915,327,3,1250,8,3,0,5,16,0,0,0,16,0,11,30,5508,773,155,109,6547,180,38,218,6761,652,26,7438,339,32,10,3,388,0,0,3,389,21,0,413,399,83,11,0,488,3,3,8,494,37,0,528,16,5,3,0,25,0,0,0,25,3,0,28,9,0,0,4,13,0,0,0,13,0,0,13,753,119,23,11,907,6,3,9,916,62,0,980,14,0,0,0,16,3,0,3,18,0,0,18,12,3,0,0,17,0,0,3
Greater Adelaide,4GADE,231,47,69,3,350,5,0,11,355,29,0,384,88,17,3,80,194,5,3,10,205,26,3,232,16274,2334,342,212,19154,423,74,501,19655,990,15,20666,220,46,5,7,283,78,8,83,365,41,0,401,305,59,7,3,372,48,21,61,438,32,0,473,522,108,13,9,657,124,23,144,803,66,0,873,16800,2442,354,221,19808,549,101,649,20457,1059,16,21538,2858,585,66,81,3581,188,54,240,3824,1316,10,5149,24,5,0,5,37,0,0,3,42,0,29,69,19681,3029,416,304,23433,738,155,890,24323,2377,58,26755,3892,471,66,28,4452,110,24,134,4582,322,0,4911,4018,687,76,31,4812,99,13,110,4922,304,10,5237,117,25,46,0,192,3,3,3,201,21,0,223,60,8,0,51,117,3,0,3,118,6,0,126,8087,1196,185,110,9581,207,44,251,9833,649,14,10495,98,24,4,3,133,35,5,39,170,24,0,192,122,33,5,0,165,19,6,31
Greater Perth,5GPER,354,43,101,3,499,22,3,29,532,27,0,553,166,41,6,170,376,9,0,5,389,32,5,424,24926,3118,543,362,28945,1026,145,1173,30115,1312,26,31457,428,49,19,14,508,139,12,152,658,54,3,713,647,92,29,15,781,101,16,119,902,70,3,969,1072,148,43,27,1288,242,30,269,1560,121,4,1688,25993,3260,586,390,30234,1272,176,1443,31682,1429,30,33139,5614,782,193,146,6732,369,73,448,7183,1268,19,8469,35,4,3,26,67,0,0,0,70,4,43,114,31648,4047,776,559,37031,1638,256,1894,38929,2703,93,41724,5480,609,76,31,6203,231,34,267,6470,344,4,6817,5554,885,108,50,6591,211,29,243,6831,349,5,7187,164,31,75,0,265,11,0,11,274,21,0,301,54,16,3,88,162,11,0,11,176,19,7,193,11254,1539,257,171,13223,462,65,528,13746,729,17,14498,222,19,7,0,253,60,8,62,315,22,0,338,227,38,4,4,270,44,6,45
Rest of WA,5RWAU,90,18,44,4,156,0,0,0,155,3,0,159,41,5,0,56,108,0,0,0,108,8,4,117,5705,737,211,124,6781,141,19,155,6939,299,5,7245,55,12,0,3,78,35,0,35,112,11,0,122,100,7,8,3,117,14,4,17,141,7,0,145,156,20,12,6,193,45,4,52,246,20,0,265,5863,762,226,130,6976,183,20,207,7188,320,5,7511,1022,144,51,36,1255,60,10,70,1320,287,4,1613,13,0,0,8,19,0,0,0,24,0,15,38,6896,902,275,175,8255,252,27,281,8533,606,31,9164,251,26,6,0,279,12,0,9,290,11,0,307,246,54,15,0,320,3,3,5,325,15,0,336,16,0,4,0,18,0,0,0,16,0,0,18,0,0,0,10,14,0,0,0,14,0,0,12,515,80,25,11,631,11,3,13,646,27,3,680,3,0,0,0,7,0,0,0,5,0,0,8,4,0,0,0,4,0,0,3
Greater Hobart,6GHOB,52,6,21,0,80,0,0,0,80,7,0,90,15,0,0,12,28,0,0,0,28,0,0,27,2730,451,62,25,3274,37,12,48,3320,195,0,3518,20,5,0,0,27,15,0,15,39,3,0,39,34,6,0,0,47,0,8,9,54,3,0,57,52,15,0,0,71,16,8,18,93,3,0,98,2788,462,65,30,3341,53,22,68,3413,197,0,3612,371,92,13,18,494,24,6,33,526,203,0,732,9,0,0,0,9,0,0,0,9,0,0,11,3164,559,78,51,3847,71,29,102,3949,399,4,4358,474,61,7,3,542,7,0,6,548,35,0,592,514,77,4,3,607,8,0,8,612,56,0,670,28,12,3,0,41,0,0,0,38,0,0,42,3,0,0,9,15,0,0,0,15,3,0,16,1020,149,20,17,1204,17,3,19,1218,93,0,1316,9,3,0,0,11,3,0,3,9,3,0,18,14,5,0,0,15,0,0,0
Rest of Tas.,6RTAS,61,5,15,3,91,0,0,0,95,16,0,108,23,6,0,22,51,0,0,0,46,0,0,55,3240,548,72,64,3931,85,11,96,4025,256,8,4293,25,11,0,0,36,20,0,20,53,15,0,68,43,4,0,0,47,10,3,10,63,17,0,78,71,22,0,0,89,30,3,32,119,30,0,147,3306,569,72,67,4021,108,17,128,4147,287,8,4442,643,131,26,28,821,41,6,48,874,353,0,1223,12,5,0,0,19,0,0,0,19,0,11,29,3967,700,105,93,4860,148,25,176,5035,644,19,5696,363,50,4,3,426,9,0,12,441,32,0,467,425,90,5,3,524,11,7,15,537,33,3,574,13,6,6,0,23,0,0,0,23,7,0,32,3,0,0,5,9,0,0,0,9,0,0,9,805,141,21,15,980,19,7,26,1006,77,3,1089,10,0,0,0,8,3,0,3,11,0,0,14,5,4,0,0,6,0,0,3
Rest of NT,7RNTE,4,0,0,0,12,0,0,0,7,4,0,13,0,0,0,7,14,0,0,0,12,4,0,16,512,66,10,16,606,9,7,15,622,69,0,693,16,4,0,0,18,43,0,41,55,4,0,65,9,0,0,0,9,9,5,17,23,8,0,27,18,4,0,0,22,51,6,56,83,10,0,94,527,73,10,16,624,63,15,73,703,83,0,784,80,37,0,0,121,27,3,33,150,237,0,386,0,0,0,0,0,4,3,3,4,0,3,11,610,106,15,18,751,93,21,110,860,314,3,1182,49,3,0,0,48,3,0,3,53,4,0,63,18,9,0,0,21,0,0,0,21,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,7,0,0,75,3,0,3,78,12,0,89,3,0,0,0,3,3,0,3,9,0,0,9,0,0,0,0,0,0,0,0
Greater Darwin,7GDAR,40,6,8,0,53,0,0,0,53,3,0,54,12,0,0,20,32,0,0,0,33,3,0,38,1709,175,42,37,1963,35,5,45,2003,87,0,2095,28,0,0,0,31,3,0,3,31,0,0,32,16,5,0,0,20,3,0,3,22,4,0,28,40,5,3,0,50,3,0,9,58,4,0,63,1756,179,46,37,2009,44,6,49,2062,95,0,2150,210,28,12,12,263,5,0,4,268,47,0,320,3,0,0,3,3,0,0,0,3,0,4,9,1971,202,56,55,2279,44,7,55,2337,139,7,2479,249,16,3,0,267,3,3,7,272,12,0,288,88,24,3,4,123,0,0,3,123,5,0,132,6,0,3,0,10,0,0,0,10,0,0,10,5,0,0,14,15,0,0,0,15,0,0,15,344,39,12,15,414,4,4,10,424,16,0,447,6,0,3,0,12,0,0,0,12,0,0,12,7,0,0,0,7,0,0,0
Australian Capital Territory,8ACTE,85,17,23,0,123,0,3,3,127,8,0,135,16,6,0,34,54,3,0,3,54,7,0,55,5910,624,107,69,6713,75,17,94,6804,296,8,7105,58,13,6,3,72,11,0,11,80,6,0,93,58,10,3,0,65,7,3,11,74,8,0,87,108,19,9,6,139,13,3,17,163,14,0,176,6019,642,114,76,6851,90,20,112,6967,311,8,7285,691,90,12,14,815,17,10,26,840,164,0,1004,8,3,0,3,15,0,0,0,15,3,7,27,6725,735,127,95,7681,108,33,136,7820,481,15,8314,1502,182,26,15,1723,27,3,36,1752,145,3,1903,824,112,22,3,954,16,3,15,972,45,3,1023,50,8,14,3,76,0,0,0,78,5,0,82,4,0,3,7,16,0,0,0,18,0,0,24,2379,306,57,31,2770,48,10,56,2830,198,6,3031,17,5,0,0,24,3,0,4,30,0,0,33,26,3,3,0,30,0,0,0
Other Territories,9OTER,0,3,0,0,4,0,0,0,4,0,0,4,0,0,0,0,5,0,0,0,5,0,0,5,35,4,0,0,46,0,0,0,46,3,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,4,0,0,46,0,0,0,46,3,0,46,6,0,0,3,9,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,6,41,7,3,4,55,0,0,0,53,0,0,62,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
