gcc_name16,gcc_code16,d_18_20_fpulptw_mptlf,d_18_20_fpulptw_mpnlf,d_18_20_fpulptw_mplfsns,d_18_20_fpulptw_t,d_18_20_fput_mpeft,d_18_20_fput_mpept,d_18_20_fput_mpeaw,d_18_20_fput_mpehns,d_18_20_fput_mpet,d_18_20_fput_mpulftw,d_18_20_fput_mpulptw,d_18_20_fput_mput,d_18_20_fput_mptlf,d_18_20_fput_mpnlf,d_18_20_fput_mplfsns,d_18_20_fput_t,d_18_20_fptlf_mpeft,d_18_20_fptlf_mpept,d_18_20_fptlf_mpeaw,d_18_20_fptlf_mpehns,d_18_20_fptlf_mpet,d_18_20_fptlf_mpulftw,d_18_20_fptlf_mpulptw,d_18_20_fptlf_mput,d_18_20_fptlf_mptlf,d_18_20_fptlf_mpnlf,d_18_20_fptlf_mplfsns,d_18_20_fptlf_t,d_18_20_fpnlf_mpeft,d_18_20_fpnlf_mpept,d_18_20_fpnlf_mpeaw,d_18_20_fpnlf_mpehns,d_18_20_fpnlf_mpet,d_18_20_fpnlf_mpulftw,d_18_20_fpnlf_mpulptw,d_18_20_fpnlf_mput,d_18_20_fpnlf_mptlf,d_18_20_fpnlf_mpnlf,d_18_20_fpnlf_mplfsns,d_18_20_fpnlf_t,d_18_20_fplfsns_mpeft,d_18_20_fplfsns_mpept,d_18_20_fplfsns_mpeaw,d_18_20_fplfsns_mpehns,d_18_20_fplfsns_mpet,d_18_20_fplfsns_mpulftw,d_18_20_fplfsns_mpulptw,d_18_20_fplfsns_mput,d_18_20_fplfsns_mptlf,d_18_20_fplfsns_mpnlf,d_18_20_fplfsns_mplfsns,d_18_20_fplfsns_t,d_18_20_fpt_mpeft,d_18_20_fpt_mpept,d_18_20_fpt_mpeaw,d_18_20_fpt_mpehns,d_18_20_fpt_mpet,d_18_20_fpt_mpulftw,d_18_20_fpt_mpulptw,d_18_20_fpt_mput,d_18_20_fpt_mptlf,d_18_20_fpt_mpnlf,d_18_20_fpt_mplfsns,d_18_20_fpt_t,d_21_24_fpeft_mpeft,d_21_24_fpeft_mpept,d_21_24_fpeft_mpeaw,d_21_24_fpeft_mpehns,d_21_24_fpeft_mpet,d_21_24_fpeft_mpulftw,d_21_24_fpeft_mpulptw,d_21_24_fpeft_mput,d_21_24_fpeft_mptlf,d_21_24_fpeft_mpnlf,d_21_24_fpeft_mplfsns,d_21_24_fpeft_t,d_21_24_fpept_mpeft,d_21_24_fpept_mpept,d_21_24_fpept_mpeaw,d_21_24_fpept_mpehns,d_21_24_fpept_mpet,d_21_24_fpept_mpulftw,d_21_24_fpept_mpulptw,d_21_24_fpept_mput,d_21_24_fpept_mptlf,d_21_24_fpept_mpnlf,d_21_24_fpept_mplfsns,d_21_24_fpept_t,d_21_24_fpeaw_mpeft,d_21_24_fpeaw_mpept,d_21_24_fpeaw_mpeaw,d_21_24_fpeaw_mpehns,d_21_24_fpeaw_mpet,d_21_24_fpeaw_mpulftw,d_21_24_fpeaw_mpulptw,d_21_24_fpeaw_mput,d_21_24_fpeaw_mptlf,d_21_24_fpeaw_mpnlf,d_21_24_fpeaw_mplfsns,d_21_24_fpeaw_t,d_21_24_fphns_mpeft,d_21_24_fphns_mpept,d_21_24_fphns_mpeaw,d_21_24_fphns_mpehns,d_21_24_fphns_mpet,d_21_24_fphns_mpulftw,d_21_24_fphns_mpulptw,d_21_24_fphns_mput,d_21_24_fphns_mptlf,d_21_24_fphns_mpnlf,d_21_24_fphns_mplfsns,d_21_24_fphns_t,d_21_24_fpet_mpeft,d_21_24_fpet_mpept,d_21_24_fpet_mpeaw,d_21_24_fpet_mpehns,d_21_24_fpet_mpet,d_21_24_fpet_mpulftw,d_21_24_fpet_mpulptw,d_21_24_fpet_mput,d_21_24_fpet_mptlf,d_21_24_fpet_mpnlf,d_21_24_fpet_mplfsns,d_21_24_fpet_t,d_21_24_fpulftw_mpeft,d_21_24_fpulftw_mpept,d_21_24_fpulftw_mpeaw,d_21_24_fpulftw_mpehns,d_21_24_fpulftw_mpet,d_21_24_fpulftw_mpulftw,d_21_24_fpulftw_mpulptw,d_21_24_fpulftw_mput,d_21_24_fpulftw_mptlf,d_21_24_fpulftw_mpnlf,d_21_24_fpulftw_mplfsns,d_21_24_fpulftw_t,d_21_24_fpulptw_mpeft,d_21_24_fpulptw_mpept,d_21_24_fpulptw_mpeaw,d_21_24_fpulptw_mpehns,d_21_24_fpulptw_mpet,d_21_24_fpulptw_mpulftw,d_21_24_fpulptw_mpulptw,d_21_24_fpulptw_mput,d_21_24_fpulptw_mptlf,d_21_24_fpulptw_mpnlf,d_21_24_fpulptw_mplfsns,d_21_24_fpulptw_t,d_21_24_fput_mpeft,d_21_24_fput_mpept,d_21_24_fput_mpeaw,d_21_24_fput_mpehns,d_21_24_fput_mpet,d_21_24_fput_mpulftw,d_21_24_fput_mpulptw,d_21_24_fput_mput,d_21_24_fput_mptlf,d_21_24_fput_mpnlf,d_21_24_fput_mplfsns,d_21_24_fput_t,d_21_24_fptlf_mpeft,d_21_24_fptlf_mpept,d_21_24_fptlf_mpeaw,d_21_24_fptlf_mpehns,d_21_24_fptlf_mpet,d_21_24_fptlf_mpulftw,d_21_24_fptlf_mpulptw,d_21_24_fptlf_mput,d_21_24_fptlf_mptlf,d_21_24_fptlf_mpnlf,d_21_24_fptlf_mplfsns,d_21_24_fptlf_t,d_21_24_fpnlf_mpeft,d_21_24_fpnlf_mpept,d_21_24_fpnlf_mpeaw,d_21_24_fpnlf_mpehns,d_21_24_fpnlf_mpet,d_21_24_fpnlf_mpulftw,d_21_24_fpnlf_mpulptw,d_21_24_fpnlf_mput,d_21_24_fpnlf_mptlf,d_21_24_fpnlf_mpnlf,d_21_24_fpnlf_mplfsns,d_21_24_fpnlf_t,d_21_24_fplfsns_mpeft,d_21_24_fplfsns_mpept,d_21_24_fplfsns_mpeaw,d_21_24_fplfsns_mpehns,d_21_24_fplfsns_mpet,d_21_24_fplfsns_mpulftw,d_21_24_fplfsns_mpulptw,d_21_24_fplfsns_mput,d_21_24_fplfsns_mptlf,d_21_24_fplfsns_mpnlf,d_21_24_fplfsns_mplfsns,d_21_24_fplfsns_t,d_21_24_fpt_mpeft,d_21_24_fpt_mpept,d_21_24_fpt_mpeaw,d_21_24_fpt_mpehns
Rest of NSW,1RNSW,133,17,0,149,166,30,3,3,204,44,7,44,253,37,0,291,8693,1178,204,132,10213,199,56,260,10471,740,8,11222,1266,218,46,33,1565,50,19,67,1631,549,8,2184,14,4,0,4,27,0,0,0,27,0,27,48,9981,1401,252,169,11803,248,79,325,12125,1287,44,13456,1476,163,25,11,1679,35,13,53,1726,171,3,1903,1351,212,29,15,1609,23,11,27,1637,166,3,1801,46,7,29,0,88,0,0,0,90,5,0,89,15,0,0,20,37,0,0,0,40,3,3,43,2886,384,86,43,3406,57,26,79,3490,343,10,3841,20,4,0,0,26,3,0,3,29,8,0,44,28,5,3,0,36,0,0,3,42,5,0,49,48,13,5,0,66,3,0,9,70,18,0,90,2938,397,95,43,3470,64,28,92,3563,357,10,3927,473,82,19,13,586,16,5,24,612,278,0,894,3,0,0,0,3,0,0,0,3,4,7,16,3412,480,111,57
Greater Sydney,1GSYD,953,130,4,1086,1002,280,19,37,1346,178,82,265,1611,225,4,1837,33793,4854,590,651,39889,968,295,1272,41158,2802,58,44016,8239,1946,183,319,10690,395,168,558,11251,3757,27,15036,33,8,0,47,82,0,0,0,89,22,103,214,42067,6810,776,1015,50667,1363,464,1827,52494,6573,192,59263,9064,1007,105,72,10248,233,56,290,10530,917,3,11455,6345,1410,99,67,7925,171,63,229,8158,727,5,8890,211,51,117,9,382,4,3,9,391,33,0,422,112,14,3,173,301,0,3,3,308,36,11,359,15734,2482,322,319,18852,405,121,527,19388,1717,20,21123,180,51,4,3,239,60,9,73,310,52,0,367,253,90,4,3,358,37,36,75,433,71,0,499,437,140,9,10,598,104,41,146,745,121,3,866,16167,2629,332,330,19453,510,162,675,20128,1836,29,21990,3941,1046,116,148,5252,197,95,288,5537,2538,20,8099,23,3,0,23,51,3,0,3,51,6,61,118,20129,3673,452,502
Rest of Vic.,2RVIC,99,6,0,107,133,18,3,0,163,24,6,35,194,18,0,207,5788,780,170,111,6846,102,23,123,6971,388,18,7378,866,172,34,25,1104,32,11,47,1152,371,3,1520,18,0,0,5,23,0,0,0,20,0,17,40,6677,949,203,143,7972,138,32,175,8144,757,39,8940,752,98,15,5,862,15,3,16,884,75,5,962,888,159,25,4,1076,3,4,6,1085,77,4,1160,28,4,20,7,57,0,0,0,57,8,0,63,19,0,0,16,32,0,0,0,35,0,0,34,1679,256,56,37,2026,18,11,28,2054,159,9,2220,14,6,0,0,17,4,0,4,18,3,0,23,30,5,0,0,32,4,0,4,36,0,0,36,40,12,0,0,48,9,0,9,57,3,0,61,1717,272,55,35,2080,22,11,38,2112,159,9,2277,227,58,10,10,305,13,8,19,330,143,3,468,5,0,0,0,5,0,0,0,5,0,3,11,1947,330,68,43
Greater Melbourne,2GMEL,942,116,0,1060,1049,244,23,27,1343,240,65,307,1652,195,6,1845,34005,4708,563,619,39904,1114,248,1365,41268,2661,58,43984,7566,1479,151,243,9434,339,138,479,9914,3211,30,13150,47,11,0,55,111,0,0,0,113,11,105,232,41615,6199,716,913,49446,1460,385,1843,51288,5881,199,57369,7912,989,91,72,9061,232,49,281,9344,778,12,10129,7740,1471,116,60,9394,207,55,256,9652,746,15,10413,225,46,106,0,375,7,3,10,383,56,0,441,121,19,3,137,287,12,5,15,299,42,6,343,16007,2529,318,273,19124,450,114,560,19678,1616,28,21323,182,44,3,9,236,79,6,86,324,45,0,375,241,63,0,7,320,35,34,67,383,44,0,432,421,111,3,13,556,115,46,154,709,88,3,803,16429,2636,322,285,19672,560,152,714,20392,1701,31,22126,3813,787,99,132,4830,175,69,240,5068,2277,17,7365,21,9,0,16,47,0,0,3,45,5,56,106,20263,3430,421,437
Greater Brisbane,3GBRI,309,26,0,337,391,44,10,15,455,70,19,86,547,50,0,594,12782,1522,250,173,14728,487,90,582,15311,887,18,16216,2254,365,66,43,2728,109,31,138,2873,866,11,3753,4,6,0,8,19,0,0,0,19,4,24,42,15038,1894,316,225,17473,598,122,726,18199,1753,55,20007,2758,306,54,14,3130,93,28,116,3247,262,0,3510,2121,367,30,10,2530,70,13,80,2612,229,3,2837,109,21,33,0,166,6,0,6,167,12,0,178,23,3,0,45,72,4,0,5,75,13,0,91,5018,691,116,70,5895,169,37,207,6103,518,5,6623,60,13,0,3,77,15,3,14,91,10,0,105,64,16,0,3,89,14,8,19,105,23,0,127,122,29,0,7,165,24,13,40,198,30,0,235,5143,729,120,70,6057,193,46,244,6304,545,5,6855,993,183,33,29,1233,61,20,83,1308,568,0,1884,6,0,0,0,5,0,0,0,5,0,5,13,6137,912,152,99
Rest of Qld,3RQLD,124,14,0,139,147,44,4,14,210,47,8,49,264,22,0,284,5858,849,153,105,6962,207,41,250,7213,454,15,7685,842,195,26,28,1091,55,11,63,1156,385,3,1549,8,0,0,3,10,0,0,0,10,0,10,19,6712,1044,183,137,8073,258,58,317,8386,842,22,9257,1217,167,29,7,1420,40,3,42,1459,107,0,1564,812,179,27,3,1023,29,7,41,1063,110,4,1181,30,12,16,0,58,0,0,3,56,3,0,65,14,3,3,16,36,0,0,0,36,3,0,39,2072,361,72,24,2531,68,14,86,2615,226,3,2849,33,3,0,0,35,9,0,9,47,6,0,52,26,9,0,0,35,3,3,4,38,7,0,50,64,11,0,0,75,13,3,15,91,16,0,103,2139,371,72,28,2605,82,17,100,2709,245,3,2953,328,89,10,5,437,21,9,26,464,213,0,677,0,3,0,0,3,0,0,0,3,0,5,6,2471,459,83,36
Rest of SA,4RSAU,22,0,0,20,21,3,0,0,26,4,0,6,33,0,0,38,776,119,26,10,934,14,3,15,954,66,0,1022,107,16,8,0,130,3,0,5,131,68,0,202,0,0,3,0,6,0,0,0,6,0,0,10,889,135,33,10,1070,16,8,20,1094,129,5,1227,95,10,0,0,106,0,0,0,112,14,0,124,74,13,0,0,92,0,0,0,91,13,0,99,6,0,6,0,12,0,0,0,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,174,29,9,3,208,3,0,3,211,20,0,234,0,0,3,0,6,7,0,7,10,0,0,11,0,0,0,0,0,0,0,5,3,0,0,3,4,0,3,0,6,7,0,8,13,0,0,10,178,26,6,3,213,9,4,10,225,25,0,245,20,4,0,0,32,0,0,0,35,20,0,49,0,0,0,0,0,0,0,0,0,0,0,0,196,36,7,3
Greater Adelaide,4GADE,192,18,0,205,220,59,6,3,295,53,16,72,358,39,0,396,8301,1257,195,116,9875,264,51,320,10189,688,14,10892,1278,320,33,49,1683,66,25,96,1777,797,7,2582,10,0,0,8,16,3,0,3,21,0,12,32,9593,1583,232,165,11573,339,83,419,11989,1486,27,13503,1857,273,27,16,2164,60,9,71,2242,206,0,2444,1849,366,38,7,2270,48,9,61,2326,183,0,2514,71,17,35,0,116,6,0,6,120,17,0,141,23,5,0,20,50,0,0,0,50,3,0,57,3798,656,102,45,4596,114,23,137,4738,414,6,5150,38,14,3,0,53,14,3,20,72,12,0,84,44,18,3,0,61,5,6,6,72,14,0,89,80,30,3,0,119,22,6,26,146,29,0,169,3882,681,102,45,4718,135,33,167,4884,440,6,5323,657,182,24,17,887,52,18,70,952,568,3,1529,0,0,0,0,0,0,0,0,0,4,9,13,4541,865,132,71
Greater Perth,5GPER,320,18,0,337,445,56,16,3,522,98,13,108,636,41,0,674,11698,1598,274,180,13748,561,71,635,14381,771,21,15177,2336,428,96,51,2913,154,29,181,3099,680,3,3783,9,3,3,6,27,0,0,0,26,4,15,46,14047,2028,372,236,16685,717,100,821,17507,1460,40,19007,2472,305,42,18,2835,124,26,147,2979,237,0,3215,2336,468,59,23,2880,95,20,111,2997,240,0,3234,85,23,49,0,164,7,0,7,170,12,0,186,31,6,3,38,78,4,0,4,88,4,4,93,4921,804,153,75,5956,233,47,276,6232,498,7,6736,79,14,3,3,101,34,3,38,141,13,0,151,107,17,0,0,133,17,10,24,149,16,0,168,190,36,4,5,231,52,12,58,289,26,0,314,5109,836,157,79,6189,277,55,335,6523,519,9,7052,1014,227,51,33,1336,67,20,88,1418,493,0,1910,4,0,0,8,13,0,0,0,13,3,3,26,6134,1066,212,128
Rest of WA,5RWAU,10,0,0,11,10,0,0,0,6,5,0,7,16,0,0,14,519,80,25,12,635,16,3,19,659,31,3,696,98,18,10,0,126,3,0,4,129,30,0,158,0,0,0,0,3,0,0,0,3,0,4,4,623,93,33,17,768,23,6,25,791,61,4,857,72,6,0,0,82,0,0,0,82,6,0,89,64,14,0,0,79,0,0,5,85,0,0,89,3,0,3,0,6,0,0,0,6,0,0,6,0,0,0,0,4,0,0,0,4,0,0,4,143,18,3,0,168,0,0,5,175,6,0,179,3,0,0,0,3,0,0,0,0,0,0,6,3,0,0,0,3,0,0,3,7,0,0,7,3,0,0,0,3,3,0,0,6,0,0,7,145,18,3,0,176,7,3,6,183,10,0,191,22,0,0,0,26,0,0,0,23,4,0,30,0,0,0,0,0,0,0,0,0,0,0,0,170,25,6,0
