gcc_name16,gcc_code16,d_21_24_fpt_mpet,d_21_24_fpt_mpulftw,d_21_24_fpt_mpulptw,d_21_24_fpt_mput,d_21_24_fpt_mptlf,d_21_24_fpt_mpnlf,d_21_24_fpt_mplfsns,d_21_24_fpt_t,tdcf_fpeft_mpeft,tdcf_fpeft_mpept,tdcf_fpeft_mpeaw,tdcf_fpeft_mpehns,tdcf_fpeft_mpet,tdcf_fpeft_mpulftw,tdcf_fpeft_mpulptw,tdcf_fpeft_mput,tdcf_fpeft_mptlf,tdcf_fpeft_mpnlf,tdcf_fpeft_mplfsns,tdcf_fpeft_t,tdcf_fpept_mpeft,tdcf_fpept_mpept,tdcf_fpept_mpeaw,tdcf_fpept_mpehns,tdcf_fpept_mpet,tdcf_fpept_mpulftw,tdcf_fpept_mpulptw,tdcf_fpept_mput,tdcf_fpept_mptlf,tdcf_fpept_mpnlf,tdcf_fpept_mplfsns,tdcf_fpept_t,tdcf_fpeaw_mpeft,tdcf_fpeaw_mpept,tdcf_fpeaw_mpeaw,tdcf_fpeaw_mpehns,tdcf_fpeaw_mpet,tdcf_fpeaw_mpulftw,tdcf_fpeaw_mpulptw,tdcf_fpeaw_mput,tdcf_fpeaw_mptlf,tdcf_fpeaw_mpnlf,tdcf_fpeaw_mplfsns,tdcf_fpeaw_t,tdcf_fphns_mpeft,tdcf_fphns_mpept,tdcf_fphns_mpeaw,tdcf_fphns_mpehns,tdcf_fphns_mpet,tdcf_fphns_mpulftw,tdcf_fphns_mpulptw,tdcf_fphns_mput,tdcf_fphns_mptlf,tdcf_fphns_mpnlf,tdcf_fphns_mplfsns,tdcf_fphns_t,tdcf_fpet_mpeft,tdcf_fpet_mpept,tdcf_fpet_mpeaw,tdcf_fpet_mpehns,tdcf_fpet_mpet,tdcf_fpet_mpulftw,tdcf_fpet_mpulptw,tdcf_fpet_mput,tdcf_fpet_mptlf,tdcf_fpet_mpnlf,tdcf_fpet_mplfsns,tdcf_fpet_t,tdcf_fpulftw_mpeft,tdcf_fpulftw_mpept,tdcf_fpulftw_mpeaw,tdcf_fpulftw_mpehns,tdcf_fpulftw_mpet,tdcf_fpulftw_mpulftw,tdcf_fpulftw_mpulptw,tdcf_fpulftw_mput,tdcf_fpulftw_mptlf,tdcf_fpulftw_mpnlf,tdcf_fpulftw_mplfsns,tdcf_fpulftw_t,tdcf_fpulptw_mpeft,tdcf_fpulptw_mpept,tdcf_fpulptw_mpeaw,tdcf_fpulptw_mpehns,tdcf_fpulptw_mpet,tdcf_fpulptw_mpulftw,tdcf_fpulptw_mpulptw,tdcf_fpulptw_mput,tdcf_fpulptw_mptlf,tdcf_fpulptw_mpnlf,tdcf_fpulptw_mplfsns,tdcf_fpulptw_t,tdcf_fput_mpeft,tdcf_fput_mpept,tdcf_fput_mpeaw,tdcf_fput_mpehns,tdcf_fput_mpet,tdcf_fput_mpulftw,tdcf_fput_mpulptw,tdcf_fput_mput,tdcf_fput_mptlf,tdcf_fput_mpnlf,tdcf_fput_mplfsns,tdcf_fput_t,tdcf_fptlf_mpeft,tdcf_fptlf_mpept,tdcf_fptlf_mpeaw,tdcf_fptlf_mpehns,tdcf_fptlf_mpet,tdcf_fptlf_mpulftw,tdcf_fptlf_mpulptw,tdcf_fptlf_mput,tdcf_fptlf_mptlf,tdcf_fptlf_mpnlf,tdcf_fptlf_mplfsns,tdcf_fptlf_t,tdcf_fpnlf_mpeft,tdcf_fpnlf_mpept,tdcf_fpnlf_mpeaw,tdcf_fpnlf_mpehns,tdcf_fpnlf_mpet,tdcf_fpnlf_mpulftw,tdcf_fpnlf_mpulptw,tdcf_fpnlf_mput,tdcf_fpnlf_mptlf,tdcf_fpnlf_mpnlf,tdcf_fpnlf_mplfsns,tdcf_fpnlf_t,tdcf_fplfsns_mpeft,tdcf_fplfsns_mpept,tdcf_fplfsns_mpeaw,tdcf_fplfsns_mpehns,tdcf_fplfsns_mpet,tdcf_fplfsns_mpulftw,tdcf_fplfsns_mpulptw,tdcf_fplfsns_mput,tdcf_fplfsns_mptlf,tdcf_fplfsns_mpnlf,tdcf_fplfsns_mplfsns,tdcf_fplfsns_t,tdcf_fpt_mpeft,tdcf_fpt_mpept,tdcf_fpt_mpeaw,tdcf_fpt_mpehns,tdcf_fpt_mpet,tdcf_fpt_mpulftw,tdcf_fpt_mpulptw,tdcf_fpt_mput,tdcf_fpt_mptlf,tdcf_fpt_mpnlf,tdcf_fpt_mplfsns,tdcf_fpt_t
Rest of NSW,1RNSW,4069,80,32,117,4181,642,15,4835,85285,10341,1336,673,97639,1515,458,1977,99613,5765,88,105468,134545,17530,2102,1341,155531,1903,496,2396,157927,5877,193,164003,11513,1469,1880,152,15021,192,51,245,15258,475,22,15762,1616,187,52,1736,3596,77,8,84,3679,258,84,4024,232955,29529,5382,3912,271775,3685,1014,4701,276480,12374,392,289251,2126,510,36,73,2747,692,66,754,3507,461,6,3971,4976,780,112,152,6014,496,153,646,6661,451,23,7141,7098,1292,148,222,8766,1189,220,1407,10171,911,31,11114,240058,30820,5523,4136,280537,4873,1239,6107,286645,13288,429,300366,61600,10182,1895,1923,75594,3443,743,4180,79777,16029,272,96075,551,117,19,200,881,10,7,20,909,107,902,1910,302209,41121,7434,6252,357020,8328,1983,10313,367329,29423,1597,398352
Greater Sydney,1GSYD,24754,703,258,965,25716,4382,103,30204,209752,21760,2032,1504,235048,4786,1251,6032,241081,13315,229,254628,246587,29410,2567,2144,280705,3680,887,4570,285278,9104,271,294645,23213,2350,2993,274,28832,336,37,379,29215,827,36,30075,3455,499,91,3639,7684,135,52,187,7872,543,292,8698,483006,54021,7682,7561,552267,8939,2230,11169,563437,23792,825,588050,7071,1171,102,160,8507,1336,160,1496,10006,798,12,10816,13238,2369,145,339,16089,1113,508,1624,17709,1131,41,18889,20310,3541,246,497,24596,2448,670,3120,27712,1934,59,29699,503312,57556,7929,8059,576862,11393,2897,14292,591152,25717,880,617755,173090,33901,3506,5893,216387,7345,2200,9547,225933,43355,909,270205,984,249,24,924,2173,45,15,60,2238,290,2371,4900,677386,91708,11455,14875,795430,18782,5119,23898,819325,69365,4161,892857
Rest of Vic.,2RVIC,2387,36,20,59,2442,300,8,2757,39790,5095,647,315,45842,686,234,921,46764,2648,91,49502,83334,9743,1510,832,95419,1022,209,1234,96651,3207,116,99982,6687,808,1108,114,8716,109,23,132,8849,257,5,9113,988,126,16,1011,2142,19,4,23,2166,116,43,2323,130793,15777,3280,2264,152118,1844,476,2318,154434,6230,259,160922,1106,221,29,36,1387,324,23,351,1739,210,4,1958,2634,339,46,41,3068,247,110,349,3419,213,11,3644,3739,566,78,75,4458,572,129,701,5158,426,13,5597,134536,16337,3356,2341,156570,2410,609,3015,159587,6655,277,166518,37892,5771,1178,1256,46096,1772,418,2191,48287,8002,132,56424,352,36,22,114,521,13,3,14,536,49,471,1057,172777,22147,4556,3710,203182,4199,1027,5223,208406,14711,885,223996
Greater Melbourne,2GMEL,24544,736,224,962,25507,3990,97,29593,160883,19811,1777,1222,183692,4604,1034,5633,189324,11125,219,200662,257533,30832,2728,2309,293404,4123,896,5015,298421,9625,323,308365,21653,2430,2900,239,27222,319,60,379,27606,753,26,28383,3295,548,64,3220,7126,202,45,242,7375,498,238,8106,443371,53624,7470,6983,511454,9244,2028,11271,522728,21994,803,545523,6719,1262,121,187,8290,1782,145,1924,10214,816,25,11059,13270,2045,123,285,15722,1355,560,1913,17636,968,37,18640,19985,3305,249,472,24007,3138,701,3842,27849,1784,63,29697,463358,56933,7715,7460,535459,12387,2726,15110,550575,23782,860,575220,159743,26767,3291,4621,194412,7530,1786,9314,203731,36300,699,240735,1026,239,19,820,2100,45,12,58,2162,233,2010,4407,624128,83936,11021,12893,731982,19960,4525,24489,756466,60317,3577,820358
Greater Brisbane,3GBRI,7294,257,71,324,7622,1116,17,8751,92976,10034,1215,602,104833,2731,570,3303,108135,6234,104,114473,118405,13690,1477,945,134516,2456,421,2877,137393,4526,118,142038,11529,1349,1433,117,14430,207,24,233,14664,480,14,15147,1438,219,29,1514,3202,100,20,119,3318,257,102,3683,224345,25293,4158,3186,256982,5493,1031,6523,263505,11492,342,275341,4063,679,73,107,4922,1038,64,1103,6023,486,21,6531,6252,930,106,193,7476,659,193,855,8330,449,9,8792,10311,1611,179,298,12404,1698,257,1955,14357,931,29,15316,234658,26905,4337,3484,269386,7190,1286,8478,277863,12426,371,290657,71691,10548,1876,1997,86111,3876,783,4664,90773,14556,258,105585,379,51,6,269,713,18,4,21,732,62,883,1678,306731,37506,6213,5752,356209,11086,2077,13167,369368,27046,1507,397926
Rest of Qld,3RQLD,3046,103,21,124,3171,461,10,3638,80283,9462,1352,638,91736,2217,470,2680,94415,5270,95,99786,112820,15190,2076,1184,131267,2491,390,2877,134151,5401,157,139708,9110,1138,1474,94,11810,223,34,257,12072,498,15,12587,1453,196,51,1553,3253,102,20,125,3371,246,94,3715,203666,25978,4946,3471,238069,5030,912,5946,244011,11417,369,255791,3081,589,96,104,3877,1227,78,1308,5183,668,9,5867,5780,876,127,177,6963,631,249,882,7843,509,18,8371,8859,1472,221,285,10835,1860,326,2188,13023,1182,26,14231,212528,27452,5170,3754,248904,6888,1238,8132,257033,12599,395,270030,63505,9916,2267,1981,77668,4496,829,5321,82989,14886,248,98127,445,87,17,192,738,22,3,25,763,95,970,1827,276478,37446,7454,5926,327310,11405,2074,13477,340787,27585,1613,369989
Rest of SA,4RSAU,245,11,4,12,258,43,0,299,9596,1103,149,91,10937,198,39,242,11175,654,9,11840,19524,2603,360,177,22672,282,50,329,22996,871,41,23907,1497,204,337,20,2060,28,5,32,2095,91,0,2184,220,29,21,230,502,15,0,16,512,43,6,560,30842,3940,860,525,36165,519,98,613,36782,1656,55,38496,293,67,16,19,386,164,8,167,560,101,6,663,600,72,17,18,713,83,37,119,828,59,3,893,890,136,32,39,1102,245,41,287,1391,163,7,1563,31734,4080,893,557,37266,765,142,902,38168,1823,68,40053,8882,1593,339,254,11067,558,112,662,11731,2494,42,14265,71,33,5,15,125,0,0,0,128,6,206,338,40693,5699,1238,831,48462,1323,248,1566,50031,4327,309,54660
Greater Adelaide,4GADE,5601,187,50,238,5841,1010,15,6859,39296,5767,541,282,45886,1237,281,1520,47403,3075,23,50500,70805,9880,974,499,82162,1388,304,1693,83853,2988,70,86912,6255,897,1025,71,8253,108,20,134,8390,276,14,8678,685,148,24,675,1529,38,16,49,1583,111,40,1731,117048,16698,2567,1531,137834,2770,621,3394,141227,6451,139,147824,1619,389,62,31,2106,611,56,669,2773,258,8,3041,3010,598,56,58,3721,368,104,475,4195,263,9,4467,4629,983,114,93,5825,983,164,1145,6968,520,15,7505,121671,17686,2679,1618,143660,3755,787,4539,148195,6971,159,155327,33504,6612,864,872,41853,2351,542,2890,44744,10323,117,55190,232,56,3,115,410,14,3,16,426,31,400,853,155410,24351,3551,2609,185925,6115,1332,7444,193363,17328,679,211373
Greater Perth,5GPER,7532,348,74,418,7955,1013,13,8986,58985,7739,1023,421,68170,2724,488,3212,71385,4274,71,75721,108100,12811,1797,935,123640,3095,381,3473,127118,3553,96,130767,8250,1006,1308,86,10648,273,27,307,10950,309,19,11279,1130,200,47,1114,2490,88,12,103,2591,162,82,2829,176464,21751,4175,2556,204951,6185,905,7091,212036,8291,271,220598,3627,446,94,68,4239,935,86,1020,5259,379,7,5645,7256,904,234,143,8526,839,151,995,9520,397,12,9933,10881,1350,328,212,12769,1779,235,2015,14783,773,26,15576,187346,23103,4504,2766,217715,7957,1143,9100,226816,9064,290,236175,71242,9205,2379,1773,84596,4535,670,5204,89798,10733,220,100754,341,56,13,221,635,28,10,33,671,101,675,1440,258929,32357,6898,4760,302949,12522,1822,14339,317288,19900,1187,338366
Rest of WA,5RWAU,198,9,3,6,204,12,0,220,13913,1602,306,136,15963,391,77,470,16427,899,19,17346,25644,3167,772,301,29882,492,58,555,30435,936,37,31404,1776,219,466,27,2492,46,3,50,2537,69,0,2604,355,41,11,378,784,10,0,10,794,35,12,845,41686,5030,1556,843,49115,939,143,1079,50196,1944,66,52206,500,60,23,28,616,305,6,310,930,124,8,1059,1107,111,46,39,1309,159,50,211,1521,115,8,1643,1611,172,74,62,1922,462,58,523,2450,242,17,2702,43302,5204,1630,905,51037,1397,205,1607,52643,2181,85,54904,16466,1966,988,513,19926,1120,159,1272,21199,3182,80,24462,149,29,7,34,214,7,11,16,230,20,307,552,59909,7197,2621,1450,71172,2522,372,2892,74069,5379,475,79921
