gcc_name16,gcc_code16,p_pgrad_deg_35_44,p_pgrad_deg_45_54,p_pgrad_deg_55_64,p_pgrad_deg_65_74,p_pgrad_deg_75_84,p_pgrad_deg_85ov,p_pgrad_deg_total,p_graddip_and_gradcert_15_24,p_graddip_and_gradcert_25_34,p_graddip_and_gradcert_35_44,p_graddip_and_gradcert_45_54,p_graddip_and_gradcert_55_64,p_graddip_and_gradcert_65_74,p_graddip_and_gradcert_75_84,p_graddip_and_gradcert_85ov,p_graddip_and_gradcert_total,p_bachdeg_15_24,p_bachdeg_25_34,p_bachdeg_35_44,p_bachdeg_45_54,p_bachdeg_55_64,p_bachdeg_65_74,p_bachdeg_75_84,p_bachdeg_85ov,p_bachdeg_total,p_advdip_and_dip_15_24,p_advdip_and_dip_25_34,p_advdip_and_dip_35_44,p_advdip_and_dip_45_54,p_advdip_and_dip_55_64,p_advdip_and_dip_65_74,p_advdip_and_dip_75_84,p_advdip_and_dip_85ov,p_advdip_and_dip_total,p_cert_iii_iv_15_24,p_cert_iii_iv_25_34,p_cert_iii_iv_35_44,p_cert_iii_iv_45_54,p_cert_iii_iv_55_64,p_cert_iii_iv_65_74,p_cert_iii_iv_75_84,p_cert_iii_iv_85ov,p_cert_iii_iv_total,p_cert_i_ii_15_24,p_cert_i_ii_25_34,p_cert_i_ii_35_44,p_cert_i_ii_45_54,p_cert_i_ii_55_64,p_cert_i_ii_65_74,p_cert_i_ii_75_84,p_cert_i_ii_85ov,p_cert_i_ii_total,p_cert_levl_nfd_15_24,p_cert_levl_nfd_25_34,p_cert_levl_nfd_35_44,p_cert_levl_nfd_45_54,p_cert_levl_nfd_55_64,p_cert_levl_nfd_65_74,p_cert_levl_nfd_75_84,p_cert_levl_nfd_85ov,p_cert_levl_nfd_total,p_cert_lev_tot_15_24,p_cert_lev_tot_25_34,p_cert_lev_tot_35_44,p_cert_lev_tot_45_54,p_cert_lev_tot_55_64,p_cert_lev_tot_65_74,p_cert_lev_tot_75_84,p_cert_lev_tot_85ov,p_cert_lev_tot_total,p_lev_edu_ides_15_24,p_lev_edu_ides_25_34,p_lev_edu_ides_35_44,p_lev_edu_ides_45_54,p_lev_edu_ides_55_64,p_lev_edu_ides_65_74,p_lev_edu_ides_75_84,p_lev_edu_ides_85ov,p_lev_edu_ides_total,p_lev_edu_ns_15_24,p_lev_edu_ns_25_34,p_lev_edu_ns_35_44,p_lev_edu_ns_45_54,p_lev_edu_ns_55_64,p_lev_edu_ns_65_74,p_lev_edu_ns_75_84,p_lev_edu_ns_85ov,p_lev_edu_ns_total,p_tot_15_24,p_tot_25_34,p_tot_35_44,p_tot_45_54,p_tot_55_64,p_tot_65_74,p_tot_75_84,p_tot_85ov,p_tot_total
Rest of NSW,1RNSW,12699,11874,11331,7115,2038,431,56011,495,4607,6399,6994,8894,4446,1061,206,33097,11503,50360,50591,39078,37580,23198,8214,2306,222826,8024,25823,33174,37883,36528,23298,9095,2638,176459,40435,78841,75087,82407,73450,47124,21139,6136,424613,6697,5692,5159,5346,4766,2731,719,182,31288,3484,5111,6987,10212,11842,9687,3972,1266,52561,50613,89644,87234,97960,90055,59548,25828,7580,508464,890,1668,1808,2410,3451,3602,1828,735,16392,30083,26366,26475,32656,37403,39791,32313,19146,244234,102064,208548,218373,228847,225242,160991,80369,33044,1257485
Greater Sydney,1GSYD,82541,52196,34406,17666,5155,1228,288103,1526,14093,17387,15018,13316,6655,1746,382,70126,65215,234896,180578,121434,84138,44803,16524,5182,752774,27276,79064,81689,75101,54062,31234,12911,4655,365989,45690,97709,92818,92706,70322,44331,21851,7542,472968,5984,6494,7002,6754,5231,2866,853,313,35504,5199,9694,13649,17200,16639,12552,5084,2193,82214,56870,113892,113473,116659,92193,59749,27790,10047,590682,2821,7114,7068,7361,7337,5869,3015,1314,41899,46032,63299,49767,45186,41339,37699,29991,21776,335080,205082,601925,532508,432951,326789,203675,97132,44595,2444653
Rest of Vic.,2RVIC,5900,5326,5090,3191,799,141,25751,383,3817,5287,5579,5760,3002,640,101,24568,6763,27955,27667,20287,19779,12226,4056,1142,119877,5013,15418,18300,20346,19842,13926,5143,1608,99599,22860,43391,39451,43849,37811,23271,9622,2796,223051,3178,2898,2529,2333,2119,1119,228,82,14474,1636,2811,3431,3885,4206,3274,1180,450,20885,27672,49093,45415,50066,44139,27667,11030,3329,258412,394,865,898,1042,1292,1459,853,364,7157,16784,14335,14839,18467,21429,22941,17548,9778,136118,57525,116274,118303,121121,117330,84407,40072,16459,671490
Greater Melbourne,2GMEL,65707,40134,26155,13677,3880,921,234048,2061,20120,23590,21359,17292,7821,1919,404,94567,62251,217305,165113,106081,70869,37646,13832,4495,677594,29247,81387,75316,66468,48300,29747,12270,4275,347014,48995,102704,90079,93924,68044,39934,20077,6545,470297,6189,5987,5721,5172,3690,2009,556,165,29489,4661,8924,10775,12249,10563,7449,3221,1458,59301,59844,117611,106564,111343,82295,49392,23861,8171,559093,2381,5813,5223,4708,4379,3924,2175,1000,29604,43151,55585,43913,41420,38368,36971,29729,18906,308049,204172,576154,485427,391515,287668,179183,87676,38164,2249964
Greater Brisbane,3GBRI,25207,18722,12401,6260,1693,401,89862,1029,7933,9818,9262,6806,3065,815,140,38864,25757,85800,72381,48799,31749,17662,5812,1594,289552,15096,33652,36236,35378,25522,14488,5303,1480,167153,37957,65962,57888,55251,42929,25735,10729,3022,299466,7266,4308,3253,2657,1952,1138,262,85,20924,3369,5064,6151,6195,5814,4093,1561,586,32842,48590,75335,67299,64103,50696,30967,12550,3692,353230,1166,2318,2201,2260,2119,1939,1069,416,13487,23386,27188,22740,22061,19674,18219,14087,9758,157121,116290,256134,235871,200591,148977,92602,41329,17476,1109268
Rest of Qld,3RQLD,10936,9800,7887,4548,1295,206,44113,725,4681,6113,6710,5883,2804,741,105,27763,13499,51027,48290,36275,28169,17008,5946,1520,201725,9466,26828,34016,36698,29754,17807,6411,1703,162678,41612,77631,74415,74493,62057,38018,15106,3699,387034,8458,5226,4071,3484,2767,1501,394,76,25981,3468,5287,6755,7547,7218,5509,2237,593,38621,53536,88153,85245,85525,72043,45025,17731,4370,451634,875,1712,1952,2263,2421,2496,1436,467,13634,30689,31196,29981,33212,32616,30845,22087,12204,222837,109408,212410,216546,210481,178773,120546,55642,20575,1124382
Rest of SA,4RSAU,717,642,696,513,130,20,3392,61,434,587,774,994,511,116,13,3484,1090,5085,4909,3678,3793,2582,828,218,22186,661,2545,3554,4728,5006,3388,1005,294,21190,5570,11143,10532,11675,10508,6776,2789,743,59736,1170,1268,1026,766,616,350,83,27,5316,512,852,1201,1327,1317,1007,349,101,6656,7247,13260,12759,13768,12438,8139,3217,872,71708,106,230,268,301,385,390,209,104,1985,4289,3933,4056,5145,5600,5843,4264,2485,35610,13505,26117,26842,29030,28921,21363,9766,4009,159554
Greater Adelaide,4GADE,12654,8878,6808,4015,1297,301,47543,405,3607,4879,4840,4725,2488,569,118,21617,12241,44628,37311,25331,20312,12392,4192,1569,157982,4659,16145,18538,20501,17562,10954,3935,1469,93765,17910,35723,30588,32903,26400,16770,8388,2812,171499,3705,3472,2550,2002,1481,782,227,70,14287,1533,2646,3565,3971,3868,3055,1319,551,20520,23151,41833,36700,38884,31758,20607,9943,3430,206310,605,1356,1346,1430,1397,1435,842,409,8823,10438,11223,10112,11027,11086,11123,9553,6680,81233,52158,131717,121543,110892,93644,63012,30330,13966,617270
Greater Perth,5GPER,20155,14247,9347,4927,1480,327,70476,796,7031,8216,7831,5859,2436,628,139,32920,20777,78365,62782,43247,28855,15972,5842,1614,257460,10179,30073,30818,30018,23721,14442,5840,1663,146738,28665,58517,48483,48498,37072,22135,10305,2717,256410,5780,3907,2962,2446,1806,1002,303,112,18307,2287,4522,5887,6369,5562,4122,1817,615,31179,36732,66943,57332,57318,44441,27253,12429,3448,305893,987,2545,2396,2368,2197,2008,1038,417,13955,19058,26962,21647,20274,18274,16739,14290,9511,146755,89482,230955,203347,175294,132687,83771,41545,17115,974194
Rest of WA,5RWAU,1563,1267,1083,657,158,28,6061,122,1048,1406,1265,1177,470,99,8,5607,1511,9439,9486,6939,5411,2968,1029,227,37007,1209,5073,6230,6747,6211,3541,1223,294,30524,8363,19177,17498,16913,13134,6727,2349,539,84691,2223,1595,1179,939,704,315,87,13,7059,702,1237,1733,1745,1736,1122,376,104,8757,11290,22002,20407,19593,15575,8174,2811,651,100507,156,394,423,443,478,451,243,71,2667,7565,10134,9318,9688,8864,6989,4481,2084,59118,21898,49371,48832,45940,38800,23237,10054,3361,241489
