gcc_name16,gcc_code16,f_mgnt_com_35_44,f_mgnt_com_45_54,f_mgnt_com_55_64,f_mgnt_com_65_74,f_mgnt_com_75_84,f_mgnt_com_85ov,f_mgnt_com_tot,f_society_cult_15_24,f_society_cult_25_34,f_society_cult_35_44,f_society_cult_45_54,f_society_cult_55_64,f_society_cult_65_74,f_society_cult_75_84,f_society_cult_85ov,f_society_cult_tot,f_creative_arts_15_24,f_creative_arts_25_34,f_creative_arts_35_44,f_creative_arts_45_54,f_creative_arts_55_64,f_creative_arts_65_74,f_creative_arts_75_84,f_creative_arts_85ov,f_creative_arts_tot,f_fd_hosp_psnl_svcs_15_24,f_fd_hosp_psnl_svcs_25_34,f_fd_hosp_psnl_svcs_35_44,f_fd_hosp_psnl_svcs_45_54,f_fd_hosp_psnl_svcs_55_64,f_fd_hosp_psnl_svcs_65_74,f_fd_hosp_psnl_svcs_75_84,f_fd_hosp_psnl_svcs_85ov,f_fd_hosp_psnl_svcs_tot,f_mixfld_prgm_15_24,f_mixfld_prgm_25_34,f_mixfld_prgm_35_44,f_mixfld_prgm_45_54,f_mixfld_prgm_55_64,f_mixfld_prgm_65_74,f_mixfld_prgm_75_84,f_mixfld_prgm_85ov,f_mixfld_prgm_tot,f_fldstd_inaddes_15_24,f_fldstd_inaddes_25_34,f_fldstd_inaddes_35_44,f_fldstd_inaddes_45_54,f_fldstd_inaddes_55_64,f_fldstd_inaddes_65_74,f_fldstd_inaddes_75_84,f_fldstd_inaddes_85ov,f_fldstd_inaddes_tot,f_fldstd_ns_15_24,f_fldstd_ns_25_34,f_fldstd_ns_35_44,f_fldstd_ns_45_54,f_fldstd_ns_55_64,f_fldstd_ns_65_74,f_fldstd_ns_75_84,f_fldstd_ns_85ov,f_fldstd_ns_tot,f_tot_15_24,f_tot_25_34,f_tot_35_44,f_tot_45_54,f_tot_55_64,f_tot_65_74,f_tot_75_84,f_tot_85ov,f_tot_tot,p_natphyl_scn_15_24,p_natphyl_scn_25_34,p_natphyl_scn_35_44,p_natphyl_scn_45_54,p_natphyl_scn_55_64,p_natphyl_scn_65_74,p_natphyl_scn_75_84,p_natphyl_scn_85ov,p_natphyl_scn_tot,p_infotech_15_24,p_infotech_25_34,p_infotech_35_44,p_infotech_45_54,p_infotech_55_64,p_infotech_65_74,p_infotech_75_84,p_infotech_85ov,p_infotech_tot,p_eng_reltec_15_24,p_eng_reltec_25_34,p_eng_reltec_35_44,p_eng_reltec_45_54,p_eng_reltec_55_64,p_eng_reltec_65_74,p_eng_reltec_75_84,p_eng_reltec_85ov,p_eng_reltec_tot,p_archtbldng_15_24,p_archtbldng_25_34,p_archtbldng_35_44,p_archtbldng_45_54,p_archtbldng_55_64,p_archtbldng_65_74,p_archtbldng_75_84,p_archtbldng_85ov,p_archtbldng_tot,p_ag_envir_rltd_sts_15_24,p_ag_envir_rltd_sts_25_34,p_ag_envir_rltd_sts_35_44,p_ag_envir_rltd_sts_45_54,p_ag_envir_rltd_sts_55_64,p_ag_envir_rltd_sts_65_74,p_ag_envir_rltd_sts_75_84,p_ag_envir_rltd_sts_85ov,p_ag_envir_rltd_sts_tot,p_health_15_24,p_health_25_34,p_health_35_44,p_health_45_54,p_health_55_64,p_health_65_74,p_health_75_84,p_health_85ov,p_health_tot,p_educ_15_24,p_educ_25_34,p_educ_35_44,p_educ_45_54,p_educ_55_64,p_educ_65_74,p_educ_75_84,p_educ_85ov,p_educ_tot,p_mgnt_com_15_24,p_mgnt_com_25_34,p_mgnt_com_35_44,p_mgnt_com_45_54,p_mgnt_com_55_64,p_mgnt_com_65_74,p_mgnt_com_75_84,p_mgnt_com_85ov,p_mgnt_com_tot,p_society_cult_15_24,p_society_cult_25_34,p_society_cult_35_44,p_society_cult_45_54,p_society_cult_55_64,p_society_cult_65_74,p_society_cult_75_84,p_society_cult_85ov,p_society_cult_tot,p_creative_arts_15_24,p_creative_arts_25_34,p_creative_arts_35_44,p_creative_arts_45_54,p_creative_arts_55_64,p_creative_arts_65_74,p_creative_arts_75_84,p_creative_arts_85ov,p_creative_arts_tot,p_fd_hosp_psnl_svcs_15_24,p_fd_hosp_psnl_svcs_25_34,p_fd_hosp_psnl_svcs_35_44,p_fd_hosp_psnl_svcs_45_54,p_fd_hosp_psnl_svcs_55_64,p_fd_hosp_psnl_svcs_65_74,p_fd_hosp_psnl_svcs_75_84,p_fd_hosp_psnl_svcs_85ov,p_fd_hosp_psnl_svcs_tot,p_mixfld_prgm_15_24,p_mixfld_prgm_25_34,p_mixfld_prgm_35_44,p_mixfld_prgm_45_54,p_mixfld_prgm_55_64,p_mixfld_prgm_65_74,p_mixfld_prgm_75_84,p_mixfld_prgm_85ov,p_mixfld_prgm_tot,p_fldstd_inaddes_15_24,p_fldstd_inaddes_25_34,p_fldstd_inaddes_35_44,p_fldstd_inaddes_45_54,p_fldstd_inaddes_55_64,p_fldstd_inaddes_65_74,p_fldstd_inaddes_75_84,p_fldstd_inaddes_85ov,p_fldstd_inaddes_tot,p_fldstd_ns_15_24,p_fldstd_ns_25_34,p_fldstd_ns_35_44,p_fldstd_ns_45_54,p_fldstd_ns_55_64,p_fldstd_ns_65_74,p_fldstd_ns_75_84,p_fldstd_ns_85ov,p_fldstd_ns_tot,p_tot_15_24,p_tot_25_34,p_tot_35_44,p_tot_45_54
Rest of NSW,1RNSW,27091,27090,22471,13796,4670,1703,131361,7877,17698,18822,18742,15921,7357,1855,390,88656,1888,4413,4292,3530,2742,1806,754,227,19653,6622,10282,8375,6975,4569,3103,834,386,41137,321,151,114,184,224,341,375,170,1884,358,796,1114,1168,931,605,253,99,5328,13962,11445,11933,14644,16261,17203,15849,11523,112817,52715,107724,112456,114608,109257,70808,35746,18130,621443,1337,4195,4795,4395,4470,3435,1124,308,24057,1755,4472,4176,3310,2544,1202,208,27,17689,11556,31330,32035,38089,38658,31253,15478,4813,203216,5726,13524,13468,14454,14078,9914,5049,1330,77531,3231,7031,8628,8494,6889,4424,1816,449,40952,6890,22283,22382,24833,27516,15028,6599,2223,127740,3373,15848,18399,18606,25144,15926,6046,1608,104957,13580,34772,39156,39466,33924,22392,7692,2474,193455,10361,23783,25803,25953,22860,12373,3636,838,125614,3303,6998,6464,5317,4602,3104,1214,363,31367,9125,15539,13440,11015,7858,5591,1867,658,65087,622,313,241,330,415,590,600,270,3377,810,1762,2501,2786,2353,1632,778,299,12921,30408,26702,26892,31800,33930,34137,28277,17391,229530,102064,208548,218373,228847
Greater Sydney,1GSYD,84148,62402,39243,20993,7046,3464,337605,16541,48246,44465,35271,24641,12064,3470,1019,185713,8697,22660,15746,9905,5374,2724,1194,467,66758,8478,17232,13644,10415,5703,3781,1105,521,60876,763,432,312,440,571,563,412,188,3674,1392,3992,4339,3463,2192,1206,515,185,17281,21570,30419,23416,20633,18286,16488,14486,13242,158543,108224,313686,270237,214499,156878,92234,43565,24551,1223874,6489,18109,16930,15323,11444,7123,2713,802,78937,7041,36300,36581,16940,7485,2080,285,49,106751,15334,57704,57661,61501,53704,37464,19540,6886,309790,9938,27905,26151,22846,15675,10114,5405,1563,119597,2259,6219,6533,5502,3900,1851,895,266,27429,12813,49597,40363,36119,31013,17527,8600,3265,199301,7387,31363,30338,28807,31259,19805,7910,2503,159370,43537,164327,144621,107873,70950,39639,13364,5374,589681,24061,72248,66104,54057,39937,21657,6943,2033,287044,14425,37038,25905,16035,9372,4853,2037,706,110388,12034,28733,22288,16656,9352,6168,2186,807,98220,1593,962,689,799,941,925,677,273,6867,2440,7141,7920,6735,4564,2666,1179,495,33136,45738,64271,50433,43750,37183,31804,25400,19570,318145,205082,601925,532508,432951
Rest of Vic.,2RVIC,12472,10590,7573,4001,1325,642,52035,4878,9962,10956,11456,10224,4901,907,238,53525,1039,2386,2246,1740,1347,820,305,134,10022,4078,6653,4769,3907,2646,1929,594,193,24779,128,99,67,90,130,183,166,63,919,161,527,836,745,579,326,140,63,3383,7903,6277,6741,8274,9274,9823,8532,5626,62449,29061,60546,61505,60407,56710,37948,18442,9183,333815,931,2199,2926,2234,2225,1523,437,142,12610,853,2516,2268,1553,1220,531,49,14,9011,5848,14895,15540,19235,18858,15151,6809,2140,98474,4271,9537,7583,7281,7086,4651,2306,640,43352,2037,4981,6029,5790,4258,2393,962,288,26730,4123,13707,12537,14118,15165,8870,3827,1293,73635,2103,9085,10189,10372,13675,10634,3785,1026,60876,5734,17099,19033,16920,13434,7821,2521,979,83539,6655,12885,14162,14837,13664,7365,1730,392,71688,2022,3881,3607,2659,2338,1553,518,196,16771,5394,9645,7438,6263,4490,3110,1101,337,37784,248,183,124,180,213,328,277,117,1681,384,1179,1803,1700,1479,955,407,175,8081,16921,14474,15052,17996,19229,19534,15333,8728,127271,57525,116274,118303,121121
Greater Melbourne,2GMEL,65896,45955,26008,12698,4504,2392,254447,16221,47326,43585,35660,25258,11735,3083,942,183817,8553,20952,13172,7719,4271,2207,958,440,58274,9715,19962,13742,10876,5804,4211,1225,530,66062,777,347,259,354,378,512,412,154,3189,1826,4905,4993,3705,2383,1290,496,233,19827,20608,27071,20896,19219,17017,16255,14346,11052,146458,105594,299447,248640,194393,137369,81197,39519,20696,1126854,8761,19935,18135,14246,10157,6042,2147,744,80162,6620,34991,32666,14920,6936,1938,245,49,98377,16510,59158,56502,58223,48045,33646,17755,6134,295972,12183,32931,23854,20576,14020,8554,4864,1393,118373,2626,7330,6975,5414,3321,1589,680,209,28154,13355,53845,41540,35846,28614,16067,7904,2840,200019,6246,31179,30020,30134,30972,20418,7896,2257,159116,37434,133296,115589,83276,51163,26800,9452,3973,460992,24232,67904,61318,50879,37759,19565,5751,1682,269085,15002,36388,22779,13137,7718,4087,1637,656,101396,13762,33237,22158,17009,9319,6198,2195,804,104677,1551,812,545,633,694,811,699,234,5977,3040,8683,8893,7080,4747,2687,1146,531,36795,42854,56472,44448,40147,34194,30789,25312,16656,290876,204172,576154,485427,391515
Greater Brisbane,3GBRI,32282,24794,14500,6462,1957,778,130416,9874,22064,20876,16539,11955,5587,1192,310,88394,4391,7514,5207,3348,1785,970,417,176,23810,6989,9737,7036,5181,2949,1902,523,193,34503,476,173,148,150,187,234,245,100,1707,522,1296,1606,1260,823,438,153,86,6186,11020,12578,10086,9755,8552,7711,6599,5955,72245,60964,132849,119834,98347,69742,39457,17510,9655,548372,3080,8212,7358,5841,4070,2576,825,226,32189,3842,10312,10636,5942,2648,787,104,8,34271,10285,32036,31351,31625,27045,19097,8989,2545,162974,5207,15226,12736,11090,8930,6110,2891,796,62991,1458,3422,4018,3180,2136,1154,453,116,15944,8204,25890,22814,21130,16510,9229,4005,1369,109155,3052,13547,17216,16838,15256,9652,3532,866,79954,22650,57244,53544,42674,26537,13042,3937,1320,220934,15187,31945,29999,24025,17694,9203,2428,606,131092,7857,12679,8472,5405,3128,1700,736,261,40238,9868,14876,11267,8242,4837,3208,960,313,53580,940,401,268,272,326,392,381,153,3129,1050,2770,3339,2841,2005,1178,462,214,13866,23612,27583,22846,21474,17858,15256,11636,8672,148944,116290,256134,235871,200591
Rest of Qld,3RQLD,25809,22246,15473,7880,2540,801,112356,8188,16236,17117,16136,12968,5814,1219,221,77903,2177,4280,3720,2677,1812,1155,471,163,16463,7802,11081,9402,7623,4518,3026,746,253,44456,336,150,136,180,215,305,251,150,1718,309,819,1146,1005,736,402,187,60,4666,14335,13811,13257,14439,13742,12872,10111,7083,99654,56636,108671,109183,102650,82684,50228,23194,10990,544227,1537,4023,4249,3645,3044,2181,762,183,19632,2114,3812,3942,2553,1710,763,121,13,15025,12796,33221,33674,35925,32882,25154,11592,2981,188219,4970,14583,14633,14218,13745,9261,4171,928,76519,2481,5284,6430,5596,4077,2140,892,219,27108,7205,21661,21030,22641,20472,11134,4796,1436,110369,3161,14056,18315,18757,17581,10945,4040,1016,87866,16305,36987,38101,34229,24982,14303,4768,1358,171030,11820,22018,23120,21734,17747,9273,2441,458,108615,3832,6700,5659,4135,3066,2122,838,244,26602,10858,16559,14822,12242,7649,5190,1506,419,69250,635,313,247,326,420,530,435,227,3141,834,1961,2591,2684,1962,1222,631,201,12083,30854,31223,29736,31793,29446,26320,18653,10890,208916,109408,212410,216546,210481
Rest of SA,4RSAU,3070,2660,1965,974,326,125,13103,1076,2233,2380,2774,2326,1084,196,37,12117,147,336,323,223,223,116,53,24,1449,884,1407,1181,917,617,477,135,31,5653,24,32,32,41,36,58,56,33,323,39,77,109,128,58,68,28,22,522,1946,1538,1591,2120,2371,2441,1972,1436,15408,6737,13142,13473,14132,13575,9044,4127,2159,76399,85,471,498,444,442,376,91,28,2436,167,311,305,219,186,103,17,5,1302,1899,4521,4584,5414,5503,4472,2115,579,29086,663,1374,1096,1309,1473,1213,582,148,7863,714,1571,1950,1664,1151,689,222,97,8057,752,2266,2307,3252,3970,2127,824,270,15769,509,2107,2149,2043,2814,2322,657,187,12794,1481,3805,4274,4015,3331,1980,634,211,19725,1335,2891,3014,3460,3118,1656,379,74,15931,238,493,455,366,387,255,101,44,2335,1217,2097,1870,1514,1118,818,258,57,8953,48,66,53,66,71,95,87,55,540,105,201,250,346,230,232,95,46,1511,4308,3944,4023,4913,5121,5029,3691,2223,33257,13505,26117,26842,29030
Greater Adelaide,4GADE,15888,12301,7811,3899,1370,656,63928,4894,12169,11736,10616,8351,4195,1041,285,53281,1391,3205,2463,1739,1074,696,306,133,11019,3252,5293,3901,3394,2058,1469,474,186,20029,166,96,99,164,127,195,179,92,1112,202,802,923,652,443,285,131,81,3521,4942,5283,4544,4875,4881,5051,4809,3903,38291,27275,69023,62332,54667,44808,27560,13016,7325,306005,1474,4696,4536,3605,2935,1921,700,214,20083,1303,5183,4758,2717,1585,496,74,9,16123,5368,16501,16339,18051,15663,12529,6828,2459,93739,3212,6994,5169,5283,4581,3256,1909,629,31031,961,2447,2317,2061,1456,745,280,101,10368,4538,16098,13918,13580,12800,6660,2881,1228,71692,1610,7677,8067,7919,10251,7727,2452,902,46602,8259,27306,26909,21725,15055,8572,3073,1194,112093,7052,17579,16824,15248,12542,7098,1978,580,78899,2618,5723,4277,2973,2046,1271,501,189,19602,4588,8267,6285,5347,3341,2329,803,281,31228,306,169,172,230,212,289,290,129,1806,459,1620,1819,1473,1115,741,354,180,7774,10418,11452,10151,10679,10066,9386,8205,5884,76231,52158,131717,121543,110892
Greater Perth,5GPER,25992,19853,12207,6671,2723,999,105519,6447,17582,15987,12954,9814,4758,1283,330,69166,2867,5876,4025,2530,1457,976,421,151,18303,5044,9410,6529,5224,3062,1920,573,242,31994,258,171,145,131,172,232,193,70,1374,435,1243,1136,962,643,331,177,53,4986,8855,11768,9131,8437,7597,7124,6970,5888,65772,45724,116940,101267,83722,61287,36179,18696,9756,473572,3383,8969,7983,6385,4371,2601,790,256,34745,2360,7920,7448,4116,1951,587,86,7,24477,12104,37194,34801,32610,26610,17702,8319,2242,171572,5048,13738,10127,9365,7163,4930,2769,698,53832,1165,3573,3556,2767,1810,1092,476,128,14577,7005,23629,19664,18071,14516,8332,3903,1259,96373,3092,12259,14486,15315,14259,8117,3339,931,71798,13671,45126,42110,34037,21966,12859,4902,1576,176246,9547,24840,22336,18347,14418,7715,2312,600,100115,5028,9540,6494,4111,2657,1648,682,227,30385,6590,14403,10313,8331,5036,3101,1052,359,49185,562,331,286,269,299,372,326,115,2556,808,2459,2412,2258,1525,857,467,170,10954,19124,26980,21348,19309,16107,13860,12114,8540,137378,89482,230955,203347,175294
Rest of WA,5RWAU,4504,3816,2606,1334,448,114,19645,1208,2914,3042,2743,2402,1006,208,44,13568,293,713,671,511,373,250,102,27,2945,1106,2238,1695,1302,781,472,113,44,7754,69,52,30,37,46,56,54,20,369,56,182,198,235,138,75,20,4,912,3409,3918,3563,3896,3593,2874,2084,1163,24502,10449,23009,22627,20667,17364,9933,4561,1815,110433,250,1140,1302,863,652,381,108,25,4720,338,600,573,369,229,105,20,0,2231,3641,10766,10087,9541,7799,4652,1726,415,48630,1168,2990,2486,2465,2256,1367,603,130,13455,868,1881,2231,1929,1469,829,344,78,9631,973,3758,3906,4056,4257,2363,975,247,20542,753,3270,4231,4309,4107,2110,723,154,19658,2440,6309,6423,5651,4121,2315,716,183,28158,1590,3781,3958,3620,3185,1529,350,84,18102,484,1041,960,752,610,421,145,37,4445,1426,3183,2796,2285,1394,833,232,73,12228,125,88,66,69,83,103,91,32,659,125,441,520,580,407,197,90,24,2378,7715,10131,9277,9457,8229,6036,3924,1881,56648,21898,49371,48832,45940
