gcc_name16,gcc_code16,p_tot_55_64,p_tot_65_74,p_tot_75_84,p_tot_85ov,p_tot_tot
Other Territories,9OTER,416,232,97,26,2337
Australian Capital Territory,8ACTE,30129,19523,8580,3555,219307
Rest of NT,7RNTE,5307,2126,591,131,36937
Greater Darwin,7GDAR,9373,4338,1290,317,72912
Rest of Tas.,6RTAS,23809,17295,8072,2687,126584
Greater Hobart,6GHOB,18103,12072,6043,2445,106815
Rest of WA,5RWAU,38800,23237,10054,3361,241489
Greater Perth,5GPER,132687,83771,41545,17115,974194
Rest of SA,4RSAU,28921,21363,9766,4009,159554
Greater Adelaide,4GADE,93644,63012,30330,13966,617270
Rest of Qld,3RQLD,178773,120546,55642,20575,1124382
Greater Brisbane,3GBRI,148977,92602,41329,17476,1109268
Rest of Vic.,2RVIC,117330,84407,40072,16459,671490
Greater Melbourne,2GMEL,287668,179183,87676,38164,2249964
Rest of NSW,1RNSW,225242,160991,80369,33044,1257485
Greater Sydney,1GSYD,326789,203675,97132,44595,2444653
