gcc_name16,gcc_code16,p_foodhosppersserv_occ_mng,p_foodhosppersserv_occ_pro,p_foodhosppersserv_occ_ttw,p_foodhosppersserv_occ_cps,p_foodhosppersserv_occ_ca,p_foodhosppersserv_occ_sal,p_foodhosppersserv_occ_mod,p_foodhosppersserv_occ_lab,p_foodhosppersserv_occ_idns,p_foodhosppersserv_total,p_mixfieldprog_occ_mng,p_mixfieldprog_occ_pro,p_mixfieldprog_occ_ttw,p_mixfieldprog_occ_cps,p_mixfieldprog_occ_ca,p_mixfieldprog_occ_sal,p_mixfieldprog_occ_mod,p_mixfieldprog_occ_lab,p_mixfieldprog_occ_idns,p_mixfieldprog_total,p_fs_id_occ_mng,p_fs_id_occ_pro,p_fs_id_occ_ttw,p_fs_id_occ_cps,p_fs_id_occ_ca,p_fs_id_occ_sal,p_fs_id_occ_mod,p_fs_id_occ_lab,p_fs_id_occ_idns,p_fs_id_total,p_fs_ns_occ_mng,p_fs_ns_occ_pro,p_fs_ns_occ_ttw,p_fs_ns_occ_cps,p_fs_ns_occ_ca,p_fs_ns_occ_sal,p_fs_ns_occ_mod,p_fs_ns_occ_lab,p_fs_ns_occ_idns,p_fs_ns_total,p_tot_occ_mng,p_tot_occ_pro,p_tot_occ_ttw,p_tot_occ_cps,p_tot_occ_ca,p_tot_occ_sal,p_tot_occ_mod,p_tot_occ_lab,p_tot_occ_idns,p_total_total
Other Territories,9OTER,11,0,33,14,12,8,10,7,0,89,0,0,0,0,0,0,0,0,0,5,3,0,11,4,3,0,4,0,0,18,7,5,14,13,9,4,10,13,4,90,241,214,278,195,150,48,64,111,29,1335
Australian Capital Territory,8ACTE,656,246,2025,816,914,407,152,318,85,5611,10,18,9,13,6,13,3,30,4,105,591,676,141,311,505,94,66,94,133,2610,279,384,287,263,349,148,89,188,419,2397,26614,57086,14328,13494,23010,5442,2091,4248,3583,149895
Rest of NT,7RNTE,129,60,323,193,163,92,38,100,19,1134,3,11,9,4,0,4,3,7,3,46,41,74,34,95,44,13,20,28,16,361,97,162,113,225,108,59,83,182,211,1225,2598,5731,2820,3265,2148,717,716,1287,546,19827
Greater Darwin,7GDAR,276,88,846,433,378,207,148,222,38,2639,7,7,18,11,12,3,10,31,10,109,113,124,108,183,96,27,67,60,32,814,150,116,281,180,177,117,138,207,253,1617,6519,12574,9825,5877,6132,2160,1970,2735,925,48723
Rest of Tas.,6RTAS,534,121,1817,799,469,489,214,615,34,5092,10,10,5,6,7,8,13,15,14,90,130,158,97,93,92,48,73,84,30,801,337,167,447,304,234,273,344,535,269,2920,9687,16953,13163,9511,7466,3899,3436,5491,1101,70717
Greater Hobart,6GHOB,448,86,1559,656,469,381,126,338,50,4128,4,12,9,16,12,12,6,25,6,101,148,232,86,138,158,50,52,57,33,948,158,164,263,210,183,149,128,252,191,1699,8279,20710,10233,8480,8267,3467,1748,3036,1011,65228
Rest of WA,5RWAU,988,208,2799,1139,921,710,769,1079,84,8697,26,19,44,26,22,30,20,65,8,257,194,258,251,232,152,85,310,154,61,1698,652,319,1022,558,438,417,757,920,612,5693,19205,29770,34072,15540,13725,6736,10778,11872,2288,143989
Greater Perth,5GPER,3558,971,11796,5342,4134,3417,2015,2905,316,34455,72,68,149,127,98,113,114,226,28,1001,961,1472,1043,1016,957,456,691,544,286,7421,1142,1241,2363,1450,1417,1180,1353,1696,2090,13932,77714,189034,110405,68251,72337,35190,26630,33679,9172,622406
Rest of SA,4RSAU,732,106,2059,790,460,607,286,805,64,5912,19,10,16,17,22,10,13,61,10,176,141,112,112,104,81,40,142,132,48,903,591,230,532,425,261,347,417,778,329,3909,13889,18439,16507,12519,8691,4974,5189,8865,1303,90371
Greater Adelaide,4GADE,2282,559,7860,3059,2238,2201,742,1981,192,21106,37,51,52,74,57,53,30,113,29,498,677,1044,518,727,743,335,425,398,175,5041,781,825,1360,1057,960,875,732,1194,1172,8955,47811,121148,59007,50089,46981,22994,13086,22192,5264,388573
Rest of Qld,3RQLD,5314,1231,15767,7602,4896,4981,2450,4953,429,47618,116,97,144,139,100,160,87,238,40,1119,1085,1265,1037,1037,981,467,943,754,268,7833,2089,1418,3263,2219,1711,1983,2104,3484,2649,20917,82759,162063,130140,84605,72732,41928,34579,47721,9529,666057
Greater Brisbane,3GBRI,4103,1222,11938,6022,4691,3917,1819,3606,354,37669,86,101,106,155,182,185,94,250,35,1185,1350,1987,1079,1115,1393,569,928,761,382,9561,1359,1482,2417,1653,1791,1347,1633,2329,2638,16648,93695,226016,107311,79601,92265,42405,28291,41462,10453,721503
Rest of Vic.,2RVIC,2860,584,8887,3563,2438,2670,1035,3025,250,25313,57,67,46,53,41,51,39,136,21,510,865,1054,606,728,638,304,420,470,160,5254,2042,1012,2298,1526,1135,1364,1396,2507,1592,14883,57172,100018,70854,51951,39286,22056,17707,29603,5805,394456
