gcc_name16,gcc_code16,m_pode_pode_nfd_mng,m_pode_pode_nfd_pro,m_pode_pode_nfd_ttw,m_pode_pode_nfd_cps,m_pode_pode_nfd_ca,m_pode_pode_nfd_sal,m_pode_pode_nfd_mod,m_pode_pode_nfd_lab,m_pode_pode_nfd_idns,m_pode_pode_nfd_tot,m_pode_doctde_mng,m_pode_doctde_pro,m_pode_doctde_ttw,m_pode_doctde_cps,m_pode_doctde_ca,m_pode_doctde_sal,m_pode_doctde_mod,m_pode_doctde_lab,m_pode_doctde_idns,m_pode_doctde_tot,m_pode_masde_mng,m_pode_masde_pro,m_pode_masde_ttw,m_pode_masde_cps,m_pode_masde_ca,m_pode_masde_sal,m_pode_masde_mod,m_pode_masde_lab,m_pode_masde_idns,m_pode_masde_tot,m_grdigrcer_grdigrcernfd_mng,m_grdigrcer_grdigrcernfd_pro,m_grdigrcer_grdigrcernfd_ttw,m_grdigrcer_grdigrcernfd_cps,m_grdigrcer_grdigrcernfd_ca,m_grdigrcer_grdigrcernfd_sal,m_grdigrcer_grdigrcernfd_mod,m_grdigrcer_grdigrcernfd_lab,m_grdigrcer_grdigrcernfd_idns,m_grdigrcer_grdigrcernfd_tot,m_grdi_grcer_grdi_mng,m_grdi_grcer_grdi_pro,m_grdi_grcer_grdi_ttw,m_grdi_grcer_grdi_cps,m_grdi_grcer_grdi_ca,m_grdi_grcer_grdi_sal,m_grdi_grcer_grdi_mod,m_grdi_grcer_grdi_lab,m_grdi_grcer_grdi_idns,m_grdi_grcer_grdi_tot,m_grdi_grcer_gradcer_mng,m_grdi_grcer_gradcer_pro,m_grdi_grcer_gradcer_ttw,m_grdi_grcer_gradcer_cps,m_grdi_grcer_gradcer_ca,m_grdi_grcer_gradcer_sal,m_grdi_grcer_gradcer_mod,m_grdi_grcer_gradcer_lab,m_grdi_grcer_gradcer_idns,m_grdi_grcer_gradcer_tot,m_bade_bade_mng,m_bade_bade_pro,m_bade_bade_ttw,m_bade_bade_cps,m_bade_bade_ca,m_bade_bade_sal,m_bade_bade_mod,m_bade_bade_lab,m_bade_bade_idns,m_bade_bade_tot,m_advdi_di_advdi_di_nfd_mng,m_advdi_di_advdi_di_nfd_pro,m_advdi_di_advdi_di_nfd_ttw,m_advdi_di_advdi_di_nfd_cps,m_advdi_di_advdi_di_nfd_ca,m_advdi_di_advdi_di_nfd_sal,m_advdi_di_advdi_di_nfd_mod,m_advdi_di_advdi_di_nfd_lab,m_advdi_di_advdi_di_nfd_idns,m_advdi_di_advdi_di_nfd_tot,m_advdi_di_advdi_asde_mng,m_advdi_di_advdi_asde_pro,m_advdi_di_advdi_asde_ttw,m_advdi_di_advdi_asde_cps,m_advdi_di_advdi_asde_ca,m_advdi_di_advdi_asde_sal,m_advdi_di_advdi_asde_mod,m_advdi_di_advdi_asde_lab,m_advdi_di_advdi_asde_idns,m_advdi_di_advdi_asde_tot,m_advdi_di_dip_mng,m_advdi_di_dip_pro,m_advdi_di_dip_ttw,m_advdi_di_dip_cps,m_advdi_di_dip_ca,m_advdi_di_dip_sal,m_advdi_di_dip_mod,m_advdi_di_dip_lab,m_advdi_di_dip_idns,m_advdi_di_dip_tot,m_cert_certiii_iv_mng,m_cert_certiii_iv_pro,m_cert_certiii_iv_ttw,m_cert_certiii_iv_cps,m_cert_certiii_iv_ca,m_cert_certiii_iv_sal,m_cert_certiii_iv_mod,m_cert_certiii_iv_lab,m_cert_certiii_iv_idns,m_cert_certiii_iv_tot,m_cert_certi_ii_mng,m_cert_certi_ii_pro,m_cert_certi_ii_ttw,m_cert_certi_ii_cps,m_cert_certi_ii_ca,m_cert_certi_ii_sal,m_cert_certi_ii_mod,m_cert_certi_ii_lab,m_cert_certi_ii_idns,m_cert_certi_ii_tot,m_cert_cert_nfd_mng,m_cert_cert_nfd_pro,m_cert_cert_nfd_ttw,m_cert_cert_nfd_cps,m_cert_cert_nfd_ca,m_cert_cert_nfd_sal,m_cert_cert_nfd_mod,m_cert_cert_nfd_lab,m_cert_cert_nfd_idns,m_cert_cert_nfd_tot,m_le_id_mng,m_le_id_pro,m_le_id_ttw,m_le_id_cps,m_le_id_ca,m_le_id_sal,m_le_id_mod,m_le_id_lab,m_le_id_idns,m_le_id_tot,m_le_ns_mng,m_le_ns_pro,m_le_ns_ttw,m_le_ns_cps,m_le_ns_ca,m_le_ns_sal,m_le_ns_mod,m_le_ns_lab,m_le_ns_idns,m_le_ns_tot,m_tot_mng,m_tot_pro,m_tot_ttw,m_tot_cps,m_tot_ca,m_tot_sal,m_tot_mod,m_tot_lab,m_tot_idns,m_tot_tot,f_pode_pode_nfd_mng,f_pode_pode_nfd_pro,f_pode_pode_nfd_ttw,f_pode_pode_nfd_cps,f_pode_pode_nfd_ca,f_pode_pode_nfd_sal,f_pode_pode_nfd_mod,f_pode_pode_nfd_lab,f_pode_pode_nfd_idns,f_pode_pode_nfd_tot,f_pode_doctde_mng,f_pode_doctde_pro,f_pode_doctde_ttw,f_pode_doctde_cps,f_pode_doctde_ca,f_pode_doctde_sal,f_pode_doctde_mod,f_pode_doctde_lab,f_pode_doctde_idns,f_pode_doctde_tot,f_pode_masde_mng,f_pode_masde_pro,f_pode_masde_ttw,f_pode_masde_cps,f_pode_masde_ca,f_pode_masde_sal,f_pode_masde_mod,f_pode_masde_lab,f_pode_masde_idns,f_pode_masde_tot,f_grdigrcer_grdigrcernfd_mng,f_grdigrcer_grdigrcernfd_pro,f_grdigrcer_grdigrcernfd_ttw,f_grdigrcer_grdigrcernfd_cps,f_grdigrcer_grdigrcernfd_ca,f_grdigrcer_grdigrcernfd_sal,f_grdigrcer_grdigrcernfd_mod,f_grdigrcer_grdigrcernfd_lab,f_grdigrcer_grdigrcernfd_idns,f_grdigrcer_grdigrcernfd_tot
Rest of NSW,1RNSW,65,223,8,14,18,7,0,4,8,339,581,3878,63,48,93,24,8,38,33,4775,4115,7863,537,466,850,341,161,343,177,14842,123,384,25,16,26,9,4,6,15,602,1050,3483,256,292,266,91,82,86,51,5651,486,715,87,150,122,26,21,29,23,1658,13070,34700,3858,3962,3312,2091,1185,2262,705,65150,62,58,60,50,20,31,17,26,4,321,5001,4710,3104,2537,1182,962,851,998,291,19639,6132,4897,5204,4087,2035,1504,1438,1642,403,27351,26334,6490,91641,9697,6597,8138,23648,20945,3196,196675,871,332,813,671,380,760,963,1552,76,6423,1885,779,1279,1145,552,996,1596,1802,168,10204,561,674,501,252,152,222,373,549,64,3351,1982,862,2165,809,425,894,2278,2621,1235,13265,62327,70056,109583,24189,16020,16091,32629,32904,6454,370250,75,497,3,27,39,6,3,4,4,667,351,2769,53,61,126,12,0,14,37,3419,2770,11796,214,823,1317,306,23,215,154,17633,127,600,8,53,72,11,4,7,13,886
Greater Sydney,1GSYD,349,867,31,29,101,40,18,18,13,1473,2071,12288,241,159,361,111,87,75,145,15547,24999,53451,4330,2792,8710,4550,2454,2262,1568,105121,828,1853,119,100,279,165,103,75,74,3601,3190,8060,604,606,1063,393,283,257,151,14609,1047,1567,182,204,360,101,61,47,61,3641,55915,132206,17968,13093,22124,14767,9081,10271,4338,279765,139,137,177,100,66,87,73,84,27,898,11905,12374,8918,4820,4194,3889,3479,2911,830,53317,13362,12479,12327,7091,6163,5385,4238,4248,1087,66386,30075,11778,113592,11355,12264,11137,22833,20718,4217,237968,1099,771,1108,893,806,886,1165,1262,120,8111,3349,2583,2803,2066,1909,2260,2832,2471,374,20652,2088,3282,1783,735,890,886,1187,1165,317,12332,2379,2605,3303,1218,1154,1301,2733,2857,2787,20336,152804,256303,167490,45277,60459,45958,50636,48715,16108,843750,291,1254,17,58,195,39,0,5,18,1881,1159,9120,144,174,441,79,9,29,95,11247,15445,55699,1517,4556,12978,4046,286,1111,1198,96830,557,2071,41,161,448,117,3,36,53,3486
Rest of Vic.,2RVIC,36,132,9,4,11,3,0,3,5,204,253,1668,32,21,31,3,3,18,19,2049,1885,3567,256,228,317,158,99,148,86,6737,90,241,18,18,16,9,3,3,6,400,886,2671,179,365,208,68,65,115,41,4591,246,405,53,83,59,11,9,22,14,908,7358,18047,2061,2065,1877,1195,681,1410,378,35064,35,29,34,40,16,17,14,20,3,211,3160,2676,1793,1284,660,563,528,718,152,11538,3691,2708,2810,2286,1094,891,749,1145,232,15605,16931,3201,49554,5063,3160,4313,11415,12701,1673,108020,437,138,474,326,166,344,451,819,44,3194,957,375,712,570,245,441,817,880,84,5079,321,312,313,125,75,101,204,274,50,1773,1550,516,1525,477,239,546,1308,1637,819,8624,37828,36699,59814,12946,8164,8662,16351,19922,3609,204000,53,332,3,25,26,10,0,0,4,440,190,1303,29,38,57,3,0,5,14,1640,1394,5734,114,474,590,139,14,118,64,8642,86,480,11,40,56,15,0,0,9,701
Greater Melbourne,2GMEL,296,825,45,37,87,41,15,21,11,1381,1957,13063,213,156,351,106,61,90,145,16148,18516,39287,3377,2446,6618,3641,2098,2335,1170,79490,848,1694,111,121,288,146,83,83,68,3450,4158,11468,756,931,1371,548,326,373,211,20147,996,1654,188,280,346,123,62,66,41,3748,49435,115632,16195,11924,20519,13783,7808,9578,3404,248280,121,130,184,132,70,80,99,86,22,933,10286,11210,9261,4185,4068,3577,3426,3115,711,49840,12554,10946,13025,7006,5855,4718,4869,4739,883,64593,27964,9903,117844,11496,10475,10777,22129,22562,3687,236838,885,521,1121,794,621,824,1077,1312,110,7270,2447,1631,2274,1803,1335,1697,2201,1821,264,15479,1486,2307,1399,602,677,587,955,811,269,9099,2225,2314,3769,1236,1029,1356,2696,2611,2328,19564,134179,222590,169762,43138,53730,42007,47897,49613,13329,776254,264,1402,18,89,196,45,3,12,14,2039,1309,10390,148,174,488,85,4,32,123,12751,11258,42816,1388,4388,9672,3092,211,1306,909,75031,628,2712,58,224,468,132,5,50,57,4332
Greater Brisbane,3GBRI,131,348,16,14,32,14,4,9,12,585,848,6132,110,55,129,45,29,41,61,7452,7040,14841,1066,892,2054,983,570,755,362,28572,260,610,32,29,96,51,26,33,11,1145,1473,4557,303,381,546,178,118,126,76,7766,692,1116,125,160,276,60,37,37,31,2536,18399,51845,6336,4973,7684,4530,2426,3825,1252,101270,52,51,84,71,36,26,31,47,9,411,4091,4788,3466,1622,1474,979,1045,1006,283,18750,6785,6154,6203,4333,3427,2402,2130,2410,466,34302,16009,6446,69584,7521,7218,6908,14829,15316,2209,146032,455,338,766,579,420,645,804,1212,67,5283,1153,794,1204,907,655,812,1482,1370,162,8540,555,982,711,293,257,238,446,534,114,4129,944,978,1865,559,456,592,1551,1624,1173,9740,58888,99980,91887,22391,24764,18461,25530,28335,6281,376515,102,539,15,30,75,18,4,4,7,793,507,4774,69,72,229,36,3,15,27,5729,4083,16478,406,1461,3238,928,50,461,293,27393,184,813,18,63,135,33,0,26,22,1294
Rest of Qld,3RQLD,48,234,13,12,10,6,0,0,3,331,354,3005,39,28,66,17,10,31,18,3574,3036,6442,503,442,620,375,171,365,134,12086,118,344,29,25,38,14,13,6,12,592,875,2969,247,320,209,97,81,98,44,4940,345,600,116,118,110,46,20,34,19,1410,10677,30463,4259,3885,3060,2442,1386,2342,704,59222,67,45,66,64,20,25,16,46,16,354,3998,4235,2920,1882,925,932,895,877,228,16898,6073,4753,5493,4427,2077,1805,1810,2006,443,28886,22307,6517,93809,8532,5819,7885,21686,19862,2841,189256,605,354,861,618,289,798,944,1634,81,6198,1547,744,1449,1042,432,908,1680,1600,155,9564,527,651,636,258,169,213,440,571,92,3572,1599,949,2545,762,393,823,2217,2466,1270,13030,52184,62301,112986,22423,14250,16395,31378,31938,6059,349909,57,428,8,28,45,12,0,8,0,583,231,2197,27,58,89,20,3,14,14,2652,2028,9610,194,766,1162,395,22,274,103,14542,101,642,15,40,72,16,0,13,5,911
Rest of SA,4RSAU,7,26,4,0,3,0,0,0,0,35,55,170,3,9,6,3,0,10,0,252,244,427,24,30,28,14,9,33,11,829,10,22,0,3,0,0,0,0,0,35,128,320,25,28,15,9,10,18,8,570,48,54,9,3,9,0,0,6,3,141,1393,2994,320,292,228,137,123,382,58,5934,11,3,6,11,0,0,0,0,0,36,641,499,222,288,110,99,114,148,34,2161,887,510,457,343,188,178,205,255,42,3074,4398,839,12198,1241,711,1032,3300,3630,411,27762,233,64,169,87,39,127,230,374,16,1338,448,121,193,163,83,120,296,411,33,1866,105,53,96,31,23,32,73,161,13,583,516,134,403,112,60,132,426,581,198,2560,9133,6228,14132,2641,1511,1889,4786,6010,828,47158,7,65,0,7,0,0,0,3,0,80,33,143,3,3,13,0,0,0,0,193,183,771,13,56,83,13,3,23,9,1146,5,59,0,3,0,0,0,0,0,74
Greater Adelaide,4GADE,44,229,6,21,15,8,3,5,5,341,494,3837,66,44,78,26,20,38,21,4630,3052,6511,633,673,980,523,437,647,134,13590,117,317,21,23,35,9,16,12,7,560,819,2461,147,209,325,98,55,89,39,4243,355,510,70,75,110,30,12,25,14,1203,8599,26799,3298,3239,3653,2267,1407,2519,542,52328,36,35,38,26,13,15,19,17,5,208,2358,3058,1840,1405,925,639,534,541,173,11481,3605,3390,3262,2171,1666,1154,908,1066,230,17451,8730,3560,37534,5020,4033,4002,6736,7547,1188,78346,323,190,466,420,271,449,450,772,49,3391,734,534,714,754,422,539,628,643,103,5068,324,530,424,191,171,126,241,328,79,2420,564,536,974,370,259,371,686,774,517,5054,30167,52484,49497,14648,12960,10253,12155,15030,3112,200312,56,395,3,23,50,9,0,8,5,552,301,2769,44,68,112,24,3,12,12,3346,1864,7891,249,1169,1405,432,23,408,144,13589,91,483,9,51,63,17,0,9,13,740
Greater Perth,5GPER,129,347,19,32,37,14,3,18,7,614,737,4884,86,64,105,29,38,40,55,6039,5696,11351,1101,818,1669,766,705,680,270,23064,263,554,38,41,76,28,33,22,10,1067,1419,4019,283,274,445,154,127,97,66,6882,497,713,88,191,165,35,28,34,30,1776,17146,44705,6896,4601,6275,3944,3143,3842,1102,91659,54,41,101,53,22,25,47,41,8,402,4429,5069,4295,1784,1460,1056,1391,1136,313,20930,4945,4752,6426,2726,2040,1773,2108,1916,404,27083,12734,5398,70303,5898,5253,4695,12897,11084,2325,130598,347,233,778,590,299,511,641,1001,68,4467,962,714,1409,873,476,556,1177,991,127,7273,655,970,838,266,266,221,397,476,106,4194,811,962,1690,535,412,477,1255,1178,852,8161,50828,84715,94362,18729,18995,14286,23989,22550,5742,334199,124,645,11,48,96,16,0,12,5,959,385,3548,65,76,161,34,6,28,29,4335,2829,11387,437,1303,2347,787,63,466,220,19846,170,897,20,49,157,50,0,12,22,1376
Rest of WA,5RWAU,13,35,0,4,8,0,0,0,0,57,59,328,14,8,10,3,3,6,3,432,508,964,118,60,92,32,65,70,22,1928,30,61,0,7,4,7,3,4,3,110,214,619,43,60,28,11,30,33,7,1046,68,108,34,25,21,3,4,6,0,280,2601,5586,1036,532,421,259,452,642,125,11645,10,16,26,7,0,0,6,10,0,81,1103,891,775,377,194,139,352,265,58,4170,1187,846,1252,583,270,221,500,419,87,5348,4953,1535,25500,1403,1102,1110,6364,4614,889,47475,192,118,280,124,58,159,301,506,26,1769,450,200,409,185,87,130,505,410,48,2417,129,107,141,42,27,37,144,170,17,805,476,170,566,176,85,151,762,632,304,3320,11995,11579,30199,3589,2410,2252,9495,7772,1589,80884,22,103,4,5,11,0,0,0,0,146,38,197,8,4,15,7,0,8,3,284,330,1171,37,138,167,56,6,51,13,1971,23,119,0,6,18,0,0,4,0,176
