gcc_name16,gcc_code16,m_ag_for_fshg_15_19,m_ag_for_fshg_20_24,m_ag_for_fshg_25_34,m_ag_for_fshg_35_44,m_ag_for_fshg_45_54,m_ag_for_fshg_55_64,m_ag_for_fshg_65_74,m_ag_for_fshg_75_84,m_ag_for_fshg_85ov,m_ag_for_fshg_tot,m_mining_15_19,m_mining_20_24,m_mining_25_34,m_mining_35_44,m_mining_45_54,m_mining_55_64,m_mining_65_74,m_mining_75_84,m_mining_85ov,m_mining_tot,m_manufact_15_19,m_manufact_20_24,m_manufact_25_34,m_manufact_35_44,m_manufact_45_54,m_manufact_55_64,m_manufact_65_74,m_manufact_75_84,m_manufact_85ov,m_manufact_tot,m_el_gas_wt_waste_15_19,m_el_gas_wt_waste_20_24,m_el_gas_wt_waste_25_34,m_el_gas_wt_waste_35_44,m_el_gas_wt_waste_45_54,m_el_gas_wt_waste_55_64,m_el_gas_wt_waste_65_74,m_el_gas_wt_waste_75_84,m_el_gas_wt_waste_85ov,m_el_gas_wt_waste_tot,m_constru_15_19,m_constru_20_24,m_constru_25_34,m_constru_35_44,m_constru_45_54,m_constru_55_64,m_constru_65_74,m_constru_75_84,m_constru_85ov,m_constru_tot,m_whlesaletde_15_19,m_whlesaletde_20_24,m_whlesaletde_25_34,m_whlesaletde_35_44,m_whlesaletde_45_54,m_whlesaletde_55_64,m_whlesaletde_65_74,m_whlesaletde_75_84,m_whlesaletde_85ov,m_whlesaletde_tot,m_rettde_15_19,m_rettde_20_24,m_rettde_25_34,m_rettde_35_44,m_rettde_45_54,m_rettde_55_64,m_rettde_65_74,m_rettde_75_84,m_rettde_85ov,m_rettde_tot,m_accom_food_15_19,m_accom_food_20_24,m_accom_food_25_34,m_accom_food_35_44,m_accom_food_45_54,m_accom_food_55_64,m_accom_food_65_74,m_accom_food_75_84,m_accom_food_85ov,m_accom_food_tot,m_trans_post_wrehsg_15_19,m_trans_post_wrehsg_20_24,m_trans_post_wrehsg_25_34,m_trans_post_wrehsg_35_44,m_trans_post_wrehsg_45_54,m_trans_post_wrehsg_55_64,m_trans_post_wrehsg_65_74,m_trans_post_wrehsg_75_84,m_trans_post_wrehsg_85ov,m_trans_post_wrehsg_tot,m_info_media_teleco_15_19,m_info_media_teleco_20_24,m_info_media_teleco_25_34,m_info_media_teleco_35_44,m_info_media_teleco_45_54,m_info_media_teleco_55_64,m_info_media_teleco_65_74,m_info_media_teleco_75_84,m_info_media_teleco_85ov,m_info_media_teleco_tot,m_fin_insur_15_19,m_fin_insur_20_24,m_fin_insur_25_34,m_fin_insur_35_44,m_fin_insur_45_54,m_fin_insur_55_64,m_fin_insur_65_74,m_fin_insur_75_84,m_fin_insur_85ov,m_fin_insur_tot,m_rtnhir_rest_15_19,m_rtnhir_rest_20_24,m_rtnhir_rest_25_34,m_rtnhir_rest_35_44,m_rtnhir_rest_45_54,m_rtnhir_rest_55_64,m_rtnhir_rest_65_74,m_rtnhir_rest_75_84,m_rtnhir_rest_85ov,m_rtnhir_rest_tot,m_pro_scien_tec_15_19,m_pro_scien_tec_20_24,m_pro_scien_tec_25_34,m_pro_scien_tec_35_44,m_pro_scien_tec_45_54,m_pro_scien_tec_55_64,m_pro_scien_tec_65_74,m_pro_scien_tec_75_84,m_pro_scien_tec_85ov,m_pro_scien_tec_tot,m_admin_supp_15_19,m_admin_supp_20_24,m_admin_supp_25_34,m_admin_supp_35_44,m_admin_supp_45_54,m_admin_supp_55_64,m_admin_supp_65_74,m_admin_supp_75_84,m_admin_supp_85ov,m_admin_supp_tot,m_public_admin_sfty_15_19,m_public_admin_sfty_20_24,m_public_admin_sfty_25_34,m_public_admin_sfty_35_44,m_public_admin_sfty_45_54,m_public_admin_sfty_55_64,m_public_admin_sfty_65_74,m_public_admin_sfty_75_84,m_public_admin_sfty_85ov,m_public_admin_sfty_tot,m_educ_trng_15_19,m_educ_trng_20_24,m_educ_trng_25_34,m_educ_trng_35_44,m_educ_trng_45_54,m_educ_trng_55_64,m_educ_trng_65_74,m_educ_trng_75_84,m_educ_trng_85ov,m_educ_trng_tot,m_hlthcare_socas_15_19,m_hlthcare_socas_20_24,m_hlthcare_socas_25_34,m_hlthcare_socas_35_44,m_hlthcare_socas_45_54,m_hlthcare_socas_55_64,m_hlthcare_socas_65_74,m_hlthcare_socas_75_84,m_hlthcare_socas_85ov,m_hlthcare_socas_tot,m_art_recn_15_19,m_art_recn_20_24,m_art_recn_25_34,m_art_recn_35_44,m_art_recn_45_54,m_art_recn_55_64,m_art_recn_65_74,m_art_recn_75_84,m_art_recn_85ov,m_art_recn_tot,m_oth_scs_15_19,m_oth_scs_20_24,m_oth_scs_25_34,m_oth_scs_35_44,m_oth_scs_45_54,m_oth_scs_55_64,m_oth_scs_65_74,m_oth_scs_75_84,m_oth_scs_85ov,m_oth_scs_tot,m_id_ns_15_19,m_id_ns_20_24,m_id_ns_25_34,m_id_ns_35_44,m_id_ns_45_54,m_id_ns_55_64,m_id_ns_65_74,m_id_ns_75_84,m_id_ns_85ov,m_id_ns_tot
Rest of NSW,1RNSW,1316,2652,6138,7013,9047,9861,6185,2236,416,44854,184,1099,6442,6901,5826,3214,311,28,6,24019,1901,4664,10251,10841,12158,8817,1530,193,10,50372,130,608,2226,2761,3352,2318,232,12,9,11648,4722,9807,19361,17622,17594,13058,2563,192,25,84946,544,1213,2938,3564,3789,2918,741,107,10,15828,6641,6750,9247,7617,7483,6265,1908,277,26,46214,9325,5746,6245,4517,4212,3824,1296,133,21,35314,482,1416,4682,6632,9365,8857,2940,297,18,34686,276,539,1171,1200,1273,1027,225,31,0,5740,81,382,1578,2121,2029,1364,437,92,18,8093,187,395,1082,1446,1576,1456,656,124,19,6936,394,1482,4889,5628,5380,4757,1984,275,18,24800,428,1250,2814,3264,3807,3289,826,92,8,15781,700,2378,8305,10538,12723,8745,1288,99,14,44774,484,1465,4670,5710,6484,6855,1568,149,9,27394,388,1701,6036,6712,7783,7324,1775,181,21,31920,833,898,1213,1303,1369,1205,436,72,16,7336,1363,2850,5109,4740,4989,3943,1242,185,31,24450,1619,2778,4941,4939,5790,4496,1632,559,142,26896
Greater Sydney,1GSYD,216,520,1117,1140,1301,1028,528,180,26,6067,14,135,903,1004,946,639,145,23,0,3806,1701,5359,17213,21279,22755,16385,3458,346,51,88549,120,682,2961,3567,3487,2425,400,27,0,13667,7494,18505,43027,37365,31013,18388,4255,327,38,160415,687,2807,10997,13456,11946,7808,1969,229,25,49920,9026,16131,24697,18499,14451,9973,3213,414,42,96447,12919,14282,21775,11800,8394,5658,1423,153,21,76421,978,4408,17484,20562,22423,16785,4011,310,21,86980,761,2314,10440,11516,8266,3923,807,105,8,38142,348,4011,22044,24336,15942,7824,1848,276,61,76689,403,1656,5996,5462,4690,3157,1331,288,46,23036,1000,7807,36405,34247,23535,15336,5803,839,102,125065,828,3402,10243,9252,8097,5996,1742,172,30,39758,587,3790,15909,16812,16745,11712,2549,215,20,68336,2079,4944,11998,11357,10645,9991,3202,359,21,54601,793,3977,14795,14110,12972,10957,3955,559,63,62173,1737,2991,5458,3988,3150,2209,749,127,14,20428,1535,4204,9927,9507,9174,6636,1962,237,29,43215,2665,7176,18138,15610,14608,9493,2816,576,132,71216
Rest of Vic.,2RVIC,922,1970,4754,5425,6819,7252,4583,1538,291,33560,20,179,972,1019,1103,708,112,13,3,4131,1215,3251,7138,8272,9548,7011,1174,117,25,37742,66,320,1338,1514,2341,1785,257,15,3,7641,2391,6080,12049,9904,9616,7258,1407,132,39,48881,338,762,1779,2180,2453,1937,490,60,13,10024,4010,3719,5115,4447,4285,3832,1226,161,23,26828,4875,2842,2941,2143,1905,1827,653,74,11,17265,241,783,2653,3685,5211,5169,1543,115,25,19428,154,301,699,778,811,670,142,17,0,3567,40,219,918,1232,1259,783,222,34,5,4708,51,183,502,621,734,666,289,46,11,3098,175,744,2557,2978,2797,2563,1065,156,6,13046,226,532,1336,1601,1906,1828,515,55,9,7999,339,1118,3305,4298,5419,4228,718,78,12,19512,341,753,2709,3354,3374,3637,863,64,3,15105,190,821,2839,3336,3888,3949,1013,114,15,16158,491,534,792,857,884,820,309,55,6,4749,657,1376,2433,2268,2687,2329,699,106,12,12577,948,1550,2711,2859,3453,2866,1045,364,95,15896
Greater Melbourne,2GMEL,217,639,1613,1683,1735,1422,715,258,39,8327,10,110,786,899,867,570,132,16,5,3394,1684,6438,22711,28769,29846,19943,4041,386,54,113873,112,727,3965,3890,3467,2180,380,24,8,14757,5338,17317,43299,34510,29710,17508,3665,344,55,151744,710,2776,9986,11945,11809,7523,1751,215,26,46744,9823,16496,23828,17702,14475,9731,3005,364,56,95488,12377,13951,19255,9618,6690,4256,973,107,14,67244,698,4387,18946,18750,19438,14307,3406,222,27,80188,543,1831,7897,8409,6194,3072,563,51,9,28570,195,2525,14534,15154,10265,5059,1369,193,48,49338,253,1372,5029,4221,3651,2546,995,198,24,18287,648,6143,31423,29933,20515,13208,5059,675,76,107676,706,3724,9798,8395,7566,5557,1783,196,18,37747,532,2807,11911,13269,13451,9332,2126,264,24,53717,1600,4556,13408,12423,10788,9786,2856,269,24,55715,506,2956,13426,13007,11943,9463,3255,387,48,54990,2432,3785,6379,4430,3304,2172,793,154,16,23474,1192,3846,9775,8780,8789,6287,1821,249,23,40779,2000,6386,16173,14028,13840,8929,2844,548,161,64905
Greater Brisbane,3GBRI,280,574,1222,1037,1259,977,596,172,22,6136,22,250,2466,3006,2365,1107,171,7,7,9409,1391,4173,11101,12406,12367,7827,1369,111,10,50761,63,354,1751,2406,2358,1493,201,16,0,8636,3454,9210,21742,18665,15647,9402,1905,116,13,80149,527,1586,4573,5421,5151,3308,743,73,6,21385,5956,8477,10652,7654,6293,4336,1260,130,15,44770,8536,6765,7481,3812,2675,1735,458,65,4,31532,587,2606,9365,10299,11583,8928,2232,144,13,45756,368,953,2289,2223,1957,1077,185,24,4,9073,116,884,4221,4601,3567,1807,433,63,17,15705,256,808,2359,2313,2179,1672,743,143,24,10495,621,3505,12153,12771,9819,5965,1863,208,13,46926,638,2044,4585,3944,3412,2415,682,70,10,17804,394,2903,9357,10315,10212,6309,968,66,6,40520,990,2419,5841,6235,6238,5037,1394,116,9,28278,521,2356,7299,7567,7059,5191,1446,176,20,31631,875,1220,2032,1691,1329,868,284,60,5,8371,927,2307,5182,4520,4284,3176,837,113,3,21355,1359,3248,7075,6461,5986,3768,1144,240,52,29336
Rest of Qld,3RQLD,1224,2514,5563,5581,6956,6820,3898,1373,200,34124,292,1507,8382,9480,8296,4190,498,29,9,32679,1994,4044,9130,10064,10077,7140,1480,155,10,44099,154,533,1880,2295,2846,1844,222,8,4,9796,3590,8433,20265,19679,18126,12504,2409,163,23,85193,606,1274,3172,3916,4126,2915,691,80,8,16785,7029,6497,8628,7162,7015,5200,1742,201,19,43488,8827,5352,7394,5122,4478,3481,1197,141,16,36010,494,1536,5458,6952,9802,8719,2584,191,12,35746,267,578,1297,1250,1296,938,214,18,3,5859,118,481,1635,1931,1924,1267,452,55,14,7883,218,545,1420,1914,2183,2004,1065,177,18,9549,415,1543,4978,5742,5254,4226,1607,191,17,23969,581,1399,3119,3557,3990,3066,823,96,12,16643,626,3189,7435,8426,9588,6668,1029,98,3,37069,660,1294,4086,5229,5832,5166,1420,134,13,23830,366,1607,5564,6195,6906,5550,1441,152,7,27796,948,1112,1777,1718,1664,1195,402,74,3,8892,1297,2637,5109,4612,4525,3439,1083,105,6,22806,1575,2774,5588,5711,5885,4447,1526,393,86,27973
Rest of SA,4RSAU,490,1081,2686,3056,3764,3563,1889,519,93,17143,28,210,1026,1036,1013,548,62,3,3,3936,334,951,2084,2429,2849,2071,311,36,7,11060,22,91,291,248,430,326,54,3,0,1465,463,1040,2056,1863,2082,1777,356,33,9,9675,116,222,607,596,711,591,117,18,0,2977,1032,819,1141,990,1092,1032,302,44,3,6445,917,475,528,476,528,532,185,22,3,3658,63,222,632,919,1428,1331,429,59,3,5088,24,39,102,76,113,94,25,0,0,477,15,12,87,123,176,139,45,4,0,604,12,19,74,89,163,175,65,14,0,617,48,86,297,335,343,421,239,24,4,1799,68,167,405,426,563,513,141,14,0,2296,39,165,634,880,1165,1086,159,14,10,4149,49,151,541,501,626,721,218,13,3,2825,33,140,404,531,713,818,193,17,0,2841,55,57,91,105,134,131,56,13,0,642,208,393,674,576,709,635,183,26,3,3416,212,281,539,557,744,605,223,107,29,3288
Greater Adelaide,4GADE,91,337,815,981,1021,859,438,122,17,4685,11,135,1035,1124,970,537,90,4,3,3898,631,2106,6656,8060,8621,5609,1077,106,7,32879,84,264,1177,1278,1578,1009,150,5,3,5541,1326,4485,10386,8230,8414,5417,1231,111,15,39625,252,880,2296,2938,3063,2075,479,53,5,12036,3565,5127,6599,4802,4278,3000,850,96,15,28328,3922,3760,4302,2487,1805,1180,340,54,9,17864,224,943,3762,4178,5093,4253,991,76,9,19516,190,451,1450,1342,1106,696,159,14,3,5411,54,371,1731,2115,1829,1248,324,48,13,7736,88,299,851,798,894,810,347,89,11,4188,193,1200,4969,5243,4420,3197,1240,137,10,20620,205,902,2208,2245,2392,1701,500,50,3,10204,130,1216,5069,6036,6347,4509,613,22,9,23951,396,1227,3282,3500,3390,3499,993,73,8,16360,201,1132,4662,4825,4611,3937,1134,134,4,20641,445,780,1088,776,705,528,174,37,0,4536,361,1243,2723,2569,2697,2114,650,98,9,12469,484,1197,2730,2560,2609,1820,574,141,39,12148
Greater Perth,5GPER,159,356,824,722,868,765,453,142,22,4300,127,1333,10192,10719,9209,4322,571,33,5,36503,1025,2667,8498,9419,9160,6216,1346,111,8,38454,52,317,1608,1878,1949,1308,206,10,0,7335,2804,8300,22617,17677,15443,8936,1916,166,20,77889,344,1277,3727,4034,3945,2704,694,75,7,16800,5099,7380,8593,5984,5131,3709,1281,149,18,37334,6506,5698,7080,3551,2487,1618,443,53,9,27446,396,1681,7052,6873,7792,6262,1653,114,5,31836,303,643,1658,1441,1278,796,207,22,8,6350,50,516,2676,3051,2833,1573,476,49,13,11245,115,459,1528,1617,1757,1444,707,130,16,7771,287,2063,10136,10330,8100,5001,1790,231,18,37960,439,1437,3668,3203,2981,2244,684,81,4,14740,297,1721,6709,7275,7868,5877,1310,132,10,31198,723,1605,4103,4697,4786,4694,1446,122,10,22193,297,1467,5398,5327,4985,4136,1319,182,8,23114,859,1195,1977,1374,1187,935,371,56,4,7951,734,2167,4776,3931,3775,2900,842,108,9,19244,1104,2786,6688,6132,5853,3700,1179,263,39,27743
Rest of WA,5RWAU,415,901,2521,2646,3277,3085,1844,568,80,15336,161,1109,6248,6214,5423,2874,352,13,6,22409,417,839,2136,2229,2067,1418,304,32,10,9450,27,109,473,612,710,558,93,4,0,2592,776,1708,4533,4288,4108,2862,535,48,8,18859,148,276,663,747,780,564,148,19,0,3350,1292,905,1369,1116,1182,1025,340,29,3,7268,1184,566,1155,856,804,667,248,32,3,5509,103,351,1206,1640,2257,1977,657,59,3,8244,51,76,135,111,132,116,23,10,0,649,6,27,123,194,252,148,42,15,0,813,36,85,255,281,325,281,156,23,0,1441,69,206,784,909,937,758,229,32,5,3934,117,222,590,630,727,643,171,18,0,3119,118,267,1067,1537,1937,1620,336,34,4,6909,88,185,671,915,1040,1058,261,17,3,4241,55,167,667,789,965,927,289,28,3,3891,77,89,185,205,271,265,84,18,0,1192,370,596,1176,1098,999,714,206,28,0,5192,381,582,1186,1246,1357,1079,391,110,18,6352
