gcc_name16,gcc_code16,m_tot_0,m_tot_1_15,m_tot_16_24,m_tot_25_34,m_tot_35_39,m_tot_40,m_tot_41_48,m_tot_49over,m_tot_hours_ns,m_tot_tot,f_agriforestfish_0,f_agriforestfish_1_15,f_agriforestfish_16_24,f_agriforestfish_25_34,f_agriforestfish_35_39,f_agriforestfish_40,f_agriforestfish_41_48,f_agriforestfish_49over,f_agriforestfish_hours_ns,f_agriforestfish_tot,f_min_0,f_min_1_15,f_min_16_24,f_min_25_34,f_min_35_39,f_min_40,f_min_41_48,f_min_49over,f_min_hours_ns,f_min_tot,f_mnfg_0,f_mnfg_1_15,f_mnfg_16_24,f_mnfg_25_34,f_mnfg_35_39,f_mnfg_40,f_mnfg_41_48,f_mnfg_49over,f_mnfg_hours_ns,f_mnfg_tot,f_egw_ws_0,f_egw_ws_1_15,f_egw_ws_16_24,f_egw_ws_25_34,f_egw_ws_35_39,f_egw_ws_40,f_egw_ws_41_48,f_egw_ws_49over,f_egw_ws_hours_ns,f_egw_ws_tot,f_cnstn_0,f_cnstn_1_15,f_cnstn_16_24,f_cnstn_25_34,f_cnstn_35_39,f_cnstn_40,f_cnstn_41_48,f_cnstn_49over,f_cnstn_hours_ns,f_cnstn_tot,f_wtrade_0,f_wtrade_1_15,f_wtrade_16_24,f_wtrade_25_34,f_wtrade_35_39,f_wtrade_40,f_wtrade_41_48,f_wtrade_49over,f_wtrade_hours_ns,f_wtrade_tot,f_rtrade_0,f_rtrade_1_15,f_rtrade_16_24,f_rtrade_25_34,f_rtrade_35_39,f_rtrade_40,f_rtrade_41_48,f_rtrade_49over,f_rtrade_hours_ns,f_rtrade_tot,f_accomfoods_0,f_accomfoods_1_15,f_accomfoods_16_24,f_accomfoods_25_34,f_accomfoods_35_39,f_accomfoods_40,f_accomfoods_41_48,f_accomfoods_49over,f_accomfoods_hours_ns,f_accomfoods_tot,f_transpostwhse_0,f_transpostwhse_1_15,f_transpostwhse_16_24,f_transpostwhse_25_34,f_transpostwhse_35_39,f_transpostwhse_40,f_transpostwhse_41_48,f_transpostwhse_49over,f_transpostwhse_hours_ns,f_transpostwhse_tot,f_infomedtelecom_0,f_infomedtelecom_1_15,f_infomedtelecom_16_24,f_infomedtelecom_25_34,f_infomedtelecom_35_39,f_infomedtelecom_40,f_infomedtelecom_41_48,f_infomedtelecom_49over,f_infomedtelecom_hours_ns,f_infomedtelecom_tot,f_fininsurs_0,f_fininsurs_1_15,f_fininsurs_16_24,f_fininsurs_25_34,f_fininsurs_35_39,f_fininsurs_40,f_fininsurs_41_48,f_fininsurs_49over,f_fininsurs_hours_ns,f_fininsurs_tot,f_renthirreserv_0,f_renthirreserv_1_15,f_renthirreserv_16_24,f_renthirreserv_25_34,f_renthirreserv_35_39,f_renthirreserv_40,f_renthirreserv_41_48,f_renthirreserv_49over,f_renthirreserv_hours_ns,f_renthirreserv_tot,f_proscietechserv_0,f_proscietechserv_1_15,f_proscietechserv_16_24,f_proscietechserv_25_34,f_proscietechserv_35_39,f_proscietechserv_40,f_proscietechserv_41_48,f_proscietechserv_49over,f_proscietechserv_hours_ns,f_proscietechserv_tot,f_adminsupserv_0,f_adminsupserv_1_15,f_adminsupserv_16_24,f_adminsupserv_25_34,f_adminsupserv_35_39,f_adminsupserv_40,f_adminsupserv_41_48,f_adminsupserv_49over,f_adminsupserv_hours_ns,f_adminsupserv_tot,f_pubadmisafety_0,f_pubadmisafety_1_15,f_pubadmisafety_16_24,f_pubadmisafety_25_34,f_pubadmisafety_35_39,f_pubadmisafety_40,f_pubadmisafety_41_48,f_pubadmisafety_49over,f_pubadmisafety_hours_ns,f_pubadmisafety_tot,f_eductrain_0,f_eductrain_1_15,f_eductrain_16_24,f_eductrain_25_34,f_eductrain_35_39,f_eductrain_40,f_eductrain_41_48,f_eductrain_49over,f_eductrain_hours_ns,f_eductrain_tot,f_healthcaresoca_0,f_healthcaresoca_1_15,f_healthcaresoca_16_24,f_healthcaresoca_25_34,f_healthcaresoca_35_39,f_healthcaresoca_40,f_healthcaresoca_41_48,f_healthcaresoca_49over,f_healthcaresoca_hours_ns,f_healthcaresoca_tot,f_artrecserv_0,f_artrecserv_1_15,f_artrecserv_16_24,f_artrecserv_25_34,f_artrecserv_35_39,f_artrecserv_40,f_artrecserv_41_48,f_artrecserv_49over,f_artrecserv_hours_ns,f_artrecserv_tot,f_othserv_0,f_othserv_1_15,f_othserv_16_24,f_othserv_25_34,f_othserv_35_39,f_othserv_40,f_othserv_41_48,f_othserv_49over,f_othserv_hours_ns,f_othserv_tot
Rest of NSW,1RNSW,17875,45682,34190,43689,108486,117747,66705,125183,12471,572026,692,2728,2188,2453,1618,2537,941,4187,368,17704,189,144,182,260,378,455,479,784,33,2906,564,2359,2020,2351,3380,2656,1220,1231,167,15950,104,116,247,348,794,527,148,148,12,2441,359,2071,1601,1649,1685,1854,672,834,98,10824,210,759,842,962,1335,1119,544,520,50,6341,2980,17527,12209,12374,10981,4833,3069,3291,789,68052,1924,17764,8594,8335,5151,3349,1979,3791,798,51679,419,1409,1407,1471,1706,1285,618,863,117,9302,184,615,488,518,1087,608,318,323,36,4175,855,955,1980,2263,4018,2311,934,840,95,14255,273,942,956,1055,2249,1440,671,837,56,8479,964,3771,3633,4233,5221,3605,1633,2116,165,25337,755,4942,3396,3204,3394,2320,758,1114,268,20149,2343,1911,3646,4381,11815,5364,2801,2235,246,34749,3178,10022,10344,12202,12214,9376,5433,8837,608,72211,6831,12346,23287,28315,23475,18501,5661,7001,1220,126632,305,1932,927,991,789,554,290,494,79,6373,649,4020,3088,3138,3406,2226,1091,1173,216,19017
Greater Sydney,1GSYD,24813,84556,82499,76755,228365,301321,136561,243873,26188,1204929,125,611,560,639,610,580,210,446,75,3849,44,60,85,93,197,254,89,131,5,960,1217,3919,4309,4261,12086,8975,3502,3693,310,42284,170,154,311,349,1214,1096,390,374,24,4086,718,3723,3773,3290,4211,5818,1745,2380,256,25919,938,2029,2902,3121,8381,7903,2956,3165,172,31554,3930,26257,20731,17506,20037,13220,5805,6658,1303,115446,2213,21740,15999,10360,9009,6675,3453,4923,1034,75406,1195,2158,3040,3536,6996,5915,2254,2203,311,27617,964,1884,2099,2128,5208,6256,2811,3772,146,25278,3466,2626,5763,6892,16214,18408,6418,7848,482,68124,668,2136,2364,2167,4120,5138,2024,2363,169,21148,3372,9767,11379,10848,17460,22803,9430,13015,572,98641,1271,6656,7013,5388,7819,7265,2689,3078,464,41644,3302,2964,5312,5818,18416,10711,5030,4121,429,56098,4979,20042,18068,17377,21786,19723,9639,15486,1066,128168,8462,21500,35430,34851,40734,35203,10220,12775,2009,201185,684,4254,2589,2374,2282,2579,1061,1518,185,17531,1085,6984,5966,5261,7333,5540,2555,2484,474,37679
Rest of Vic.,2RVIC,11366,26842,17833,23821,56817,70002,38613,69363,7251,321909,626,2355,1701,1941,1304,1822,730,3149,301,13922,29,38,57,60,72,94,58,94,0,487,576,2039,1629,1647,2663,2132,961,834,125,12616,125,114,209,232,483,425,121,121,6,1834,226,1272,857,873,786,892,262,365,63,5601,153,563,506,543,780,602,292,248,27,3707,1770,10766,6604,6816,5593,3011,1735,1809,425,38536,1099,9996,4146,3665,2363,1501,980,2063,450,26265,239,833,699,820,876,639,357,460,56,4980,130,508,358,348,623,356,206,156,12,2703,476,506,1045,1139,1754,1175,480,429,46,7045,132,458,469,439,941,572,299,350,23,3688,497,2151,1894,2145,2518,1776,850,989,99,12926,383,2775,1639,1494,1460,862,360,456,159,9596,1403,1802,2545,2753,4353,3002,1311,1177,159,18508,1750,5391,6217,6441,6296,4157,3118,4708,330,38407,4820,8212,14885,18152,11333,8167,2929,3346,702,72544,250,1359,677,690,505,350,209,337,71,4444,377,2283,1564,1723,1697,991,523,575,131,9863
Greater Melbourne,2GMEL,24418,87843,72092,77347,218577,277207,130291,206069,23117,1116953,211,824,754,792,883,746,330,432,60,5043,63,48,98,102,142,301,125,224,3,1110,1457,5531,5227,5615,13074,9757,3944,3357,390,48359,341,264,527,674,2036,1615,576,506,36,6565,604,3407,3138,3024,3671,4435,1454,1750,239,21721,949,2403,3045,3264,7186,6140,2339,2308,173,27799,4072,31867,20413,18066,18940,11824,5995,6162,1317,118649,2001,24535,12924,9372,7250,5217,3237,4199,1073,69810,1136,2059,2817,3641,6333,5094,2082,1931,247,25339,701,1698,1737,1869,3696,3893,1713,1884,142,17330,2422,2069,4619,5210,10274,12350,3948,4327,306,45526,603,1932,2001,1916,3775,3905,1735,1894,155,17920,3194,9602,10042,10579,15279,17754,7395,9242,531,83612,1268,7308,6561,5374,7004,5419,2166,2380,413,37883,3367,3715,6289,7253,13900,9130,4737,3723,350,52464,4743,20005,19020,18587,21823,16096,10210,15512,931,126931,9704,23632,35392,43227,37018,26701,9642,10883,1904,198110,752,5720,2856,2733,2496,2433,1223,1619,206,20035,1097,7161,5453,5493,6846,4286,2119,2135,367,34955
Greater Brisbane,3GBRI,13600,40926,32333,40185,111092,123718,67630,118305,10244,558022,104,553,550,668,620,540,229,536,71,3868,181,80,167,208,501,806,399,648,11,3010,559,1864,1761,2387,5491,3813,1790,1509,167,19340,161,101,246,301,726,871,336,290,14,3044,347,1692,1443,1646,2150,2669,1032,1318,108,12411,255,816,964,1256,2791,2321,1010,930,61,10394,1888,14032,9514,9722,10379,4944,3052,3198,578,57300,1065,12782,6845,5914,4176,2777,1755,2486,508,38312,705,1072,1655,2014,3753,2809,1347,1447,156,14956,228,661,610,720,1511,1005,498,620,33,5885,995,850,1717,2281,5556,4021,1677,1670,122,18886,310,1165,1028,1202,2400,2376,1012,1481,68,11045,1381,4252,4398,4710,7371,7568,3335,4486,229,37721,651,3728,3320,2719,3662,2788,1238,1633,208,19945,2359,1485,2978,3760,11886,7078,3342,2455,267,35601,2958,10791,9459,12644,11659,8797,5109,8505,466,70388,5600,10657,17300,22910,25273,14795,5533,6438,988,109488,330,2123,1142,1150,1064,889,431,646,83,7856,570,3574,2867,3291,3936,2445,1297,1279,198,19460
Rest of Qld,3RQLD,17073,39961,29043,42615,94495,104043,66519,144864,11566,550177,513,2120,1701,2144,1555,2269,942,4509,305,16052,362,208,211,266,450,550,865,1832,51,4796,390,1931,1586,2045,3185,2519,1299,1358,123,14433,111,138,193,285,558,667,209,218,9,2379,415,2244,1736,1945,2135,2271,929,1477,125,13278,247,784,824,1088,1843,1467,702,756,54,7755,2238,15731,10775,12597,11894,4840,3413,3912,629,66036,1509,13986,8073,9095,6046,3716,2618,4696,699,50440,473,1434,1428,1854,2202,1718,948,1261,134,11466,142,558,486,654,1142,611,352,449,26,4423,592,808,1248,1713,3300,2140,915,1003,73,11787,308,1245,1125,1371,2800,1993,951,1491,87,11372,791,3625,3177,3826,5223,3863,1748,2459,183,24899,675,4598,3122,3469,3557,2398,1016,1701,253,20779,1770,1604,2298,2788,9083,4788,2290,1975,241,26844,3030,9565,9058,14285,10741,8036,5084,9168,529,69510,5671,9609,16689,24590,24062,14391,5178,6521,1067,107777,333,2103,1191,1522,1232,879,491,624,115,8473,637,4081,2907,3463,3500,2302,1236,1400,215,19746
Rest of SA,4RSAU,3283,6418,4461,6561,14468,15981,10192,21252,1797,84403,293,1082,732,911,602,825,327,1081,117,5968,32,21,35,37,38,64,78,207,7,516,171,601,467,579,801,612,315,291,25,3863,25,24,27,34,46,40,13,19,0,228,58,306,218,220,238,182,63,100,8,1392,59,141,133,163,251,228,112,94,13,1199,442,2527,1754,2124,1435,638,493,549,95,10061,260,2499,1210,1074,538,336,283,638,107,6947,65,279,241,243,194,154,97,165,17,1451,16,86,62,57,137,58,25,23,11,474,91,155,219,283,297,194,71,72,14,1395,46,147,115,116,264,117,64,80,0,941,106,410,343,444,450,246,149,169,16,2339,110,887,452,444,406,224,135,199,39,2917,259,229,470,543,1088,597,241,255,28,3711,463,1114,1502,1822,1258,885,786,1331,60,9224,1020,1984,3237,4198,2984,1209,630,843,175,16278,34,202,99,104,86,61,25,54,14,684,92,591,333,438,355,232,111,142,23,2311
Greater Adelaide,4GADE,8416,26791,18417,25617,68563,61142,37059,51687,4959,302646,87,420,318,354,314,284,126,248,37,2182,56,43,56,88,169,183,105,157,11,859,370,1601,1311,1695,3234,1762,901,740,93,11713,110,98,171,230,661,372,179,99,10,1918,202,1172,798,896,1001,965,434,366,55,5881,154,509,547,730,1385,863,406,335,16,4952,1384,10155,5879,6391,5480,2253,1644,1355,330,34867,662,7956,3641,3444,2011,1193,928,1091,276,21201,263,543,581,819,1090,721,368,420,41,4841,145,439,392,458,864,487,227,228,27,3265,583,619,1294,1729,3142,1675,826,637,48,10553,133,514,447,565,1088,698,348,393,35,4219,673,2320,2190,2559,3652,2526,1320,1376,91,16710,407,2709,2042,1771,2088,1042,549,597,105,11323,1420,952,2217,2916,6834,3613,1742,1262,116,21059,1607,5218,5121,6144,6325,4184,2898,4323,238,36065,3934,8302,12442,17172,15639,6167,3018,3364,622,70657,163,1358,595,680,564,413,224,242,42,4273,385,2229,1701,1996,2193,1122,609,540,118,10883
Greater Perth,5GPER,15414,38793,29236,31902,84505,110565,59413,108841,8738,487403,102,448,420,466,423,373,155,269,39,2690,704,285,663,613,1108,2229,1170,2607,68,9455,429,2013,1726,1814,3034,2574,1055,844,97,13596,136,135,266,296,947,636,287,216,14,2924,432,2093,1744,1696,2105,3169,950,1288,151,13630,250,829,927,1101,1962,1692,646,528,47,7978,1815,14618,9562,8805,8525,4338,2119,2151,516,52442,1001,11136,5810,4417,3234,2434,1322,2139,468,31962,500,1058,1151,1607,2046,1945,803,843,106,10064,134,653,510,472,786,685,269,271,31,3799,712,960,1721,1719,3273,3001,1005,892,73,13358,265,1059,978,1021,2003,1982,752,886,64,9019,1124,3978,3667,3706,5196,5614,2266,2712,139,28398,534,3647,2787,2233,2420,2094,804,1174,180,15880,1762,1886,2999,2949,8739,5054,2318,1778,162,27651,2404,9160,9088,9851,9823,8006,4376,6026,431,59167,4518,11181,15712,18490,20180,10460,4009,4767,810,90131,325,2340,1207,1098,1061,854,412,510,72,7885,500,3830,2741,2851,3383,2148,937,929,165,17486
Rest of WA,5RWAU,6577,7922,5533,7534,15030,21364,17066,46877,2851,130758,328,1066,738,754,369,912,350,1476,129,6134,346,136,153,156,194,444,614,1720,58,3822,151,460,382,458,476,486,283,257,29,2979,23,34,55,51,120,87,68,67,4,506,151,565,321,375,355,473,180,410,31,2861,44,150,139,159,247,265,182,129,5,1330,553,3179,2081,2439,2212,1078,750,803,157,13251,378,2548,1371,1595,940,741,496,1259,147,9471,148,433,353,435,378,407,256,378,26,2827,17,127,76,89,139,77,58,46,11,631,134,198,274,263,402,300,106,129,14,1821,86,212,162,231,521,329,150,184,15,1894,169,668,568,576,646,499,251,363,24,3760,163,992,626,681,515,410,204,452,52,4106,413,553,717,736,1735,1236,508,494,70,6459,800,1943,2232,2868,2315,1898,1248,1828,151,15281,1122,2206,3050,4021,3812,2215,839,1231,172,18659,78,410,202,208,193,137,56,102,18,1398,152,841,576,645,666,479,199,277,58,3887
