gcc_name16,gcc_code16,p_othserv_0,p_othserv_1_15,p_othserv_16_24,p_othserv_25_34,p_othserv_35_39,p_othserv_40,p_othserv_41_48,p_othserv_49over,p_othserv_hours_ns,p_othserv_tot,p_id_ns_0,p_id_ns_1_15,p_id_ns_16_24,p_id_ns_25_34,p_id_ns_35_39,p_id_ns_40,p_id_ns_41_48,p_id_ns_49over,p_id_ns_hours_ns,p_id_ns_tot,p_tot_0,p_tot_1_15,p_tot_16_24,p_tot_25_34,p_tot_35_39,p_tot_40,p_tot_41_48,p_tot_49over,p_tot_hours_ns,p_tot_tot
Other Territories,9OTER,5,5,7,4,8,9,3,8,3,58,5,13,7,10,16,16,4,13,24,111,121,204,149,209,503,331,236,331,69,2151
Australian Capital Territory,8ACTE,149,820,609,680,1270,1025,621,857,70,6102,185,599,369,370,799,908,347,557,1218,5346,8471,20570,16484,19945,46914,41411,21467,27141,3014,205419
Rest of NT,7RNTE,67,185,159,174,458,354,111,224,66,1799,88,84,57,75,215,190,74,171,537,1488,1375,2053,1839,2690,7085,5870,2907,5924,1014,30752
Greater Darwin,7GDAR,63,191,165,212,524,515,253,419,40,2378,125,198,138,193,489,541,213,616,681,3191,3080,4658,4445,5708,15081,13484,7364,15976,1568,71357
Rest of Tas.,6RTAS,140,628,496,524,913,769,378,533,54,4441,234,524,315,395,639,594,245,452,1003,4397,5318,15643,13217,15457,21595,17674,10183,16012,2294,117405
Greater Hobart,6GHOB,99,537,416,506,769,593,328,402,30,3670,141,352,248,287,454,423,149,273,636,2958,4077,13011,10880,13293,20929,15740,8535,10975,1448,98883
Rest of WA,5RWAU,324,1127,801,950,1392,1608,896,1832,144,9080,550,1034,603,724,1023,1412,652,1926,1993,9929,12047,25250,19959,24657,31651,34249,23993,58813,4819,235431
Greater Perth,5GPER,962,5110,3857,4153,7173,6817,3377,4937,349,36729,1458,4589,3282,3153,6626,8226,3037,5872,6781,43030,33645,112853,94699,98721,166934,171924,85665,140626,15130,920196
Rest of SA,4RSAU,185,842,500,669,1104,1021,530,813,63,5729,293,615,367,438,675,671,292,654,1301,5303,7038,20059,16308,20625,26137,23050,14267,27685,3131,158308
Greater Adelaide,4GADE,659,3112,2403,2996,5193,3885,2237,2643,223,23353,686,2201,1428,1769,3429,2706,1108,1977,3830,19133,21442,75146,60906,77111,127270,92301,54165,69825,8891,587060
Rest of Qld,3RQLD,1123,5567,4070,5179,8048,7385,4014,6688,486,42551,1697,4600,3174,4017,6326,6787,2742,6641,9078,45065,37980,119083,98634,133731,191122,167324,98291,192969,20383,1059525
Greater Brisbane,3GBRI,981,4981,4068,4872,8548,7375,4033,5549,415,40813,1296,4262,3354,3629,8181,8270,2919,5986,8285,46178,34817,115627,102096,121569,218629,199270,102742,161065,17962,1073778
Rest of Vic.,2RVIC,702,3180,2171,2563,4299,4227,1994,3024,277,22437,1267,2705,1784,1926,3414,3847,1414,2947,5591,24896,27008,81789,66524,76739,104175,103356,54663,91518,12812,618583
Greater Melbourne,2GMEL,1792,9919,8271,8468,15755,14203,6956,9502,857,75730,2944,10118,8379,8066,18496,19201,6273,10985,19823,104281,64518,247403,219460,228318,406480,429655,196776,282723,40164,2115493
Rest of NSW,1RNSW,1203,5479,4237,4628,8510,8069,4212,6652,476,43467,1748,4503,3131,3415,6142,6482,2467,4901,9677,42468,42391,134568,116929,135978,204953,184155,96429,166740,22017,1104163
Greater Sydney,1GSYD,1788,9897,8821,8315,15821,16198,7748,11294,1018,80900,2943,10307,10125,8396,19482,22625,7014,12756,22727,116381,65069,229765,235495,217349,439866,492425,210801,337122,44829,2272718
