gcc_name16,gcc_code16,i_4000more_1aw_othnw,i_4000more_bnw,i_4000more_lfsta_ns,i_4000more_tot,part_inc_stated_be_wft,part_inc_stated_be_wpt,part_inc_stated_be_baw,part_inc_stated_1eft_othpt,part_inc_stated_1eft_othaw,part_inc_stated_1eft_othnw,part_inc_stated_1ept_othaw,part_inc_stated_1ept_othnw,part_inc_stated_1aw_othnw,part_inc_stated_bnw,part_inc_stated_lfsta_ns,part_inc_stated_tot,all_inc_ns_be_wft,all_inc_ns_be_wpt,all_inc_ns_be_baw,all_inc_ns_1eft_othpt,all_inc_ns_1eft_othaw,all_inc_ns_1eft_othnw,all_inc_ns_1ept_othaw,all_inc_ns_1ept_othnw,all_inc_ns_1aw_othnw,all_inc_ns_bnw,all_inc_ns_lfsta_ns,all_inc_ns_tot,tot_be_wft,tot_be_wpt,tot_be_baw,tot_1eft_othpt,tot_1eft_othaw,tot_1eft_othnw,tot_1ept_othaw,tot_1ept_othnw,tot_1aw_othnw,tot_bnw,tot_lfsta_ns,tot_tot
Other Territories,9OTER,0,0,0,17,0,0,0,0,0,3,0,0,0,0,25,30,0,0,0,0,0,0,0,0,0,4,11,11,98,32,13,85,8,54,0,32,7,84,31,443
Australian Capital Territory,8ACTE,36,352,12,4769,122,12,7,52,18,36,8,25,9,153,2222,2664,23,4,15,14,3,18,0,11,6,129,103,316,11718,1279,268,4521,654,3966,224,2385,406,10543,2480,38438
Rest of NT,7RNTE,6,9,0,395,28,4,4,11,3,14,3,8,3,43,422,545,9,9,10,6,0,20,3,7,4,95,112,272,1915,182,95,588,118,563,45,279,78,1398,574,5841
Greater Darwin,7GDAR,11,24,3,1606,52,7,4,21,8,28,5,9,7,40,986,1166,19,7,9,3,0,8,4,3,4,43,77,177,4983,418,154,1656,322,1402,107,427,143,1577,1109,12298
Rest of Tas.,6RTAS,12,104,12,821,35,25,14,69,15,78,7,60,11,306,1683,2294,30,9,9,28,3,19,0,15,22,386,242,755,4922,1685,313,4629,413,2953,277,2842,484,13704,2258,34494
Greater Hobart,6GHOB,9,98,8,922,49,6,4,27,3,38,0,32,14,157,1172,1513,17,4,7,16,0,11,3,3,4,162,138,356,4391,1146,144,3212,320,2067,191,1933,248,8254,1456,23355
Rest of WA,5RWAU,28,188,9,3485,126,38,19,94,30,157,18,94,31,390,4056,5050,125,26,48,47,23,41,5,33,23,434,396,1211,11781,2620,730,7864,906,5288,570,3602,788,15828,4826,54809
Greater Perth,5GPER,114,1110,32,15278,460,82,50,289,75,382,35,221,88,1140,13988,16802,188,50,93,123,48,95,15,64,53,1223,931,2876,43624,8425,1344,26037,2883,21122,1378,13451,2146,56878,15750,193034
Rest of SA,4RSAU,17,148,7,1190,79,32,11,69,16,102,12,73,25,499,2363,3266,66,20,30,61,11,27,4,36,22,464,322,1060,7333,2351,430,6707,576,3672,410,3450,581,19136,3088,47730
Greater Adelaide,4GADE,48,649,18,5514,258,61,22,174,39,221,23,135,32,959,6375,8297,99,33,50,83,18,40,10,43,14,907,589,1886,24840,5619,841,17495,1720,12664,891,9840,1276,48054,7615,130851
Rest of Qld,3RQLD,99,1175,45,10718,617,140,73,414,109,567,59,319,112,1955,15569,19922,458,102,203,238,69,195,31,133,102,2298,1692,5520,52670,11212,2075,35142,3603,25083,1893,17720,2990,92854,18836,264087
Greater Brisbane,3GBRI,81,985,32,13243,602,84,52,295,98,416,44,227,84,1257,11133,14297,278,49,109,137,28,106,13,69,50,1298,945,3087,54578,8614,1501,29552,3147,23442,1341,13811,2274,66100,13010,217362
Rest of Vic.,2RVIC,57,598,24,4893,347,106,48,260,58,374,36,248,92,1502,7175,10240,290,72,127,217,31,128,23,115,69,1919,1245,4229,26910,7838,1589,22540,2151,13498,1362,12079,2085,59288,9684,159025
Greater Melbourne,2GMEL,185,2358,64,28748,1102,197,117,579,195,841,82,504,179,2562,18995,25355,585,128,262,326,110,266,43,214,176,3477,2386,7962,100098,16629,2865,51455,5363,43184,2360,27195,4035,124028,23479,400693
Rest of NSW,1RNSW,84,1184,48,10498,568,144,61,462,112,629,83,403,128,2792,13890,19280,399,116,178,248,51,170,34,177,115,3255,2089,6840,48906,12781,2189,36369,3452,24303,2130,21107,3443,120175,18086,292934
Greater Sydney,1GSYD,206,3110,72,41712,1178,205,129,491,203,791,85,468,206,2470,20783,27013,505,130,218,208,94,211,48,179,109,2735,2191,6617,110605,17337,2857,48200,5331,45416,2252,26857,3859,129034,24848,416588
