gcc_name16,gcc_code16,negnil_inc_be_wft,negnil_inc_be_wpt,negnil_inc_be_baw,negnil_inc_1eft_othpt,negnil_inc_1eft_othaw,negnil_inc_1eft_othnw,negnil_inc_1ept_othaw,negnil_inc_1ept_othnw,negnil_inc_1aw_othnw,negnil_inc_bnw,negnil_inc_lfsta_ns,negnil_inc_tot,i_1_149_be_wft,i_1_149_be_wpt,i_1_149_be_baw,i_1_149_1eft_othpt,i_1_149_1eft_othaw,i_1_149_1eft_othnw,i_1_149_1ept_othaw,i_1_149_1ept_othnw,i_1_149_1aw_othnw,i_1_149_bnw,i_1_149_lfsta_ns,i_1_149_tot,i_150_299_be_wft,i_150_299_be_wpt,i_150_299_be_baw,i_150_299_1eft_othpt,i_150_299_1eft_othaw,i_150_299_1eft_othnw,i_150_299_1ept_othaw,i_150_299_1ept_othnw,i_150_299_1aw_othnw,i_150_299_bnw,i_150_299_lfsta_ns,i_150_299_tot,i_300_399_be_wft,i_300_399_be_wpt,i_300_399_be_baw,i_300_399_1eft_othpt,i_300_399_1eft_othaw,i_300_399_1eft_othnw,i_300_399_1ept_othaw,i_300_399_1ept_othnw,i_300_399_1aw_othnw,i_300_399_bnw,i_300_399_lfsta_ns,i_300_399_tot,i_400_499_be_wft,i_400_499_be_wpt,i_400_499_be_baw,i_400_499_1eft_othpt,i_400_499_1eft_othaw,i_400_499_1eft_othnw,i_400_499_1ept_othaw,i_400_499_1ept_othnw,i_400_499_1aw_othnw,i_400_499_bnw,i_400_499_lfsta_ns,i_400_499_tot,i_500_649_be_wft,i_500_649_be_wpt,i_500_649_be_baw,i_500_649_1eft_othpt,i_500_649_1eft_othaw,i_500_649_1eft_othnw,i_500_649_1ept_othaw,i_500_649_1ept_othnw,i_500_649_1aw_othnw,i_500_649_bnw,i_500_649_lfsta_ns,i_500_649_tot,i_650_799_be_wft,i_650_799_be_wpt,i_650_799_be_baw,i_650_799_1eft_othpt,i_650_799_1eft_othaw,i_650_799_1eft_othnw,i_650_799_1ept_othaw,i_650_799_1ept_othnw,i_650_799_1aw_othnw,i_650_799_bnw,i_650_799_lfsta_ns,i_650_799_tot,i_800_999_be_wft,i_800_999_be_wpt,i_800_999_be_baw,i_800_999_1eft_othpt,i_800_999_1eft_othaw,i_800_999_1eft_othnw,i_800_999_1ept_othaw,i_800_999_1ept_othnw,i_800_999_1aw_othnw,i_800_999_bnw,i_800_999_lfsta_ns,i_800_999_tot,i_1000_1249_be_wft,i_1000_1249_be_wpt,i_1000_1249_be_baw,i_1000_1249_1eft_othpt,i_1000_1249_1eft_othaw,i_1000_1249_1eft_othnw,i_1000_1249_1ept_othaw,i_1000_1249_1ept_othnw,i_1000_1249_1aw_othnw,i_1000_1249_bnw,i_1000_1249_lfsta_ns,i_1000_1249_tot,i_1250_1499_be_wft,i_1250_1499_be_wpt,i_1250_1499_be_baw,i_1250_1499_1eft_othpt,i_1250_1499_1eft_othaw,i_1250_1499_1eft_othnw,i_1250_1499_1ept_othaw,i_1250_1499_1ept_othnw,i_1250_1499_1aw_othnw,i_1250_1499_bnw,i_1250_1499_lfsta_ns,i_1250_1499_tot,i_1500_1749_be_wft,i_1500_1749_be_wpt,i_1500_1749_be_baw,i_1500_1749_1eft_othpt,i_1500_1749_1eft_othaw,i_1500_1749_1eft_othnw,i_1500_1749_1ept_othaw,i_1500_1749_1ept_othnw,i_1500_1749_1aw_othnw,i_1500_1749_bnw,i_1500_1749_lfsta_ns,i_1500_1749_tot,i_1750_1999_be_wft,i_1750_1999_be_wpt,i_1750_1999_be_baw,i_1750_1999_1eft_othpt,i_1750_1999_1eft_othaw,i_1750_1999_1eft_othnw,i_1750_1999_1ept_othaw,i_1750_1999_1ept_othnw,i_1750_1999_1aw_othnw,i_1750_1999_bnw,i_1750_1999_lfsta_ns,i_1750_1999_tot,i_2000_2499_be_wft,i_2000_2499_be_wpt,i_2000_2499_be_baw,i_2000_2499_1eft_othpt,i_2000_2499_1eft_othaw,i_2000_2499_1eft_othnw,i_2000_2499_1ept_othaw,i_2000_2499_1ept_othnw,i_2000_2499_1aw_othnw,i_2000_2499_bnw,i_2000_2499_lfsta_ns,i_2000_2499_tot,i_2500_2999_be_wft,i_2500_2999_be_wpt,i_2500_2999_be_baw,i_2500_2999_1eft_othpt,i_2500_2999_1eft_othaw,i_2500_2999_1eft_othnw,i_2500_2999_1ept_othaw,i_2500_2999_1ept_othnw,i_2500_2999_1aw_othnw,i_2500_2999_bnw,i_2500_2999_lfsta_ns,i_2500_2999_tot,i_3000_3499_be_wft,i_3000_3499_be_wpt,i_3000_3499_be_baw,i_3000_3499_1eft_othpt,i_3000_3499_1eft_othaw,i_3000_3499_1eft_othnw,i_3000_3499_1ept_othaw,i_3000_3499_1ept_othnw,i_3000_3499_1aw_othnw,i_3000_3499_bnw,i_3000_3499_lfsta_ns,i_3000_3499_tot,i_3500_3999_be_wft,i_3500_3999_be_wpt,i_3500_3999_be_baw,i_3500_3999_1eft_othpt,i_3500_3999_1eft_othaw,i_3500_3999_1eft_othnw,i_3500_3999_1ept_othaw,i_3500_3999_1ept_othnw,i_3500_3999_1aw_othnw,i_3500_3999_bnw,i_3500_3999_lfsta_ns,i_3500_3999_tot,i_4000more_be_wft,i_4000more_be_wpt,i_4000more_be_baw,i_4000more_1eft_othpt,i_4000more_1eft_othaw,i_4000more_1eft_othnw,i_4000more_1ept_othaw,i_4000more_1ept_othnw
Rest of NSW,1RNSW,123,11,14,73,4,53,12,39,15,495,24,863,47,13,13,42,3,44,0,54,10,197,5,443,43,39,8,59,9,79,0,121,26,360,10,754,24,16,0,15,0,38,0,106,18,185,11,415,102,83,14,125,10,143,16,378,46,1225,18,2149,108,176,17,217,21,396,30,702,87,1131,32,2916,249,385,34,454,35,1065,60,1215,144,2467,47,6157,429,745,61,1295,125,2765,126,1834,287,2731,64,10461,1004,1428,133,3962,346,5284,223,2026,406,3598,111,18520,2090,1525,189,7123,648,5498,288,1596,345,2671,101,22062,2460,1197,174,8039,712,5022,285,1152,287,1708,67,21111,3533,1050,166,8488,820,4491,311,843,240,1273,54,21270,9927,1692,373,16363,1749,7162,548,1130,395,1608,106,41044,9433,971,331,13331,1512,2656,406,560,165,739,52,30167,7419,550,192,7730,1066,1249,263,273,73,416,25,19266,5214,226,135,3071,599,1978,107,180,127,172,20,11828,9500,575,246,8146,974,2204,255,323
Greater Sydney,1GSYD,161,25,30,94,12,198,6,137,88,2680,38,3479,49,33,10,52,3,100,4,145,36,715,13,1144,32,40,11,70,4,165,5,575,70,1199,23,2193,12,26,4,29,0,146,8,603,66,712,18,1628,48,183,9,86,8,534,28,1267,158,2940,49,5310,70,294,32,275,36,1667,48,2379,277,2927,55,8047,226,751,47,611,59,3496,74,2917,360,4554,94,13186,467,1231,77,1640,136,7372,134,3734,556,4701,113,20158,1226,2019,143,4690,365,11743,306,3918,702,6215,149,31470,2938,2250,232,8561,659,11871,332,3117,636,5260,134,35980,3759,1751,212,9931,778,12151,340,2362,549,4222,118,36177,5990,1580,248,11407,1066,11130,329,1934,494,3690,99,37973,19393,2890,581,25270,2962,20750,770,3143,811,5701,171,82438,20288,2109,541,24584,2942,7947,666,1786,384,3205,115,64569,18562,1319,447,17280,2540,4447,446,1196,248,2060,77,48625,14641,826,310,8651,1909,11788,217,958,377,1227,64,40973,45631,2287,881,37193,4843,14487,723,2053
Rest of Vic.,2RVIC,105,13,27,77,3,48,3,26,8,264,11,575,42,12,8,33,4,39,0,37,15,110,4,302,42,19,3,67,3,41,3,94,18,200,3,499,12,3,0,14,0,25,6,83,10,109,3,266,93,52,10,98,12,110,10,231,34,674,8,1323,78,135,5,159,16,313,30,428,61,574,16,1814,223,231,26,358,33,731,47,672,92,1255,30,3703,312,482,35,1008,103,1888,78,1026,183,1386,39,6543,692,817,93,2784,242,3456,166,1155,257,1548,70,11265,1164,893,121,4843,427,3419,219,872,209,1133,59,13368,1311,716,128,5350,459,3027,193,580,202,768,47,12785,1922,609,109,5712,516,2480,182,393,136,544,46,12654,4976,923,260,10075,1096,3509,353,523,197,663,54,22635,4431,510,180,7167,888,1247,217,239,73,274,34,15259,3127,235,130,3756,495,540,118,102,37,130,22,8697,1972,97,64,1492,238,957,50,70,54,62,9,5070,3374,253,104,3705,383,1072,145,158
Greater Melbourne,2GMEL,169,40,41,133,14,251,16,144,83,2640,36,3565,44,35,12,59,3,118,8,213,40,755,11,1299,38,75,6,85,11,206,9,558,69,1237,21,2315,20,20,0,28,3,204,0,515,58,720,10,1574,67,176,20,178,14,495,19,1131,120,2967,34,5218,122,361,22,350,35,1582,49,2154,252,2557,51,7525,310,812,50,785,80,3558,96,2709,370,3985,96,12845,521,1357,102,2099,189,7690,167,3581,553,4421,131,20812,1369,2358,157,5847,444,12548,330,3883,687,5782,168,33567,2998,2456,252,10371,848,12482,469,2892,610,4776,144,38310,3788,1913,271,12345,1022,11993,446,2301,460,3724,112,38377,5712,1746,317,13722,1215,10723,383,1764,422,3226,114,39361,17465,3040,607,29179,3236,18739,783,2627,706,4495,191,81072,16802,1980,501,26570,2976,6837,688,1478,366,2137,96,60422,14122,1176,331,16661,2268,3500,387,825,175,1267,51,40764,10640,583,238,7748,1457,8529,192,651,290,770,47,31146,27881,1759,571,29642,3297,10382,600,1337
Greater Brisbane,3GBRI,67,7,14,35,3,73,3,47,26,777,12,1061,18,20,7,19,4,29,0,69,21,251,7,440,16,23,6,32,3,56,4,141,22,364,7,666,5,0,0,11,0,57,0,159,11,220,0,463,45,65,0,54,0,144,8,350,43,1103,5,1830,41,101,6,118,14,427,11,715,87,1025,25,2573,125,263,20,273,21,1176,29,992,121,1682,24,4730,210,523,26,679,64,2842,74,1479,242,2190,44,8365,579,852,60,2243,197,5509,141,1778,320,2601,79,14363,1576,1039,124,4613,440,6203,199,1434,357,2053,64,18099,2002,856,116,5760,506,5758,201,1099,302,1482,30,18111,3325,780,130,6532,636,5134,208,798,246,1293,50,19125,10383,1440,342,13830,1700,8491,428,1185,423,1741,72,40042,10171,936,270,12722,1718,3190,383,664,196,792,38,31075,8962,578,177,8104,1246,1624,259,339,101,453,28,21862,6504,299,103,3753,832,3751,99,274,149,293,19,16087,14533,755,250,12903,1520,4595,315,552
Rest of Qld,3RQLD,169,27,23,66,9,99,10,46,30,574,10,1054,59,15,4,51,4,53,6,56,11,251,11,516,55,40,3,55,8,61,3,136,19,362,6,748,26,15,8,20,3,65,0,134,6,205,4,476,87,78,7,97,14,127,15,373,53,1190,12,2064,98,149,12,208,19,462,21,737,69,1178,18,2966,262,387,29,440,43,1135,49,1089,156,2197,35,5823,420,607,33,1086,100,2907,99,1774,254,2437,43,9764,936,1241,103,3341,253,5404,202,1970,353,2920,71,16791,1978,1422,154,6190,461,5841,259,1513,344,2063,67,20287,2374,998,110,6948,528,5365,250,1109,296,1399,69,19444,3580,887,166,7665,654,4658,235,758,249,1025,59,19937,10127,1402,302,14138,1638,7463,543,1090,493,1292,91,38584,9443,858,295,11577,1371,2492,391,465,179,522,53,27657,7402,508,171,6173,880,1080,214,251,88,291,22,17089,4689,206,112,2420,483,2477,87,184,187,192,8,11043,8329,533,253,7154,803,2187,223,296
Rest of SA,4RSAU,31,3,3,30,0,16,0,3,0,47,3,130,12,9,0,14,0,7,0,7,0,35,0,94,16,10,0,24,0,23,0,22,5,42,0,139,4,0,0,7,0,7,0,10,3,22,0,59,29,24,3,38,3,31,0,61,11,227,6,427,33,36,0,49,0,90,6,121,19,196,4,560,56,80,13,122,5,224,8,192,20,396,11,1114,113,121,9,297,23,519,28,303,49,433,11,1909,187,251,36,818,77,908,41,333,80,459,12,3196,325,248,51,1343,117,814,46,234,68,274,11,3536,393,169,35,1332,104,700,52,154,42,176,10,3174,474,166,25,1369,116,569,44,79,33,140,5,3014,1304,204,69,2390,241,740,89,141,62,121,18,5367,1042,115,43,1583,187,257,58,56,21,57,5,3430,751,53,23,824,84,92,33,13,6,24,6,1910,444,29,12,283,48,162,6,14,13,15,3,1018,741,61,20,646,79,154,32,20
Greater Adelaide,4GADE,33,9,6,25,8,40,0,30,8,555,6,725,10,7,0,20,0,19,0,49,6,173,4,289,10,21,3,17,0,30,7,126,18,272,13,513,5,3,0,5,0,38,0,123,3,163,3,343,19,63,0,33,3,87,6,298,27,934,11,1474,26,98,4,82,7,292,13,593,49,838,8,2012,69,263,7,205,27,800,35,797,79,1299,23,3605,134,418,21,560,59,1811,57,1209,153,1453,27,5905,342,795,65,1824,135,3278,133,1261,186,1738,28,9791,790,886,68,3541,297,3246,160,903,190,1374,32,11486,1000,697,97,4206,320,3000,141,685,136,968,28,11268,1637,653,89,4459,396,2599,123,482,120,742,26,11327,4869,983,209,9338,1046,3722,283,714,183,962,40,22361,4746,598,193,7662,938,1507,228,365,95,456,24,16804,3893,340,126,4795,607,677,143,179,28,228,19,11038,2716,157,63,2066,318,1238,59,129,49,104,6,6909,5519,442,130,5577,610,1605,159,238
Greater Perth,5GPER,52,15,13,50,3,100,8,53,29,924,12,1258,14,13,3,27,0,36,0,71,7,251,5,426,17,21,0,40,3,53,3,173,16,407,8,742,0,5,0,12,0,56,3,166,22,217,6,491,22,51,0,42,3,118,12,358,41,947,5,1597,31,106,3,83,4,418,11,666,79,910,7,2321,83,240,10,192,12,909,35,881,108,1284,11,3774,146,436,27,513,36,2201,55,1204,170,1435,34,6254,340,779,49,1750,125,4334,106,1469,258,1698,27,10930,781,959,77,3368,255,4814,151,1169,266,1517,36,13393,1017,759,106,4408,325,5219,167,929,290,1158,34,14413,1641,726,105,5257,442,4894,164,757,278,971,35,15273,5838,1342,225,12112,1160,9929,412,1247,516,1426,57,34280,6252,945,261,12098,1139,3195,399,725,203,715,45,25989,5793,609,175,7810,978,1649,261,394,94,409,15,18189,4468,334,117,3712,681,5503,129,398,287,380,21,16027,11913,1023,316,14555,1606,5619,468,852
Rest of WA,5RWAU,29,10,3,14,3,11,4,11,6,77,0,166,13,5,0,16,0,15,0,17,3,49,0,117,6,7,0,11,0,14,5,24,8,98,0,172,3,0,0,8,0,10,0,19,0,50,0,95,34,11,3,30,0,40,4,76,7,346,0,548,33,29,4,48,6,90,3,108,22,270,11,621,58,58,4,88,10,193,8,198,28,465,16,1122,93,116,14,223,19,476,16,272,43,410,6,1689,151,215,14,601,51,930,38,339,75,403,14,2835,252,237,34,1017,67,1059,57,228,65,266,11,3301,270,202,28,1222,98,1161,51,204,85,179,16,3510,478,149,56,1434,90,1111,51,152,77,159,13,3759,1407,303,72,2849,270,2246,129,214,200,222,31,7937,1466,206,97,2738,276,582,127,100,62,73,9,5736,1358,117,58,1522,235,248,78,58,32,35,3,3741,888,39,35,603,149,955,32,53,82,61,10,2910,1998,148,99,2122,261,657,106,87
Greater Hobart,6GHOB,3,0,3,3,0,0,0,0,0,52,0,64,0,3,0,5,0,0,0,0,0,13,0,23,0,3,0,0,0,6,0,13,4,25,0,55,0,3,0,0,0,4,0,5,0,13,0,28,3,5,0,0,0,6,0,27,7,102,0,161,3,9,0,12,0,30,3,80,5,136,3,289,5,35,0,27,4,89,8,116,13,188,0,489,24,61,4,81,9,251,11,176,32,219,8,879,39,156,8,306,30,455,35,209,26,259,7,1531,147,173,10,619,56,454,30,158,26,212,3,1896,174,118,13,712,72,410,25,93,18,122,9,1757,279,104,12,767,63,345,30,77,27,109,10,1822,796,229,35,1610,194,466,64,117,28,148,14,3700,733,134,31,1261,176,197,40,55,11,69,6,2701,603,67,18,791,109,85,21,27,3,26,5,1755,478,31,8,360,49,138,14,22,3,15,0,1114,771,69,22,820,81,196,12,31
Rest of Tas.,6RTAS,15,3,0,10,0,3,0,0,3,47,3,82,8,0,0,9,0,6,0,13,0,26,0,56,9,0,0,9,0,3,0,8,4,35,0,73,3,3,0,3,0,4,0,13,0,25,0,45,18,10,3,17,3,8,6,42,9,214,3,343,9,26,6,24,0,46,10,121,15,200,7,451,27,63,3,67,4,139,13,207,21,389,14,950,59,117,5,194,16,411,33,294,51,402,15,1604,113,200,15,569,50,777,29,311,54,426,16,2561,208,209,27,966,84,734,34,197,62,282,16,2831,248,162,16,1075,90,570,47,128,43,160,13,2554,339,144,17,1054,89,441,50,84,30,123,17,2386,991,172,43,1780,182,592,61,99,40,118,23,4113,818,77,38,1236,128,202,43,47,14,40,10,2653,563,42,22,594,66,67,23,17,5,32,3,1439,344,19,6,214,46,105,12,13,5,7,0,774,459,34,21,498,53,128,16,16
Rest of NT,7RNTE,3,0,0,0,0,4,0,5,3,20,0,30,3,0,3,0,0,5,0,11,0,124,4,150,4,5,0,0,0,11,0,19,5,202,4,245,0,0,0,0,0,10,0,0,0,56,0,65,3,11,10,3,0,39,0,56,11,545,11,678,0,6,3,5,0,61,0,44,3,199,6,329,6,17,3,10,0,70,5,57,8,255,3,439,20,18,0,13,7,121,3,75,11,239,7,517,31,29,9,54,4,110,3,55,3,149,8,462,52,22,4,69,3,139,0,27,9,85,0,419,56,11,3,87,7,123,5,21,8,48,3,373,87,17,9,92,15,114,5,15,9,34,3,390,305,28,7,230,37,188,6,12,12,28,5,857,314,24,17,232,40,50,8,6,5,8,0,704,252,13,6,119,43,26,8,3,0,6,3,468,219,6,8,46,23,43,0,7,3,4,0,352,325,5,7,133,34,39,4,7
Greater Darwin,7GDAR,3,0,0,0,0,4,0,0,3,30,0,41,0,0,0,3,0,4,0,0,0,15,0,23,0,0,0,4,0,3,0,8,3,11,0,22,0,0,0,0,0,0,0,9,0,5,0,19,0,0,0,3,0,3,0,11,0,36,0,63,3,3,0,0,0,22,0,23,0,35,0,94,4,9,0,7,3,50,0,29,0,52,0,162,8,16,5,17,6,94,3,42,7,57,3,258,22,24,0,71,4,220,0,53,20,64,3,483,66,35,3,134,17,274,10,53,18,56,5,668,99,12,5,209,15,282,3,28,22,54,0,732,166,33,8,252,25,284,9,28,23,35,4,868,678,60,36,540,116,552,23,47,39,66,4,2162,747,34,18,559,89,189,27,24,12,40,3,1751,770,28,20,401,96,106,12,14,10,28,3,1487,612,17,10,179,88,443,13,14,31,18,0,1424,1452,48,46,683,185,274,38,29
Australian Capital Territory,8ACTE,5,0,0,8,3,4,0,10,0,81,0,109,5,0,0,3,0,0,0,10,3,25,0,43,0,0,0,4,0,3,0,19,0,33,0,64,0,3,0,0,0,9,0,25,0,21,0,56,0,8,0,0,0,9,0,35,3,98,0,162,8,9,0,17,0,46,0,75,15,94,0,254,10,35,7,30,6,109,7,103,14,126,3,444,21,58,3,50,10,269,11,135,22,144,8,722,52,102,8,235,14,515,8,172,33,193,7,1350,146,126,10,415,48,645,26,140,36,196,4,1796,194,105,13,532,54,711,22,125,43,167,6,1983,324,112,27,738,65,663,34,109,31,146,9,2248,1345,221,55,1909,320,1482,81,177,63,324,18,5997,1779,259,74,2327,436,560,97,126,29,210,5,5900,1975,223,77,1991,398,373,68,81,17,140,16,5361,1971,114,56,1270,352,667,52,76,26,84,6,4662,5832,248,118,3267,668,1011,106,154
Other Territories,9OTER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,7,0,12,0,0,0,3,0,5,0,0,0,3,0,11,7,0,0,13,0,11,0,3,0,4,0,38,8,3,0,6,5,0,0,3,0,0,3,38,7,0,0,12,0,3,0,4,0,3,0,31,13,0,0,10,0,11,0,3,0,0,0,40,19,0,0,15,0,16,0,0,0,3,3,56,18,3,0,11,4,3,0,0,0,0,0,42,17,0,0,6,0,0,0,0,0,0,0,31,4,0,0,3,0,0,0,0,0,0,0,8,10,0,0,10,3,4,0,0
