gcc_name16,gcc_code16,negnil_inc_emp_wft,negnil_inc_emp_wpt,negnil_inc_emp_aw,negnil_inc_e_t,negnil_inc_une_lfw_ftw,negnil_inc_une_lfw_ptw,negnil_inc_une_lfw_tot,negnil_inc_t_lf,negnil_inc_notin_lf,negnil_inc_lf_sta_ns,negnil_inc_tot,i_1_149_emp_wft,i_1_149_emp_wpt,i_1_149_emp_aw,i_1_149_e_t,i_1_149_une_lfw_ftw,i_1_149_une_lfw_ptw,i_1_149_une_lfw_tot,i_1_149_t_lf,i_1_149_notin_lf,i_1_149_lf_sta_ns,i_1_149_tot,i_150_299_emp_wft,i_150_299_emp_wpt,i_150_299_emp_aw,i_150_299_e_t,i_150_299_une_lfw_ftw,i_150_299_une_lfw_ptw,i_150_299_une_lfw_tot,i_150_299_t_lf,i_150_299_notin_lf,i_150_299_lf_sta_ns,i_150_299_tot,i_300_399_emp_wft,i_300_399_emp_wpt,i_300_399_emp_aw,i_300_399_e_t,i_300_399_une_lfw_ftw,i_300_399_une_lfw_ptw,i_300_399_une_lfw_tot,i_300_399_t_lf,i_300_399_notin_lf,i_300_399_lf_sta_ns,i_300_399_tot,i_400_499_emp_wft,i_400_499_emp_wpt,i_400_499_emp_aw,i_400_499_e_t,i_400_499_une_lfw_ftw,i_400_499_une_lfw_ptw,i_400_499_une_lfw_tot,i_400_499_t_lf,i_400_499_notin_lf,i_400_499_lf_sta_ns,i_400_499_tot,i_500_649_emp_wft,i_500_649_emp_wpt,i_500_649_emp_aw,i_500_649_e_t,i_500_649_une_lfw_ftw,i_500_649_une_lfw_ptw,i_500_649_une_lfw_tot,i_500_649_t_lf,i_500_649_notin_lf,i_500_649_lf_sta_ns,i_500_649_tot,i_650_799_emp_wft,i_650_799_emp_wpt,i_650_799_emp_aw,i_650_799_e_t,i_650_799_une_lfw_ftw,i_650_799_une_lfw_ptw,i_650_799_une_lfw_tot,i_650_799_t_lf,i_650_799_notin_lf,i_650_799_lf_sta_ns,i_650_799_tot,i_800_999_emp_wft,i_800_999_emp_wpt,i_800_999_emp_aw,i_800_999_e_t,i_800_999_une_lfw_ftw,i_800_999_une_lfw_ptw,i_800_999_une_lfw_tot,i_800_999_t_lf,i_800_999_notin_lf,i_800_999_lf_sta_ns,i_800_999_tot,i_1000_1249_emp_wft,i_1000_1249_emp_wpt,i_1000_1249_emp_aw,i_1000_1249_e_t,i_1000_1249_une_lfw_ftw,i_1000_1249_une_lfw_ptw,i_1000_1249_une_lfw_tot,i_1000_1249_t_lf,i_1000_1249_notin_lf,i_1000_1249_lf_sta_ns,i_1000_1249_tot,i_1250_1499_emp_wft,i_1250_1499_emp_wpt,i_1250_1499_emp_aw,i_1250_1499_e_t,i_1250_1499_une_lfw_ftw,i_1250_1499_une_lfw_ptw,i_1250_1499_une_lfw_tot,i_1250_1499_t_lf,i_1250_1499_notin_lf,i_1250_1499_lf_sta_ns,i_1250_1499_tot,i_1500_1749_emp_wft,i_1500_1749_emp_wpt,i_1500_1749_emp_aw,i_1500_1749_e_t,i_1500_1749_une_lfw_ftw,i_1500_1749_une_lfw_ptw,i_1500_1749_une_lfw_tot,i_1500_1749_t_lf,i_1500_1749_notin_lf,i_1500_1749_lf_sta_ns,i_1500_1749_tot,i_1750_1999_emp_wft,i_1750_1999_emp_wpt,i_1750_1999_emp_aw,i_1750_1999_e_t,i_1750_1999_une_lfw_ftw,i_1750_1999_une_lfw_ptw,i_1750_1999_une_lfw_tot,i_1750_1999_t_lf,i_1750_1999_notin_lf,i_1750_1999_lf_sta_ns,i_1750_1999_tot,i_2000_2499_emp_wft,i_2000_2499_emp_wpt,i_2000_2499_emp_aw,i_2000_2499_e_t,i_2000_2499_une_lfw_ftw,i_2000_2499_une_lfw_ptw,i_2000_2499_une_lfw_tot,i_2000_2499_t_lf,i_2000_2499_notin_lf,i_2000_2499_lf_sta_ns,i_2000_2499_tot,i_2500_2999_emp_wft,i_2500_2999_emp_wpt,i_2500_2999_emp_aw,i_2500_2999_e_t,i_2500_2999_une_lfw_ftw,i_2500_2999_une_lfw_ptw,i_2500_2999_une_lfw_tot,i_2500_2999_t_lf,i_2500_2999_notin_lf,i_2500_2999_lf_sta_ns,i_2500_2999_tot,i_3000_3499_emp_wft,i_3000_3499_emp_wpt,i_3000_3499_emp_aw,i_3000_3499_e_t,i_3000_3499_une_lfw_ftw,i_3000_3499_une_lfw_ptw,i_3000_3499_une_lfw_tot,i_3000_3499_t_lf,i_3000_3499_notin_lf,i_3000_3499_lf_sta_ns,i_3000_3499_tot,i_3500_3999_emp_wft,i_3500_3999_emp_wpt,i_3500_3999_emp_aw,i_3500_3999_e_t,i_3500_3999_une_lfw_ftw,i_3500_3999_une_lfw_ptw,i_3500_3999_une_lfw_tot,i_3500_3999_t_lf,i_3500_3999_notin_lf,i_3500_3999_lf_sta_ns,i_3500_3999_tot,i_4000more_emp_wft,i_4000more_emp_wpt,i_4000more_emp_aw,i_4000more_e_t,i_4000more_une_lfw_ftw,i_4000more_une_lfw_ptw,i_4000more_une_lfw_tot,i_4000more_t_lf,i_4000more_notin_lf,i_4000more_lf_sta_ns,i_4000more_tot,part_inc_sta_emp_wft,part_inc_sta_emp_wpt,part_inc_sta_emp_aw,part_inc_sta_e_t,part_inc_sta_une_lfw_ftw,part_inc_sta_une_lfw_ptw,part_inc_sta_une_lfw_tot,part_inc_sta_t_lf,part_inc_sta_notin_lf,part_inc_sta_lf_sta_ns,part_inc_sta_tot,all_inc_ns_emp_wft,all_inc_ns_emp_wpt
Rest of NSW,1RNSW,65,61,27,146,142,117,256,408,1066,13,1488,55,147,27,229,108,69,178,405,532,8,951,71,619,71,767,407,231,639,1403,2044,26,3469,135,1048,105,1286,388,371,760,2039,2956,29,5025,233,1906,183,2325,586,498,1085,3415,4885,51,8352,818,4368,354,5535,644,854,1497,7037,6932,48,14015,1908,4308,362,6574,325,454,785,7356,7192,83,14631,3186,3930,317,7429,265,264,525,7954,6331,64,14348,4205,3304,321,7821,205,159,362,8187,5179,66,13427,3695,2060,232,5985,116,92,206,6192,2999,39,9230,3161,1169,187,4516,64,52,116,4630,1600,22,6259,2694,811,141,3649,35,26,58,3701,1153,14,4873,3509,875,186,4575,21,15,38,4609,1211,19,5833,1291,271,58,1621,6,9,11,1634,465,6,2103,490,97,28,620,3,0,4,629,119,3,749,492,109,37,639,22,11,35,673,213,6,894,447,101,30,571,5,8,12,585,262,13,860,3370,2398,343,6113,321,219,543,6660,4172,275,11107,261,264
Greater Sydney,1GSYD,91,88,47,227,319,286,601,835,4046,30,4903,51,268,44,360,105,118,219,587,1188,6,1779,117,989,97,1201,384,476,862,2062,3120,21,5201,164,1193,84,1443,300,407,704,2149,3499,21,5666,317,2010,179,2509,420,591,1017,3526,5859,29,9418,1061,4120,306,5493,516,767,1283,6769,7602,34,14409,2401,4240,317,6955,356,483,833,7791,8263,67,16121,4213,4452,379,9035,337,341,680,9713,7834,72,17620,6443,4339,416,11194,272,309,586,11785,7896,72,19753,6158,3204,350,9719,231,197,431,10147,5667,51,15864,5776,2320,295,8392,133,122,257,8650,4048,38,12738,5206,1653,227,7091,113,92,205,7290,3091,36,10428,8997,2283,382,11662,133,107,243,11902,4043,44,15985,3946,1059,169,5180,69,46,108,5287,2168,11,7470,2020,447,111,2578,34,18,51,2633,752,11,3389,2995,532,112,3643,51,25,77,3717,632,10,4359,2591,419,104,3111,44,27,63,3176,1118,15,4310,5789,3021,565,9378,367,268,633,10007,6544,397,16939,434,291
Rest of Vic.,2RVIC,43,26,19,86,51,43,89,178,548,6,725,23,120,10,149,44,42,83,236,271,0,504,45,349,47,443,165,139,301,744,992,15,1757,66,570,64,700,164,182,345,1047,1574,12,2638,162,1119,98,1379,268,294,564,1943,2520,26,4492,460,2483,207,3157,302,427,730,3879,3447,31,7357,971,2358,186,3518,163,202,366,3885,3501,31,7419,1568,2200,191,3961,106,124,229,4188,2931,36,7155,2039,1775,190,4004,88,110,203,4209,2312,32,6548,1856,1093,128,3080,54,35,87,3167,1309,25,4504,1495,612,105,2209,19,22,40,2250,719,12,2980,1186,359,64,1601,19,11,36,1640,433,13,2085,1443,406,76,1928,20,12,32,1961,488,13,2452,532,120,24,668,5,0,8,674,191,0,865,177,32,11,221,0,3,0,222,48,0,277,213,58,8,281,7,3,19,299,116,0,419,184,49,12,245,11,6,12,260,125,6,390,1714,1435,171,3318,156,102,259,3580,1972,118,5675,127,145
Greater Melbourne,2GMEL,129,147,55,334,332,316,644,982,3971,22,4975,87,306,39,433,141,149,290,722,1184,12,1915,155,977,96,1229,440,475,914,2145,3076,31,5254,233,1275,97,1607,316,394,710,2318,3399,17,5733,339,2149,194,2687,448,530,974,3661,5244,39,8952,1099,4601,366,6064,483,765,1250,7319,7117,41,14475,2292,4808,374,7480,342,433,777,8257,7389,72,15717,4190,5088,393,9679,299,306,606,10282,7340,68,17691,5987,4701,413,11101,286,250,541,11633,7276,71,18983,5799,3259,348,9409,239,173,411,9815,4767,58,14649,5359,2196,267,7827,138,100,239,8068,3389,32,11482,4450,1549,212,6214,94,83,172,6387,2463,22,8868,7180,1984,317,9477,133,72,199,9680,2937,19,12636,2927,766,143,3833,47,31,78,3908,1387,16,5311,1432,340,66,1828,28,9,36,1865,447,7,2319,1858,348,77,2282,41,15,61,2338,358,5,2699,1563,334,69,1970,25,10,33,2002,646,7,2650,5676,3337,570,9581,372,288,660,10247,6035,422,16698,462,366
Greater Brisbane,3GBRI,57,58,19,129,178,127,304,437,1360,16,1815,28,117,24,168,84,53,135,297,445,8,753,47,368,33,452,301,203,502,958,1320,13,2285,89,578,63,739,300,244,546,1282,1830,12,3127,159,1095,99,1357,445,390,842,2194,3025,21,5240,586,2618,237,3436,500,586,1087,4522,4608,19,9154,1550,2695,208,4456,327,336,662,5117,4553,44,9710,2913,2794,234,5938,242,197,438,6376,4025,36,10436,4308,2622,273,7199,270,162,436,7639,3710,32,11380,3902,1802,202,5902,111,101,211,6119,2413,26,8561,3430,1243,183,4860,71,52,130,4991,1569,19,6573,2757,790,129,3674,64,19,83,3759,1136,17,4909,4380,891,191,5469,61,36,93,5561,1271,12,6842,1672,368,71,2110,41,15,54,2164,593,8,2767,659,104,30,792,10,5,15,808,199,0,1005,884,152,49,1081,19,4,29,1106,173,3,1283,728,127,25,874,19,8,30,907,255,6,1166,2836,1463,230,4520,244,160,409,4930,2528,166,7627,201,154
Rest of Qld,3RQLD,67,58,32,157,181,139,317,469,1223,16,1704,33,171,31,236,107,47,156,384,505,8,899,90,490,52,636,451,235,688,1323,1561,18,2903,112,828,89,1024,420,326,751,1775,2277,18,4066,254,1601,142,2001,630,525,1155,3148,3773,39,6958,807,3739,274,4818,749,809,1556,6381,5772,39,12190,1960,3861,255,6072,479,486,964,7043,5609,42,12695,3345,3447,295,7089,313,276,595,7676,4805,41,12528,4250,2986,241,7480,224,186,405,7886,4214,50,12148,3723,1945,230,5903,147,121,268,6171,2358,30,8556,3091,1196,158,4446,75,45,120,4564,1352,20,5939,2362,667,108,3143,44,32,76,3213,889,19,4127,3232,742,185,4162,64,33,97,4255,969,14,5244,1095,255,70,1418,16,12,31,1449,376,6,1836,457,95,22,583,12,4,11,596,113,0,708,522,117,29,668,22,8,29,700,163,3,865,430,56,19,510,15,10,20,532,204,5,737,2764,1845,267,4880,321,172,491,5369,3007,173,8555,259,191
Rest of SA,4RSAU,8,3,7,20,15,8,24,42,113,0,159,6,25,4,36,12,9,22,60,71,0,131,13,96,7,117,94,40,135,255,292,4,548,14,157,20,192,67,60,127,319,474,5,802,38,300,16,356,89,83,172,526,699,0,1222,111,689,42,848,85,115,198,1044,883,8,1931,267,595,44,902,35,47,83,988,902,15,1902,410,487,44,943,43,23,62,1004,732,14,1747,522,385,52,956,18,13,34,988,487,0,1486,395,240,20,654,16,12,29,682,295,3,983,332,130,14,470,7,4,9,487,157,0,644,275,77,16,374,6,0,8,383,105,3,492,307,67,11,383,0,0,0,388,88,4,484,96,20,9,125,0,3,4,129,32,0,156,57,3,0,62,0,0,0,62,6,0,65,25,9,3,35,0,3,3,39,23,0,64,29,11,3,40,0,0,3,43,22,0,71,404,327,40,773,48,19,73,844,471,30,1348,26,48
Greater Adelaide,4GADE,25,33,14,72,90,63,153,221,683,0,911,20,88,20,133,50,39,83,218,291,8,512,49,266,19,335,187,122,304,640,926,3,1570,37,411,32,483,150,174,330,811,1262,8,2079,99,811,66,971,247,244,489,1464,2021,8,3495,317,1950,151,2418,260,365,623,3045,3107,17,6166,747,2076,144,2961,170,196,365,3322,3106,25,6456,1554,1946,158,3655,144,115,263,3917,2659,21,6594,2202,1801,158,4167,99,70,170,4341,2329,25,6692,1973,1231,124,3331,65,45,111,3441,1468,15,4922,1846,738,86,2673,31,21,43,2722,857,9,3591,1567,454,79,2102,18,13,34,2136,665,3,2798,2076,560,102,2734,39,9,50,2785,643,4,3427,796,205,32,1028,9,8,14,1047,266,3,1307,338,71,22,430,0,0,4,434,74,0,513,311,68,12,383,11,4,13,399,74,3,477,311,57,16,381,9,3,11,389,117,0,509,1925,1167,169,3261,168,96,261,3523,1725,82,5329,94,118
Greater Perth,5GPER,50,46,15,111,208,153,364,477,1419,13,1903,25,144,12,184,72,72,143,327,443,9,770,38,409,41,480,279,216,500,980,1210,16,2205,49,598,51,704,214,230,447,1149,1484,4,2633,102,1005,62,1169,344,341,681,1854,2271,9,4133,367,2123,132,2623,387,444,828,3452,3192,24,6666,870,2241,152,3258,206,238,443,3709,2941,23,6668,1694,2374,171,4234,183,164,346,4579,2453,20,7053,2762,2342,194,5302,203,142,344,5645,2345,22,8009,2634,1507,144,4286,125,72,196,4486,1513,18,6017,2308,969,124,3400,79,54,127,3532,1101,9,4643,2187,704,116,3006,66,27,87,3091,769,13,3876,3584,935,174,4692,97,44,145,4836,945,16,5798,1450,355,77,1879,40,16,56,1936,528,3,2462,624,171,49,833,20,3,20,859,172,3,1026,888,160,47,1103,25,15,38,1133,140,3,1277,796,139,40,978,16,6,21,1000,233,4,1230,2582,1455,231,4270,241,147,390,4666,2117,134,6914,151,104
Rest of WA,5RWAU,19,8,8,31,30,24,53,87,239,5,336,9,31,5,43,15,14,31,76,121,4,202,24,139,16,179,101,57,156,338,430,11,775,23,204,18,237,89,90,176,411,553,3,973,43,316,33,386,92,93,188,574,788,10,1379,150,659,65,872,101,117,222,1092,1010,12,2113,309,686,61,1054,63,54,123,1178,944,11,2136,427,607,44,1074,49,31,80,1153,654,7,1818,620,475,45,1143,45,33,73,1214,586,9,1810,570,281,42,889,19,16,36,926,298,6,1236,473,192,28,693,15,4,20,708,187,7,902,459,90,24,576,5,3,4,584,128,3,719,679,146,40,865,20,5,26,890,152,0,1049,209,47,11,261,7,7,10,278,62,0,339,114,21,14,145,5,0,3,154,20,0,167,125,24,13,162,10,3,13,177,44,0,218,123,18,9,152,3,0,3,155,48,0,212,566,377,72,1020,66,39,104,1127,645,40,1811,46,35
