gcc_name16,gcc_code16,p15_19_managers,p15_19_professionals,p15_19_technictrades_wrs,p15_19_communpersnlsvc_w,p15_19_clericaladminis_w,p15_19_sales_w,p15_19_mach_oper_drivers,p15_19_labourers,p15_19_occu_id_ns,p15_19_tot,p20_24_managers,p20_24_professionals,p20_24_technictrades_w,p20_24_communpersnlsvc_w,p20_24_clericaladminis_w,p20_24_sales_w,p20_24_mach_oper_drivers,p20_24_labourers,p20_24_occu_id_ns,p20_24_tot,p25_34_managers,p25_34_professionals,p25_34_technictrades_w,p25_34_communpersnlsvc_w,p25_34_clericaladminis_w,p25_34_sales_w,p25_34_mach_oper_drivers,p25_34_labourers,p25_34_occu_id_ns,p25_34_tot,p35_44_managers,p35_44_professionals,p35_44_technictrades_w,p35_44_communpersnlsvc_w,p35_44_clericaladminis_w,p35_44_sales_w,p35_44_mach_oper_drivers,p35_44_labourers,p35_44_occu_id_ns,p35_44_tot,p45_54_managers,p45_54_professionals,p45_54_technictrades_w,p45_54_communpersnlsvc_w,p45_54_clericaladminis_w,p45_54_sales_w,p45_54_mach_oper_drivers,p45_54_labourers,p45_54_occu_id_ns,p45_54_tot,p55_64_managers,p55_64_professionals,p55_64_technictrades_w,p55_64_communpersnlsvc_w,p55_64_clericaladminis_w,p55_64_sales_w,p55_64_mach_oper_drivers,p55_64_labourers,p55_64_occu_id_ns,p55_64_tot,p65_74_managers,p65_74_professionals,p65_74_technictrades_w,p65_74_communpersnlsvc_w,p65_74_clericaladminis_w,p65_74_sales_w,p65_74_mach_oper_drivers,p65_74_labourers,p65_74_occu_id_ns,p65_74_tot,p75_84_managers,p75_84_professionals,p75_84_technictrades_w,p75_84_communpersnlsvc_w,p75_84_clericaladminis_w,p75_84_sales_w,p75_84_mach_oper_drivers,p75_84_labourers,p75_84_occu_id_ns,p75_84_tot,p85_ov_managers,p85_ov_professionals,p85_ov_technictrades_w,p85_ov_communpersnlsvc_w,p85_ov_clericaladminis_w,p85_ov_sales_w,p85_ov_mach_oper_drivers,p85_ov_labourers,p85_ov_occu_id_ns,p85_ov_tot,p_tot_managers,p_tot_professionals,p_tot_technictrades_w,p_tot_communpersnlsvc_w,p_tot_clericaladminis_w,p_tot_sales_w,p_tot_mach_oper_drivers,p_tot_labourers,p_tot_occu_id_ns,p_tot_tot
Rest of NSW,1RNSW,1145,1239,9511,10990,2593,23293,1630,14580,1072,66071,4564,9360,20882,18227,8633,14750,4420,13877,1408,96123,19847,44688,39179,25503,23071,16619,13447,21754,3041,207157,31601,49033,33514,24770,29851,15503,16364,20958,3517,225112,38116,46686,32597,28379,37542,18002,20746,26606,3842,252505,31582,38911,23162,20196,27886,14046,17234,22241,3029,198277,13114,8664,4336,3276,6307,3487,4212,5040,1331,49771,3517,971,441,217,616,358,367,694,693,7880,567,108,64,43,65,67,41,80,232,1272,144050,199664,163683,131603,136560,106127,78469,125843,18165,1104163
Greater Sydney,1GSYD,1504,4121,12092,18324,6349,32767,2615,16297,1802,95877,10892,36437,30616,37442,28514,36240,9182,20869,4588,214769,67606,184027,70886,54570,75506,45044,25721,35966,11877,571197,93227,158823,58497,40463,76628,32975,27822,29358,9817,527605,80980,114893,51773,38154,75454,30751,31989,34472,8456,466922,44946,75325,33269,23786,53332,20670,24764,27528,5191,308826,10982,21249,7200,5040,13932,5848,5529,6260,1745,77795,1403,2614,643,380,1278,667,368,650,566,8569,219,308,82,45,137,86,35,55,193,1152,311762,597798,265056,218206,331135,205051,128020,171450,44228,2272718
Rest of Vic.,2RVIC,767,475,4905,5525,1247,13613,644,8561,666,36413,2955,4991,11797,9526,4165,8427,2281,8460,834,53437,11914,24879,21971,13032,11399,8778,6207,12973,1614,112772,19050,26219,18121,13034,15027,8612,7726,12422,1947,122157,23321,24803,18316,16552,19205,10170,10964,16133,2152,141612,20354,20984,13568,12482,15007,8001,9799,14193,1802,116189,8979,4674,2600,2268,3377,1983,2281,3360,786,30307,2410,457,247,154,316,182,169,483,362,4785,383,72,67,46,66,43,38,85,128,919,90136,107552,91588,72622,69811,59819,40101,76668,10291,618583
Greater Melbourne,2GMEL,1227,2370,8735,16178,4219,35607,1789,16529,1462,88109,9237,27831,30326,36386,23879,40500,8640,22030,3644,202474,58618,165390,77022,54001,69838,42937,25471,35874,9437,538588,81497,142263,58738,39896,66637,30625,25833,29436,8085,483008,75224,103062,52222,39796,69794,30146,29943,33473,7241,440905,41940,67058,32510,24758,46725,19440,22271,25702,4362,284768,10239,18051,6600,5034,11107,5328,4602,6472,1596,69019,1393,1969,595,342,916,539,295,851,526,7429,218,272,106,48,119,78,42,96,225,1203,279601,528261,266855,216447,293226,205194,118891,170451,36574,2115493
Greater Brisbane,3GBRI,934,1623,6388,11150,4039,21312,1949,11750,938,60083,5371,15576,17394,19442,14389,18028,5829,13680,1738,111449,25305,68414,38232,26363,35149,18500,14431,22036,4295,252724,35626,67566,30736,22208,36240,14364,14440,17587,4025,242798,34983,53194,26355,21510,37972,14524,15915,18820,3411,226688,19640,31802,16623,13443,25083,10142,11800,14011,1953,144487,4684,7320,3052,2336,5272,2793,2718,3189,692,32052,608,719,244,128,378,288,150,316,283,3110,64,77,28,21,37,28,9,26,96,389,127222,246294,139054,116612,158546,99974,67242,101412,17421,1073778
Rest of Qld,3RQLD,1007,1154,8602,11298,3397,23566,1750,13846,1033,65656,4704,10028,19134,16685,9511,14357,4910,14045,1379,94742,21003,41824,41783,25744,24345,16525,14929,22913,3071,212136,30437,45088,37094,24874,30036,16146,17204,21353,3652,225875,35322,42251,33051,26273,34758,18496,20856,24977,3646,239632,26100,29100,21821,17027,24446,13944,16328,20368,2531,171672,9818,6980,4130,2882,5487,4150,3827,4905,1132,43304,2333,672,323,206,489,401,270,569,489,5754,298,66,45,17,52,39,25,49,141,744,131019,177163,165977,124999,132531,107632,80093,123030,17077,1059525
Rest of SA,4RSAU,177,108,1184,1170,317,2757,240,2483,135,8564,688,1026,2686,1686,838,1680,751,2686,152,12189,3188,4457,4998,2953,2601,2146,2307,4287,388,27321,5220,4535,4363,3320,3530,2154,2622,4134,434,30310,7087,4577,4744,4411,4547,2799,3585,5423,571,37742,6559,4308,3674,3446,3653,2120,2964,4572,481,31778,3044,1021,680,566,865,467,710,1117,221,8684,742,92,84,28,96,53,84,158,134,1467,107,15,21,9,16,6,12,27,42,263,26799,20136,22431,17595,16456,14184,13271,24893,2556,158308
Greater Adelaide,4GADE,370,532,2420,5104,1183,11178,660,6660,373,28487,2423,6367,8893,11181,5610,10553,2180,7673,749,55620,12067,33863,20387,16438,16321,10265,6608,11522,1961,129432,17213,33625,16321,13518,18037,8131,6815,10104,1965,125726,19160,28443,16324,14122,21605,9201,8286,11368,1918,130434,12315,21931,10845,9771,16443,6371,6260,8313,1236,93473,3171,5465,2190,1707,3542,1617,1264,1935,472,21363,449,544,205,114,255,205,76,169,187,2206,61,70,14,18,29,19,18,14,76,308,67230,130848,77599,71974,83026,57531,32166,57749,8937,587060
Greater Perth,5GPER,591,1017,5370,8284,2143,17548,1272,9330,660,46211,3848,10698,16268,15826,9702,15689,4317,10835,1322,88498,20620,58123,41299,23604,27861,15031,13986,18252,3482,222260,27830,53678,31958,18630,26980,11469,13058,14504,3383,201490,29402,43942,27791,18386,30640,12552,14547,14797,3247,195311,18058,28770,17096,12357,22140,9000,10537,11200,1885,131038,4422,7411,3558,2405,5277,2626,2359,3014,693,31760,575,754,262,176,448,299,157,404,206,3270,73,73,31,18,42,24,16,33,57,364,105412,204472,143621,99683,125233,84231,60231,82364,14947,920196
Rest of WA,5RWAU,207,172,2041,1620,611,4078,276,2660,198,11858,853,1449,4444,2127,1623,1927,1267,2929,281,16897,4637,7738,11295,4423,4788,2784,5030,6250,729,47675,7274,8183,10011,4964,5595,2744,5810,5549,839,50979,8894,7727,8886,5257,6416,3314,6987,6109,956,54551,7701,5757,5546,3894,4818,2464,5222,4723,685,40812,3332,1272,1016,702,1067,637,1163,1307,286,10779,820,137,94,50,113,58,84,196,109,1666,100,20,20,9,10,3,11,28,21,221,33822,32446,43338,23037,25054,18013,25850,29749,4112,235431
