gcc_name16,gcc_code16,m_mng_0,m_mng_1_15,m_mng_16_24,m_mng_25_34,m_mng_35_39,m_mng_40,m_mng_41_48,m_mng_49over,m_mng_hours_ns,m_mng_tot,m_pro_0,m_pro_1_15,m_pro_16_24,m_pro_25_34,m_pro_35_39,m_pro_40,m_pro_41_48,m_pro_49over,m_pro_hours_ns,m_pro_tot,m_ttw_0,m_ttw_1_15,m_ttw_16_24,m_ttw_25_34,m_ttw_35_39,m_ttw_40,m_ttw_41_48,m_ttw_49over,m_ttw_hours_ns,m_ttw_tot,m_cps_0,m_cps_1_15,m_cps_16_24,m_cps_25_34,m_cps_35_39,m_cps_40,m_cps_41_48,m_cps_49over,m_cps_hours_ns,m_cps_tot,m_ca_0,m_ca_1_15,m_ca_16_24,m_ca_25_34,m_ca_35_39,m_ca_40,m_ca_41_48,m_ca_49over,m_ca_hours_ns,m_ca_tot,m_sal_0,m_sal_1_15,m_sal_16_24,m_sal_25_34,m_sal_35_39,m_sal_40,m_sal_41_48,m_sal_49over,m_sal_hours_ns,m_sal_tot,m_mod_0,m_mod_1_15,m_mod_16_24,m_mod_25_34,m_mod_35_39,m_mod_40,m_mod_41_48,m_mod_49over,m_mod_hours_ns,m_mod_tot,m_lab_0,m_lab_1_15,m_lab_16_24,m_lab_25_34,m_lab_35_39,m_lab_40,m_lab_41_48,m_lab_49over,m_lab_hours_ns,m_lab_tot,m_id_ns_0,m_id_ns_1_15,m_id_ns_16_24,m_id_ns_25_34,m_id_ns_35_39,m_id_ns_40,m_id_ns_41_48,m_id_ns_49over,m_id_ns_hours_ns,m_id_ns_tot,m_tot_0,m_tot_1_15,m_tot_16_24,m_tot_25_34,m_tot_35_39,m_tot_40,m_tot_41_48,m_tot_49over,m_tot_hours_ns,m_tot_tot,f_mng_0,f_mng_1_15,f_mng_16_24,f_mng_25_34,f_mng_35_39,f_mng_40,f_mng_41_48,f_mng_49over,f_mng_hours_ns,f_mng_tot,f_pro_0,f_pro_1_15,f_pro_16_24,f_pro_25_34,f_pro_35_39,f_pro_40,f_pro_41_48,f_pro_49over,f_pro_hours_ns,f_pro_tot,f_ttw_0,f_ttw_1_15,f_ttw_16_24,f_ttw_25_34,f_ttw_35_39,f_ttw_40,f_ttw_41_48,f_ttw_49over,f_ttw_hours_ns,f_ttw_tot,f_cps_0,f_cps_1_15,f_cps_16_24,f_cps_25_34,f_cps_35_39,f_cps_40,f_cps_41_48,f_cps_49over,f_cps_hours_ns,f_cps_tot,f_ca_0,f_ca_1_15,f_ca_16_24,f_ca_25_34,f_ca_35_39,f_ca_40,f_ca_41_48,f_ca_49over,f_ca_hours_ns,f_ca_tot,f_sal_0,f_sal_1_15,f_sal_16_24,f_sal_25_34,f_sal_35_39,f_sal_40,f_sal_41_48,f_sal_49over,f_sal_hours_ns,f_sal_tot,f_mod_0,f_mod_1_15,f_mod_16_24,f_mod_25_34,f_mod_35_39,f_mod_40,f_mod_41_48,f_mod_49over,f_mod_hours_ns,f_mod_tot,f_lab_0,f_lab_1_15,f_lab_16_24,f_lab_25_34,f_lab_35_39,f_lab_40,f_lab_41_48,f_lab_49over,f_lab_hours_ns,f_lab_tot,f_id_ns_0,f_id_ns_1_15,f_id_ns_16_24,f_id_ns_25_34,f_id_ns_35_39,f_id_ns_40,f_id_ns_41_48,f_id_ns_49over,f_id_ns_hours_ns,f_id_ns_tot,f_tot_0,f_tot_1_15,f_tot_16_24,f_tot_25_34,f_tot_35_39,f_tot_40,f_tot_41_48,f_tot_49over,f_tot_hours_ns,f_tot_tot
Rest of NSW,1RNSW,2151,2835,2854,4128,9776,17401,11337,40001,1304,91793,2229,4821,4124,5589,15123,18241,9536,17043,708,77415,3680,5169,5619,8284,31612,37015,18344,26133,2298,138156,1559,5104,3717,5064,7489,5183,3856,4151,714,36826,790,1746,1377,1844,7112,5264,3039,3903,258,25337,1098,7704,3687,3855,6389,5447,3482,5383,568,37622,2803,3892,4093,4936,13943,12829,10219,18167,1427,72308,3034,13718,8250,9413,15486,14757,6206,8855,1951,81673,538,680,456,574,1557,1600,686,1556,3246,10897,17875,45682,34190,43689,108486,117747,66705,125183,12471,572026,2025,3444,3881,5763,8796,9517,5412,12745,675,52254,6806,11593,17959,19438,21274,21562,9411,13086,1116,122252,1018,3665,3900,4598,5293,3149,1693,1787,413,25531,4435,18988,17753,21486,14996,7784,3491,4253,1589,94777,4619,14170,17049,19863,29114,15215,5630,4566,1005,111222,3040,21474,12503,12015,9765,4302,2192,2167,1045,68498,298,984,921,853,1046,721,430,799,108,6161,1791,13858,8259,7665,5251,3468,1230,1724,917,44170,483,714,516,602,932,689,231,431,2668,7273,24521,88884,82742,92290,96467,66416,29726,41557,9542,532137
Greater Sydney,1GSYD,3009,4301,5191,6485,24631,49706,27461,71540,2062,194389,4998,14640,11952,14104,51454,87144,34383,63345,2760,284781,4388,9081,13268,13780,46699,64988,28105,39311,4483,224085,2271,11278,10000,8574,12902,10770,7189,7482,1277,71736,1997,4913,4891,4736,24993,23204,9983,13917,1088,89725,1875,13876,10369,7159,14489,16890,7361,12682,1309,86017,2673,6515,8052,8951,27182,23566,12289,21551,2694,113473,2909,18394,17391,11720,22075,20263,8279,10830,2879,114751,708,1557,1387,1240,3934,4793,1503,3211,7645,25976,24813,84556,82499,76755,228365,301321,136561,243873,26188,1204929,4270,4765,7688,10433,21149,27834,14822,25413,1007,117375,14060,27233,37049,35827,58085,71221,28404,38340,2802,313021,1234,5266,6129,5986,8990,6773,2856,3091,632,40969,5301,30331,29496,26362,23615,15762,5943,6978,2686,146468,8149,27331,35122,32918,63417,46847,14219,11001,2415,241410,4366,33473,22693,17434,17330,12269,4738,4927,1807,119035,420,1596,1763,1855,4949,2266,774,646,289,14549,1634,13569,11606,8494,11097,5549,1813,1753,1187,56703,817,1648,1450,1287,2881,2586,675,1110,5812,18258,40250,145210,152995,140589,211504,191103,74243,93248,18637,1067789
Rest of Vic.,2RVIC,1702,2008,1805,2907,5701,11136,7421,25665,946,59293,1219,2365,2107,3199,7772,9884,5550,8294,365,40747,2379,3090,2952,4580,16675,22125,9941,13271,1323,76331,1059,2819,1705,2350,2934,3800,1989,2266,349,19274,463,982,809,1069,3509,3001,1715,2048,133,13723,654,4723,1860,1853,3420,3204,2094,2963,330,21090,1619,1878,1993,2380,6800,7187,5187,9031,778,36855,1896,8559,4359,5139,9269,8706,4322,5046,1095,48382,384,430,247,340,752,959,384,788,1931,6209,11366,26842,17833,23821,56817,70002,38613,69363,7251,321909,1361,2643,2621,3749,4413,5073,2936,7593,453,30843,4089,6603,11101,12444,10489,9788,5122,6598,572,66802,652,2510,2346,2691,3079,1820,914,1019,238,15255,3172,11516,10511,11863,7349,3952,1883,2156,944,53351,2653,8093,9462,10137,12665,7633,2732,2157,558,56094,1809,13710,6978,6384,4780,2190,1152,1103,619,38723,165,462,421,484,713,492,212,245,50,3244,1370,9022,4955,4793,3423,2060,988,1071,606,28286,367,389,289,380,456,342,101,219,1531,4076,15638,54949,48694,52921,47356,33351,16052,22158,5562,296681
Greater Melbourne,2GMEL,3010,4110,4555,6735,23157,44021,26079,63527,1904,177107,4639,13251,10559,14595,46036,73348,31757,49520,2330,246044,4681,8454,11276,14196,51092,67237,28095,34855,4099,223993,2324,12764,8336,8556,9563,11267,6102,6617,1226,66751,1803,4915,4459,4888,22217,21047,9341,11016,898,80585,1815,16408,9273,7217,13748,14470,7300,11704,1216,83150,2583,5586,7122,8416,26237,22959,12311,16924,2368,104512,2882,20882,15472,11618,23280,19090,8022,9442,2598,113276,677,1464,1030,1118,3253,3769,1279,2475,6468,21533,24418,87843,72092,77347,218577,277207,130291,206069,23117,1116953,3885,5016,7510,10983,19219,21929,12865,20202,884,102496,13574,27461,36473,41453,49634,54675,25223,31344,2378,282214,1469,6106,6214,6640,9817,6448,2845,2658,654,42858,5986,34260,29388,29492,23255,12554,5660,6500,2592,149690,7756,26443,31834,32476,53111,37665,12561,8639,2151,212636,4424,41620,22151,17573,15641,10007,4374,4360,1899,122045,499,1536,1631,2085,4640,2333,832,589,241,14387,1746,15698,10991,9083,10419,4952,1612,1520,1153,57174,755,1424,1177,1179,2175,1889,511,851,5091,15041,40097,159563,147371,150970,187904,152448,66484,76656,17045,998542
Greater Brisbane,3GBRI,1427,1643,1785,2665,9846,17282,11572,31741,738,78702,2370,5645,4192,6931,21657,30530,14075,24665,851,110920,2838,4182,4703,6672,26795,30770,16765,23175,1738,117647,1357,5369,3922,4384,5775,6079,3669,4051,568,35173,1009,2236,1972,2284,11530,8951,4844,6199,346,39368,812,7597,4166,3971,6366,6262,3462,6406,496,39551,1659,2881,3467,5010,13928,11262,7445,13451,1240,60337,1798,10747,7673,7734,13616,10778,5157,7083,1361,65956,329,627,446,528,1569,1794,642,1535,2890,10368,13600,40926,32333,40185,111092,123718,67630,118305,10244,558022,1735,2102,2881,4574,9695,9962,6462,10720,396,48518,7035,12280,16030,20466,25179,25616,11902,15846,1027,135380,764,2679,2791,3513,5295,3004,1596,1496,268,21408,3321,16502,15123,17913,13844,6692,2990,3828,1216,81431,4593,12331,14728,16851,35129,20618,7927,5926,1068,119180,2002,18442,10565,9777,8935,4821,2361,2746,788,60428,260,729,787,1094,1912,1008,442,559,116,6908,1147,8999,6385,6624,6419,2936,1128,1166,645,35455,359,642,470,579,1138,886,297,462,2212,7056,21219,74705,69770,81391,107541,75552,35105,42761,7720,515756
Rest of Qld,3RQLD,1756,2286,1979,3275,7857,14496,9772,38565,1071,81059,2003,3836,3162,5598,12480,16815,8417,17108,600,70020,4266,5259,5131,8471,28625,31922,20791,34907,2178,141551,1443,4499,3327,4803,5953,6096,3675,5023,608,35430,735,1491,1095,1650,6097,4942,2896,4495,248,23655,898,7413,3473,4312,6203,5684,3399,6396,563,38338,3066,3131,3268,4869,11280,10313,10251,24818,1487,72486,2371,11397,7179,9033,14697,12302,6640,11764,1733,77119,525,647,435,602,1301,1471,682,1788,3072,10521,17073,39961,29043,42615,94495,104043,66519,144864,11566,550177,1602,2939,3101,4943,8612,8990,5545,13624,606,49956,5759,9763,12496,18214,19115,18382,8896,13591,927,107148,902,3283,3182,4320,5268,3030,1882,2201,365,24434,3880,16302,15644,21975,15189,6948,3550,4659,1426,89564,3983,13369,14371,17909,29020,16386,6670,6078,1094,108882,2350,19822,11736,12864,11019,4723,2696,3212,876,69291,396,826,808,986,1232,861,776,1581,139,7609,1605,12169,7847,9369,6434,3307,1549,2700,938,45909,436,653,408,534,739,649,221,461,2454,6555,20912,79122,69590,91122,96622,63283,31770,48104,8817,509346
Rest of SA,4RSAU,590,619,516,906,1512,3000,2185,8399,256,17981,247,424,340,508,1285,1535,1018,1713,71,7144,676,827,787,1285,4149,4425,2438,3806,282,18673,192,493,311,520,690,653,410,512,64,3841,98,201,172,242,624,497,368,419,25,2648,131,855,401,501,770,683,546,633,70,4596,559,623,602,737,2030,1852,1801,3846,240,12286,689,2271,1258,1776,3202,3117,1305,1682,339,15647,99,111,67,91,210,225,108,243,453,1602,3283,6418,4461,6561,14468,15981,10192,21252,1797,84403,395,835,768,1152,1127,1328,849,2237,130,8818,851,1124,1944,2269,2130,1769,1132,1634,148,12993,173,602,593,740,677,390,228,306,55,3760,744,2778,2734,3496,1894,749,460,686,214,13752,640,2171,2216,2654,3248,1518,653,596,109,13809,448,2900,1751,2002,1266,467,324,317,113,9592,39,146,163,127,153,98,65,176,10,983,381,2990,1599,1546,1075,701,333,438,185,9247,88,98,81,85,107,50,33,47,365,954,3762,13645,11845,14068,11671,7072,4079,6430,1331,73903
Greater Adelaide,4GADE,845,1244,1172,1939,6301,8869,7015,14474,357,42226,1424,3416,2616,3931,13483,13901,7543,10898,450,57659,1775,2649,2805,4715,16762,16238,8748,10085,913,64695,888,3863,2288,3182,3745,3621,2136,2082,324,22145,578,1250,978,1558,6936,4223,2563,2553,171,20809,555,4710,2204,2462,4175,3223,2139,2858,251,22586,985,1585,1837,2806,8125,5089,3691,5156,475,29756,1130,7692,4277,4710,8043,5154,2833,2951,667,37465,231,383,235,314,982,825,380,616,1350,5306,8416,26791,18417,25617,68563,61142,37059,51687,4959,302646,949,1418,1740,3046,5380,4435,3309,4522,202,25006,4199,7037,10084,12697,15000,10776,5845,7057,490,73191,477,1870,1944,2481,3117,1363,756,749,148,12900,2421,11182,9280,11689,7629,3232,1712,1961,720,49830,2551,7386,8795,10848,18799,7749,3521,2094,475,62219,1375,12356,6262,6102,4427,1878,1130,955,451,34942,102,321,290,405,670,317,126,153,27,2408,709,6412,3847,3860,3034,1056,567,475,333,20286,249,369,253,368,651,347,134,174,1079,3628,13030,48355,42490,51497,58708,31158,17102,18146,3930,284414
Greater Perth,5GPER,1375,1811,1899,2481,8000,16379,10572,24501,558,67573,2334,4961,3915,5117,16639,26779,12581,19972,762,93051,4284,4436,5174,6954,24191,31337,15695,27546,2009,121619,1150,4998,3236,3121,3723,5566,3074,3696,470,29026,766,1671,1382,1625,7565,7335,3872,4668,298,29184,766,7123,3525,2859,4436,4960,2637,4599,392,31292,2452,2889,2850,3779,10337,8808,6633,15122,1050,53925,1908,10294,6835,5505,8366,7768,3669,7193,992,52534,382,603,427,462,1249,1632,684,1550,2204,9194,15414,38793,29236,31902,84505,110565,59413,108841,8738,487403,1366,2221,2775,3970,7611,8179,4646,6766,304,37840,5666,11892,14963,15913,20888,20653,9302,11293,850,111417,849,3265,3162,3417,5101,2978,1369,1580,286,22006,3028,15708,13315,14534,11406,5860,2402,3295,1099,70654,3623,12729,14305,14308,24361,16296,5495,4118,818,96055,1902,17785,9916,8235,7045,4007,1627,1744,681,52938,366,714,658,820,1347,764,429,1111,101,6307,1105,9124,5878,5133,3835,1937,766,1520,535,29831,329,623,488,495,838,689,221,360,1711,5748,18226,74060,65466,66826,82431,61365,26250,31785,6392,432800
Rest of WA,5RWAU,842,709,632,874,1414,3307,2560,10904,278,21518,561,622,513,790,1938,2857,1764,3721,127,12894,1869,1306,1178,1759,4811,6880,5508,13489,627,37430,326,506,401,559,698,1172,748,942,101,5458,151,252,176,247,755,745,601,983,47,3964,166,1132,421,506,773,943,614,958,92,5608,1521,884,776,910,1932,2378,3367,10628,478,22870,962,2358,1350,1780,2449,2746,1645,4593,418,18293,183,154,77,120,249,334,255,665,682,2717,6577,7922,5533,7534,15030,21364,17066,46877,2851,130758,607,1048,938,1387,1571,2036,1267,3255,201,12301,1250,1999,2573,2786,3228,3246,1827,2484,161,19555,293,773,816,937,1030,769,461,749,92,5915,920,3244,2926,4015,2758,1536,735,1140,302,17583,943,3107,3008,3423,4603,3106,1222,1469,205,21091,530,3502,1973,2244,1964,925,552,510,207,12407,263,239,254,246,213,228,350,1114,67,2982,553,3276,1846,1998,1091,901,458,1096,235,11451,104,136,97,97,158,125,52,122,501,1395,5468,17329,14427,17123,16619,12881,6929,11931,1968,104674
