gcc_name16,gcc_code16,tot_p_indig_m,tot_p_indig_f,tot_p_indig_p,tot_p_nonind_m,tot_p_nonind_f,tot_p_nonind_p,tot_p_indigstat_nsm,tot_p_indigstat_nsf,tot_p_indigstat_nsp,tot_p_totm,tot_p_totf,tot_p_totp,a_0_4_indig_m,a_0_4_indig_f,a_0_4_indig_p,a_0_4_nonind_m,a_0_4_nonind_f,a_0_4_nonind_p,a_0_4_indigstat_nsm,a_0_4_indigstat_nsf,a_0_4_indigstat_nsp,a_0_4_totm,a_0_4_totf,a_0_4_totp,a_5_14_indig_m,a_5_14_indig_f,a_5_14_indig_p,a_5_14_nonind_m,a_5_14_nonind_f,a_5_14_nonind_p,a_5_14_indigstat_nsm,a_5_14_indigstat_nsf,a_5_14_indigstat_nsp,a_5_14_totm,a_5_14_totf,a_5_14_totp,a_15_24_indig_m,a_15_24_indig_f,a_15_24_indig_p,a_15_24_nonind_m,a_15_24_nonind_f,a_15_24_nonind_p,a_15_24_indigstat_nsm,a_15_24_indigstat_nsf,a_15_24_indigstat_nsp,a_15_24_totm,a_15_24_totf,a_15_24_totp,a_25_44_indig_m,a_25_44_indig_f,a_25_44_indig_p,a_25_44_nonind_m,a_25_44_nonind_f,a_25_44_nonind_p,a_25_44_indigstat_nsm,a_25_44_indigstat_nsf,a_25_44_indigstat_nsp,a_25_44_totm,a_25_44_totf,a_25_44_totp,a_45_64_indig_m,a_45_64_indig_f,a_45_64_indig_p,a_45_64_nonind_m,a_45_64_nonind_f,a_45_64_nonind_p,a_45_64_indigstat_nsm,a_45_64_indigstat_nsf,a_45_64_indigstat_nsp,a_45_64_totm,a_45_64_totf,a_45_64_totp,a_65_over_indig_m,a_65_over_indig_f,a_65_over_indig_p,a_65_ovr_nonind_m,a_65_ovr_nonind_f,a_65_ovr_nonind_p,a_65ove_indigstat_nsm,a_65ove_indigstat_nsf,a_65ove_indigstat_nsp,a_65_ovr_totm,a_65_ovr_totf,a_65_ovr_totp,cntd_cn_home_indig_m,cntd_cn_home_indig_f,cntd_cn_home_indig_p,cntd_cn_hme_nonind_m,cntd_cn_hme_nonind_f,cntd_cn_hme_nonind_p,ctd_cn_hme_indig_st_nsm,ctd_cn_hme_indig_st_nsf,ctd_cn_hme_indig_st_nsp,cntd_cn_home_totm,cntd_cn_home_totf,cntd_cn_home_totp,cntd_cn_ewre_aus_indig_m,cntd_cn_ewre_aus_indig_f,cntd_cn_ewre_aus_indig_p,ctd_cn_ewh_aus_no_indi_m,ctd_cn_ewh_aus_no_indi_f,ctd_cn_ewh_aus_no_indi_p,ct_cn_ew_au_indst_nsm,ct_cn_ew_au_indst_nsf,ct_cn_ew_au_indst_nsp,ctd_cn_ewh_aus_totm,ctd_cn_ewh_aus_totf,ctd_cn_ewh_aus_totp,vfsme_sa2_indig_m,vfsme_sa2_indig_f,vfsme_sa2_indig_p,vfsme_sa2_nonind_m,vfsme_sa2_nonind_f,vfsme_sa2_nonind_p,vfsme_sa2_indi_stat_nsm,vfsme_sa2_indi_stat_nsf,vfsme_sa2_indi_stat_nsp,vfsme_sa2_totm,vfsme_sa2_totf,vfsme_sa2_totp,vfdif_sa2_nsw_indig_m,vfdif_sa2_nsw_indig_f,vfdif_sa2_nsw_indig_p,vfdif_sa2_nsw_nonind_m,vfdif_sa2_nsw_nonind_f,vfdif_sa2_nsw_nonind_p,vfdif_sa2_nsw_indst_nsm,vfdif_sa2_nsw_indst_nsf,vfdif_sa2_nsw_indst_nsp,vfdif_sa2_nsw_totm,vfdif_sa2_nsw_totf,vfdif_sa2_nsw_totp,vfdif_sa2_vic_indig_m,vfdif_sa2_vic_indig_f,vfdif_sa2_vic_indig_p,vfdif_sa2_vic_nonind_m,vfdif_sa2_vic_nonind_f,vfdif_sa2_vic_nonind_p,vfdif_sa2_vic_ind_sta_nsm,vfdif_sa2_vic_ind_sta_nsf,vfdif_sa2_vic_ind_sta_nsp,vfdif_sa2_vic_totm,vfdif_sa2_vic_totf,vfdif_sa2_vic_totp,vfdif_sa2_qld_indig_m,vfdif_sa2_qld_indig_f,vfdif_sa2_qld_indig_p,vfdif_sa2_qld_nonind_m,vfdif_sa2_qld_nonind_f,vfdif_sa2_qld_nonind_p,vfdif_sa2_qld_indst_nsm,vfdif_sa2_qld_indst_nsf,vfdif_sa2_qld_indst_nsp,vfdif_sa2_qld_totm,vfdif_sa2_qld_totf,vfdif_sa2_qld_totp,vfdif_sa2_sa_indig_m,vfdif_sa2_sa_indig_f,vfdif_sa2_sa_indig_p,vfdif_sa2_sa_nonind_m,vfdif_sa2_sa_nonind_f,vfdif_sa2_sa_nonind_p,vfdif_sa2_sa_indst_nsm,vfdif_sa2_sa_indst_nsf,vfdif_sa2_sa_indst_nsp,vfdif_sa2_sa_totm,vfdif_sa2_sa_totf,vfdif_sa2_sa_totp,vfdif_sa2_wa_indig_m,vfdif_sa2_wa_indig_f,vfdif_sa2_wa_indig_p,vfdif_sa2_wa_nonind_m,vfdif_sa2_wa_nonind_f,vfdif_sa2_wa_nonind_p,vfdif_sa2_wa_indst_nsm,vfdif_sa2_wa_indst_nsf,vfdif_sa2_wa_indst_nsp,vfdif_sa2_wa_totm,vfdif_sa2_wa_totf,vfdif_sa2_wa_totp,vfdif_sa2_tas_indig_m,vfdif_sa2_tas_indig_f,vfdif_sa2_tas_indig_p,vfdif_sa2_tas_nonind_m,vfdif_sa2_tas_nonind_f,vfdif_sa2_tas_nonind_p,vfdif_sa2_tas_indst_nsm,vfdif_sa2_tas_indst_nsf,vfdif_sa2_tas_indst_nsp,vfdif_sa2_tas_totm,vfdif_sa2_tas_totf,vfdif_sa2_tas_totp,vfdif_sa2_nt_indig_m,vfdif_sa2_nt_indig_f,vfdif_sa2_nt_indig_p,vfdif_sa2_nt_nonind_m,vfdif_sa2_nt_nonind_f,vfdif_sa2_nt_nonind_p,vfdif_sa2_nt_indst_nsm,vfdif_sa2_nt_indst_nsf
Rest of NSW,1RNSW,72102,73085,145189,1141623,1181290,2322911,87991,87447,175436,1301717,1341813,2643536,8933,8250,17179,65989,62171,128160,4720,4551,9271,79636,74976,154615,17370,16588,33963,141923,134928,276846,10161,9677,19838,169451,161194,330645,13872,13333,27205,133369,127086,260459,10041,9383,19426,157281,149802,307088,15976,16874,32847,256279,268201,524481,19495,18487,37979,291749,303555,595308,12203,13754,25954,311652,327258,638910,24468,23179,47651,348323,364193,712513,3743,4285,8034,232412,261646,494059,19109,22162,41277,255273,288090,543363,67378,69204,136578,1079093,1124191,2203285,75006,77192,152199,1221476,1270586,2492061,4725,3881,8608,62527,57095,119628,12988,10249,23236,80240,71229,151472,341,267,610,1879,1948,3824,123,118,244,2344,2337,4678,4048,3196,7244,47636,41625,89255,8854,6470,15330,60542,51287,111824,88,85,179,6915,6122,13039,1596,1149,2743,8601,7362,15962,233,203,434,6283,5363,11647,1437,988,2425,7953,6557,14506,14,17,36,1403,1184,2586,335,262,596,1757,1458,3217,22,11,34,854,690,1544,188,123,310,1062,827,1888,16,13,30,650,652,1303,132,98,232,800,760,1561,23,16,38,212,160,373,25,28
Greater Sydney,1GSYD,34716,35419,70135,2211230,2282264,4493490,130823,129540,260364,2376766,2447221,4823991,4045,3683,7729,147336,140144,287474,7649,7318,14968,159029,151145,310173,7939,7356,15292,282351,266890,549238,13137,12456,25592,303428,286700,590126,7142,6815,13959,295946,285952,581900,17173,16073,33247,320265,308837,629103,8285,9177,17465,673611,693103,1366707,44271,41995,86266,726166,744274,1470442,5688,6486,12177,525194,555145,1080337,30120,28953,59080,561009,590584,1151589,1615,1898,3510,286796,341033,627831,18466,22748,41215,306877,365681,672559,32985,33892,66877,2141567,2216184,4357758,116512,118297,234811,2291071,2368376,4659438,1734,1528,3256,69656,66078,135736,14309,11243,25556,85698,78852,164554,88,66,157,2249,2373,4621,175,163,342,2518,2597,5113,1771,1474,3246,51338,49890,101224,8541,7168,15707,61650,58530,120178,24,14,40,3746,2614,6357,2714,1471,4186,6476,4106,10583,70,67,130,3597,2876,6475,2045,1116,3167,5705,4065,9767,7,7,10,950,730,1677,603,341,946,1558,1082,2636,17,30,42,1253,1023,2272,757,536,1290,2022,1584,3602,11,4,14,343,377,723,178,110,287,528,496,1024,15,22,36,197,143,342,102,43
Rest of Vic.,2RVIC,11531,11912,23444,642997,667267,1310270,49596,50510,100103,704128,729694,1433818,1495,1456,2948,38789,36567,75360,2719,2643,5360,43001,40662,83665,2816,2736,5551,82160,77951,160115,5778,5365,11144,90754,86052,176804,2209,2136,4341,78018,73168,151187,5623,5350,10969,85851,80651,166501,2414,2716,5127,144067,152332,296397,10519,10490,21002,156992,165542,322532,1979,2191,4168,174924,185819,360750,13545,13386,26930,190454,201392,391851,613,690,1305,125038,141422,266463,11416,13284,24698,137073,155391,292463,10771,11284,22048,604813,631107,1235925,42003,43998,86001,657588,686387,1343977,762,635,1395,38185,36157,74343,7593,6517,14103,46535,43308,89842,35,33,62,919,886,1809,49,54,108,1008,973,1980,52,58,110,2029,1784,3809,405,319,725,2485,2160,4646,600,454,1055,23572,22085,45658,4189,3574,7759,28366,26110,54471,24,27,49,1449,1189,2638,319,258,577,1795,1474,3264,22,6,33,1286,996,2283,327,238,563,1630,1243,2872,3,9,15,562,447,1009,111,81,190,673,538,1210,6,8,13,321,309,625,101,63,161,425,372,796,16,18,30,166,128,291,18,25
Greater Melbourne,2GMEL,11933,12136,24062,2065922,2149830,4215761,121739,123651,245390,2199597,2285616,4485211,1248,1261,2507,138629,131382,270013,7501,7155,14659,147382,139793,287178,2467,2378,4844,257951,245214,503165,12636,11873,24510,273047,259469,532524,2344,2336,4683,286911,279500,566410,15848,15442,31291,305102,297277,602383,3265,3253,6520,631673,653492,1285168,39338,38400,77741,674277,695154,1369430,2084,2217,4298,485183,518995,1004179,28110,27624,55734,515379,548839,1064212,526,685,1208,265578,321244,586819,18307,23154,41458,284403,345078,629487,11326,11596,22924,1994337,2079277,4073612,107009,111028,218037,2112673,2201897,4314571,604,541,1138,71590,70553,142145,14734,12621,27352,86923,83718,170637,21,26,44,1798,1984,3780,131,122,256,1949,2129,4078,48,51,95,4363,3877,8246,2406,1941,4344,6816,5869,12681,534,492,1023,46592,47395,93984,6369,6472,12838,53491,54356,107844,45,47,97,2604,2567,5168,1234,1052,2281,3878,3669,7545,20,20,36,1272,1179,2452,638,572,1209,1927,1770,3697,27,38,72,1369,1412,2778,645,650,1295,2041,2106,4150,17,23,42,713,862,1576,337,431,763,1071,1320,2393,38,34,74,222,180,401,57,41
Greater Brisbane,3GBRI,26813,27347,54158,1028414,1064716,2093128,62232,61288,123517,1117452,1153351,2270800,3207,3144,6353,68751,65193,133944,3891,3715,7603,75846,72050,147903,6384,6066,12445,138869,131484,270347,6973,6732,13706,152224,144286,296503,5681,5496,11171,145948,143420,289369,8427,8350,16781,160059,157266,317323,6611,6828,13440,299189,311183,610374,19127,18222,37350,324925,336237,661160,4030,4590,8614,245312,260270,505582,15388,14260,29648,264729,279124,543848,909,1220,2134,130336,153165,283503,8424,10003,18422,139673,164393,304063,25378,26060,51438,985783,1026614,2012395,52512,54583,107100,1063673,1107261,2170935,1428,1287,2717,42631,38102,80731,9720,6700,16420,53778,46092,99868,57,54,109,999,996,2000,48,62,106,1101,1110,2218,106,102,206,2976,2830,5806,764,564,1334,3842,3502,7345,14,15,27,1861,1852,3713,509,392,901,2380,2256,4636,1221,1121,2341,26918,26460,53371,3183,3193,6372,31318,30773,62090,5,3,11,505,528,1032,136,97,230,645,633,1279,13,6,19,562,482,1051,180,121,302,752,612,1366,8,9,18,333,394,725,66,42,108,401,445,851,25,14,37,209,173,386,28,32
Rest of Qld,3RQLD,64873,66649,131520,1038999,1068880,2107878,93554,86775,180324,1197426,1222294,2419724,7921,7541,15468,63040,59845,122886,5045,4832,9870,76005,72221,148226,16178,15554,31727,137604,129864,267474,10234,9813,20044,164017,155225,319243,12501,12077,24581,126069,122125,248199,11069,10416,21487,149645,144621,294262,15139,16367,31506,257032,273729,530759,25634,21950,47582,297809,312046,609855,10456,11756,22214,275659,290217,565870,25835,22731,48567,311946,324704,636649,2676,3349,6032,179597,193093,372694,15733,17038,32775,198009,213487,411492,60346,62795,123137,980196,1022331,2002520,77418,77658,155082,1117961,1162779,2280744,4527,3856,8381,58804,46552,105354,16134,9111,25249,79469,59515,138984,385,358,742,1494,1490,2982,113,104,214,1989,1948,3941,275,266,536,12932,12505,25437,3350,2989,6337,16548,15762,32309,87,68,159,16181,16883,33063,3952,4085,8036,20224,21041,41257,4095,3331,7426,53183,41635,94815,15383,8173,23557,72661,53132,125793,26,30,57,3604,3585,7187,891,881,1769,4519,4493,9012,33,29,60,1834,1715,3552,495,385,882,2361,2135,4496,54,63,114,2181,2284,4463,511,545,1052,2748,2888,5630,58,117,176,448,346,788,106,71
Rest of SA,4RSAU,7770,7755,15530,170028,168067,338096,12565,11879,24445,190368,187706,378074,855,797,1649,9128,8802,17932,642,617,1255,10628,10211,20840,1777,1717,3492,20622,19177,39801,1393,1315,2704,23789,22211,46004,1384,1342,2727,17867,16344,34211,1243,1137,2385,20497,18828,39320,1931,1944,3872,36202,35964,72162,2647,2349,4999,40781,40253,81032,1446,1536,2984,49444,48550,97993,3753,3394,7151,54643,53480,108129,376,418,802,36765,39222,75989,2884,3077,5959,40026,42723,82752,7183,7212,14393,158615,158025,316644,10571,10271,20839,176372,175503,351874,591,546,1130,11415,10042,21458,1992,1615,3608,13999,12199,26194,56,80,139,539,473,1010,24,17,41,621,572,1192,18,15,29,634,475,1106,149,87,231,790,576,1365,10,12,20,1014,762,1776,279,174,447,1297,943,2244,16,8,26,558,365,924,135,72,212,706,449,1156,480,387,872,8799,6341,15136,1715,914,2627,11001,7635,18637,16,15,25,391,303,702,94,70,162,503,385,890,4,5,4,126,95,222,25,15,43,158,115,268,17,15,34,88,76,165,6,4
Greater Adelaide,4GADE,8977,9426,18403,594606,622014,1216624,30307,30379,60689,633888,661823,1295714,1124,1002,2124,36386,34282,70670,1728,1623,3351,39238,36906,76145,2084,2042,4126,71449,68206,139661,3126,2889,6021,76657,73146,149800,1891,1891,3781,80459,77488,157952,3633,3551,7186,85987,82930,168917,2184,2398,4585,160561,164534,325097,8308,7572,15881,171053,174511,345562,1367,1652,3016,151783,161567,313351,7969,7468,15440,161116,170690,331801,332,444,774,93962,115934,209901,5539,7269,12813,99844,123645,223491,8350,8900,17249,569147,599647,1168798,25035,26364,51400,602530,634910,1237445,629,527,1160,25460,22364,47822,5275,4016,9292,31363,26910,58272,45,48,88,1230,1170,2401,64,74,140,1330,1294,2626,24,21,42,1022,866,1889,319,217,534,1360,1096,2464,11,18,31,1156,1035,2192,368,209,579,1528,1267,2798,18,18,37,685,592,1281,203,124,328,907,736,1644,571,491,1069,14600,14036,28640,1559,1687,3241,16735,16214,32948,13,11,28,459,361,820,135,91,226,609,462,1068,0,3,3,126,121,245,22,20,40,142,146,288,31,44,70,233,240,474,53,59
Greater Perth,5GPER,15704,15518,31214,889811,911224,1801031,58028,53585,111612,963536,980326,1943858,1840,1746,3585,59790,56773,116565,3408,3155,6558,65040,61672,126713,3567,3506,7072,115807,109633,225438,5733,5371,11100,125113,118507,243617,3333,3024,6350,119441,114205,233647,6971,6585,13562,129745,123812,253558,4215,3926,8144,264692,269929,534624,19767,16763,36523,288674,290619,579291,2267,2639,4908,214556,225327,439888,14380,12485,26867,231202,240453,471660,482,676,1156,115513,135357,250869,7773,9230,17000,123769,145260,269027,14452,14620,29070,846552,880665,1727219,46593,47752,94349,907598,943036,1850635,1254,893,2149,43255,30560,73815,11434,5832,17267,55939,37288,93225,25,23,50,962,914,1872,93,48,136,1077,984,2063,21,34,55,1377,1117,2493,574,299,872,1971,1450,3421,3,5,11,1229,1086,2314,489,305,788,1717,1398,3119,32,25,65,904,737,1637,341,192,527,1278,955,2229,12,7,20,483,363,849,201,97,300,700,471,1168,1129,906,2034,20710,19866,40573,2779,2537,5313,24614,23307,47921,7,7,16,202,204,401,53,32,84,260,247,507,12,8,17,138,120,256,33,25
Rest of WA,5RWAU,21977,22198,44169,222160,209496,431657,26799,21536,48341,270936,253230,524167,2488,2306,4792,14080,13189,27265,1468,1325,2796,18037,16823,34861,5003,4849,9856,28556,27288,55839,2787,2619,5407,36347,34759,71105,3955,3693,7644,23132,20662,43793,2477,2175,4651,29569,26527,56089,5952,5968,11919,59589,56352,115942,8637,5957,14596,74181,68275,142455,3687,4250,7936,63060,58572,121624,7819,5873,13691,74568,68687,143250,884,1138,2019,33748,33438,67186,3606,3586,7195,38244,38164,76405,20316,20608,40919,205392,197148,402545,22995,19172,42161,248699,236924,485631,1657,1590,3245,16771,12344,29112,3808,2367,6175,22239,16301,38540,144,150,293,539,363,902,53,25,75,739,537,1273,62,29,94,2589,1733,4321,710,377,1088,3359,2139,5504,35,17,48,3290,2445,5730,877,507,1386,4196,2972,7171,90,39,125,3275,1419,4690,998,287,1282,4361,1742,6103,17,15,35,1417,906,2321,371,179,550,1810,1100,2906,1725,1429,3162,29760,15377,45136,9218,3358,12571,40703,20163,60874,14,12,25,489,291,783,143,76,222,650,380,1028,25,27,54,175,104,276,62,18
