gcc_name16,gcc_code16,age_40_44_nonind_f,age_40_44_nonind_p,age_40_44_indig_st_nsm,age_40_44_indig_st_nsf,age_40_44_indig_st_nsp,age_40_44_totm,age_40_44_totf,age_40_44_totp,age_45_49_indig_m,age_45_49_indig_f,age_45_49_indig_p,age_45_49_nonind_m,age_45_49_nonind_f,age_45_49_nonind_p,age_45_49_indig_st_nsm,age_45_49_indig_st_nsf,age_45_49_indig_st_nsp,age_45_49_totm,age_45_49_totf,age_45_49_totp,age_50_54_indig_m,age_50_54_indig_f,age_50_54_indig_p,age_50_54_nonind_m,age_50_54_nonind_f,age_50_54_nonind_p,age_50_54_indig_st_nsm,age_50_54_indig_st_nsf,age_50_54_indig_st_nsp,age_50_54_totm,age_50_54_totf,age_50_54_totp,age_55_59_indig_m,age_55_59_indig_f,age_55_59_indig_p,age_55_59_nonind_m,age_55_59_nonind_f,age_55_59_nonind_p,age_55_59_indig_st_nsm,age_55_59_indig_st_nsf,age_55_59_indig_st_nsp,age_55_59_totm,age_55_59_totf,age_55_59_totp,age_60_64_indig_m,age_60_64_indig_f,age_60_64_indig_p,age_60_64_nonind_m,age_60_64_nonind_f,age_60_64_nonind_p,age_60_64_indig_st_nsm,age_60_64_indig_st_nsf,age_60_64_indig_st_nsp,age_60_64_totm,age_60_64_totf,age_60_64_totp,age_65over_indig_m,age_65over_indig_f,age_65over_indig_p,age_65over_nonind_m,age_65over_nonind_f,age_65over_nonind_p,age_65over_indig_st_nsm,age_65over_indig_st_nsf,age_65over_indig_st_nsp,age_65_over_totm,age_65_over_totf,age_65_over_totp,tot_indig_m,tot_indig_f,tot_indig_p,tot_nonind_m,tot_nonind_f,tot_nonind_p,tot_indig_st_nsm,tot_indig_st_nsf,tot_indig_st_nsp,tot_totm,tot_totf,tot_totp
Rest of NSW,1RNSW,73737,143633,5237,4982,10217,78729,82902,161625,3604,4197,7804,73150,77770,150920,5653,5409,11065,82400,87382,169780,3336,3826,7161,78023,81698,159720,6134,5755,11895,87489,91280,178773,2949,3309,6257,81935,86449,168384,6501,6139,12643,91386,95897,187279,2315,2419,4735,78549,81341,159889,6180,5873,12053,87041,89638,176678,3743,4285,8034,232412,261646,494059,19109,22162,41277,255273,288090,543363,72102,73085,145189,1141623,1181290,2322911,87991,87447,175436,1301717,1341813,2643536
Greater Sydney,1GSYD,162465,319004,9108,8405,17514,167516,173063,340580,1787,2109,3898,146373,155131,301505,8454,7908,16362,156617,165145,321762,1611,1801,3417,141133,145692,286829,8026,7552,15575,150766,155048,305817,1332,1449,2777,128213,136141,264354,7328,7101,14432,136868,144692,281558,960,1127,2087,109475,118183,227658,6321,6396,12712,116752,125704,242452,1615,1898,3510,286796,341033,627831,18466,22748,41215,306877,365681,672559,34716,35419,70135,2211230,2282264,4493490,130823,129540,260364,2376766,2447221,4823991
Rest of Vic.,2RVIC,41684,80729,2845,2770,5612,42442,45080,87518,570,679,1247,41657,44732,86387,3244,3050,6296,45471,48463,93933,552,593,1143,43626,46811,90438,3308,3292,6597,47486,50695,98187,477,521,1000,45281,48149,93423,3467,3467,6937,49225,52136,101361,388,389,775,44362,46134,90497,3522,3573,7094,48271,50095,98363,613,690,1305,125038,141422,266463,11416,13284,24698,137073,155391,292463,11531,11912,23444,642997,667267,1310270,49596,50510,100103,704128,729694,1433818
Greater Melbourne,2GMEL,151895,296133,8269,7896,16166,153241,160525,313768,748,720,1466,140373,150270,290643,7829,7642,15473,148946,158634,307580,533,634,1166,128800,135228,264029,7493,7042,14540,136829,142906,279728,446,459,903,116457,124814,241277,6794,6842,13641,123698,132121,255824,356,408,764,99552,108684,208232,5990,6090,12085,105899,115182,221078,526,685,1208,265578,321244,586819,18307,23154,41458,284403,345078,629487,11933,12136,24062,2065922,2149830,4215761,121739,123651,245390,2199597,2285616,4485211
Greater Brisbane,3GBRI,76375,149136,4378,4037,8414,78597,82021,160613,1329,1516,2848,70231,74436,144665,4447,3903,8353,76005,79858,155861,1146,1273,2424,64776,68208,132989,4063,3725,7788,69989,73211,143199,878,1030,1905,58895,62655,121552,3635,3429,7064,63409,67104,130519,675,767,1439,51404,54971,106382,3249,3206,6454,55331,58942,114276,909,1220,2134,130336,153165,283503,8424,10003,18422,139673,164393,304063,26813,27347,54158,1028414,1064716,2093128,62232,61288,123517,1117452,1153351,2270800
Rest of Qld,3RQLD,73526,142179,6444,5498,11946,78620,82915,161537,3313,3792,7098,70978,75640,146617,6777,5862,12640,81063,85294,166356,2972,3237,6210,70755,75010,145766,6777,5852,12627,80501,84100,164603,2411,2709,5122,69784,73337,143128,6619,5711,12337,78817,81760,160585,1759,2015,3777,64136,66220,130360,5665,5305,10969,71564,73541,145106,2676,3349,6032,179597,193093,372694,15733,17038,32775,198009,213487,411492,64873,66649,131520,1038999,1068880,2107878,93554,86775,180324,1197426,1222294,2419724
Rest of SA,4RSAU,10003,19977,715,636,1343,11130,11099,22227,453,495,945,11450,11378,22826,894,768,1662,12796,12640,25436,436,427,862,12224,12064,24282,944,810,1752,13594,13304,26897,327,349,675,12956,12755,25710,953,947,1903,14234,14052,28286,233,270,501,12821,12360,25178,965,864,1826,14019,13492,27505,376,418,802,36765,39222,75989,2884,3077,5959,40026,42723,82752,7770,7755,15530,170028,168067,338096,12565,11879,24445,190368,187706,378074
Greater Adelaide,4GADE,40180,79564,1956,1690,3651,41800,42425,84217,426,530,954,40727,42308,83039,2092,1862,3956,43247,44698,87943,362,451,815,39784,41616,81402,2047,1871,3923,42190,43942,86131,315,391,707,37948,40742,78689,2046,1962,4008,40311,43097,83406,267,274,538,33317,36904,70224,1785,1769,3554,35369,38948,74316,332,444,774,93962,115934,209901,5539,7269,12813,99844,123645,223491,8977,9426,18403,594606,622014,1216624,30307,30379,60689,633888,661823,1295714
Greater Perth,5GPER,63853,125610,4148,3544,7693,66728,68258,134986,770,873,1642,61559,63483,125040,4153,3359,7517,66480,67715,134195,640,699,1344,57110,58989,116104,3834,3229,7057,61581,62922,124498,512,608,1113,51048,54381,105433,3396,3074,6473,54954,58065,113020,355,455,808,44837,48478,93317,2995,2822,5820,48183,51757,99944,482,676,1156,115513,135357,250869,7773,9230,17000,123769,145260,269027,15704,15518,31214,889811,911224,1801031,58028,53585,111612,963536,980326,1943858
Rest of WA,5RWAU,14666,30331,2106,1409,3520,19115,17375,36491,1186,1376,2562,16434,15175,31605,2121,1531,3650,19738,18083,37816,1029,1194,2221,16462,15055,31511,2111,1538,3648,19602,17783,37385,852,951,1796,15985,15014,31000,2019,1536,3551,18852,17496,36346,630,724,1351,14179,13324,27503,1569,1270,2847,16378,15326,31706,884,1138,2019,33748,33438,67186,3606,3586,7195,38244,38164,76405,21977,22198,44169,222160,209496,431657,26799,21536,48341,270936,253230,524167
