gcc_name16,gcc_code16,med_ag_pe_in_pe_hh_in_p,me_ag_ps_n_in_ps_ot_hh,med_age_psns_tot,me_p_in_wk_in_ps_hh_in_ps,me_ps_in_wk_no_in_ps_ot_hh,med_psnl_inc_wk_tot,me_hh_in_wk_in_ps_hh_in_ps,me_hh_in_wk_no_in_ps_ot_hh,med_hhd_inc_wk_tot,me_mo_re_mt_in_ps_hh_in_ps,me_mo_re_mt_no_in_ps_ot_hh,med_mort_repay_mth_tot,me_re_wk_in_ps_hh_ind_psns,me_re_wk_no_in_psns_oth_hh,med_rent_wk_tot,av_n_p_pe_be_in_ps_hh_w_in_p,av_nu_ps_pe_be_no_in_ps_ot_hh,avg_nu_psns_per_bed_tot,av_hh_si_in_ps_hh_wi_ind_psns,avg_hh_si_no_ind_psn_othr_hhd,avg_household_size_tot,p_d_n_x_b_in_ps_hh_w_in_p,p_d_n_x_b_no_in_p_oth_hh,p_d_n_x_b_tot
Other Territories,9OTER,35,43,42,390,730,715,1268,1384,1377,0,1400,1400,63,150,140,1.1,0.9,0.9,3.5,2.5,2.6,24.1,4.6,5.4
Australian Capital Territory,8ACTE,23,35,35,792,1003,1000,1886,2074,2070,2167,2058,2058,360,381,380,1.0,0.8,0.8,2.9,2.5,2.5,5.4,2.6,2.6
Rest of NT,7RNTE,25,36,30,256,1077,525,1034,1934,1561,1733,1842,1816,74,185,91,1.7,0.9,1.2,4.5,2.4,3.2,44.4,4.3,19.7
Greater Darwin,7GDAR,24,34,33,647,1078,1052,1864,2210,2183,2297,2200,2200,350,430,420,1.1,0.9,1.0,3.2,2.7,2.7,12.3,5.4,6.1
Rest of Tas.,6RTAS,24,45,44,463,531,527,1024,996,998,1200,1200,1200,210,208,209,0.9,0.8,0.8,2.9,2.3,2.3,5.3,2.0,2.2
Greater Hobart,6GHOB,23,41,40,493,642,637,1172,1238,1234,1323,1408,1402,250,260,260,1.0,0.8,0.8,2.9,2.4,2.4,6.9,2.4,2.6
Rest of WA,5RWAU,24,40,39,372,743,713,1071,1443,1415,1603,1700,1700,155,250,240,1.1,0.8,0.8,3.4,2.4,2.5,15.3,1.8,2.8
Greater Perth,5GPER,22,36,36,471,731,728,1365,1649,1643,1950,2000,2000,320,365,360,1.0,0.8,0.8,3.2,2.6,2.6,8.2,2.2,2.3
Rest of SA,4RSAU,24,46,45,375,558,550,903,1033,1027,1088,1170,1170,165,190,190,1.0,0.7,0.7,3.1,2.3,2.3,9.5,1.6,1.9
Greater Adelaide,4GADE,22,39,39,456,619,617,1102,1268,1265,1517,1517,1517,260,285,285,1.0,0.8,0.8,2.9,2.4,2.5,7.9,2.8,2.9
Rest of Qld,3RQLD,22,41,39,435,635,624,1143,1280,1271,1650,1712,1707,245,300,300,1.1,0.8,0.8,3.3,2.5,2.5,11.7,2.3,2.9
Greater Brisbane,3GBRI,22,36,35,503,707,703,1386,1570,1562,1777,1863,1861,330,360,355,1.0,0.8,0.8,3.3,2.7,2.7,8.2,3.0,3.2
Rest of Vic.,2RVIC,21,43,43,440,578,576,995,1127,1124,1300,1300,1300,220,235,231,1.0,0.8,0.8,3.0,2.4,2.4,7.7,1.9,2.1
Greater Melbourne,2GMEL,24,36,36,544,674,673,1433,1544,1542,1733,1800,1800,321,350,350,1.0,0.9,0.9,3.0,2.7,2.7,8.1,4.3,4.3
Rest of NSW,1RNSW,22,44,43,450,592,584,1103,1173,1168,1517,1600,1590,250,280,270,1.0,0.8,0.8,3.1,2.4,2.4,8.1,2.2,2.5
Greater Sydney,1GSYD,23,36,36,547,721,719,1488,1756,1750,2015,2167,2167,355,450,440,1.0,1.0,1.0,3.2,2.8,2.8,9.2,6.7,6.7
