gcc_name16,gcc_code16,iad_hhs_with_ind_p,iad_oth_households,iad_tot_households,inad_hhs_with_ind_p,inad_oth_households,inad_tot_households,ia_ns_indig_per,ia_ns_oth_households,ia_ns_tot_households,tot_hholds_w_indig_per,tot_oth_households,tot_tot_households
Other Territories,9OTER,35,1032,1070,27,210,236,8,53,60,69,1291,1360
Australian Capital Territory,8ACTE,2767,125509,128278,370,11069,11440,109,2828,2941,3254,139409,142664
Rest of NT,7RNTE,3891,10993,14877,4026,1906,5930,478,726,1206,8394,13625,22013
Greater Darwin,7GDAR,3131,33383,36515,992,4044,5034,232,1259,1499,4361,38682,43043
Rest of Tas.,6RTAS,5631,79458,85089,1593,22226,23818,222,2822,3040,7443,104510,111949
Greater Hobart,6GHOB,3279,65697,68978,795,13862,14659,118,1874,1992,4198,81434,85630
Rest of WA,5RWAU,7597,132321,139917,5314,26008,31325,774,4480,5249,13686,162809,176495
Greater Perth,5GPER,9767,587970,597746,2536,74634,77166,549,14829,15377,12852,677432,690280
Rest of SA,4RSAU,3617,106197,109816,2099,30497,32590,298,3637,3934,6016,140328,146344
Greater Adelaide,4GADE,6564,398735,405301,1842,74298,76139,373,10631,11006,8785,483665,492448
Rest of Qld,3RQLD,34760,670554,705313,12914,123829,136747,2031,23283,25311,49703,817663,867368
Greater Brisbane,3GBRI,20189,662000,682188,3911,84197,88107,909,18257,19164,25011,764455,789464
Rest of Vic.,2RVIC,8199,411399,419596,2554,99886,102440,514,15680,16196,11264,526970,538228
Greater Melbourne,2GMEL,10258,1338194,1348449,1739,183321,185067,521,40444,40960,12516,1561954,1574474
Rest of NSW,1RNSW,44268,715067,759333,16046,175443,191491,2603,27009,29617,62916,917521,980442
Greater Sydney,1GSYD,25944,1363761,1389707,5448,184774,190219,1186,42766,43948,32573,1591295,1623872
