gccsa_code16,psn_15_y_over_indig_m,psn_15_y_over_indig_f,psn_15_y_over_indig_p,psn_15_y_over_nonind_m,psn_15_y_over_nonind_f,psn_15_y_over_nonind_p,psn_15_y_over_ind_s_nsm,psn_15_y_over_ind_s_nsf,psn_15_y_over_ind_s_nsp,psn_15_y_over_totm,psn_15_y_over_totf,psn_15_y_over_totp,in_lf_emp_indig_m,in_lf_emp_indig_f,in_lf_emp_indig_p,in_lf_emp_nonind_m,in_lf_emp_nonind_f,in_lf_emp_nonind_p,in_lf_emp_indst_nsm,in_lf_emp_indst_nsf,in_lf_emp_indst_nsp,in_lf_employd_totm,in_lf_employd_totf,in_lf_employd_totp,in_lf_unemp_ind_m,in_lf_unemp_ind_f,in_lf_unemp_ind_p,in_lf_unemp_no_ind_m,in_lf_unemp_no_ind_f,in_lf_unemp_no_ind_p,in_lf_un_indst_nsm,in_lf_un_indst_nsf,in_lf_un_indst_nsp,in_lf_unemp_totm,in_lf_unemp_totf,in_lf_unemp_totp,in_lf_to_lf_ind_m,in_lf_to_lf_ind_f,in_lf_to_lf_ind_p,in_lf_to_la_fo_no_in_m,in_lf_to_la_fo_no_in_f,in_lf_to_la_fo_no_in_p,in_lf_to_l_fo_in_st_nsm,in_lf_to_l_fo_in_st_nsf,in_lf_to_l_fo_in_st_nsp,in_lf_to_lf_totm,in_lf_to_lf_totf,in_lf_to_lf_totp,n_the_lf_indig_m,n_the_lf_indig_f,n_the_lf_indig_p,n_the_lf_no_indig_m,n_the_lf_no_indig_f,n_the_lf_no_indig_p,n_the_lf_indig_st_nsm,n_the_lf_indig_st_nsf,n_the_lf_indig_st_nsp,n_the_lf_totm,n_the_lf_totf,n_the_lf_totp,lf_st_ns_indig_m,lf_st_ns_indig_f,lf_st_ns_indig_p,lf_st_ns_nonind_m,lf_st_ns_nonind_f,lf_st_ns_nonind_p,lf_st_ns_indig_st_nsm,lf_st_ns_indig_st_nsf,lf_st_ns_indig_st_nsp,lf_st_ns_totm,lf_st_ns_totf,lf_st_ns_totp,pcent_unemploy_indig_m,pcent_unemploy_indig_f,pcent_unemploy_indig_p,pcent_unemploy_nonind_m,pcent_unemploy_nonind_f,pcent_unemploy_nonind_p,pcent_unem_indst_nsm,pcent_unemp_indst_nsf,pcent_unemp_indst_nsp,pcent_unemploy_totm,pcent_unemploy_totf,pcent_unemploy_totp,pcent_lf_part_indig_m,pcent_lf_part_indig_f,pcent_lf_part_indig_p,pcent_lf_part_no_indig_m,pcent_lf_part_no_indig_f,pcent_lf_part_no_indig_p,pcent_lf_part_indst_nsm,pcent_lf_part_indst_nsf,pcent_lf_part_indst_nsp,pcent_lf_part_totm,pcent_lf_part_totf,pcent_lf_part_totp,pcent_emp_to_pop_ind_m,pcent_emp_to_pop_ind_f,pcent_emp_to_pop_ind_p,pcent_emp_t_pop_nonind_m,pcent_emp_t_pop_nonind_f,pcent_emp_t_pop_nonind_p,pcent_emp_t_pop_indst_nsm,pcent_emp_t_pop_indst_nsf,pcent_emp_t_pop_indst_nsp,pcent_emp_to_pop_totm,pcent_emp_to_pop_totf,pcent_emp_to_pop_totp,indsec_gov_ind_m,indsec_gov_ind_f,indsec_gov_ind_p,indsec_gov_no_ind_m,indsec_gov_no_ind_f,indsec_gov_no_ind_p,indsec_gov_indst_nsm,indsec_gov_indst_nsf,indsec_gov_indst_nsp,indsec_gov_totm,indsec_gov_totf,indsec_gov_totp,indsec_priv_ind_m,indsec_priv_ind_f,indsec_priv_ind_p,indsec_priv_nonind_m,indsec_priv_nonind_f,indsec_priv_nonind_p,indsec_priv_indst_nsm,indsec_priv_indst_nsf,indsec_priv_indst_nsp,indsec_priv_totm,indsec_priv_totf,indsec_priv_totp,self_employed_ind_m,self_employed_ind_f,self_employed_ind_p,self_employed_nonind_m,self_employed_nonind_f,self_employed_nonind_p,self_employed_ind_status_nsm,self_employed_ind_status_nsf,self_employed_ind_status_nsp,self_employed_totm,self_employed_totf,self_employed_totp,nsq_pgdl_ind_m,nsq_pgdl_ind_f,nsq_pgdl_ind_p,nsq_pgdl_no_ind_m,nsq_pgdl_no_ind_f,nsq_pgdl_no_ind_p,nsq_pgdl_indst_nsm,nsq_pgdl_indst_nsf,nsq_pgdl_indst_nsp,nsq_pgdl_totm,nsq_pgdl_totf,nsq_pgdl_totp,nsq_gd_gcl_ind_m,nsq_gd_gcl_ind_f,nsq_gd_gcl_ind_p,nsq_gd_gcl_no_in_m,nsq_gd_gcl_no_in_f,nsq_gd_gcl_no_in_p,nsq_gd_gcl_in_st_nsm,nsq_gd_gcl_in_st_nsf,nsq_gd_gcl_in_st_nsp,nsq_gd_gcl_totm,nsq_gd_gcl_totf,nsq_gd_gcl_totp,nsq_bdl_ind_m,nsq_bdl_ind_f,nsq_bdl_ind_p,nsq_bdl_no_ind_m,nsq_bdl_no_ind_f,nsq_bdl_no_ind_p,nsq_bdl_indst_nsm,nsq_bdl_indst_nsf,nsq_bdl_indst_nsp,nsq_bdl_totm,nsq_bdl_totf,nsq_bdl_totp,nsq_ad_dl_ind_m,nsq_ad_dl_ind_f,nsq_ad_dl_ind_p,nsq_ad_dl_no_in_m,nsq_ad_dl_no_in_f,nsq_ad_dl_no_in_p,nsq_ad_dl_in_st_nsm,nsq_ad_dl_in_st_nsf,nsq_ad_dl_in_st_nsp,nsq_ad_dl_totm,nsq_ad_dl_totf,nsq_ad_dl_totp,nsq_crt_ii_ind_m,nsq_crt_ii_ind_f,nsq_crt_ii_ind_p,nsq_cer_ii_no_ind_m,nsq_cer_ii_no_ind_f,nsq_cer_ii_no_ind_p,nsq_ce_ii_indst_nsm,nsq_ce_ii_indst_nsf,gcc_name16
1RNSW,45797,48239,94041,933714,984194,1917904,73116,73213,146329,1052624,1105649,2158275,20627,19951,40579,547077,508491,1055570,4319,3693,8013,572026,532137,1104163,4692,3749,8446,38032,31149,69186,448,334,783,43178,35237,78414,25325,23699,49027,585116,539644,1124754,4768,4032,8801,615204,567378,1182580,19203,23300,42510,335223,428301,763528,4840,6341,11187,359273,457951,817222,1271,1238,2505,13378,16242,29623,63501,62837,126344,78155,80323,158473,18.5,15.8,17.2,6.5,5.8,6.2,9.4,8.3,8.9,7.0,6.2,6.6,55.3,49.1,52.1,62.7,54.8,58.6,6.5,5.5,6.0,58.4,51.3,54.8,45.0,41.4,43.1,58.6,51.7,55.0,5.9,5.0,5.5,54.3,48.1,51.2,3155,4609,7769,72078,100446,172521,425,520,948,75659,105576,181229,16961,14945,31907,468355,402783,871137,3647,2955,6603,488955,420689,909650,939,482,1424,47051,27986,75035,364,229,597,48355,28703,77057,261,410,667,26982,28124,55104,108,131,232,27345,28666,56011,160,408,569,11047,21286,32334,66,124,190,11275,21821,33097,1164,2658,3821,86013,131815,217832,430,750,1182,87606,135225,222826,1686,3681,5364,66147,103833,169979,418,696,1115,68256,108207,176459,724,1340,2065,8597,17855,26450,81,162,Rest of NSW
1GSYD,22734,24378,47114,1781546,1875233,3656781,110035,109769,219804,1914314,2009383,3923700,12561,12064,24624,1187196,1051314,2238508,5176,4411,9578,1204929,1067789,2272718,1779,1517,3296,73317,68778,142092,444,355,799,75539,70645,146187,14341,13585,27925,1260514,1120087,2380596,5616,4763,10382,1280466,1138432,2418899,7933,10285,18221,503086,734320,1237406,4682,6468,11154,515700,751080,1266780,459,506,972,17951,20824,38775,99735,98536,198276,118150,119868,238019,12.4,11.2,11.8,5.8,6.1,6.0,7.9,7.5,7.7,5.9,6.2,6.0,63.1,55.7,59.3,70.8,59.7,65.1,5.1,4.3,4.7,66.9,56.7,61.6,55.3,49.5,52.3,66.6,56.1,61.2,4.7,4.0,4.4,62.9,53.1,57.9,2020,2872,4890,123573,169782,293355,436,568,1005,126032,173224,299248,10221,8992,19207,1045472,868399,1913867,4336,3601,7938,1060026,880989,1941017,547,294,844,76073,47015,123083,308,159,465,76924,47469,124396,354,462,821,145851,140658,286509,353,415,773,146564,141535,288103,142,302,446,26794,42657,69450,84,143,225,27022,43101,70126,1135,2038,3173,342613,404693,747309,1020,1282,2296,344760,408013,752774,1226,2304,3525,154599,206198,360796,658,1010,1665,156477,209509,365989,268,570,838,10623,20146,30771,58,105,Greater Sydney
2RVIC,7216,7731,14944,522052,552743,1074796,41100,42504,83604,570369,602974,1173346,3235,3100,6328,316120,291470,607588,2554,2109,4667,321909,296681,618583,688,595,1285,20529,16972,37500,272,170,439,21485,17739,39226,3920,3695,7618,336648,308439,645084,2820,2279,5106,343395,314414,657811,3087,3823,6907,178596,236466,415060,2875,3846,6727,184566,244136,428695,213,210,424,6805,7840,14647,35400,36367,71769,42416,44427,86838,17.6,16.1,16.9,6.1,5.5,5.8,9.6,7.5,8.6,6.3,5.6,6.0,54.3,47.8,51.0,64.5,55.8,60.0,6.9,5.4,6.1,60.2,52.1,56.1,44.8,40.1,42.3,60.6,52.7,56.5,6.2,5.0,5.6,56.4,49.2,52.7,447,689,1142,35060,62224,97284,180,362,548,35688,63283,98971,2687,2343,5028,276857,225953,502814,2208,1644,3845,281747,229940,511682,164,85,252,27761,14937,42698,221,98,322,28143,15128,43267,58,79,140,11764,13733,25498,61,59,117,11878,13870,25751,47,112,161,7794,16492,24282,49,79,128,7883,16687,24568,197,422,623,45040,73551,118589,219,450,669,45455,74426,119877,327,638,966,38416,59484,97898,272,459,731,39014,60587,99599,112,233,344,4257,8579,12837,41,58,Rest of Vic.
2GMEL,8222,8487,16713,1669340,1773237,3442577,101604,104618,206219,1779168,1886350,3665515,4719,4293,9007,1106447,989403,2095850,5782,4851,10631,1116953,998542,2115493,616,586,1200,78017,73372,151387,592,452,1044,79219,74403,153625,5330,4872,10205,1184462,1062773,2247237,6379,5302,11675,1196169,1072952,2269119,2691,3424,6120,468541,691661,1160204,5356,7459,12817,476594,702548,1179140,195,192,384,16338,18802,35134,89866,91858,181727,106398,110852,217251,11.6,12.0,11.8,6.6,6.9,6.7,9.3,8.5,8.9,6.6,6.9,6.8,64.9,57.4,61.1,71.0,59.9,65.3,6.3,5.1,5.7,67.2,56.9,61.9,57.4,50.6,53.9,66.3,55.8,60.9,5.7,4.6,5.2,62.8,52.9,57.7,616,995,1608,104815,167098,271917,352,590,942,105780,168681,274470,3974,3219,7191,985998,810749,1796749,4989,3973,8964,994962,817941,1812901,278,135,408,70565,44178,114746,352,170,523,71187,44487,115670,153,233,385,116721,116258,232979,323,360,685,117203,116849,234048,91,169,262,33430,60573,94000,105,199,307,33627,60941,94567,540,819,1360,305405,368403,673808,1025,1400,2421,306975,370617,677594,561,905,1463,150933,192848,343781,732,1039,1772,152216,194798,347014,95,161,259,9538,16432,25971,78,102,Greater Melbourne
3GBRI,17223,18136,35361,820795,868038,1688828,51368,50839,102208,889380,937019,1826402,8953,8493,17444,546430,504972,1051397,2647,2292,4937,558022,515756,1073778,1857,1648,3505,43025,38579,81606,295,236,532,45182,40460,85640,10808,10136,20947,589452,543548,1133000,2945,2532,5473,603202,556220,1159423,6086,7702,13786,223073,314143,537213,2336,3065,5404,231493,324913,556409,327,296,627,8266,10345,18611,46088,45241,91327,54687,55886,110566,17.2,16.3,16.7,7.3,7.1,7.2,10.0,9.3,9.7,7.5,7.3,7.4,62.8,55.9,59.2,71.8,62.6,67.1,5.7,5.0,5.4,67.8,59.4,63.5,52.0,46.8,49.3,66.6,58.2,62.3,5.2,4.5,4.8,62.7,55.0,58.8,1283,1927,3215,72936,103775,176711,261,331,595,74484,106035,180519,7440,6439,13877,467101,396429,863536,2205,1834,4043,476753,404706,881456,367,215,576,32317,21805,54125,162,99,258,32843,22119,54959,175,242,418,45453,43768,89217,108,118,226,45729,44127,89862,106,254,354,13952,24429,38383,53,83,130,14109,24761,38864,734,1328,2067,124184,162343,286529,394,562,957,125320,164230,289552,914,1746,2655,70016,93735,163754,319,422,743,71243,95905,167153,310,455,767,6736,10957,17695,41,67,Greater Brisbane
3RQLD,40775,43556,84325,838353,879167,1717520,78276,72134,150415,957411,994854,1952257,17967,17119,35085,528690,489056,1017745,3526,3169,6693,550177,509346,1059525,5309,4352,9655,42661,35974,78635,432,312,742,48396,40632,89036,23272,21466,44741,571350,525031,1096377,3955,3480,7437,598581,549977,1148556,16218,20858,37070,256829,342802,599626,3355,4377,7729,276401,368032,644430,1284,1230,2514,10183,11335,21514,70967,64278,135244,82430,76846,159270,22.8,20.3,21.6,7.5,6.9,7.2,10.9,9.0,10.0,8.1,7.4,7.8,57.1,49.3,53.1,68.2,59.7,63.8,5.1,4.8,4.9,62.5,55.3,58.8,44.1,39.3,41.6,63.1,55.6,59.3,4.5,4.4,4.4,57.5,51.2,54.3,3167,4197,7358,59022,89302,148316,290,436,724,62470,93930,156401,14376,12594,26970,463481,394743,858222,3018,2550,5571,480867,409890,890761,640,312,951,40938,26465,67405,251,171,420,41826,26949,68774,168,272,442,20890,22603,43491,82,101,184,21134,22978,44113,150,410,563,9003,18095,27094,35,67,103,9185,18572,27763,788,1846,2639,75490,122680,198166,326,600,926,76604,125118,201725,1348,3131,4474,62532,94705,157234,355,616,966,64227,98453,162678,836,1290,2127,7503,13320,20823,51,79,Rest of Qld
4RSAU,5141,5242,10381,140280,140088,280364,10532,9957,20482,155949,155286,311230,1759,1720,3480,81814,71542,153360,830,641,1473,84403,73903,158308,609,398,1006,5806,4202,10013,80,40,119,6488,4646,11133,2368,2122,4485,87616,75753,163367,907,683,1592,90894,78550,169447,2413,2783,5192,50806,62353,113157,803,1050,1852,54020,66177,120195,356,349,705,1859,1986,3844,8822,8228,17048,11031,10558,21588,25.7,18.8,22.4,6.6,5.5,6.1,8.8,5.9,7.5,7.1,5.9,6.6,46.1,40.4,43.2,62.5,54.1,58.3,8.6,6.9,7.8,58.3,50.6,54.4,34.2,32.7,33.5,58.3,51.1,54.7,7.9,6.4,7.2,54.1,47.6,50.9,212,382,596,6233,10765,17002,43,73,116,6486,11221,17709,1483,1295,2780,74712,60066,134781,744,535,1279,76939,61898,138839,63,33,92,8012,4037,12044,95,30,123,8162,4102,12262,7,15,24,1516,1833,3351,8,16,23,1528,1866,3392,13,34,41,1054,2362,3415,6,18,28,1080,2411,3484,45,148,190,7672,14160,21831,58,105,164,7772,14413,22186,131,283,411,7713,12883,20599,65,116,179,7913,13277,21190,98,138,237,1661,2905,4571,6,24,Rest of SA
4GADE,5774,6382,12156,486771,519529,1006292,25452,25864,51316,517997,551769,1069769,2560,2633,5197,298421,280368,578788,1662,1414,3067,302646,284414,587060,630,503,1132,26617,20935,47559,221,139,363,27472,21578,49051,3193,3139,6326,325040,301302,626346,1883,1553,3436,330113,305996,636107,2437,3112,5546,157498,213267,370761,1821,2616,4442,161755,218993,380752,144,131,274,4231,4958,9184,21751,21696,43444,26121,26782,52911,19.7,16.0,17.9,8.2,6.9,7.6,11.7,9.0,10.6,8.3,7.1,7.7,55.3,49.2,52.1,66.8,58.0,62.2,7.4,6.0,6.7,63.7,55.5,59.5,44.3,41.3,42.8,61.3,54.0,57.5,6.5,5.5,6.0,58.4,51.5,54.9,470,744,1211,38890,54272,93156,154,178,333,39507,55192,94706,2042,1843,3885,256751,223917,480660,1404,1155,2556,260193,226914,487108,109,47,157,23348,12415,35765,114,70,187,23575,12528,36103,51,88,141,23892,23377,47269,65,77,137,24007,23540,47543,42,72,117,7815,13606,21420,32,49,84,7889,13726,21617,255,435,690,67570,89077,156642,293,352,653,68116,89866,157982,263,479,743,40522,52037,92554,179,281,464,40965,52798,93765,141,209,344,4931,7457,12383,32,41,Greater Adelaide
5GPER,10295,10264,20554,714210,744818,1459029,48888,45061,93951,773386,800146,1573536,4422,4117,8532,480779,426892,907670,2200,1796,3992,487403,432800,920196,1225,937,2164,43058,35759,78821,294,206,505,44578,36904,81482,5642,5052,10695,523842,462645,986489,2493,2001,4496,531981,469701,1001684,4347,4911,9258,182744,272872,455616,1807,2607,4415,188907,280385,469289,303,299,602,7620,9305,16921,44585,40456,85037,52505,50057,102559,21.7,18.5,20.2,8.2,7.7,8.0,11.8,10.3,11.2,8.4,7.9,8.1,54.8,49.2,52.0,73.3,62.1,67.6,5.1,4.4,4.8,68.8,58.7,63.7,43.0,40.1,41.5,67.3,57.3,62.2,4.5,4.0,4.2,63.0,54.1,58.5,526,1093,1618,51464,81618,133082,160,242,400,52148,82953,135099,3796,2946,6740,424365,341518,765882,1919,1473,3394,430076,345937,776012,169,97,270,33274,19519,52795,139,84,228,33588,19701,53292,75,117,189,36785,33341,70128,84,72,159,36944,33532,70476,64,121,182,11705,20937,32638,41,57,104,11808,21116,32920,351,681,1030,112135,143466,255604,371,450,825,112861,144603,257460,355,705,1056,64291,80794,145090,266,329,595,64914,81829,146738,178,381,563,5688,9756,15448,26,58,Greater Perth
5RWAU,14479,15041,29521,179532,169017,348547,22545,17587,40132,216557,201648,418207,5209,4566,9769,124513,99312,223827,1033,798,1833,130758,104674,235431,1754,1291,3043,7331,5507,12847,87,59,152,9173,6860,16033,6959,5853,12811,131848,104821,236673,1120,856,1977,139933,111532,251465,6674,8310,14981,45545,62169,107715,682,919,1599,52901,71392,124292,848,886,1733,2132,2024,4157,20739,15815,36551,23725,18727,42445,25.2,22.1,23.8,5.6,5.3,5.4,7.8,6.9,7.7,6.6,6.2,6.4,48.1,38.9,43.4,73.4,62.0,67.9,5.0,4.9,4.9,64.6,55.3,60.1,36.0,30.3,33.1,69.4,58.8,64.2,4.6,4.5,4.6,60.4,51.9,56.3,580,1078,1658,10610,19854,30467,58,126,185,11256,21058,32308,4478,3367,7842,112739,78551,191288,930,623,1549,118147,82541,200689,102,63,167,9056,5191,14249,75,40,113,9236,5294,14532,26,40,69,2960,3005,5964,9,12,22,2997,3063,6061,24,70,93,1678,3800,5479,7,28,33,1703,3901,5607,150,429,581,13683,22551,36230,73,120,196,13903,23106,37007,254,564,821,11980,17506,29485,96,127,223,12331,18198,30524,280,512,793,1853,3620,5471,12,12,Rest of WA
