gccsa_code16,nsq_ce_ii_indst_nsp,nsq_crt_ii_totm,nsq_crt_ii_totf,nsq_crt_ii_totp,nsq_crt_iii_ovr_ind_m,nsq_crt_iii_ovr_ind_f,nsq_crt_iii_ovr_ind_p,nsq_cer_iii_ov_no_in_m,nsq_cer_iii_ov_no_in_f,nsq_cer_iii_ov_no_in_p,nsq_ce_iii_ov_ind_s_nsm,nsq_ce_iii_ov_ind_s_nsf,nsq_ce_iii_ov_ind_s_nsp,nsq_crt_iii_ovr_totm,nsq_crt_iii_ovr_totf,nsq_crt_iii_ovr_totp,mig_sme_add_1_yr_ago_indig_m,mig_sme_add_1_yr_ago_indig_f,mig_sme_add_1_yr_ago_indig_p,mig_sme_add_1_yr_ago_no_ind_m,mig_sme_add_1_yr_ago_no_ind_f,mig_sme_add_1_yr_ago_no_ind_p,mig_sa_ad_1_yr_ag_indst_nsm,mig_sa_ad_1_yr_ag_indst_nsf,mig_sa_ad_1_yr_ag_indst_nsp,mig_sme_add_1_yr_ago_totm,mig_sme_add_1_yr_ago_totf,mig_sme_add_1_yr_ago_totp,mig_diff_add_1_yr_ago_indig_m,mig_diff_add_1_yr_ago_indig_f,mig_diff_add_1_yr_ago_indig_p,mig_diff_ad_1_yr_ago_no_ind_m,mig_diff_ad_1_yr_ago_no_ind_f,mig_diff_ad_1_yr_ago_no_ind_p,mig_dif_ad_1_yr_ag_in_st_nsm,mig_dif_ad_1_yr_ag_in_st_nsf,mig_dif_ad_1_yr_ag_in_st_nsp,mig_diff_add_1_yr_ago_totm,mig_diff_add_1_yr_ago_totf,mig_diff_add_1_yr_ago_totp,mig_sme_add_5_ago_indig_m,mig_sme_add_5_ago_indig_f,mig_sme_add_5_ago_indig_p,mig_sme_ad_5_ago_no_ind_m,mig_sme_ad_5_ago_no_ind_f,mig_sme_ad_5_ago_no_ind_p,mig_sa_ad_5_ag_in_st_nsm,mig_sa_ad_5_ag_in_st_nsf,mig_sa_ad_5_ag_in_st_nsp,mig_sme_add_5_ago_totm,mig_sme_add_5_ago_totf,mig_sme_add_5_ago_totp,mig_diff_add_5_ago_ind_m,mig_diff_add_5_ago_ind_f,mig_diff_add_5_ago_ind_p,mig_diff_ad_5_ag_no_ind_m,mig_diff_ad_5_ag_no_ind_f,mig_diff_ad_5_ag_no_ind_p,mi_dif_ad_5_ag_in_st_nsm,mi_dif_ad_5_ag_in_st_nsf,mi_dif_ad_5_ag_in_st_nsp,mig_diff_add_5_ago_totm,mig_diff_add_5_ago_totf,mig_diff_add_5_ago_totp,gcc_name16
9OTER,0,25,29,55,11,6,19,436,134,571,5,5,7,453,147,600,82,87,172,1488,1463,2943,28,26,56,1597,1575,3171,7,9,20,288,238,526,0,4,4,294,258,550,73,76,155,1108,1094,2203,22,30,49,1211,1194,2402,14,17,25,559,523,1079,5,3,11,572,537,1109,Other Territories
8ACTE,17,1067,1611,2674,390,347,731,22165,12108,34275,110,56,171,22667,12507,35174,2318,2377,4695,141366,146832,288199,775,822,1593,144451,150035,294482,647,665,1308,32126,33131,65258,128,153,286,32909,33952,66855,1304,1390,2694,86493,91567,178066,527,563,1085,88330,93519,181846,1393,1395,2794,80165,82145,162311,290,343,631,81850,83884,165732,Australian Capital Territory
7RNTE,6,388,552,941,1080,787,1868,4504,1790,6294,69,30,99,5650,2606,8255,18643,19622,38271,13440,12349,25788,236,226,463,32322,32204,64521,1791,1865,3654,4186,4255,8445,68,85,153,6041,6201,12247,15684,16675,32360,7215,6351,13567,153,154,304,23047,23183,46231,2936,3146,6085,9506,9393,18903,124,128,255,12570,12672,25239,Rest of NT
7GDAR,10,509,709,1217,766,567,1337,14028,5464,19484,139,44,176,14931,6073,21000,3896,4011,7901,40727,37366,78091,483,442,930,45097,41819,86924,1196,1250,2442,13709,12976,26692,116,113,236,15030,14342,29369,2309,2450,4754,22087,20332,42420,333,280,616,24727,23064,47789,2279,2359,4630,29821,27476,57296,214,211,428,32313,30043,62358,Greater Darwin
6RTAS,37,1217,2531,3741,1180,847,2021,28670,13263,41929,288,102,389,30135,14210,44347,5756,5961,11721,103060,106128,209192,1390,1424,2813,110212,113512,223728,1143,1292,2433,15876,17130,33012,165,186,356,17187,18609,35794,3699,3719,7423,74206,75033,149237,1038,1065,2108,78939,79822,158765,2576,2910,5485,40506,43906,84410,397,427,823,43474,47241,90715,Rest of Tas.
6GHOB,16,819,1562,2383,640,497,1139,18884,9524,28412,169,65,234,19694,10089,29781,3214,3311,6522,78979,84281,163265,834,915,1749,83025,88501,171526,701,726,1430,13817,14972,28795,124,116,240,14643,15818,30462,1999,2032,4029,54551,58053,112602,618,692,1309,57166,60773,117941,1565,1694,3252,35005,38183,73184,272,284,554,36844,40154,76996,Greater Hobart
5RWAU,22,2141,4146,6287,2211,1401,3612,57723,22630,80358,497,227,721,60436,24259,84691,15637,16347,31986,175406,165639,341045,1945,1977,3923,192985,183971,376950,4236,4507,8738,37396,35907,73300,393,352,741,42019,40768,82787,9836,10434,20268,109275,102149,211423,1282,1273,2553,120394,113848,234247,7884,8399,16286,93249,89969,183216,819,813,1628,101951,99182,201131,Rest of WA
5GPER,82,5900,10197,16094,1915,1350,3268,174431,77243,251674,1058,412,1466,177409,78999,256410,10227,10808,21036,700780,719959,1420741,4586,4857,9443,715593,735620,1451214,3215,3503,6718,147431,151825,299254,831,790,1620,151480,156111,307594,5744,6153,11898,434538,449127,883670,3174,3326,6495,443462,458608,902063,6308,6871,13180,379275,389772,769049,1837,1898,3733,387426,398538,785966,Greater Perth
4RSAU,33,1773,3071,4838,800,668,1464,39112,18607,57714,396,159,557,40298,19435,59736,5533,5625,11158,141787,140293,282077,1868,1823,3689,149177,147741,296920,1232,1429,2654,20444,21254,41701,273,252,531,21944,22938,44879,3651,3706,7364,102171,99532,201704,1426,1340,2761,107249,104582,211829,2343,2672,5012,53380,55611,108986,527,556,1089,56246,58839,115090,Rest of SA
4GADE,74,5105,7702,12807,1127,1100,2232,111357,56776,168135,783,356,1140,113267,58233,171499,6431,6716,13149,485626,509088,994712,3901,4255,8158,495955,520058,1016016,1745,1976,3721,82957,87173,170123,575,582,1159,85275,89735,175004,3787,3822,7611,334700,350039,684738,2833,3067,5897,341319,356926,698246,3499,4132,7636,212915,226354,439266,1302,1357,2658,217712,231847,449563,Greater Adelaide
