gccsa_code16,f_is_ns_25_34_pd_gd_gcl,f_is_ns_25_34_bdl,f_is_ns_25_34_adip_dipl,f_is_ns_25_34_crt_iii_an_iv_l,f_is_ns_25_34_ct_i_ii,f_is_ns_25_34_cl_nfd,f_is_ns_25_34_loe_ns,f_is_ns_25_34_tot,f_is_ns_35_44_pd_gd_gcl,f_is_ns_35_44_bdl,f_is_ns_35_44_adip_dipl,f_is_ns_35_44_crt_iii_an_iv_l,f_is_ns_35_44_ct_i_ii,f_is_ns_35_44_cl_nfd,f_is_ns_35_44_loe_ns,f_is_ns_35_44_tot,f_is_ns_45_54_pd_gd_gcl,f_is_ns_45_54_bdl,f_is_ns_45_54_adip_dipl,f_is_ns_45_54_crt_iii_an_iv_l,f_is_ns_45_54_ct_i_ii,f_is_ns_45_54_cl_nfd,f_is_ns_45_54_lev_of_ed_ns,f_is_ns_45_54_tot,f_is_ns_55_64_pgde_gddp_gdc,f_is_ns_55_64_bacheldegre_l,f_is_ns_55_64_adip_dipl,f_is_ns_55_64_crt_iii_and_iv,f_is_ns_55_64_crt_i_and_ii,f_is_ns_55_64_certi_level_nfd,f_is_ns_55_64_lev_of_ed_ns,f_is_ns_55_64_tot,f_is_ns_65ov_ptgde_gddp_gdct,f_is_ns_65ov_bdl,f_is_ns_65ov_addip_and_dipl,f_is_ns_65ov_ct_iii_iv,f_is_ns_65ov_ct_i_ii,f_is_ns_65ov_cl_nfd,f_is_ns_65ov_lev_of_ed_ns,f_is_ns_65ov_tot,f_is_ns_tot_pgde_gddp_gdctl,f_is_ns_tot_bdl,f_is_ns_tot_adip_dipl,f_is_ns_tot_ct_iii_and_iv_l,f_is_ns_tot_ct_i_and_ii_l,f_is_ns_tot_cl_nfd,f_is_ns_tot_lev_of_ed_ns,f_is_ns_tot_tot,f_t_15_19_pd_gd_gcl,f_t_15_19_bdl,f_t_15_19_adip_dipl,f_t_15_19_ct_iii_iv,f_t_15_19_ct_i_ii,f_t_15_19_cl_nfd,f_t_15_19_loe_ns,f_t_15_19_tot,f_t_20_24_pd_gd_gcl,f_t_20_24_bdl,f_t_20_24_adip_dipl,f_t_20_24_ct_iii_iv,f_t_20_24_ct_i_ii,f_t_20_24_cl_nfd,f_t_20_24_loe_ns,f_t_20_24_tot,f_t_25_34_pd_gd_gcl,f_t_25_34_bdl,f_t_25_34_adip_dipl,f_t_25_34_ct_iii_iv,f_t_25_34_ct_i_ii,f_t_25_34_cl_nfd,f_t_25_34_loe_ns,f_t_25_34_tot,f_t_35_44_pd_gd_gcl,f_t_35_44_bdl,f_t_35_44_adip_dipl,f_t_35_44_ct_iii_iv,f_t_35_44_ct_i_ii,f_t_35_44_cl_nfd,f_t_35_44_loe_ns,f_t_35_44_tot,f_t_45_54_pd_gd_gcl,f_t_45_54_bdl,f_t_45_54_adip_dipl,f_t_45_54_ct_iii_iv,f_t_45_54_ct_i_ii,f_t_45_54_cl_nfd,f_t_45_54_loe_ns,f_t_45_54_tot,f_t_55_64_pd_gd_gcl,f_t_55_64_bdl,f_t_55_64_adip_dipl,f_t_55_64_ct_iii_iv,f_t_55_64_ct_i_ii,f_t_55_64_cl_nfd,f_t_55_64_loe_ns,f_t_55_64_tot,f_t_65ov_ptgdde_gddp_gdct,f_t_65ov_bdl,f_t_65ov_adip_dipl,f_t_65ov_ct_iii_iv,f_t_65ov_ct_i_ii,f_t_65ov_cl_nfd,f_t_65ov_loe_ns,f_t_65ov_tot,f_t_tot_pd_gd_gcl,f_t_tot_bdl,f_t_tot_adip_dipl,f_t_tot_ct_iii_iv,f_t_tot_ct_i_ii,f_t_tot_cl_nfd,f_t_tot_loe_ns,f_t_tot_tot,p_ind_15_19_pd_gd_gcl,p_ind_15_19_bdl,p_ind_15_19_adip_dipl,p_ind_15_19_ct_iii_iv,p_ind_15_19_ct_i_ii,p_ind_15_19_cl_nfd,p_ind_15_19_loe_ns,p_ind_15_19_tot,p_ind_20_24_pd_gd_gcl,p_ind_20_24_bdl,p_ind_20_24_adip_dipl,p_ind_20_24_ct_iii_iv,p_ind_20_24_ct_i_ii,p_ind_20_24_cl_nfd,p_ind_20_24_loe_ns,p_ind_20_24_tot,p_ind_25_34_pd_gd_gcl,p_ind_25_34_bdl,p_ind_25_34_adip_dipl,p_ind_25_34_ct_iii_iv,p_ind_25_34_ct_i_ii,p_ind_25_34_cl_nfd,p_ind_25_34_loe_ns,p_ind_25_34_tot,p_ind_35_44_pd_gd_gcl,p_ind_35_44_bdl,p_ind_35_44_adip_dipl,p_ind_35_44_ct_iii_iv,p_ind_35_44_ct_i_ii,p_ind_35_44_cl_nfd,p_ind_35_44_loe_ns,p_ind_35_44_tot,p_ind_45_54_pd_gd_gcl,p_ind_45_54_bdl,p_ind_45_54_adip_dipl,p_ind_45_54_ct_iii_iv,p_ind_45_54_ct_i_ii,p_ind_45_54_cl_nfd,p_ind_45_54_loe_ns,p_ind_45_54_tot,p_ind_55_64_pd_gd_gcl,p_ind_55_64_bdl,p_ind_55_64_adip_dipl,p_ind_55_64_ct_iii_iv,p_ind_55_64_ct_i_ii,p_ind_55_64_cl_nfd,p_ind_55_64_loe_ns,p_ind_55_64_tot,p_ind_65ov_ptgdde_gddp_gdct,p_ind_65ov_bdl,p_ind_65ov_adip_dipl,p_ind_65ov_ct_iii_iv,p_ind_65ov_ct_i_ii,p_ind_65ov_cl_nfd,p_ind_65ov_loe_ns,p_ind_65ov_tot,p_ind_tot_pd_gd_gcl,p_ind_tot_bdl,p_ind_tot_adip_dipl,p_ind_tot_ct_iii_iv,p_ind_tot_ct_i_ii,p_ind_tot_cl_nfd,p_ind_tot_loe_ns,p_ind_tot_tot,p_noni_15_19_ptgdde_gddp_gdct,p_noni_15_19_bdl,p_noni_15_19_adip_dipl,p_noni_15_19_ct_iii_iv,p_noni_15_19_ct_i_ii,p_noni_15_19_cl_nfd,p_noni_15_19_loe_ns,p_noni_15_19_tot,p_noni_20_24_ptgdde_gddp_gdct,p_noni_20_24_bdl,p_noni_20_24_adip_dipl,p_noni_20_24_ct_iii_iv,p_noni_20_24_ct_i_ii,p_noni_20_24_cl_nfd,p_noni_20_24_loe_ns,p_noni_20_24_tot,p_noni_25_34_ptgdde_gddp_gdct,p_noni_25_34_bdl,p_noni_25_34_adip_dipl,p_noni_25_34_ct_iii_iv,p_noni_25_34_ct_i_ii,p_noni_25_34_cl_nfd,p_noni_25_34_loe_ns,p_noni_25_34_tot,gcc_name16
1RNSW,34,138,80,196,31,22,8311,8817,59,185,146,219,32,41,8194,8870,53,139,153,202,36,55,9905,10551,55,113,129,158,20,64,10724,11256,47,142,154,143,22,77,19290,19875,258,750,696,1021,171,269,64564,67734,32,34,647,3699,1445,604,8236,14703,670,7351,4988,14565,2530,1642,6273,38021,9411,32392,16604,30255,3559,3131,12368,107724,11444,32328,19993,27580,3600,4573,12935,112456,10882,23768,23097,28586,3880,7157,17223,114608,11299,21517,22589,20683,3505,8118,21545,109257,6746,17820,20289,11040,2473,9216,57105,124682,50486,135225,108207,136401,20984,34438,135688,621443,0,3,67,711,270,133,1581,2768,30,271,373,2669,531,270,1123,5265,218,1012,1189,4627,538,396,2048,10033,262,905,1280,3534,370,411,1501,8260,323,803,1319,2998,315,371,1383,7514,291,561,849,1865,160,246,1136,5113,119,257,296,761,51,133,1273,2882,1239,3821,5364,17162,2228,1965,10043,41835,46,70,778,6162,2106,808,7241,17210,869,11092,6756,30593,3745,2235,4276,59568,14411,49136,24510,73722,5107,4671,8829,180388,Rest of NSW
1GSYD,142,322,176,148,13,40,22794,23629,129,248,180,157,18,30,16714,17467,102,213,168,186,30,80,14079,14858,82,169,142,122,20,64,12227,12824,84,198,246,146,22,105,19893,20693,559,1282,1010,858,119,341,100249,104423,111,314,1670,3921,1373,728,9843,17958,4503,37725,14335,15664,2205,2311,13534,90268,59351,132132,43232,36224,3825,5194,33729,313686,50919,100456,46285,32239,4823,8426,27088,270237,33183,65051,43617,30104,4823,11326,26394,214499,22879,41899,31778,19537,3793,10701,26290,156878,13688,30437,28593,12609,2625,12245,60153,160351,184634,408013,209509,150288,23465,50922,197039,1223874,4,3,53,371,128,50,477,1078,41,374,353,1359,211,150,499,2987,287,966,898,2338,222,205,855,5761,314,745,840,1710,142,201,689,4644,297,553,788,1439,115,213,558,3953,206,365,425,785,53,131,456,2410,113,168,177,376,21,73,472,1408,1265,3173,3525,8368,894,1016,4001,22244,148,553,2484,7397,2004,1153,8540,22278,6642,64072,24235,36271,3614,3802,9440,148069,103158,233353,77866,94972,6242,9418,23220,548233,Greater Sydney
2RVIC,23,79,67,96,11,11,4706,4996,29,96,66,83,8,26,4718,5035,34,67,86,89,10,18,5705,6014,32,65,71,89,11,21,6302,6593,16,106,138,97,7,33,11390,11784,139,450,459,525,60,133,37428,39201,20,35,265,1835,677,286,4748,7865,643,4322,3132,7733,1168,769,3420,21194,5825,18248,9853,16208,1899,1724,6795,60546,7213,17591,11400,14130,1749,2186,7234,61505,6691,12645,12724,14761,1693,2491,9404,60407,6385,11700,11782,10992,1492,2574,11779,56710,3785,9885,11425,6305,951,2694,30520,65573,30557,74426,60587,71971,9643,12724,73908,333815,0,0,8,107,60,14,244,436,8,42,82,453,91,44,142,856,53,152,209,839,91,69,267,1671,63,160,209,525,58,56,268,1346,71,125,224,475,51,58,273,1274,65,95,169,266,32,51,194,875,27,41,71,117,10,18,244,525,296,623,966,2764,381,318,1636,6981,31,49,389,3824,1097,384,4860,10632,847,6630,4487,18266,1902,1171,2564,35871,8512,27685,15110,42269,2793,2717,5465,104546,Rest of Vic.
2GMEL,132,398,195,167,27,39,20560,21517,139,249,191,140,25,41,14988,15777,100,196,173,172,22,42,13252,13956,79,166,132,135,9,46,11515,12090,74,246,240,188,19,71,19730,20564,559,1400,1039,906,114,271,93792,98077,106,224,1405,3888,1154,588,9747,17114,4542,35842,15303,16009,2162,2105,12507,88477,57679,122232,44323,36714,3478,5102,29922,299447,48301,92027,43075,31303,3712,6586,23632,248640,32649,56986,39045,31011,3602,7855,23246,194393,22059,36094,27371,19692,2694,6521,22936,137369,12459,27213,24265,12515,1899,7436,55624,141415,177787,370617,194798,151130,18699,36199,177626,1126854,0,3,16,139,42,9,157,376,19,154,158,533,65,41,139,1108,146,481,371,1004,70,69,290,2424,184,315,349,631,54,72,238,1840,162,226,303,553,26,61,209,1545,103,123,177,272,16,39,158,890,35,59,85,123,3,21,213,540,646,1360,1463,3260,285,307,1399,8719,136,396,2224,8793,2081,1018,8666,23309,7090,61465,26669,39204,3956,3555,8923,150877,98093,216126,80686,101204,5874,8779,20104,530869,Greater Melbourne
3GBRI,31,120,67,93,5,23,9615,9951,39,137,79,81,12,28,7364,7744,52,92,87,97,7,21,6941,7302,37,67,65,69,14,22,6005,6279,25,93,80,62,9,35,8629,8925,196,562,422,472,73,133,46035,47894,44,98,1434,5275,1726,601,5125,14304,1462,15350,7748,12175,2153,1341,6432,46667,18872,50361,20124,24423,2571,2904,13603,132849,19078,42039,21081,20563,2042,3760,11274,119834,14572,26924,20238,19072,1847,4014,11694,98347,9588,16933,14013,12906,1422,3742,11135,69742,5281,12530,11268,6467,1005,3509,26562,66621,68889,164230,95905,100882,12776,19868,85822,548372,0,7,64,506,189,48,405,1217,29,206,309,1217,227,95,421,2502,156,565,609,1978,192,147,723,4361,180,558,632,1407,126,163,497,3559,224,419,611,1065,61,124,387,2898,131,237,316,547,36,77,263,1614,50,80,111,220,14,33,295,796,772,2067,2655,6932,848,686,2990,16941,57,176,2143,9565,3153,1026,4381,20503,2200,25292,12507,26487,3643,2183,4341,76655,31633,85033,32931,63711,4110,4885,9478,231781,Greater Brisbane
3RQLD,27,130,65,139,15,19,10668,11060,43,138,110,150,15,27,9689,10172,35,98,137,142,20,39,10678,11151,40,78,127,108,8,34,10048,10436,14,117,137,86,9,46,14991,15403,169,600,616,730,84,173,65473,67846,38,94,1125,5602,2153,706,7656,17368,904,8812,5241,13154,2512,1431,7207,39264,8661,33339,17583,27809,3266,3171,14845,108671,10395,31009,20977,25331,2677,4271,14519,109183,9668,22372,22184,24538,2367,4784,16737,102650,7663,16513,17404,17345,2000,4417,17337,82684,4234,12989,13932,8947,1284,4579,38443,84405,41555,125118,98453,122731,16265,23362,116738,544227,3,14,61,849,459,142,1537,3062,37,171,292,2147,526,181,1275,4618,161,593,856,4041,579,341,1838,8413,257,679,1159,3261,412,373,1501,7639,292,629,1159,2483,256,295,1186,6297,183,387,699,1270,147,160,899,3740,71,166,254,462,46,61,812,1864,1001,2639,4474,14507,2423,1551,9038,35642,40,145,1548,9387,3485,1002,5849,21461,1251,13109,7506,28960,3942,2111,3583,60470,13299,50257,25865,73202,4626,4918,7942,180110,Rest of Qld
4RSAU,6,19,13,30,4,4,1012,1085,8,19,13,34,3,3,1023,1112,4,15,30,30,4,4,1378,1467,3,22,25,28,3,7,1561,1645,6,32,30,19,3,0,2541,2635,27,105,116,159,24,27,8500,8962,0,3,52,593,217,96,1204,2165,87,786,440,1825,438,216,788,4574,755,3527,1729,4239,771,471,1655,13142,859,3266,2284,3881,684,751,1755,13473,914,2349,3079,4096,509,776,2411,14132,1016,2364,3133,3084,406,739,2835,13575,642,2120,2568,1724,293,710,7283,15330,4275,14413,13277,19435,3316,3757,17921,76399,0,0,5,62,22,10,225,326,0,10,19,208,54,29,241,558,5,43,56,389,73,49,413,1023,12,38,93,310,55,40,296,841,25,44,116,294,32,48,339,893,12,38,81,140,19,18,191,502,7,16,43,63,11,8,154,300,61,190,411,1464,265,201,1848,4440,0,8,66,1048,381,152,1282,2928,105,1069,564,4215,710,320,649,7625,1050,5014,2472,10680,1189,789,1597,22796,Rest of SA
4GADE,27,77,43,66,6,11,3754,3980,35,75,42,58,12,17,3056,3298,23,56,49,75,5,9,3273,3491,18,40,60,58,5,12,3255,3443,14,80,79,61,5,19,5979,6237,124,352,281,356,43,84,22368,23611,13,46,195,1903,708,279,2581,5722,697,7325,2551,6359,1288,610,2734,21556,9814,26542,9130,14041,2033,1555,5907,69023,9615,21615,10525,11446,1596,2268,5276,62332,7255,14218,11800,11542,1330,2493,6025,54667,6033,11055,10068,7932,1007,2308,6402,44808,3841,9068,8531,5007,656,2684,18116,47900,37263,89866,52798,58233,8608,12202,47031,306005,0,0,7,148,44,17,170,390,7,62,41,394,101,41,140,778,50,189,139,722,99,57,244,1498,57,169,193,412,58,47,207,1140,78,145,191,293,40,40,133,925,49,87,118,190,25,33,105,609,18,37,46,74,11,13,131,328,254,690,743,2232,377,247,1128,5673,13,79,312,3550,1237,434,2527,8142,1038,12052,4271,13723,2303,1021,2086,36495,16445,44290,15938,34836,3350,2575,4630,122068,Greater Adelaide
5GPER,29,91,45,75,14,14,9167,9423,30,96,56,87,5,14,6643,6932,18,77,76,77,6,24,6031,6307,26,57,57,67,13,16,5360,5598,22,93,71,66,7,38,8016,8313,131,450,329,412,69,111,41174,42674,25,78,845,2837,1504,357,4168,9827,1135,12296,5128,9419,1567,1023,5330,35896,15440,46083,16669,20382,2350,2741,13273,116940,15262,35847,17426,16090,1986,3924,10729,101267,11316,23572,17258,14862,1727,4277,10708,83722,7510,14949,13347,9626,1337,3740,10774,61287,3954,11765,11151,5778,1063,4091,26830,64631,54645,144603,81829,78999,11541,20149,81810,473572,0,0,25,185,119,22,308,661,14,97,92,550,159,53,448,1414,54,256,233,1116,162,82,805,2711,94,224,216,596,80,73,598,1882,101,226,261,475,48,67,358,1535,73,159,150,255,21,41,197,896,38,58,67,95,9,14,221,507,372,1030,1056,3268,596,344,2941,9604,32,133,1268,5461,2743,588,3561,13790,1697,20466,8747,22333,2726,1613,3514,61093,25960,77935,29764,57177,3726,4419,8951,207925,Greater Perth
5RWAU,6,39,13,48,3,8,2922,3037,8,25,37,48,0,6,2589,2717,9,24,22,59,0,7,2804,2936,9,10,26,23,4,8,2578,2659,9,15,19,18,3,10,3188,3266,39,120,127,227,16,40,16054,16629,4,14,108,803,625,113,1913,3578,122,1037,720,2442,672,321,1559,6873,1543,6137,3234,6123,1038,737,4208,23009,1827,6102,3674,5244,807,1063,3907,22627,1524,4226,3969,4853,624,1101,4372,20667,1316,3151,3684,3235,481,1076,4425,17364,623,2444,2805,1562,286,812,7771,16307,6961,23106,18198,24259,4530,5229,28145,110433,0,0,8,135,131,25,741,1043,0,18,30,473,186,63,591,1364,19,98,137,1129,275,122,1153,2918,41,129,216,819,156,119,940,2415,56,171,206,634,101,87,694,1938,34,130,160,337,55,57,440,1209,20,36,61,94,7,18,425,666,165,581,821,3612,905,486,4979,11551,3,18,144,1590,958,177,1381,4274,152,1463,1020,6092,945,436,795,10898,2294,9292,4906,17921,1313,1109,2207,39039,Rest of WA
6GHOB,4,16,6,11,0,3,670,718,9,23,11,14,4,3,603,664,7,10,10,11,5,0,666,710,0,8,11,9,0,0,727,759,6,13,21,5,3,13,1263,1317,31,72,54,65,16,18,4552,4815,5,5,25,217,140,44,578,1017,136,972,305,1150,292,123,466,3449,1734,3527,1153,2566,403,281,1006,10671,1729,3349,1535,2028,272,376,984,10280,1590,2556,1793,1940,234,407,1177,9706,1299,2395,1601,1444,187,490,1432,8851,855,1959,1784,742,141,543,3630,9647,7351,14764,8196,10089,1679,2264,9273,53616,0,0,0,39,24,4,69,140,8,28,19,166,31,17,46,311,33,83,74,364,52,29,103,734,27,67,73,214,24,28,63,494,30,54,78,188,16,17,53,440,21,40,38,112,11,16,56,294,6,16,13,59,7,9,48,161,123,287,306,1139,160,123,444,2575,7,7,39,403,205,58,522,1240,176,1535,469,2402,460,184,359,5586,2740,6008,1869,6000,598,421,767,18397,Greater Hobart
6RTAS,3,7,12,21,7,8,819,872,8,15,10,20,9,7,851,908,9,22,15,22,3,11,1059,1130,8,14,17,20,3,10,1242,1310,3,22,20,9,3,4,2037,2098,31,77,78,102,20,35,6826,7175,3,0,25,355,235,87,925,1634,65,630,302,1501,457,199,642,3792,696,2755,1215,3184,611,411,1254,10127,906,2810,1768,2942,439,526,1363,10759,1061,2525,2296,2897,435,689,1843,11745,1062,2484,2234,2224,303,725,2310,11340,706,2007,2352,1113,206,674,5788,12849,4504,13212,10196,14210,2694,3314,14120,62252,0,0,4,54,50,14,119,241,0,17,20,313,90,34,58,535,24,78,89,540,95,49,96,967,13,90,144,424,46,54,95,867,38,87,121,367,50,55,131,847,28,56,97,219,16,41,109,567,15,17,31,104,3,13,143,329,116,347,513,2021,355,253,757,4356,11,3,29,660,338,111,985,2133,83,940,468,3290,671,261,423,6128,1074,4070,1824,7590,826,544,837,16772,Rest of Tas.
7RNTE,0,4,0,10,3,0,728,741,0,3,5,8,0,0,489,512,4,3,5,3,3,0,558,581,0,3,3,0,0,0,454,470,0,3,0,0,0,3,282,288,8,18,24,30,8,3,2917,3008,0,3,3,90,61,21,730,911,19,160,72,271,110,40,728,1397,434,1136,419,701,205,150,1577,4627,421,836,426,529,142,139,1203,3686,394,624,515,542,130,126,1150,3487,319,495,384,355,66,99,814,2535,96,200,155,109,23,48,588,1225,1685,3459,1971,2606,742,617,6792,17874,0,0,0,57,34,20,1138,1251,0,11,13,206,135,48,1023,1439,16,68,67,503,270,160,1690,2773,31,81,115,437,192,145,1283,2281,45,93,161,402,167,123,909,1893,28,73,107,222,78,57,439,996,7,24,38,40,14,15,283,422,131,352,501,1868,883,581,6755,11061,0,3,6,117,76,10,84,292,30,223,112,493,50,33,71,1018,630,1685,702,1509,95,121,246,4990,Rest of NT
7GDAR,0,9,8,11,4,0,1289,1318,0,16,12,7,4,0,895,932,3,3,10,11,0,3,794,831,7,3,9,0,0,0,666,683,3,5,0,0,0,0,442,454,12,45,39,44,12,5,4831,4977,3,0,15,197,112,17,494,832,66,529,277,745,135,84,614,2455,1161,3339,1186,1898,215,224,1724,9753,1147,2340,1190,1396,133,231,1259,7696,843,1394,1111,1066,119,248,1119,5894,640,914,744,571,84,173,965,4092,248,503,377,207,29,120,942,2419,4105,9019,4896,6073,831,1093,7116,33137,0,0,7,42,38,8,148,238,0,21,25,204,48,29,211,540,17,99,72,419,57,44,436,1138,41,76,122,313,42,41,321,954,36,83,132,229,24,26,195,725,25,52,74,97,19,25,116,399,11,11,21,34,4,8,102,190,130,344,448,1337,224,172,1528,4185,3,3,17,347,172,41,282,864,89,862,406,1693,202,111,290,3654,1856,5330,2023,5691,303,344,751,16294,Greater Darwin
