gcc_code16,tot_m,tot_f,tot_p,age_0_4_yr_m,age_0_4_yr_f,age_0_4_yr_p,age_5_14_yr_m,age_5_14_yr_f,age_5_14_yr_p,age_15_19_yr_m,age_15_19_yr_f,age_15_19_yr_p,age_20_24_yr_m,age_20_24_yr_f,age_20_24_yr_p,age_25_34_yr_m,age_25_34_yr_f,age_25_34_yr_p,age_35_44_yr_m,age_35_44_yr_f,age_35_44_yr_p,age_45_54_yr_m,age_45_54_yr_f,age_45_54_yr_p,age_55_64_yr_m,age_55_64_yr_f,age_55_64_yr_p,age_65_74_yr_m,age_65_74_yr_f,age_65_74_yr_p,age_75_84_yr_m,age_75_84_yr_f,age_75_84_yr_p,age_85ov_m,age_85ov_f,age_85ov_p,os_vis_m,os_vis_f,os_vis_p,count_psns_occ_priv_dwgs_m,count_psns_occ_priv_dwgs_f,count_psns_occ_priv_dwgs_p,count_persons_other_dwgs_m,count_persons_other_dwgs_f,count_persons_other_dwgs_p,indig_aboriginal_m,indig_aboriginal_f,indig_aboriginal_p,indig_torres_strait_is_m,indig_torres_strait_is_f,indig_torres_strait_is_p,indig_bth_abor_torres_st_is_m,indig_bth_abor_torres_st_is_f,indig_bth_abor_torres_st_is_p,indig_tot_m,indig_tot_f,indig_tot_p,birthplace_australia_m,birthplace_australia_f,birthplace_australia_p,birthplace_elsewhere_m,birthplace_elsewhere_f,birthplace_elsewhere_p,lang_spoken_home_eng_only_m,lang_spoken_home_eng_only_f,lang_spoken_home_eng_only_p,lang_spoken_home_oth_lang_m,lang_spoken_home_oth_lang_f,lang_spoken_home_oth_lang_p,australian_citizen_m,australian_citizen_f,australian_citizen_p,att_educ_inst_age_0_4_m,att_educ_inst_age_0_4_f,att_educ_inst_age_0_4_p,att_educ_inst_age_5_14_m,att_educ_inst_age_5_14_f,att_educ_inst_age_5_14_p,att_edu_inst_age_15_19_m,att_edu_inst_age_15_19_f,att_edu_inst_age_15_19_p,att_edu_inst_age_20_24_m,att_edu_inst_age_20_24_f,att_edu_inst_age_20_24_p,att_edu_inst_age_25_ov_m,att_edu_inst_age_25_ov_f,att_edu_inst_age_25_ov_p,high_yr_schl_comp_yr_12_eq_m,high_yr_schl_comp_yr_12_eq_f,high_yr_schl_comp_yr_12_eq_p,high_yr_schl_comp_yr_11_eq_m,high_yr_schl_comp_yr_11_eq_f,high_yr_schl_comp_yr_11_eq_p,high_yr_schl_comp_yr_10_eq_m,high_yr_schl_comp_yr_10_eq_f,high_yr_schl_comp_yr_10_eq_p,high_yr_schl_comp_yr_9_eq_m,high_yr_schl_comp_yr_9_eq_f,high_yr_schl_comp_yr_9_eq_p,high_yr_schl_comp_yr_8_belw_m,high_yr_schl_comp_yr_8_belw_f,high_yr_schl_comp_yr_8_belw_p,no_schl_m,no_schl_f,no_schl_p,gcc_name16
1RNSW,1313126,1350936,2664066,80200,75440,155639,170504,161963,332462,82609,78428,161044,77786,74471,152254,146374,150124,296497,150202,157675,307875,170805,179393,350199,179050,185665,364722,150430,152741,303178,78640,90218,168858,26522,44809,71337,6193,7537,13728,1253730,1300370,2554095,59402,50571,109972,69264,70286,139549,1505,1383,2884,1449,1390,2843,72217,73059,145270,1058940,1085088,2144029,145061,153866,298925,1135058,1172290,2307347,74275,80236,154503,1154350,1195243,2349599,19872,18896,38763,154322,146814,301140,55483,55748,111234,20097,24116,44215,27635,51205,78837,383618,442883,826496,79655,77747,157399,321309,320062,641373,96344,97369,193713,62718,57125,119845,4314,4123,8438,Rest of NSW
1GSYD,2409538,2487728,4897269,159419,151515,310931,305173,288582,593753,150974,144363,295334,176984,175037,352022,388562,399979,788541,348956,355694,704650,312628,326114,638741,258326,277904,536230,180955,195363,376314,92410,112245,204653,35162,60934,96096,36364,45483,81846,2327462,2413625,4741088,82071,74102,156177,33426,33980,67399,966,977,1948,602,628,1233,34994,35587,70584,1361984,1382838,2744826,861260,909503,1770768,1395676,1411707,2807380,833350,892839,1726190,1880618,1943499,3824113,36522,34773,71296,279479,264822,544299,117420,115504,232930,78029,80463,158498,86120,122386,208507,1141749,1204462,2346210,102970,95084,198057,329025,338846,667874,90259,96772,187025,74021,87027,161050,22394,30702,53094,Greater Sydney
2RVIC,697830,723790,1421625,43119,40770,83888,91371,86578,177944,45261,42350,87618,41956,39871,81825,78258,81534,159791,80572,85830,166408,92518,98896,191410,95136,99635,194776,76465,78305,154769,39095,45788,84886,14079,24233,38312,3501,4212,7717,670779,698683,1369466,27046,25108,52155,10802,11224,22027,439,412,847,291,258,546,11525,11891,23417,561417,580593,1142013,76856,80338,157195,599596,625006,1224605,42347,44810,87157,611087,637884,1248973,8032,7741,15767,82131,78134,160265,31755,31190,62943,9770,12466,22242,12005,23749,35758,201349,253315,454664,92251,91432,183686,115000,102406,217407,51312,45505,96818,38633,38331,76966,3081,2894,5975,Rest of Vic.
2GMEL,2212679,2311375,4524054,147496,139954,287456,273998,260547,534541,139175,135663,274842,172344,170138,342479,363178,376383,739566,316463,326838,643295,287862,306638,594494,232149,253307,485456,161381,179845,341225,85880,106415,192296,32748,55653,88400,27943,37432,65378,2155357,2247296,4402654,57326,64079,121401,11182,11409,22593,614,578,1194,284,338,627,12085,12329,24412,1313143,1353426,2666575,736044,779258,1515304,1359441,1400087,2759529,701063,748098,1449162,1737002,1809044,3546040,28855,27682,56540,249573,238001,487579,110818,111731,222551,80214,82878,163091,77727,110412,188137,1033354,1131950,2165300,189640,181486,371124,215767,198943,414709,90310,86955,177259,84460,107719,192178,20565,28062,48630,Greater Melbourne
3GBRI,1117652,1164374,2282025,75935,72075,148011,152694,144875,297570,75771,73590,149362,86897,87636,174533,168849,175922,344772,154267,162302,316565,144205,153740,297945,118302,127582,245886,86661,93399,180052,40256,48398,88655,13814,24866,38678,12921,17236,30161,1086334,1134410,2220749,31316,29960,61273,23737,24335,48070,1666,1579,3242,1431,1469,2902,26829,27387,54220,754480,775019,1529500,285713,304062,589778,867072,892366,1759436,173181,191453,364638,900706,936948,1837656,12971,12172,25146,139968,133058,273023,52874,54342,107218,29153,34270,63424,35826,56207,92029,495230,535679,1030912,65013,61678,126693,171798,183456,355257,38680,36397,75080,35631,40966,76590,4963,5903,10872,Greater Brisbane
3RQLD,1264746,1295406,2560149,77752,73835,151588,167792,158760,326551,78512,76012,154521,77401,77524,154924,155430,162376,317812,155719,164125,319843,167356,175984,343343,160095,168005,328096,138476,138427,276904,66806,70090,136893,19410,30269,49677,23979,29416,53393,1166279,1214471,2380752,98467,80933,179398,49810,51273,101086,8835,8931,17763,6713,6860,13571,65364,67058,132427,920175,931734,1851908,207359,227586,434944,1041463,1063748,2105217,91328,104661,195983,1036474,1062468,2098943,13025,12396,25427,148935,141310,290250,47586,49360,96944,14868,20517,35385,25086,50239,75329,420303,476939,897239,88010,86447,174454,257923,259014,516939,60233,53094,113327,56238,51985,108215,4000,3650,7653,Rest of Qld
4RSAU,192886,187513,380395,10605,10214,20824,23763,22158,45924,10916,10211,21128,9985,8968,18957,20993,19899,40894,21635,20935,42576,27047,25904,52950,28642,27355,55999,23730,22995,46731,11658,12545,24199,3909,6320,10225,1252,1189,2443,182300,181336,363635,10585,6180,16762,7540,7501,15039,153,138,288,112,95,207,7801,7740,15543,155203,150358,305561,21170,21800,42970,167009,164762,331768,9551,9482,19039,168929,166567,335496,1849,1740,3587,21346,19963,41309,7059,7134,14195,1158,1866,3025,2359,5309,7668,47872,57439,105314,34421,31165,65590,33125,29540,62669,12158,10155,22314,11653,10413,22068,790,554,1344,Rest of SA
4GADE,630696,663454,1294150,39269,36957,76227,76900,73527,150430,41106,39787,80893,45845,44617,90463,87710,90779,178486,82351,84562,166916,84639,89013,173659,74957,82155,157113,55686,62690,118372,29900,37616,67513,12333,21746,34082,5054,6840,11901,613585,643995,1257573,17112,19464,36578,8513,9015,17531,338,326,659,208,218,423,9060,9556,18619,430238,447140,877386,163168,175355,338518,473515,494609,968129,122476,132009,254485,531077,557184,1088257,6875,6740,13618,71020,67847,138864,31387,31561,62948,18421,20619,39039,21429,32017,53447,260186,286304,546488,88251,84018,172262,74914,79023,153938,25202,26184,51383,23490,29169,52660,4703,6055,10759,Greater Adelaide
5GPER,949606,985993,1935603,65249,61892,127144,125530,118968,244497,62264,59841,122110,68654,66480,135140,148806,154158,302962,130989,137386,268374,124041,131021,255058,101406,111101,212510,73137,78227,151364,36836,44932,81769,12692,21983,34670,10026,13844,23867,923719,962742,1886460,25886,23257,49143,14970,14979,29948,395,331,720,336,333,671,15698,15648,31344,543400,556756,1100156,337620,355008,692632,693664,714147,1407814,186759,201511,388269,735797,765644,1501441,13006,12541,25547,115474,109347,224816,46013,46235,92248,24445,25402,49850,29338,44534,73874,409371,446736,856105,72593,72756,145346,146564,147728,294292,33139,31990,65134,22079,25634,47710,4687,5624,10314,Greater Perth
5RWAU,308425,269694,578119,18160,16937,35098,36751,35171,71924,15697,14233,29929,15632,13630,29256,45672,37215,82883,44786,35425,80211,46658,37863,84519,41214,36502,77719,28983,26090,55073,11648,11958,23603,3221,4675,7901,3464,3449,6917,251870,252767,504637,56551,16933,73479,21563,21501,43067,391,339,725,481,480,965,22435,22322,44757,210457,190192,400653,55821,48628,104448,242258,218644,460898,24296,22548,46847,241384,219466,460852,3253,3069,6318,32105,30724,62831,9087,8737,17823,1366,1921,3285,4317,8390,12706,89371,90361,179733,29374,25436,54808,67014,53142,120156,14483,10890,25375,9572,7445,17017,1102,882,1983,Rest of WA
