gcc_code16,_0_4_yrs_indig_m,_0_4_yrs_indig_f,_0_4_yrs_indig_p,_0_4_yrs_non_indig_m,_0_4_yrs_non_indig_f,_0_4_yrs_non_indig_p,_0_4_yrs_indig_stat_notstated_m,_0_4_yrs_indig_stat_notstated_f,_0_4_yrs_indig_stat_notstated_p,_0_4_yrs_tot_m,_0_4_yrs_tot_f,_0_4_yrs_tot_p,_5_9_yrs_indig_m,_5_9_yrs_indig_f,_5_9_yrs_indig_p,_5_9_yrs_non_indig_m,_5_9_yrs_non_indig_f,_5_9_yrs_non_indig_p,_5_9_yrs_indig_stat_notstated_m,_5_9_yrs_indig_stat_notstated_f,_5_9_yrs_indig_stat_notstated_p,_5_9_yrs_tot_m,_5_9_yrs_tot_f,_5_9_yrs_tot_p,_10_14_yrs_indig_m,_10_14_yrs_indig_f,_10_14_yrs_indig_p,_10_14_yrs_non_indig_m,_10_14_yrs_non_indig_f,_10_14_yrs_non_indig_p,_10_14_yrs_indig_stat_notstated_m,_10_14_yrs_indig_stat_notstated_f,_10_14_yrs_indig_stat_notstated_p,_10_14_yrs_tot_m,_10_14_yrs_tot_f,_10_14_yrs_tot_p,_15_19_yrs_indig_m,_15_19_yrs_indig_f,_15_19_yrs_indig_p,_15_19_yrs_non_indig_m,_15_19_yrs_non_indig_f,_15_19_yrs_non_indig_p,_15_19_yrs_indig_stat_notstated_m,_15_19_yrs_indig_stat_notstated_f,_15_19_yrs_indig_stat_notstated_p,_15_19_yrs_tot_m,_15_19_yrs_tot_f,_15_19_yrs_tot_p,_20_24_yrs_indig_m,_20_24_yrs_indig_f,_20_24_yrs_indig_p,_20_24_yrs_non_indig_m,_20_24_yrs_non_indig_f,_20_24_yrs_non_indig_p,_20_24_yrs_indig_stat_notstated_m,_20_24_yrs_indig_stat_notstated_f,_20_24_yrs_indig_stat_notstated_p,_20_24_yrs_tot_m,_20_24_yrs_tot_f,_20_24_yrs_tot_p,_25_29_yrs_indig_m,_25_29_yrs_indig_f,_25_29_yrs_indig_p,_25_29_yrs_non_indig_m,_25_29_yrs_non_indig_f,_25_29_yrs_non_indig_p,_25_29_yrs_indig_stat_notstated_m,_25_29_yrs_indig_stat_notstated_f,_25_29_yrs_indig_stat_notstated_p,_25_29_yrs_tot_m,_25_29_yrs_tot_f,_25_29_yrs_tot_p,_30_34_yrs_indig_m,_30_34_yrs_indig_f,_30_34_yrs_indig_p,_30_34_yrs_non_indig_m,_30_34_yrs_non_indig_f,_30_34_yrs_non_indig_p,_30_34_yrs_indig_stat_notstated_m,_30_34_yrs_indig_stat_notstated_f,_30_34_yrs_indig_stat_notstated_p,_30_34_yrs_tot_m,_30_34_yrs_tot_f,_30_34_yrs_tot_p,_35_39_yrs_indig_m,_35_39_yrs_indig_f,_35_39_yrs_indig_p,_35_39_yrs_non_indig_m,_35_39_yrs_non_indig_f,_35_39_yrs_non_indig_p,_35_39_yrs_indig_stat_notstated_m,_35_39_yrs_indig_stat_notstated_f,_35_39_yrs_indig_stat_notstated_p,_35_39_yrs_tot_m,_35_39_yrs_tot_f,_35_39_yrs_tot_p,_40_44_yrs_indig_m,_40_44_yrs_indig_f,_40_44_yrs_indig_p,_40_44_yrs_non_indig_m,_40_44_yrs_non_indig_f,_40_44_yrs_non_indig_p,_40_44_yrs_indig_stat_notstated_m,_40_44_yrs_indig_stat_notstated_f,_40_44_yrs_indig_stat_notstated_p,_40_44_yrs_tot_m,_40_44_yrs_tot_f,_40_44_yrs_tot_p,_45_49_yrs_indig_m,_45_49_yrs_indig_f,_45_49_yrs_indig_p,_45_49_yrs_non_indig_m,_45_49_yrs_non_indig_f,_45_49_yrs_non_indig_p,_45_49_yrs_indig_stat_notstated_m,_45_49_yrs_indig_stat_notstated_f,_45_49_yrs_indig_stat_notstated_p,_45_49_yrs_tot_m,_45_49_yrs_tot_f,_45_49_yrs_tot_p,_50_54_yrs_indig_m,_50_54_yrs_indig_f,_50_54_yrs_indig_p,_50_54_yrs_non_indig_m,_50_54_yrs_non_indig_f,_50_54_yrs_non_indig_p,_50_54_yrs_indig_stat_notstated_m,_50_54_yrs_indig_stat_notstated_f,_50_54_yrs_indig_stat_notstated_p,_50_54_yrs_tot_m,_50_54_yrs_tot_f,_50_54_yrs_tot_p,_55_59_yrs_indig_m,_55_59_yrs_indig_f,_55_59_yrs_indig_p,_55_59_yrs_non_indig_m,_55_59_yrs_non_indig_f,_55_59_yrs_non_indig_p,_55_59_yrs_indig_stat_notstated_m,_55_59_yrs_indig_stat_notstated_f,_55_59_yrs_indig_stat_notstated_p,_55_59_yrs_tot_m,_55_59_yrs_tot_f,_55_59_yrs_tot_p,_60_64_yrs_indig_m,_60_64_yrs_indig_f,_60_64_yrs_indig_p,_60_64_yrs_non_indig_m,_60_64_yrs_non_indig_f,_60_64_yrs_non_indig_p,_60_64_yrs_indig_stat_notstated_m,_60_64_yrs_indig_stat_notstated_f,_60_64_yrs_indig_stat_notstated_p,_60_64_yrs_tot_m,_60_64_yrs_tot_f,_60_64_yrs_tot_p,_65_yrs_ov_indig_m,_65_yrs_ov_indig_f,_65_yrs_ov_indig_p,_65_yrs_ov_non_indig_m,_65_yrs_ov_non_indig_f,_65_yrs_ov_non_indig_p,_65_yrs_ov_indig_stat_notstated_m,_65_yrs_ov_indig_stat_notstated_f,_65_yrs_ov_indig_stat_notstated_p,_65_yrs_ov_tot_m,_65_yrs_ov_tot_f,_65_yrs_ov_tot_p,tot_indig_m,tot_indig_f,tot_indig_p,tot_non_indig_m,tot_non_indig_f,tot_non_indig_p,tot_indig_status_notstated_m,tot_indig_status_notstated_f,tot_indig_status_notstated_p,tot_tot_m,tot_tot_f,tot_tot_p,gcc_name16
1RNSW,8953,8260,17218,66340,62460,128796,4774,4570,9347,80070,75288,155360,8985,8597,17590,72559,69043,141606,5244,5033,10274,86792,82677,169469,8406,7986,16395,69837,66165,136001,5045,4684,9730,83285,78842,162124,7591,7366,14957,69477,65557,135031,4975,4705,9682,82041,77623,159672,6283,6012,12300,65157,62262,127416,5170,4702,9873,76614,72973,149585,4934,4898,9826,62572,63952,126526,5112,4681,9794,72617,73536,146148,4052,4158,8209,63529,66318,129846,4761,4572,9336,72341,75044,147386,3460,3671,7133,62421,65971,128391,4498,4301,8799,70384,73938,144325,3618,4167,7788,70374,74065,144440,5275,4915,10187,79273,83150,162419,3620,4199,7826,73478,77911,151391,5549,5301,10850,82652,87411,170064,3352,3821,7164,78201,81816,160014,6041,5645,11688,87597,91272,178869,2932,3277,6211,82093,86270,168365,6455,6000,12460,91487,95548,187030,2312,2402,4718,78517,81039,159561,6089,5721,11816,86922,89170,176088,3716,4248,7956,232085,260815,492899,19073,21878,40948,254873,286936,541808,72217,73059,145270,1146657,1183632,2330289,88062,86707,174773,1306937,1343399,2650335,Rest of NSW
1GSYD,4038,3683,7719,147081,139897,286987,7566,7249,14820,158690,150830,309523,3977,3776,7754,147515,139794,287311,6852,6684,13543,158352,150250,308603,3972,3610,7587,134435,126853,261290,6168,5710,11883,144579,136177,280761,3843,3591,7436,137274,130781,268055,7129,6374,13500,148246,140747,288992,3387,3272,6658,158630,155352,313981,10325,9910,20231,172342,168532,340875,2624,2686,5309,172664,178007,350672,12658,12511,25170,187949,193205,381150,2051,2333,4386,179023,185021,364042,12465,11719,24183,193532,199076,392606,1837,1993,3834,164640,166697,331332,10406,9544,19951,176880,178236,355116,1884,2206,4092,156401,162275,318669,9438,8532,17968,167724,173013,340734,1819,2129,3951,146455,154977,301432,8937,8062,17001,157215,165164,322379,1632,1808,3441,141064,145467,286530,8394,7622,16010,151092,154896,305985,1343,1459,2806,127911,135757,263664,7473,7091,14569,136727,144303,281038,956,1145,2097,108804,117423,226225,6342,6266,12610,116100,124830,240932,1621,1896,3514,284200,338761,622965,17916,22328,40244,303744,362981,666725,34994,35587,70584,2206100,2277062,4483166,132077,129595,261669,2373173,2442244,4815419,Greater Sydney
2RVIC,1493,1449,2939,38871,36617,75493,2702,2626,5325,43064,40693,83756,1504,1403,2907,42016,39631,81650,2991,2789,5779,46509,43823,90328,1304,1328,2628,40426,38518,78945,2878,2652,5533,44601,42503,87104,1221,1207,2434,40952,38035,78987,2744,2660,5404,44924,41900,86826,1004,918,1926,37443,35490,72926,2897,2751,5646,41336,39160,80503,759,842,1599,35449,36193,71642,2734,2605,5331,38940,39638,78580,601,656,1255,35305,37689,72997,2549,2615,5168,38455,40959,79411,523,596,1115,34948,37252,72196,2386,2459,4843,37853,40303,78160,559,623,1179,39003,41761,80760,2754,2731,5483,42310,45115,87425,570,677,1247,41534,44710,86242,3161,2973,6132,45261,48358,93621,562,600,1153,43262,46349,89612,3109,3122,6226,46932,50065,96993,469,518,982,44563,47299,91857,3202,3233,6441,48235,51049,99281,376,388,768,43007,44402,87404,3216,3299,6513,46594,48091,94684,602,680,1283,118493,135123,253616,10216,12108,22322,129305,147919,277223,11525,11891,23417,635271,659065,1294332,47538,48622,96159,694327,719579,1413908,Rest of Vic.
2GMEL,1257,1265,2524,138231,131078,269305,7394,7057,14454,146882,139399,286283,1222,1270,2485,134235,127883,262115,6684,6190,12870,142138,135335,277477,1260,1148,2410,123032,116807,239841,5790,5527,11319,130079,123487,253563,1200,1215,2411,129397,125232,254632,6453,6398,12853,137048,132846,269894,1193,1175,2369,157777,154448,312226,9426,9176,18605,168403,164798,333199,1017,1027,2038,165991,171155,337147,10992,11276,22264,177998,183453,361449,860,801,1658,168474,175221,343699,10763,10715,21475,180098,186733,366832,704,731,1429,151457,154083,305542,8803,8443,17246,160968,163249,324215,746,755,1509,143687,151528,295212,8088,7915,15999,152519,160201,312720,756,740,1491,139991,150099,290096,7734,7766,15499,148480,158609,307086,538,639,1179,128330,135121,263453,7362,7249,14611,136228,143012,279241,457,468,927,115919,124195,240114,6765,6946,13707,123131,131611,254742,362,421,779,98397,107397,205794,5770,5966,11738,104534,113786,218313,518,683,1201,258740,314907,573652,16971,21836,38809,276236,337430,613661,12085,12329,24412,2053659,2139155,4192811,118995,122461,241457,2184740,2273941,4458678,Greater Melbourne
3GBRI,3218,3169,6388,68613,64993,133606,3875,3657,7528,75701,71811,147516,3224,3138,6357,71754,68046,139803,3649,3487,7134,78622,74673,153301,3176,2924,6093,66764,63121,129886,3169,3121,6291,73100,69163,142270,3005,2907,5914,68083,65614,133701,3402,3337,6740,74492,71861,146356,2684,2602,5290,77447,77220,154671,4720,4798,9512,84854,84621,169471,2035,2041,4075,76177,78792,154969,4749,5062,9808,82957,85894,168858,1677,1654,3335,77046,80572,157620,4602,4679,9279,83327,86907,170235,1416,1516,2935,70664,74118,144781,3915,3800,7713,75993,79428,155425,1459,1612,3074,71823,75983,147808,3785,3856,7640,77070,81447,158522,1329,1506,2836,69236,74058,143292,3760,3688,7450,74324,79250,153580,1138,1279,2420,63893,67867,131759,3508,3497,7004,68537,72649,141185,870,1030,1907,58075,62158,120232,3205,3217,6417,62155,66406,128559,675,783,1456,50853,54540,105393,2959,3056,6016,54495,58379,112870,908,1234,2140,129993,153515,283509,8192,9895,18082,139096,164641,303736,26829,27387,54220,1020418,1060600,2081018,57479,59147,116626,1104722,1147137,2251858,Greater Brisbane
3RQLD,7953,7543,15493,64001,60700,124702,5343,5134,10482,77299,73381,150684,8479,8056,16538,70643,66760,137406,5477,5239,10715,84607,80052,164653,7724,7559,15287,68009,64035,132047,5121,4889,10004,80856,76483,157338,6880,6643,13530,64692,61593,126281,4949,4885,9837,76522,73117,149641,5646,5484,11129,62048,61612,123659,6417,5841,12258,74104,72939,147047,4493,4633,9129,63369,66195,129563,7181,6276,13457,75040,77098,152137,3799,4159,7953,65179,69850,135029,7122,5954,13074,76095,79963,156064,3462,3770,7230,63421,67834,131253,6459,5462,11918,73339,77064,150404,3569,3923,7496,69726,74470,144194,6909,5779,12691,80206,84176,164381,3345,3820,7167,71944,76633,148581,7125,6161,13284,82418,86611,169034,2999,3263,6268,71988,76415,148406,7217,6241,13457,82207,85919,168128,2446,2749,5192,71803,76300,148104,7147,6408,13548,81389,85459,166848,1786,2039,3828,67797,70956,138759,6523,6217,12740,76110,79218,155324,2780,3408,6186,198318,210403,408723,19478,20690,40168,220580,234493,455074,65364,67058,132427,1072943,1103762,2176702,102469,95168,197630,1240771,1265987,2506761,Rest of Qld
4RSAU,863,793,1662,9108,8809,17912,628,593,1219,10598,10198,20797,924,878,1801,10399,9551,19945,683,643,1330,12002,11072,23070,847,827,1677,10161,9548,19713,690,645,1335,11696,11025,22724,747,712,1459,9436,8775,18210,629,574,1203,10812,10061,20872,638,640,1279,8487,7580,16064,644,557,1202,9769,8772,18541,570,553,1126,8853,8405,17262,699,578,1273,10126,9537,19663,532,501,1036,9154,8925,18077,767,588,1353,10451,10010,20460,407,428,833,8953,8794,17751,726,548,1273,10091,9772,19860,444,459,900,10181,10001,20187,794,616,1405,11420,11074,22493,458,482,946,11646,11362,23009,942,776,1714,13046,12623,25668,428,433,857,12447,11962,24410,1007,777,1784,13880,13172,27054,335,339,677,13059,12665,25727,1008,916,1926,14408,13923,28329,235,266,504,12877,12208,25084,1018,855,1869,14136,13326,27463,372,423,792,36043,38371,74415,2790,2971,5762,39200,41765,80973,7801,7740,15543,170809,166962,337769,13019,11627,24652,191632,186324,377955,Rest of SA
4GADE,1123,1016,2144,36327,34232,70559,1701,1596,3295,39151,36842,75999,1092,1067,2165,36590,35226,71811,1600,1506,3107,39284,37797,77084,997,984,1984,34761,32938,67694,1481,1351,2826,37238,35272,72506,1072,1026,2095,37904,36399,74303,1525,1562,3091,40504,38987,79495,853,888,1747,42379,40957,83330,1957,1852,3810,45196,43695,88887,730,761,1492,40276,41291,81565,1952,1973,3926,42965,44020,86987,571,614,1178,41353,43167,84525,1986,1972,3953,43906,45753,89659,444,500,942,38420,39532,77949,1781,1688,3474,40649,41721,82367,463,566,1038,39005,40124,79130,1734,1629,3370,41211,42320,83529,434,548,982,40326,42201,82525,1872,1779,3647,42630,44527,87154,366,451,816,39360,41480,80843,1798,1771,3570,41528,43703,85233,315,395,709,37459,40369,77830,1780,1811,3591,39551,42576,82131,262,285,544,32748,36340,69095,1563,1601,3168,34579,38229,72806,332,449,776,91875,113937,205811,5051,6778,11831,97260,121157,218420,9060,9556,18619,588789,618191,1206979,27789,28867,56656,625637,656617,1282251,Greater Adelaide
5GPER,1851,1765,3614,59768,56741,116506,3374,3134,6504,64990,61638,126633,1809,1788,3593,60256,57028,117283,3027,2790,5821,65091,61605,126698,1780,1728,3512,55472,52514,107989,2638,2513,5152,59895,56759,116654,1800,1628,3428,56920,54520,111440,2821,2630,5451,61542,58780,120321,1610,1434,3039,61851,59303,121148,3789,3726,7515,67248,64454,131706,1370,1191,2560,65741,68641,134379,4660,4619,9276,71773,74442,146219,1072,1015,2093,69363,71829,141192,4582,4461,9041,75024,77303,152327,825,843,1673,61439,64156,125600,3666,3438,7107,65936,68444,134381,836,875,1712,59834,63538,123375,3351,3401,6747,64028,67810,131837,750,894,1643,59706,63154,122861,3407,3197,6607,63858,67245,131102,636,718,1353,55420,58480,113896,3124,3012,6139,59178,62212,121392,514,620,1132,49724,53823,103550,2886,2855,5743,53124,57297,110424,348,458,803,43779,47778,91556,2575,2657,5230,46700,50885,97592,500,691,1192,113420,133700,247115,7280,8878,16156,121191,143272,264466,15698,15648,31344,872695,905205,1777899,51185,51300,102486,939577,972157,1911733,Greater Perth
5RWAU,2493,2308,4796,14109,13235,27345,1501,1351,2852,18095,16896,34995,2603,2469,5078,15172,14388,29559,1481,1446,2926,19255,18303,37560,2395,2393,4784,13627,13094,26726,1332,1220,2560,17359,16708,34067,2041,1932,3973,12266,10974,23243,1222,1092,2310,15529,13996,29525,1865,1745,3608,11690,10080,21764,1603,1257,2869,15157,13080,28243,1829,1745,3572,16248,13773,30021,3236,1836,5070,21318,17346,38662,1629,1629,3251,18207,15416,33625,3482,1822,5301,23313,18863,42179,1400,1380,2781,17251,14325,31575,3051,1509,4562,21703,17211,38915,1404,1318,2727,18199,15041,33241,3096,1523,4613,22699,17885,40577,1261,1393,2657,18881,15644,34526,3083,1660,4748,23228,18703,41931,1083,1196,2274,18862,15803,34662,3024,1752,4778,22963,18754,41719,881,951,1831,18080,16110,34195,2782,1761,4547,21749,18817,40569,666,728,1396,16255,14971,31221,2128,1569,3694,19050,17263,36314,884,1142,2026,38229,37041,75271,4425,4230,8658,43544,42414,85958,22435,22322,44757,247072,219897,466969,35450,24021,59476,304956,266247,571201,Rest of WA
