gcc_code16,aust_bth_parents_brn_overseas,aust_fath_only_brn_overseas,aust_moth_only_brn_overseas,aust_both_parents_born_aust,aust_birthplace_not_stated,aust_tot_responses,aust_abor_bth_parents_brn_overseas,aust_abor_fath_only_brn_overseas,aust_abor_moth_only_brn_overseas,aust_abor_bth_parents_brn_aus,aust_abor_birthplace_notstated,aust_abor_tot_responses,chinese_bth_parents_brn_overseas,chinese_fath_only_brn_overseas,chinese_moth_only_brn_overseas,chinese_bth_parents_brn_aus,chinese_birthplace_notstated,chinese_tot_responses,croatian_bth_parents_brn_overseas,croatian_fath_only_brn_overseas,croatian_moth_only_brn_overseas,croatian_bth_parents_brn_aus,croatian_birthplace_notstated,croatian_tot_responses,dutch_bth_parents_brn_overseas,dutch_fath_only_brn_overseas,dutch_moth_only_brn_overseas,dutch_bth_parents_brn_aus,dutch_birthplace_notstated,dutch_tot_responses,english_bth_parents_brn_overseas,english_fath_only_brn_overseas,english_moth_only_brn_overseas,english_bth_parents_brn_aus,english_birthplace_notstated,english_tot_responses,filipino_bth_parents_brn_overseas,filipino_fath_only_brn_overseas,filipino_moth_only_brn_overseas,filipino_bth_parents_brn_aus,filipino_birthplace_notstated,filipino_tot_responses,french_bth_parents_brn_overseas,french_fath_only_brn_overseas,french_moth_only_brn_overseas,french_bth_parents_brn_aus,french_birthplace_notstated,french_tot_responses,german_bth_parents_brn_overseas,german_fath_only_brn_overseas,german_moth_only_brn_overseas,german_bth_parents_brn_aus,german_birthplace_notstated,german_tot_responses,greek_bth_parents_brn_overseas,greek_fath_only_brn_overseas,greek_moth_only_brn_overseas,greek_bth_parents_brn_aus,greek_birthplace_notstated,greek_tot_responses,hungarian_bth_parents_brn_overseas,hungarian_fath_only_brn_overseas,hungarian_moth_only_brn_overseas,hungarian_bth_parents_brn_aus,hungarian_birthplace_notstated,hungarian_tot_responses,indian_bth_parents_brn_overseas,indian_fath_only_brn_overseas,indian_moth_only_brn_overseas,indian_bth_parents_brn_aus,indian_birthplace_notstated,indian_tot_responses,irish_bth_parents_brn_overseas,irish_fath_only_brn_overseas,irish_moth_only_brn_overseas,irish_bth_parents_brn_aus,irish_birthplace_notstated,irish_tot_responses,italian_bth_parents_brn_overseas,italian_fath_only_brn_overseas,italian_moth_only_brn_overseas,italian_bth_parents_brn_aus,italian_birthplace_notstated,italian_tot_responses,korean_bth_parents_brn_overseas,korean_fath_only_brn_overseas,korean_moth_only_brn_overseas,korean_bth_parents_brn_aus,korean_birthplace_notstated,korean_tot_responses,lebanese_bth_parents_brn_overseas,lebanese_fath_only_brn_overseas,lebanese_moth_only_brn_overseas,lebanese_bth_parents_brn_aus,lebanese_birthplace_notstated,lebanese_tot_responses,macedonian_bth_parents_brn_overseas,macdonian_fath_only_brn_overseas,macdonian_moth_only_brn_overseas,macdonian_bth_parents_brn_aus,macdonian_birthplace_notstated,macedonian_tot_responses,maltese_bth_parents_brn_overseas,maltese_fath_only_brn_overseas,maltese_moth_only_brn_overseas,maltese_bth_parents_brn_aus,maltese_birthplace_notstated,maltese_tot_responses,maori_bth_parents_brn_overseas,maori_fath_only_brn_overseas,maori_moth_only_brn_overseas,maori_bth_parents_brn_aus,maori_birthplace_notstated,maori_tot_responses,nz_bth_parents_brn_overseas,nz_fath_only_brn_overseas,nz_moth_only_brn_overseas,nz_bth_parents_brn_aus,nz_birthplace_notstated,nz_tot_responses,polish_bth_parents_brn_overseas,polish_fath_only_brn_overseas,polish_moth_only_brn_overseas,polish_bth_parents_brn_aus,polish_birthplace_notstated,polish_tot_responses,russian_bth_parents_brn_overseas,russian_fath_only_brn_overseas,russian_moth_only_brn_overseas,russian_bth_parents_brn_aus,russian_birthplace_notstated,russian_tot_responses,scottish_bth_parents_brn_overseas,scottish_fath_only_brn_overseas,scottish_moth_only_brn_overseas,scottish_bth_parents_brn_aus,scottish_birthplace_notstated,scottish_tot_responses,serbian_bth_parents_brn_overseas,serbian_fath_only_brn_overseas,serbian_moth_only_brn_overseas,serbian_bth_parents_brn_aus,serbian_birthplace_notstated,serbian_tot_responses,sth_african_bth_parents_brn_overseas,sth_african_fath_only_brn_overseas,sth_african_moth_only_brn_overseas,sth_afrcan_bth_parents_brn_aus,sth_african_birthplace_notstated,sth_african_tot_responses,spanish_bth_parents_brn_overseas,spanish_fath_only_brn_overseas,spanish_moth_only_brn_overseas,spanish_bth_parents_brn_aus,spanish_birthplace_notstated,spanish_tot_responses,sri_lankan_bth_parents_brn_overseas,sri_lankan_fath_only_brn_overseas,sri_lankan_moth_only_brn_overseas,sri_lankan_bth_parents_brn_aus,sri_lankan_birthplace_notstated,sri_lankan_tot_responses,turkish_bth_parents_brn_overseas,turkish_fath_only_brn_overseas,turkish_moth_only_brn_overseas,turkish_bth_parents_brn_aus,turkish_birthplace_notstated,turkish_tot_responses,vietnamese_bth_parents_brn_overseas,vietnamese_fath_only_brn_overseas,vietnamese_moth_only_brn_overseas,vietnamese_bth_parents_brn_aus,vietnamese_birthplace_notstated,vietnamese_tot_responses,welsh_bth_parents_brn_overseas,welsh_fath_only_brn_overseas,welsh_moth_only_brn_overseas,welsh_bth_parents_brn_aus,welsh_birthplace_notstated,welsh_tot_responses,other_bth_parents_brn_overseas,other_fath_only_brn_overseas,other_moth_only_brn_overseas,other_bth_parents_brn_aus,other_birthplace_notstated,other_tot_responses,ancestry_notstated_bth_parents_brn_overseas,ancestry_notstated_fath_only_brn_overseas,ancestry_notstated_moth_only_brn_overseas,ancestry_notstated_bth_parents_brn_aus,ancestry_notstated_birthplace_notstated,ancestry_notstated_tot_responses,tot_p_bth_parents_brn_overseas,tot_p_fath_only_brn_overseas,tot_p_moth_only_brn_overseas,tot_p_bth_parents_brn_aus,tot_p_birthplace_notstated,tot_p_tot_responses,gcc_name16
1RNSW,10319,80445,58061,956306,20426,1125558,71,641,269,18401,504,19886,18651,1007,1361,5303,313,26643,4705,942,453,1726,91,7921,14925,4962,3239,10055,347,33528,124467,74875,54630,808056,19306,1081342,11020,400,2705,552,266,14946,4229,997,792,6583,154,12757,21108,7740,5412,77502,1621,113378,6409,1944,763,5923,192,15238,3211,790,351,1304,78,5736,15667,732,538,924,139,17999,24950,17068,11606,266183,4741,324545,22777,7876,3083,33410,917,68069,2459,62,187,138,30,2878,2716,838,411,2101,82,6147,9422,1193,599,2261,153,13628,4933,1638,909,4738,151,12369,4841,1486,1000,1380,149,8853,7150,3948,2933,2354,204,16587,7473,1619,1070,4558,165,14889,2720,535,451,1448,49,5200,32856,20159,14591,207827,3904,279325,3282,395,262,601,62,4596,4199,818,646,497,58,6219,5236,705,517,2588,134,9184,1898,178,166,186,35,2460,1873,295,127,167,32,2499,3574,154,264,118,41,4157,5648,2093,1295,9283,204,18522,74997,14792,10888,25731,1732,128139,4078,1265,898,23961,171709,201910,379493,148526,105689,1801018,215607,2650335,Rest of NSW
1GSYD,60315,149628,108446,795949,15663,1129997,226,937,433,9143,222,10959,455360,6722,11240,10322,3779,487419,25040,3278,1972,6757,320,37372,22782,6853,4058,10700,366,44759,300813,122535,87332,688428,16184,1215292,91210,2188,6897,1161,934,102388,19052,2550,1746,7720,314,31385,45047,11209,7842,57184,1372,122652,68492,11527,6123,30256,1189,117588,12553,2184,1153,2844,154,18893,185885,2868,2448,1534,1090,193831,76384,33903,23276,277223,4409,415199,102005,24706,11386,63545,2105,203752,61374,391,1207,410,290,63668,107790,20966,9520,20332,1680,160282,19187,2155,1231,3216,196,25980,27790,6949,3917,17771,556,56987,18154,2801,1768,1191,410,24320,22037,7278,5352,2962,323,37951,24985,3460,2624,6280,269,37619,20147,1550,1506,2873,318,26395,66683,29170,21300,185742,3265,306149,19197,1641,1032,1881,285,24035,21581,2578,1945,818,152,27074,32604,1877,1590,2940,359,39365,21772,823,646,431,123,23794,20210,2011,1162,1378,233,24999,99641,1218,2361,1010,1222,105454,10161,2682,1744,9167,173,23926,649811,45257,35408,42615,7088,780188,25534,2392,1835,13987,263552,307295,2381511,309058,219359,1589631,315860,4815419,Greater Sydney
2RVIC,5777,40055,28216,482520,10843,567408,30,163,44,2595,83,2910,9908,380,628,3146,177,14245,4424,706,348,1533,89,7095,13013,4581,2883,9611,349,30431,62206,37693,27387,428060,10790,566137,6115,169,1173,214,150,7818,1699,419,282,3344,89,5830,11455,4335,2891,45367,1006,65058,3927,1021,366,2962,126,8402,2066,432,222,811,52,3591,9728,371,209,401,86,10803,13003,9442,5948,152474,2769,183632,17325,5298,2180,26404,893,52099,746,9,41,36,5,843,525,188,73,431,8,1220,1623,260,119,549,39,2590,3482,1052,518,2700,107,7861,1996,462,320,406,44,3241,3239,1676,1332,887,88,7217,4196,870,535,2459,119,8175,1327,214,161,598,36,2351,16651,10242,7360,123477,2449,160175,1504,207,109,272,52,2138,1692,324,227,243,29,2513,1820,289,237,1191,46,3587,1682,207,128,189,18,2225,1469,229,80,170,21,1966,1907,87,145,49,38,2217,2349,772,496,4079,86,7786,40144,6355,4832,13499,939,65773,2608,682,565,14484,91360,109706,208688,76216,53222,959828,115954,1413908,Rest of Vic.
2GMEL,47074,135623,98599,773489,14241,1069025,268,338,165,3316,80,4173,333918,4383,7604,7592,2590,356077,24769,3291,1811,5695,354,35922,31696,9806,6129,17831,576,66036,266735,116230,85826,698425,15806,1183021,53337,1079,4737,738,567,60465,15333,2034,1563,7543,259,26738,44164,12947,8838,67376,1526,134857,100833,14678,7631,36658,1799,161599,12601,2093,1248,3235,221,19400,189599,3296,2389,1674,1225,198184,63242,32006,21500,285350,4499,406604,150251,33028,16033,95979,3654,298945,16223,133,421,181,73,17029,31094,6038,2726,4675,589,45114,29235,3439,1961,5842,436,40917,35719,7418,4617,17237,597,65586,14021,1481,1121,733,314,17669,19600,5802,4416,2048,299,32169,30619,4652,3422,8841,404,47931,17125,1310,1295,2264,212,22212,64266,29004,22064,207017,3543,325894,17203,1479,861,1591,245,21376,14976,2064,1464,719,128,19347,17942,1340,1103,2723,229,23336,50569,2294,1553,1475,315,56210,28432,3238,1543,2059,344,35623,100226,1198,2355,796,1270,105841,8278,2291,1580,8866,165,21180,516164,36092,29364,40767,6390,628781,24487,2247,1757,15597,230727,274813,2065167,286766,204985,1620646,281113,4458678,Greater Melbourne
3GBRI,18104,85156,65864,550357,9618,729096,101,495,249,6155,124,7130,87824,2043,3384,5480,703,99434,4009,776,375,1197,56,6427,17080,5422,3330,9023,295,35150,197834,77672,57654,492466,10875,836501,23278,657,3746,541,261,28484,7829,1259,931,4617,113,14756,24714,9381,6594,93116,1532,135336,7172,2546,1131,6824,215,17900,4108,810,384,1172,42,6515,50457,1346,1019,974,347,54139,44445,20262,14137,195673,2909,277434,19917,7462,3319,27365,614,58679,13876,66,400,133,56,14521,2177,698,333,1561,36,4804,1101,165,104,189,10,1577,2250,1021,566,2626,53,6514,24961,2599,1848,938,449,30789,21476,6344,5037,2044,290,35192,8015,1595,1086,4169,148,15003,4973,651,574,1864,69,8136,51067,19833,14658,144881,2390,232830,3686,367,245,373,47,4711,12097,1157,931,404,65,14654,8944,796,635,2045,98,12518,6442,376,291,299,38,7447,1524,242,93,93,18,1969,22676,482,740,352,222,24468,6407,1545,1045,6701,108,15811,181334,17605,15608,26236,2506,243291,7911,1212,968,11971,119659,141723,719873,157917,119922,1108433,145719,2251858,Greater Brisbane
3RQLD,14099,80078,64705,764813,14838,938540,105,721,321,28301,390,29837,26403,1243,1704,7772,406,37524,3502,689,320,1267,62,5846,18768,4883,3415,9168,340,36582,198074,72935,57140,637104,14999,980255,19052,470,3683,771,334,24315,7373,1072,915,5393,194,14947,26659,9123,6876,117839,2152,162644,4480,1702,768,5080,127,12153,3677,706,304,984,80,5742,17955,718,485,841,140,20142,39378,16828,12514,220403,3845,292965,22166,8507,3899,39174,947,74694,6897,41,242,105,50,7334,1178,417,221,1144,19,2984,654,109,69,213,6,1042,4109,1552,907,5271,118,11962,17409,2189,1657,1141,295,22692,19590,6028,4527,2227,289,32654,6479,1169,823,3692,122,12290,3617,532,453,1566,58,6230,49513,18572,14114,174089,3264,259556,1788,251,120,327,31,2518,9959,901,772,436,61,12130,6051,773,525,2835,108,10295,2427,195,129,281,22,3048,1089,190,65,135,13,1498,3415,123,237,87,45,3905,6527,1477,992,6829,198,16025,103315,14715,14019,43178,2151,177366,5951,1317,1105,19853,193514,221740,516347,147540,115916,1498657,228302,2506761,Rest of Qld
4RSAU,1561,10030,7779,135919,3129,158413,14,90,29,4408,77,4620,1519,50,82,403,19,2077,630,121,42,319,13,1125,3024,783,614,1635,69,6130,24362,9738,8087,110010,2871,155069,2190,39,353,60,44,2680,514,81,78,735,15,1422,3667,1752,1261,33446,626,40747,1487,269,136,1033,72,2994,387,110,27,160,19,699,1426,68,52,83,18,1653,3391,1524,1104,23402,488,29900,2834,990,386,3888,133,8224,138,4,26,22,5,186,84,32,11,130,3,265,45,6,9,12,0,74,243,98,61,291,8,700,690,116,127,122,24,1069,688,288,188,146,18,1335,859,185,129,823,36,2039,264,28,44,132,4,469,5336,2144,1753,24177,467,33874,175,23,20,53,4,277,539,45,59,16,6,665,406,68,32,221,12,739,180,17,10,10,6,229,127,13,11,18,4,174,408,26,33,14,7,493,849,229,161,976,18,2235,7696,1258,900,3072,171,13092,658,161,158,3611,24376,28965,55488,18091,14059,259329,30988,377955,Rest of SA
4GADE,10710,45845,33536,301289,6061,397432,40,243,107,3051,90,3533,46235,831,1265,1410,325,50070,4429,712,363,1442,57,7010,9793,3134,2003,4966,151,20050,120466,45706,35754,269628,6577,478136,11065,293,1380,259,151,13147,2645,515,377,2474,60,6077,16117,6500,4477,59495,1053,87633,19386,3625,1605,10084,354,35048,3036,603,253,944,52,4893,29856,574,412,402,185,31428,19637,8154,5509,69209,1252,103760,41948,9965,4251,30232,1071,87468,3807,50,156,149,25,4193,2810,677,322,1097,55,4965,952,130,94,337,15,1519,2846,794,499,1887,74,6094,1199,407,238,226,40,2110,2717,1346,863,487,44,5456,10262,1570,984,3551,163,16528,4090,378,319,817,50,5653,24784,9546,7387,62294,1217,105234,4333,423,225,536,54,5571,3169,360,326,156,24,4037,3256,319,249,790,48,4662,3182,156,143,101,25,3601,812,101,42,71,12,1039,18250,535,539,263,189,19775,4668,1018,697,3286,93,9759,96942,8477,6169,12161,1215,124965,4217,518,469,5753,53654,64608,454909,90415,64897,601960,70063,1282251,Greater Adelaide
5GPER,20459,83782,66268,364591,7391,542486,101,338,187,3883,84,4593,90786,1833,3030,2412,660,98729,8501,1948,1016,5050,146,16652,20239,5016,3294,7954,271,36772,284828,75529,60107,282430,8718,711615,25562,346,1773,214,243,28142,8908,840,680,2307,114,12857,22096,4926,3918,22926,625,54489,6096,1888,925,4367,159,13436,2893,452,296,612,35,4292,60077,1691,1220,1220,359,64572,63288,15076,11079,84033,1905,175377,44174,13315,6401,37724,1132,102739,7238,90,247,77,42,7685,1948,353,221,345,32,2907,5931,868,544,1702,82,9125,1892,617,318,999,45,3876,16985,1478,1022,454,289,20227,15709,4680,3064,1064,229,24748,11273,1513,1218,3027,157,17198,3835,296,373,607,28,5140,64750,16240,12470,69338,1677,164481,5074,382,249,326,61,6095,21425,1432,1289,363,144,24651,7172,572,479,1437,81,9740,6598,384,257,192,32,7464,1885,179,108,84,18,2268,19445,316,613,196,154,20713,11146,1724,1224,3775,162,18025,191324,14379,13640,14875,2114,236334,8054,981,766,5836,108313,123953,872293,147250,114434,648182,129574,1911733,Greater Perth
5RWAU,3591,22059,17662,174290,3734,221340,24,233,104,15492,247,16099,3667,180,254,728,53,4880,793,248,120,716,19,1893,5326,1478,1043,2472,94,10409,56398,20279,16522,125882,3628,222707,6443,68,558,162,89,7316,1590,181,176,790,33,2762,5380,1439,1280,10902,274,19278,558,263,107,796,19,1741,413,95,55,142,9,711,3556,174,143,239,41,4154,11154,3532,2791,32162,726,50367,5597,2442,1005,10749,299,20093,586,12,44,15,4,660,158,27,19,50,5,261,363,75,42,232,11,713,302,133,78,242,15,770,5841,549,445,264,159,7260,4279,1381,884,419,104,7055,1862,361,276,1037,33,3572,531,61,75,180,17,871,13438,4447,3523,28669,667,50752,278,29,22,60,10,399,3580,233,270,108,29,4228,950,99,88,479,23,1640,482,30,36,35,6,592,111,21,9,22,0,154,846,21,42,17,15,944,1942,443,288,1380,50,4094,19322,2737,2571,5600,356,30583,1419,313,294,3953,59460,65440,128258,37877,29853,307429,67784,571201,Rest of WA
