gcc_code16,canada_before_1946,canada_1946_1955,canada_1956_1965,canada_1966_1975,canada_1976_1985,canada_1986_1995,canada_1996_2005,canada_2006_2010,canada_2011,canada_2012,canada_2013,canada_2014,canada_2015,canada_2016,canada_yr_arrival_notstated,canada_tot,china_exc_sars_taiw_bef_1946,china_exc_sars_taiwan_46_55,china_exc_sars_taiwan_56_65,china_exc_sars_taiwan_66_75,china_exc_sars_taiwan_76_85,china_exc_sars_taiwan_86_95,china_exc_sars_taiwan_96_05,china_exc_sars_taiwan_06_10,china_exc_sars_taiwan_2011,china_exc_sars_taiwan_2012,china_exc_sars_taiwan_2013,china_exc_sars_taiwan_2014,china_exc_sars_taiwan_2015,china_exc_sars_taiwan_2016,china_exc_sars_tawan_arr_notstated,china_exc_sars_taiwan_tot,croatia_before_1946,croatia_1946_1955,croatia_1956_1965,croatia_1966_1975,croatia_1976_1985,croatia_1986_1995,croatia_1996_2005,croatia_2006_2010,croatia_2011,croatia_2012,croatia_2013,croatia_2014,croatia_2015,croatia_2016,croatia_yr_arrival_notstated,croatia_tot,egypt_before_1946,egypt_1946_1955,egypt_1956_1965,egypt_1966_1975,egypt_1976_1985,egypt_1986_1995,egypt_1996_2005,egypt_2006_2010,egypt_2011,egypt_2012,egypt_2013,egypt_2014,egypt_2015,egypt_2016,egypt_yr_arrival_notstated,egypt_tot,fiji_before_1946,fiji_1946_1955,fiji_1956_1965,fiji_1966_1975,fiji_1976_1985,fiji_1986_1995,fiji_1996_2005,fiji_2006_2010,fiji_2011,fiji_2012,fiji_2013,fiji_2014,fiji_2015,fiji_2016,fiji_yr_arrival_notstated,fiji_tot,germany_before_1946,germany_1946_1955,germany_1956_1965,germany_1966_1975,germany_1976_1985,germany_1986_1995,germany_1996_2005,germany_2006_2010,germany_2011,germany_2012,germany_2013,germany_2014,germany_2015,germany_2016,germany_yr_arrival_notstated,germany_tot,greece_before_1946,greece_1946_1955,greece_1956_1965,greece_1966_1975,greece_1976_1985,greece_1986_1995,greece_1996_2005,greece_2006_2010,greece_2011,greece_2012,greece_2013,greece_2014,greece_2015,greece_2016,greece_yr_arrival_notstated,greece_tot,hng_kng_sar_china_bfre_1946,hng_kng_sar_china_1946_1955,hng_kng_sar_china_1956_1965,hng_kng_sar_china_1966_1975,hng_kng_sar_china_1976_1985,hng_kng_sar_china_1986_1995,hng_kng_sar_china_1996_2005,hng_kng_sar_china_2006_2010,hong_kong_sar_china_2011,hong_kong_sar_china_2012,hong_kong_sar_china_2013,hong_kong_sar_china_2014,hong_kong_sar_china_2015,hong_kong_sar_china_2016,hng_kng_sar_chna_arrival_notstated,hong_kong_sar_china_tot,india_before_1946,india_1946_1955,india_1956_1965,india_1966_1975,india_1976_1985,india_1986_1995,india_1996_2005,india_2006_2010,india_2011,india_2012,india_2013,india_2014,india_2015,india_2016,india_yr_arrival_notstated,india_tot,indonesia_before_1946,indonesia_1946_1955,indonesia_1956_1965,indonesia_1966_1975,indonesia_1976_1985,indonesia_1986_1995,indonesia_1996_2005,indonesia_2006_2010,indonesia_2011,indonesia_2012,indonesia_2013,indonesia_2014,indonesia_2015,indonesia_2016,indonesia_yr_arrival_notstated,indonesia_tot,iran_before_1946,iran_1946_1955,iran_1956_1965,iran_1966_1975,iran_1976_1985,iran_1986_1995,iran_1996_2005,iran_2006_2010,iran_2011,iran_2012,iran_2013,iran_2014,iran_2015,iran_2016,iran_yr_arrival_notstated,iran_tot,iraq_before_1946,iraq_1946_1955,iraq_1956_1965,iraq_1966_1975,iraq_1976_1985,iraq_1986_1995,iraq_1996_2005,iraq_2006_2010,iraq_2011,iraq_2012,iraq_2013,iraq_2014,iraq_2015,iraq_2016,iraq_yr_arrival_notstated,iraq_tot,ireland_before_1946,ireland_1946_1955,ireland_1956_1965,ireland_1966_1975,ireland_1976_1985,ireland_1986_1995,ireland_1996_2005,ireland_2006_2010,gcc_name16
1RNSW,15,42,196,551,443,442,707,540,135,129,101,105,116,59,142,3723,30,106,197,98,281,770,1363,1885,399,486,597,951,1234,652,625,9689,7,76,718,1057,91,132,324,21,7,3,12,3,0,0,106,2555,3,177,203,202,39,90,124,170,37,45,39,37,33,20,51,1277,22,57,116,177,280,524,405,316,66,81,71,80,39,31,120,2382,23,3752,2571,1173,787,678,683,409,88,95,74,90,81,52,458,11013,8,435,1025,574,115,52,37,19,12,23,19,24,3,8,139,2490,17,20,70,194,280,310,217,153,40,27,46,90,115,52,137,1772,25,193,192,622,328,587,1450,4137,552,1023,945,935,836,611,469,12893,4,135,132,78,103,168,367,248,54,89,68,65,101,77,70,1774,3,7,4,21,79,108,142,211,84,142,172,96,114,55,46,1292,0,0,4,43,16,47,142,142,31,64,154,148,56,82,79,1011,14,113,415,915,330,533,501,534,Rest of NSW
1GSYD,20,72,292,1018,978,1219,1969,1333,322,315,389,460,490,367,285,9519,170,866,1945,1601,6010,37260,53664,44505,8365,9710,11154,14200,16233,9449,9443,224575,26,266,2605,5641,530,1367,1874,121,27,35,52,48,39,20,427,13095,17,1035,2096,3615,1160,3546,2194,1783,317,425,570,366,423,229,632,18404,42,71,299,1009,3367,10684,8685,3406,620,542,596,539,419,266,934,31457,164,3824,2671,2002,1486,1242,2368,1700,343,377,366,434,462,341,625,18408,93,2382,11584,7910,1112,678,527,263,171,367,247,217,188,75,1218,27022,69,131,549,1926,6705,14917,7368,2825,622,812,918,1032,1056,557,1010,40496,34,340,477,3449,3074,10985,26024,36011,4701,5888,7601,9922,10645,7773,3584,130503,23,190,264,847,2566,4498,8859,4858,1038,1071,1146,1493,1493,834,778,29951,5,17,49,766,1788,3646,3727,3456,1385,1783,2566,723,924,368,536,21748,4,16,97,1115,1242,4607,11836,7823,1951,1673,3401,1949,1478,1281,797,39257,45,269,787,2382,1269,2787,3063,3386,Greater Sydney
2RVIC,5,13,70,210,161,159,291,196,38,43,37,44,47,54,62,1431,5,26,132,21,45,259,686,1168,203,215,246,338,445,388,357,4534,15,83,595,1071,90,157,142,20,3,0,4,4,3,0,100,2286,3,75,93,77,16,41,86,94,21,13,15,16,12,7,19,590,3,13,14,35,75,150,136,131,22,34,38,25,14,15,41,747,18,2420,1381,571,397,213,262,193,34,41,38,32,39,29,231,5905,12,249,645,452,70,39,21,9,5,14,4,0,7,0,103,1617,3,9,23,45,90,115,96,98,17,24,28,71,70,31,88,799,13,99,77,286,98,198,802,3748,361,414,507,576,670,447,351,8648,5,54,46,27,41,70,168,158,22,28,34,57,31,29,25,807,0,0,3,9,29,50,88,151,55,125,196,72,48,31,22,893,0,0,0,0,3,66,346,148,32,50,50,38,75,58,53,926,12,151,285,452,194,257,232,250,Rest of Vic.
2GMEL,14,47,219,719,709,895,1419,1104,317,310,361,376,480,289,208,7477,47,263,823,694,2517,16462,28436,35178,7218,8682,10322,13781,15957,8691,6978,156056,15,228,2333,6267,595,1328,1583,135,36,37,46,41,45,10,411,13116,16,834,2011,2314,676,1892,1570,1258,282,307,432,236,273,136,376,12618,12,41,92,294,947,3027,2467,1583,241,270,277,219,223,125,251,10072,178,5366,3952,2014,1551,1134,1892,1345,292,278,280,333,389,235,676,19916,90,3397,18844,15222,1846,1024,587,308,313,697,555,392,292,112,1777,45451,36,54,276,876,2619,6114,4160,2188,446,631,715,825,874,465,585,20872,48,376,397,4954,3058,8705,25788,56725,6146,7303,9231,12507,12162,8924,4623,160955,24,147,165,350,792,1661,5094,2825,597,731,839,963,1347,1072,383,16994,3,20,18,177,606,1348,1642,2731,1466,1935,3189,865,906,459,395,15757,0,3,14,105,351,2205,5195,3764,1005,643,1584,896,734,772,433,17705,27,360,923,1844,1024,1796,1402,2119,Greater Melbourne
3GBRI,13,37,129,523,532,668,944,848,233,212,213,258,263,149,134,5139,45,172,423,208,550,2572,6099,8731,1764,2072,2578,3137,3634,2524,1646,36165,0,37,317,727,82,232,392,38,11,13,12,6,10,0,68,1936,0,97,147,124,43,135,239,190,32,59,52,40,35,47,58,1300,13,32,104,356,867,2780,2424,1431,270,222,227,196,172,103,230,9419,12,2103,1112,976,1122,696,1052,922,138,143,133,129,166,122,265,9097,33,415,770,433,115,88,87,40,13,52,27,15,18,3,121,2238,14,48,85,298,731,2202,1594,918,208,311,331,380,427,272,264,8083,19,164,181,859,595,1432,4209,13346,1495,1676,2413,3226,2803,1827,1064,35304,7,149,229,213,319,503,1157,717,164,139,184,160,348,241,115,4642,0,21,10,44,169,347,566,1120,547,661,816,279,235,114,121,5041,0,0,8,15,31,101,432,471,118,85,186,128,41,319,77,2013,20,173,289,797,592,883,890,1451,Greater Brisbane
3RQLD,14,41,211,712,537,666,946,913,243,283,261,258,293,210,156,5749,36,98,167,84,216,789,1849,2696,485,619,832,1025,1075,582,689,11252,0,64,502,579,93,157,162,40,9,8,7,0,4,10,56,1686,0,155,252,181,54,137,102,137,24,28,55,37,31,19,40,1251,13,40,99,245,338,579,651,585,86,131,100,88,101,39,90,3185,23,2529,2145,1487,1433,896,1189,923,120,136,136,154,165,145,402,11881,11,226,417,299,58,47,49,27,8,30,8,9,7,3,44,1248,15,27,54,146,287,497,446,268,87,100,126,184,180,107,174,2696,14,195,174,464,213,485,1303,5523,575,727,932,1253,992,694,480,14000,9,166,201,186,208,258,575,416,90,100,101,87,143,79,103,2722,0,6,3,47,134,180,174,284,100,155,139,112,90,30,24,1476,0,5,6,34,15,27,106,134,34,45,144,162,96,14,19,834,18,156,323,752,400,519,583,747,Rest of Qld
4RSAU,0,4,25,52,32,25,55,45,4,3,3,14,7,3,3,271,0,3,16,6,3,13,98,186,23,32,27,86,113,18,58,687,7,17,144,126,17,3,3,0,0,0,0,0,0,0,10,326,0,6,9,8,0,3,5,11,0,0,0,3,0,0,0,59,3,0,6,3,15,17,11,40,12,8,6,7,4,14,3,150,3,695,462,261,119,64,64,57,13,9,3,12,20,12,65,1839,11,90,321,133,34,22,3,0,0,0,3,4,0,0,38,654,0,0,3,8,7,14,9,10,7,3,7,10,30,11,16,138,0,26,21,66,48,93,166,503,36,62,73,59,77,28,54,1325,0,13,8,5,7,16,27,21,4,4,7,4,16,9,7,156,0,0,0,0,0,8,9,16,6,8,10,0,0,4,4,71,0,0,0,0,0,0,5,4,0,0,0,0,0,0,6,18,3,16,56,120,25,27,28,33,Rest of SA
4GADE,3,18,86,238,250,233,398,280,49,73,71,68,71,48,39,1930,9,33,241,105,460,1027,2957,6244,1231,1451,1702,2820,2988,1532,1038,23823,7,124,539,795,91,256,584,32,8,9,7,9,4,3,67,2522,3,156,204,79,58,126,125,242,51,69,86,60,63,41,30,1395,3,14,41,48,114,275,237,167,22,21,25,25,17,14,19,1048,21,3084,1702,931,561,387,494,369,86,63,56,40,53,44,232,8120,27,1356,4002,1522,257,157,96,40,32,83,52,27,20,14,307,7999,7,6,48,117,239,605,520,472,125,179,236,269,316,159,138,3439,15,159,167,654,260,591,2238,11627,1106,1336,1617,1790,2355,1650,696,26252,3,45,80,79,128,174,353,287,78,78,97,130,258,148,48,1984,0,5,8,20,165,404,716,813,293,480,706,287,305,121,110,4434,0,0,4,5,0,71,564,344,120,60,93,85,53,20,27,1454,8,112,344,691,249,346,243,339,Greater Adelaide
5GPER,4,17,112,529,463,597,943,774,187,241,161,169,158,84,102,4537,21,42,53,124,406,2124,4146,7706,1316,1674,1773,1967,2125,1172,1137,25793,60,210,1008,1074,181,437,949,101,17,35,21,24,20,12,123,4269,3,173,202,229,85,250,299,250,77,112,156,88,73,36,45,2072,6,8,35,66,120,188,116,184,46,59,37,33,27,12,31,960,19,1687,707,958,1189,763,1022,1066,200,204,146,172,144,77,230,8579,40,463,704,466,119,67,46,35,25,42,26,29,12,8,70,2155,6,21,66,301,639,1098,1124,778,157,259,315,304,359,175,245,5829,38,586,461,3736,1110,2486,4588,15549,2136,2879,2918,3220,3206,2228,1280,46407,16,149,85,172,489,1472,3323,2105,394,445,395,449,462,290,257,10506,0,11,10,38,318,640,955,949,482,648,518,360,367,163,99,5548,0,0,14,24,24,258,1221,645,146,179,227,232,179,53,110,3322,14,224,386,1503,1077,2288,1288,2873,Greater Perth
5RWAU,3,3,30,124,109,93,156,141,46,46,15,25,38,23,43,896,0,4,6,7,8,53,132,376,69,87,116,69,123,82,103,1242,0,12,82,96,14,30,30,3,0,4,0,0,4,0,8,291,0,16,21,12,4,12,8,29,4,17,14,6,0,4,6,150,0,4,10,24,27,58,52,85,22,34,16,18,10,0,16,379,6,605,249,260,308,163,232,284,60,42,31,54,47,36,83,2451,0,41,39,30,11,6,7,5,5,0,3,0,3,0,9,157,4,0,7,31,33,27,27,42,8,19,14,14,17,15,46,300,7,74,56,237,57,99,235,989,183,225,209,175,137,99,122,2918,4,27,28,16,33,87,158,181,62,38,36,56,54,34,44,850,0,3,3,0,20,13,15,22,31,26,34,14,12,3,57,243,0,0,0,0,3,12,24,19,0,4,14,0,0,12,15,105,4,39,72,263,134,254,171,487,Rest of WA
