gcc_code16,ireland_2011,ireland_2012,ireland_2013,ireland_2014,ireland_2015,ireland_2016,ireland_yr_arrival_notstated,ireland_tot,italy_before_1946,italy_1946_1955,italy_1956_1965,italy_1966_1975,italy_1976_1985,italy_1986_1995,italy_1996_2005,italy_2006_2010,italy_2011,italy_2012,italy_2013,italy_2014,italy_2015,italy_2016,italy_yr_arrival_notstated,italy_tot,japan_before_1946,japan_1946_1955,japan_1956_1965,japan_1966_1975,japan_1976_1985,japan_1986_1995,japan_1996_2005,japan_2006_2010,japan_2011,japan_2012,japan_2013,japan_2014,japan_2015,japan_2016,japan_yr_arrival_notstated,japan_tot,korea_rep_sth_before_1946,korea_rep_sth_1946_1955,korea_rep_sth_1956_1965,korea_rep_sth_1966_1975,korea_rep_sth_1976_1985,korea_rep_sth_1986_1995,korea_rep_sth_1996_2005,korea_rep_sth_2006_2010,korea_republic_south_2011,korea_republic_south_2012,korea_republic_south_2013,korea_republic_south_2014,korea_republic_south_2015,korea_republic_south_2016,korea_repub_sth_arrival_notstated,korea_republic_south_tot,lebanon_before_1946,lebanon_1946_1955,lebanon_1956_1965,lebanon_1966_1975,lebanon_1976_1985,lebanon_1986_1995,lebanon_1996_2005,lebanon_2006_2010,lebanon_2011,lebanon_2012,lebanon_2013,lebanon_2014,lebanon_2015,lebanon_2016,lebanon_yr_arrival_notstated,lebanon_tot,malaysia_before_1946,malaysia_1946_1955,malaysia_1956_1965,malaysia_1966_1975,malaysia_1976_1985,malaysia_1986_1995,malaysia_1996_2005,malaysia_2006_2010,malaysia_2011,malaysia_2012,malaysia_2013,malaysia_2014,malaysia_2015,malaysia_2016,malaysia_yr_arrival_notstated,malaysia_tot,malta_before_1946,malta_1946_1955,malta_1956_1965,malta_1966_1975,malta_1976_1985,malta_1986_1995,malta_1996_2005,malta_2006_2010,malta_2011,malta_2012,malta_2013,malta_2014,malta_2015,malta_2016,malta_yr_arrival_notstated,malta_tot,netherlands_before_1946,netherlands_1946_1955,netherlands_1956_1965,netherlands_1966_1975,netherlands_1976_1985,netherlands_1986_1995,netherlands_1996_2005,netherlands_2006_2010,netherlands_2011,netherlands_2012,netherlands_2013,netherlands_2014,netherlands_2015,netherlands_2016,netherlands_yr_arrival_notstated,netherlands_tot,new_zealand_before_1946,new_zealand_1946_1955,new_zealand_1956_1965,new_zealand_1966_1975,new_zealand_1976_1985,new_zealand_1986_1995,new_zealand_1996_2005,new_zealand_2006_2010,new_zealand_2011,new_zealand_2012,new_zealand_2013,new_zealand_2014,new_zealand_2015,new_zealand_2016,new_zealand_yr_arrival_notstated,new_zealand_tot,pakistan_before_1946,pakistan_1946_1955,pakistan_1956_1965,pakistan_1966_1975,pakistan_1976_1985,pakistan_1986_1995,pakistan_1996_2005,pakistan_2006_2010,pakistan_2011,pakistan_2012,pakistan_2013,pakistan_2014,pakistan_2015,pakistan_2016,pakistan_yr_arrival_notstated,pakistan_tot,philippines_before_1946,philippines_1946_1955,philippines_1956_1965,philippines_1966_1975,philippines_1976_1985,philippines_1986_1995,philippines_1996_2005,philippines_2006_2010,philippines_2011,philippines_2012,philippines_2013,philippines_2014,philippines_2015,philippines_2016,philippines_yr_arrival_notstated,philippines_tot,poland_before_1946,poland_1946_1955,poland_1956_1965,poland_1966_1975,poland_1976_1985,poland_1986_1995,poland_1996_2005,poland_2006_2010,poland_2011,poland_2012,poland_2013,poland_2014,poland_2015,poland_2016,poland_yr_arrival_notstated,poland_tot,singapore_before_1946,singapore_1946_1955,singapore_1956_1965,singapore_1966_1975,singapore_1976_1985,singapore_1986_1995,singapore_1996_2005,singapore_2006_2010,singapore_2011,singapore_2012,singapore_2013,singapore_2014,singapore_2015,singapore_2016,singapore_yr_arrival_notstated,singapore_tot,gcc_name16
1RNSW,187,289,116,56,68,49,152,4288,112,2199,3497,1582,254,129,156,118,22,55,74,66,70,47,610,8997,5,57,30,61,61,193,393,246,64,76,40,51,86,65,93,1519,0,0,3,14,129,254,468,451,105,113,94,105,217,181,179,2319,9,61,77,362,214,205,138,93,13,8,19,25,9,14,117,1359,19,37,247,505,488,342,340,343,71,68,84,117,228,165,179,3226,12,851,742,276,88,23,24,19,3,0,5,0,0,0,111,2158,13,3012,2062,668,517,210,370,164,35,27,41,35,36,21,250,7460,179,345,1197,3960,6890,5269,5253,2800,766,739,494,450,365,244,1624,30589,0,11,17,42,44,53,217,386,116,123,152,156,186,88,51,1662,5,4,34,168,1225,2130,1518,1925,507,691,715,829,709,290,502,11251,10,423,287,150,544,290,121,91,15,21,19,24,17,3,117,2132,15,26,84,221,135,113,163,156,21,30,41,53,66,35,53,1221,Rest of NSW
1GSYD,1309,1243,935,712,622,361,507,19676,305,6903,14003,9116,1497,784,1050,1071,363,586,838,906,741,352,1888,40392,8,65,114,296,744,2182,3275,1694,445,517,544,602,728,579,653,12453,3,7,23,411,3591,8606,13659,9844,1676,1872,1958,1971,2236,1609,1975,49445,51,759,2513,13061,10780,11669,7757,3601,674,568,664,674,580,305,2326,55981,43,54,638,2132,4735,6637,4607,3319,681,771,909,971,1197,856,887,28436,38,3935,4236,2184,824,292,127,89,22,4,12,5,8,0,493,12277,26,2258,2097,881,700,452,852,655,176,150,176,246,237,168,347,9418,288,483,1801,5884,12833,14810,22115,10599,2687,2924,2635,2273,2188,1283,3515,86325,0,14,23,235,645,2298,4319,4105,1157,1845,1858,2198,2289,1313,558,22858,6,16,171,1759,7759,23466,14487,11142,2407,2668,2685,2641,2643,1706,1917,75476,61,920,788,524,3288,2298,1210,728,153,187,227,244,242,110,326,11293,33,59,308,865,1405,1814,2484,1647,336,343,406,541,546,403,312,11506,Greater Sydney
2RVIC,89,90,65,45,49,14,88,2259,85,2113,2745,1109,180,59,72,68,15,25,27,30,26,25,469,7055,0,18,15,24,29,43,158,133,33,30,18,22,34,21,49,630,0,0,0,0,20,41,148,160,34,30,47,43,59,61,68,705,0,7,20,46,53,29,37,24,5,3,5,0,0,5,47,285,10,3,88,200,231,225,294,355,81,108,104,187,192,163,185,2438,10,576,550,223,59,27,10,20,0,3,3,0,0,0,90,1578,3,2693,2341,491,420,148,213,127,18,38,20,14,19,9,267,6831,40,134,355,1338,2659,2225,3037,1695,404,407,366,260,244,127,765,14057,0,3,5,10,14,15,94,274,58,147,193,66,105,45,29,1071,0,0,8,46,477,979,906,1260,310,395,420,311,448,262,286,6110,3,244,188,99,224,170,58,36,8,11,7,8,7,3,75,1124,9,3,23,93,67,71,144,133,11,18,27,19,23,20,34,711,Rest of Vic.
2GMEL,941,819,563,411,419,237,320,13204,341,13335,25386,12921,1811,813,979,917,313,579,744,739,625,345,3061,62914,3,75,69,165,348,886,2109,1332,269,364,325,471,559,444,463,7879,0,0,6,59,324,907,3210,4102,764,774,797,839,882,779,675,14112,5,120,471,3174,3658,3161,2267,1485,226,244,291,275,250,114,664,16405,35,80,515,2114,5286,8402,8108,7733,1635,1951,2224,2510,3118,2389,1379,47480,38,3953,6235,3174,1235,373,240,160,36,27,11,20,23,4,616,16145,20,3604,3716,1021,1018,436,708,543,130,116,115,145,131,134,416,12246,177,330,1014,3602,8475,10246,18014,12950,4309,4793,3934,3169,2975,1784,2912,78681,0,16,21,137,250,920,2762,4281,1358,2195,2217,2139,2049,1203,501,20046,6,20,74,590,3975,10627,7720,9652,1638,1976,2152,2049,2155,1325,1176,45134,177,1492,1650,946,3644,3084,990,490,94,109,112,127,144,64,342,13471,28,31,183,622,1015,1866,3837,2945,554,685,692,768,993,743,370,15334,Greater Melbourne
3GBRI,489,381,255,159,158,85,153,6774,86,1374,1913,1024,206,169,264,235,74,126,146,191,183,114,309,6411,4,43,41,74,128,554,1400,843,196,200,208,243,374,327,416,5048,0,0,0,28,159,764,2486,3448,647,745,752,710,970,766,705,12177,0,20,48,227,175,169,138,83,24,7,22,16,14,13,25,974,16,12,364,932,1285,1675,1635,1658,314,358,432,587,682,463,298,10694,6,316,276,142,67,36,43,15,0,9,6,3,3,3,26,947,4,1769,1610,640,715,345,533,357,50,82,69,70,74,49,210,6581,103,233,862,4396,13855,17638,25381,19245,4686,4850,3727,2726,2363,1302,3747,105101,0,5,4,37,80,128,607,754,202,278,387,347,340,234,99,3501,3,11,42,230,1946,4363,3255,5207,1016,956,919,854,867,454,583,20700,7,276,141,128,804,695,310,234,50,57,58,41,70,21,83,2971,12,12,89,420,386,552,1024,736,137,174,200,264,292,291,157,4740,Greater Brisbane
3RQLD,263,297,159,128,129,89,158,4715,177,1949,2164,939,195,146,221,236,56,115,124,163,192,119,446,7232,3,46,31,81,172,1197,2279,1306,266,272,252,278,334,321,573,7392,0,0,0,17,115,436,1186,1514,294,342,365,372,601,441,463,6150,8,26,47,139,90,58,26,13,6,3,5,8,9,3,20,468,27,22,318,576,598,531,603,544,97,149,136,149,182,127,178,4247,26,746,482,221,84,36,16,17,0,9,0,3,4,3,60,1716,10,2512,2076,857,817,376,618,379,59,65,49,58,75,57,226,8242,122,312,1466,6393,15590,16673,21270,15630,3929,3498,2673,1970,1610,1038,3626,95802,0,5,14,15,31,46,171,225,82,125,132,115,104,76,41,1183,4,7,38,207,1792,3116,2588,4528,1020,1181,1104,1151,1018,515,677,18937,13,213,206,129,587,361,219,214,36,44,35,43,43,9,60,2196,11,10,92,315,202,255,413,235,45,44,58,81,83,60,84,1994,Rest of Qld
4RSAU,18,17,10,8,6,7,20,412,16,259,523,153,21,14,7,7,3,3,9,14,14,15,87,1152,0,6,0,7,0,12,30,18,5,8,4,4,8,0,6,110,0,0,0,0,13,17,16,32,3,3,13,7,19,21,14,157,4,3,0,12,11,6,3,11,3,0,0,0,0,0,4,45,8,0,28,48,36,22,38,59,14,10,6,7,17,8,13,307,0,48,32,31,3,3,0,0,0,0,0,0,0,0,6,125,7,574,651,175,83,17,60,47,9,0,7,3,3,0,53,1682,9,16,85,340,620,499,581,369,111,73,77,46,67,27,165,3102,0,0,0,0,0,0,9,23,10,26,34,25,29,4,15,181,0,0,4,11,160,213,238,555,143,183,207,217,151,79,116,2275,0,39,35,19,47,35,10,11,0,0,3,3,3,0,10,215,0,0,9,16,10,5,24,5,0,0,0,0,0,4,10,87,Rest of SA
4GADE,161,138,77,47,24,22,78,2871,150,4163,7875,2879,400,213,217,162,38,90,89,95,95,54,772,17282,0,19,14,25,33,151,375,281,68,57,48,68,93,97,89,1417,0,0,5,15,109,201,681,1261,244,232,174,153,185,138,109,3505,11,49,81,330,284,214,236,112,24,33,20,27,19,20,45,1491,12,7,129,480,736,1010,1090,1293,299,350,365,443,544,473,186,7425,3,433,451,192,75,39,17,10,0,4,0,0,0,0,53,1279,10,1230,2002,520,277,86,198,159,34,29,28,22,20,23,135,4765,44,91,283,1025,2060,1949,1851,1042,265,293,192,155,152,99,345,9861,0,3,8,11,19,41,326,655,243,327,501,396,468,186,77,3262,0,8,23,84,849,1823,1445,2649,473,541,559,543,603,268,265,10131,13,494,437,262,1348,1326,355,189,23,37,34,36,28,6,140,4720,3,11,60,198,237,253,438,388,72,80,124,150,166,145,59,2390,Greater Adelaide
5GPER,1710,1939,948,485,391,172,358,15650,151,4173,5338,2993,641,349,435,527,188,376,467,409,322,129,870,17367,0,25,31,53,117,501,1161,728,143,172,182,228,254,151,203,3951,0,0,0,23,254,362,1046,1756,431,444,478,429,468,268,334,6282,3,7,29,178,164,230,156,106,16,20,28,20,13,15,40,1020,60,74,407,1778,3391,6112,4415,4781,1001,1155,1153,1064,1126,740,803,28059,4,205,197,160,66,51,33,26,4,6,0,4,4,0,18,783,12,2690,944,701,701,353,560,441,97,123,103,88,69,37,215,7141,44,100,507,2948,7164,9706,10145,11358,4085,4427,2842,1751,1366,674,2078,59204,0,17,34,105,94,210,517,1139,382,541,568,617,450,302,134,5098,0,5,9,137,1038,2066,1891,7669,2209,2501,1969,1613,1657,952,587,24312,14,382,178,177,1609,1247,356,370,88,118,141,119,97,35,140,5080,44,73,241,1013,1560,2319,3583,2519,395,445,444,495,522,332,352,14339,Greater Perth
5RWAU,235,309,133,75,47,24,73,2321,38,592,505,207,31,22,39,64,15,29,41,55,46,34,122,1838,0,7,0,8,6,24,72,66,15,11,17,21,22,9,58,353,0,0,0,3,35,25,82,118,10,22,25,25,99,66,87,592,0,0,5,14,9,20,6,6,0,0,0,3,3,0,6,74,7,12,58,125,146,167,150,154,28,30,33,29,17,21,68,1033,0,45,34,34,6,4,0,4,0,0,0,0,0,0,5,134,4,779,353,212,212,96,137,118,12,15,28,19,30,6,75,2075,13,47,158,1116,2771,3257,3627,4080,1183,1242,711,497,404,155,898,20157,0,3,7,12,7,9,32,87,18,39,51,30,12,13,13,324,0,3,0,13,247,392,451,2121,477,679,620,504,546,275,217,6529,0,109,37,29,137,55,40,44,7,9,6,3,7,3,14,497,5,8,27,82,82,84,121,95,15,12,9,22,3,3,29,600,Rest of WA
