gcc_code16,south_africa_before_1946,south_africa_1946_1955,south_africa_1956_1965,south_africa_1966_1975,south_africa_1976_1985,south_africa_1986_1995,south_africa_1996_2005,south_africa_2006_2010,south_africa_2011,south_africa_2012,south_africa_2013,south_africa_2014,south_africa_2015,south_africa_2016,south_africa_yr_arrival_notstated,south_africa_tot,sri_lanka_before_1946,sri_lanka_1946_1955,sri_lanka_1956_1965,sri_lanka_1966_1975,sri_lanka_1976_1985,sri_lanka_1986_1995,sri_lanka_1996_2005,sri_lanka_2006_2010,sri_lanka_2011,sri_lanka_2012,sri_lanka_2013,sri_lanka_2014,sri_lanka_2015,sri_lanka_2016,sri_lanka_yr_arrival_notstated,sri_lanka_tot,thailand_before_1946,thailand_1946_1955,thailand_1956_1965,thailand_1966_1975,thailand_1976_1985,thailand_1986_1995,thailand_1996_2005,thailand_2006_2010,thailand_2011,thailand_2012,thailand_2013,thailand_2014,thailand_2015,thailand_2016,thailand_yr_arrival_notstated,thailand_tot,fmr_yugoslav_rep_of_macedonia_before_1946,fmr_yugoslav_rep_of_macedonia_1946_1955,fmr_yugoslav_rep_of_macedonia_1956_1965,fmr_yugoslav_rep_of_macedonia_1966_1975,fmr_yugoslav_rep_of_macedonia_1976_1985,fmr_yugoslav_rep_of_macedonia_1986_1995,fmr_yugoslav_rep_of_macedonia_1996_2005,fmr_yugoslav_rep_of_macedonia_2006_2010,fmr_yugoslav_rep_of_macedonia_2011,fmr_yugoslav_rep_of_macedonia_2012,fmr_yugoslav_rep_of_macedonia_2013,fmr_yugoslav_rep_of_macedonia_2014,fmr_yugoslav_rep_of_macedonia_2015,fmr_yugoslav_rep_of_macedonia_2016,fmr_yugoslav_rep_of_macedonia_arrival_notstated,fmr_yugoslav_rep_of_macedonia_tot,turkey_before_1946,turkey_1946_1955,turkey_1956_1965,turkey_1966_1975,turkey_1976_1985,turkey_1986_1995,turkey_1996_2005,turkey_2006_2010,turkey_2011,turkey_2012,turkey_2013,turkey_2014,turkey_2015,turkey_2016,turkey_yr_arrival_notstated,turkey_tot,united_kingdom_before_1946,united_kingdom_1946_1955,united_kingdom_1956_1965,united_kingdom_1966_1975,united_kingdom_1976_1985,united_kingdom_1986_1995,united_kingdom_1996_2005,united_kingdom_2006_2010,united_kingdom_2011,united_kingdom_2012,united_kingdom_2013,united_kingdom_2014,united_kingdom_2015,united_kingdom_2016,united_kingdom_yr_arrival_notstated,united_kingdom_tot,usa_before_1946,usa_1946_1955,usa_1956_1965,usa_1966_1975,usa_1976_1985,usa_1986_1995,usa_1996_2005,usa_2006_2010,united_states_america_2011,united_states_america_2012,united_states_america_2013,united_states_america_2014,united_states_america_2015,united_states_america_2016,usa_year_of_arrival_notstated,usa_total,vietnam_before_1946,vietnam_1946_1955,vietnam_1956_1965,vietnam_1966_1975,vietnam_1976_1985,vietnam_1986_1995,vietnam_1996_2005,vietnam_2006_2010,vietnam_2011,vietnam_2012,vietnam_2013,vietnam_2014,vietnam_2015,vietnam_2016,vietnam_yr_arrival_notstated,vietnam_tot,zimbabwe_before_1946,zimbabwe_1946_1955,zimbabwe_1956_1965,zimbabwe_1966_1975,zimbabwe_1976_1985,zimbabwe_1986_1995,zimbabwe_1996_2005,zimbabwe_2006_2010,zimbabwe_2011,zimbabwe_2012,zimbabwe_2013,zimbabwe_2014,zimbabwe_2015,zimbabwe_2016,zimbabwe_yr_arrival_notstated,zimbabwe_tot,born_elsewhere_before_1946,born_elsewhere_1946_1955,born_elsewhere_1956_1965,born_elsewhere_1966_1975,born_elsewhere_1976_1985,born_elsewhere_1986_1995,born_elsewhere_1996_2005,born_elsewhere_2006_2010,born_elsewhere_2011,born_elsewhere_2012,born_elsewhere_2013,born_elsewhere_2014,born_elsewhere_2015,born_elsewhere_2016,born_elsewhere_yr_arrival_notstated,born_elsewhere_tot,tot_before_1946,tot_1946_1955,tot_1956_1965,tot_1966_1975,tot_1976_1985,tot_1986_1995,tot_1996_2005,tot_2006_2010,tot_2011,tot_2012,tot_2013,tot_2014,tot_2015,tot_2016,tot_yr_arrival_notstated,tot_tot,gcc_name16
1RNSW,15,51,271,537,974,760,2080,1795,241,336,175,117,188,96,174,7802,3,29,71,117,141,298,262,501,105,156,155,114,110,71,73,2210,0,0,8,58,141,343,767,845,166,168,208,229,200,132,214,3486,14,55,630,2940,533,549,236,127,10,19,18,24,21,3,232,5400,0,3,8,389,150,195,175,73,13,6,22,16,14,12,64,1140,731,9221,18240,26358,9203,6297,7185,5053,983,961,973,721,721,370,3870,90888,8,113,273,1039,790,842,1443,1050,253,234,215,246,276,156,268,7216,0,4,13,48,676,359,276,394,95,154,152,195,205,193,255,3032,3,7,57,50,233,129,457,460,82,61,85,48,81,40,46,1845,159,2355,4341,8367,3943,4094,5193,5518,1185,1472,1571,1981,2056,1363,2295,45891,1492,23992,38046,53606,30555,27535,33682,31403,6565,8031,7744,8297,8656,5343,13977,298925,Rest of NSW
1GSYD,25,71,461,1396,4771,6095,10906,5677,1008,813,844,949,848,631,662,35167,20,40,287,1142,1665,6851,6171,4479,745,1768,1014,655,686,425,612,26553,3,4,38,226,1234,2847,4871,4776,749,1077,1457,1866,1814,901,1350,23208,12,31,777,5306,1054,1712,1068,351,59,47,111,106,66,51,349,11090,3,16,71,3438,1798,2185,1927,869,189,159,153,157,192,123,366,11654,880,8745,21010,35184,18554,18545,26120,19615,4686,4916,4796,4354,4358,2212,5261,179240,34,146,451,1788,1654,2641,4340,3570,916,1093,1105,1324,1690,1229,767,22749,0,22,50,735,25703,23114,9784,7785,1462,1860,2215,2103,2045,1229,2991,81102,3,10,61,114,427,409,1635,1170,173,129,127,112,131,102,68,4667,497,5697,9161,34570,33251,51509,60031,49156,8647,10722,14309,15769,18017,12797,11195,335338,3061,39730,82804,154515,170201,288651,334941,257397,50595,59271,68983,72779,77958,50301,59580,1770768,Greater Sydney
2RVIC,5,11,79,247,343,246,811,703,146,99,47,95,76,38,55,3008,3,33,68,147,84,148,232,477,76,179,98,62,82,56,63,1811,0,0,3,13,50,150,283,672,115,125,151,146,137,77,139,2064,0,12,195,424,83,80,38,5,4,3,0,3,3,0,30,883,0,0,11,260,112,152,146,69,18,3,4,11,12,7,55,854,294,5334,10541,12263,4399,2937,3178,2670,539,415,401,357,343,160,1973,45807,3,38,66,480,299,306,588,404,119,92,116,109,139,58,93,2905,0,0,0,30,245,253,222,274,57,62,70,60,67,55,296,1684,0,4,20,13,56,54,174,202,23,27,22,18,12,12,18,659,83,1435,2201,3145,1576,1688,3024,3835,697,810,1008,875,1090,651,1359,23479,650,15858,22903,23958,12987,11806,17219,19955,3673,4117,4450,4013,4633,2977,7989,157195,Rest of Vic.
2GMEL,23,57,355,984,3393,3696,6858,4540,693,698,581,648,697,443,429,24093,14,184,835,3528,2756,9877,9794,12602,1909,3175,2314,2003,2214,1544,1159,53915,0,4,19,133,838,1530,2543,3292,577,669,766,911,1161,736,724,13912,15,227,1004,7468,1960,2665,1553,629,106,101,156,115,121,42,568,16731,3,42,112,4477,2420,3106,2152,984,219,161,202,155,195,129,511,14883,814,10252,24365,35593,17721,14473,18114,16062,3846,3742,3247,3006,3104,1735,4758,160832,20,125,327,1323,1326,1898,3378,2691,780,781,796,971,1070,656,581,16721,4,16,47,388,21454,23313,9714,8812,1613,1949,2507,2440,2438,1497,2850,79041,0,7,45,72,323,267,1001,1329,151,162,132,166,183,122,63,4012,383,6317,9746,25039,25422,42327,49334,40789,8238,10058,11712,11892,12843,8436,8600,271140,2626,51432,106260,143373,125955,192470,236607,249553,48763,57945,64431,67412,72025,46210,50243,1515304,Greater Melbourne
3GBRI,11,24,192,618,1571,1736,7319,6167,872,920,668,531,551,316,341,21845,0,52,170,478,403,1108,1125,1724,363,530,351,235,207,201,119,7067,0,0,16,61,266,757,1017,1337,301,219,276,319,350,242,266,5426,0,4,36,195,96,105,119,39,3,12,7,6,9,3,14,650,0,8,3,126,65,119,179,133,43,33,33,18,33,23,47,860,321,5436,13042,23152,11435,10882,14957,14493,2430,2385,1787,1522,1511,806,3031,107190,4,103,208,972,692,932,1798,1423,400,385,381,428,506,366,253,8845,3,6,13,303,4763,4400,1847,2058,404,462,614,510,480,290,583,16740,0,9,41,67,543,441,1588,1241,132,104,105,84,104,76,69,4603,150,1360,2889,8649,7996,15089,21033,18990,3893,4585,5464,5143,5774,4455,4078,109544,905,14523,25809,48435,53380,75279,108128,110650,21702,23494,24017,22957,24070,16641,19777,589778,Greater Brisbane
3RQLD,6,46,253,553,1201,1254,5472,5771,687,830,594,556,540,290,305,18355,0,31,120,232,126,273,269,705,143,288,103,111,144,96,82,2739,0,3,3,49,221,582,927,1122,215,216,245,265,304,162,226,4555,0,0,26,116,32,50,61,13,0,0,0,6,0,4,5,330,0,8,16,175,91,109,86,71,3,23,7,17,16,6,32,641,437,7831,16146,24624,10953,10264,13776,13543,1976,2123,1796,1639,1777,1081,3591,111561,10,115,275,1182,738,1004,1511,1308,321,309,295,354,357,272,261,8318,0,3,5,64,399,352,302,759,109,114,164,207,156,98,138,2868,0,5,63,98,449,349,1410,1243,124,130,95,106,75,48,50,4254,181,1789,3852,7988,5513,6441,9106,9426,2041,2415,2783,2876,3426,2217,3005,63054,1201,19390,32273,50180,43980,49156,70664,71500,13633,14944,14016,14012,14345,9062,16587,434944,Rest of Qld
4RSAU,3,7,41,49,62,36,232,282,72,90,45,38,34,27,22,1028,0,3,9,11,18,10,15,64,11,62,34,11,19,3,7,281,0,0,0,3,17,46,59,135,21,19,40,29,18,12,24,426,0,0,4,15,0,0,0,0,0,0,0,0,0,0,3,19,0,3,0,28,14,21,11,0,0,3,0,0,3,0,3,85,56,1487,5284,7446,1319,869,729,807,89,183,101,86,98,58,831,19441,0,8,26,118,60,83,111,86,18,12,11,22,22,3,22,603,0,0,0,13,41,50,35,82,9,6,14,32,28,31,52,400,0,0,12,8,23,6,51,134,15,21,18,12,8,3,11,330,16,328,556,679,306,243,386,665,235,208,208,179,289,138,376,4826,142,3667,8364,9979,3190,2517,3150,4302,900,1049,994,953,1101,539,2140,42970,Rest of SA
4GADE,7,20,137,279,389,459,1602,1516,245,267,203,108,138,116,102,5582,0,17,50,128,216,270,339,897,240,450,279,127,266,169,62,3521,0,0,10,14,305,464,500,459,84,106,89,96,118,64,123,2424,3,43,57,119,30,38,37,10,8,3,5,0,0,0,9,365,0,15,35,137,35,67,78,70,5,5,14,13,6,5,12,515,279,5459,19830,29666,7518,6476,7281,8909,1394,1630,1026,844,758,409,2504,93979,3,25,106,499,356,452,766,539,121,171,155,152,169,127,94,3744,0,0,3,137,4317,3821,1423,1526,282,312,404,394,478,354,441,13896,0,4,43,29,72,79,301,329,51,65,57,28,45,41,15,1153,96,2472,2499,4141,3719,5791,9873,11323,2402,2589,3223,2946,3185,2495,1794,58539,737,19689,41611,46433,26215,29881,38952,55061,9974,11713,12407,12451,14048,9097,10243,338518,Greater Adelaide
5GPER,13,39,277,716,2555,3276,9145,10861,1727,1880,1299,997,847,467,538,34627,14,99,99,363,340,962,964,1800,385,669,557,376,256,203,141,7226,0,6,9,70,436,832,1159,1893,312,345,354,340,354,208,239,6551,7,107,155,868,361,644,345,180,24,37,28,24,19,29,92,2915,0,14,6,128,84,178,301,175,57,45,51,17,26,15,39,1134,533,5873,14353,45797,22866,24886,26025,27426,5722,6571,4829,3668,2820,1364,5073,197796,7,59,175,833,725,958,1434,1288,371,415,312,364,359,231,265,7795,0,7,9,85,4036,3981,1609,1957,362,444,638,520,513,310,615,15079,0,9,79,108,1008,876,2323,3093,340,481,324,251,275,140,137,9439,98,1546,2475,9275,6137,11896,18303,21218,3897,5177,5183,4979,5190,3411,3018,101804,1232,19120,29391,77710,61578,84655,105912,134333,29127,35119,29565,25907,24514,14471,20005,692632,Greater Perth
5RWAU,3,11,75,171,369,340,1540,2203,398,391,229,218,140,59,116,6242,6,17,10,19,21,51,47,150,36,27,44,35,31,16,47,559,0,0,0,12,51,112,233,352,69,56,69,65,92,39,89,1245,3,20,8,28,18,24,15,4,0,0,0,0,0,0,10,129,0,0,0,10,5,9,14,11,3,3,3,5,3,0,3,69,147,1918,4149,10915,4097,3348,3084,3074,704,753,500,397,328,157,1278,34856,0,13,59,251,169,182,226,196,58,66,56,78,75,41,59,1529,0,0,0,5,106,162,84,116,16,26,50,29,41,12,86,750,0,5,34,35,222,177,540,689,101,104,97,56,61,37,33,2173,18,340,518,1301,794,886,1264,1923,398,525,507,449,515,279,646,10375,278,4771,6642,15694,10290,10342,13044,18352,4289,4886,3734,3046,2961,1541,4568,104448,Rest of WA
