gcc_code16,buddhism_m,buddhism_f,buddhism_p,christianity_anglican_m,christianity_anglican_f,christianity_anglican_p,christianity_asyrin_apstlic_m,christianity_asyrin_apstlic_f,christianity_asyrin_apstlic_p,christianity_baptist_m,christianity_baptist_f,christianity_baptist_p,christianity_brethren_m,christianity_brethren_f,christianity_brethren_p,christianity_catholic_m,christianity_catholic_f,christianity_catholic_p,christianity_church_christ_m,christianity_church_christ_f,christianity_church_christ_p,christianity_eastrn_orthdox_m,christianity_eastrn_orthdox_f,christianity_eastrn_orthdox_p,christinty_jehvahs_witnses_m,christinty_jehvahs_witnses_f,christinty_jehvahs_witnses_p,christianity_lattr_day_snts_m,christianity_lattr_day_snts_f,christianity_lattr_day_snts_p,christianity_lutheran_m,christianity_lutheran_f,christianity_lutheran_p,christianity_orintal_orthdx_m,christianity_orintal_orthdx_f,christianity_orintal_orthdx_p,christianity_othr_protestnt_m,christianity_othr_protestnt_f,christianity_othr_protestnt_p,christianity_pentecostal_m,christianity_pentecostal_f,christianity_pentecostal_p,christinty_prsbytrin_refrmd_m,christinty_prsbytrin_refrmd_f,christinty_prsbytrin_refrmd_p,christianity_salvation_army_m,christianity_salvation_army_f,christianity_salvation_army_p,christnty_sevnth_dy_advntst_m,christnty_sevnth_dy_advntst_f,christnty_sevnth_dy_advntst_p,christianity_uniting_church_m,christianity_uniting_church_f,christianity_uniting_church_p,christianity_christian_nfd_m,christianity_christian_nfd_f,christianity_christian_nfd_p,christianity_othr_christian_m,christianity_othr_christian_f,christianity_othr_christian_p,christianity_tot_m,christianity_tot_f,christianity_tot_p,hinduism_m,hinduism_f,hinduism_p,islam_m,islam_f,islam_p,judaism_m,judaism_f,judaism_p,othr_rel_aust_abor_trad_rel_m,othr_rel_aust_abor_trad_rel_f,othr_rel_aust_abor_trad_rel_p,othr_rel_sikhism_m,othr_rel_sikhism_f,othr_rel_sikhism_p,othr_reln_other_reln_groups_m,othr_reln_other_reln_groups_f,othr_reln_other_reln_groups_p,other_religions_tot_m,other_religions_tot_f,other_religions_tot_p,sb_osb_nra_nr_m,sb_osb_nra_nr_f,sb_osb_nra_nr_p,sb_osb_nra_sb_m,sb_osb_nra_sb_f,sb_osb_nra_sb_p,sb_osb_nra_osb_m,sb_osb_nra_osb_f,sb_osb_nra_osb_p,sb_osb_nra_tot_m,sb_osb_nra_tot_f,sb_osb_nra_tot_p,religious_affiliation_ns_m,religious_affiliation_ns_f,religious_affiliation_ns_p,os_visitors_m,os_visitors_f,os_visitors_p,tot_m,tot_f,tot_p,gcc_name16
1RNSW,9029,12880,21912,271951,307172,579125,28,24,49,16519,18321,34838,1641,1663,3298,301982,330330,632313,952,1205,2157,11623,11334,22959,4743,6144,10883,1799,2133,3931,4891,5935,10823,596,551,1145,4190,4680,8875,11178,13394,24568,44233,48319,92549,4084,5106,9182,5182,6107,11292,53614,66494,120113,26764,30314,57081,1187,1368,2550,767139,860578,1627715,5956,5315,11272,7657,6445,14107,912,918,1832,528,513,1035,2538,2209,4752,2880,4401,7283,5943,7128,13068,370144,322500,692641,3932,3179,7105,1876,2909,4778,375946,328582,704530,134351,121548,255899,6193,7537,13728,1313126,1350936,2664066,Rest of NSW
1GSYD,81024,104813,185835,267241,309793,577038,5322,5596,10918,27892,31724,59613,1555,1658,3214,576943,633204,1210145,2074,2405,4483,80771,84647,165420,5081,6707,11792,6066,6452,12518,4380,5325,9702,12714,12907,25626,11056,12455,23506,24245,28549,52798,44274,50428,94699,2561,3425,5984,5162,6177,11344,43207,53530,96739,50824,57361,108185,2102,2386,4485,1173464,1314730,2488201,89297,80719,170022,133646,119848,253488,16819,18134,34949,250,260,516,14630,12387,27015,10942,12199,23140,25827,24849,50673,624600,561443,1186038,6752,5346,12096,2700,3804,6504,634045,570592,1204638,219053,208562,427615,36364,45483,81846,2409538,2487728,4897269,Greater Sydney
2RVIC,4831,6450,11281,84696,101399,186100,4,0,4,8622,9789,18415,936,940,1878,152768,169155,321921,1666,2196,3859,4837,4700,9533,1851,2465,4314,884,1034,1920,5837,6822,12659,269,230,502,1732,2051,3782,4869,5737,10603,21460,24000,45458,1777,2455,4237,1083,1403,2489,39535,50720,90254,13853,15893,29747,419,495,911,347099,401497,748593,3283,2697,5986,5596,4553,10156,327,356,680,92,95,181,1696,1425,3123,1524,2349,3879,3315,3865,7184,252446,228031,480476,2133,1746,3880,891,1328,2221,255468,231111,486576,74400,69052,143452,3501,4212,7717,697830,723790,1421625,Rest of Vic.
2GMEL,76290,94095,170383,149672,186161,335831,1352,1373,2729,26973,31300,58269,948,959,1905,493225,551600,1044828,2985,3803,6789,94949,99627,194580,4498,5715,10212,4672,5094,9769,6539,8392,14930,7590,7744,15325,8302,9502,17809,19632,22866,42500,31482,37509,68993,2454,3473,5923,3693,4354,8049,43507,58906,102414,53849,62238,116085,1790,2125,3916,958119,1102743,2060861,69332,59547,128881,98588,88145,186734,19808,21379,41190,116,118,233,27561,22039,49600,6983,8433,15407,34655,30587,65249,715367,668090,1383459,7037,5739,12782,2813,4233,7045,725217,678061,1403283,202720,199374,402100,27943,37432,65378,2212679,2311375,4524054,Greater Melbourne
3GBRI,19007,25283,44289,139583,161550,301127,29,30,59,23125,25771,48889,577,626,1207,227759,257405,485168,1425,1755,3176,10578,11090,21667,4566,5871,10438,6269,6872,13139,10768,12811,23580,1002,978,1983,6154,6906,13062,16168,18808,34974,28335,31313,59645,2381,3147,5529,4010,4761,8775,45094,57434,102529,32419,36843,69265,2737,3068,5805,562981,647032,1210019,17440,15994,33437,17640,16135,33772,1120,1094,2214,137,128,265,6948,5523,12469,3745,5135,8881,10827,10783,21617,365257,326220,691479,4362,3399,7760,1753,2517,4264,371372,332138,703508,104337,98673,203007,12921,17236,30161,1117652,1164374,2282025,Greater Brisbane
3RQLD,10823,15899,26721,203542,227392,430933,28,17,43,18737,20738,39473,962,950,1912,261708,285704,547411,2476,2953,5426,5342,5801,11142,6439,8302,14735,3523,3871,7392,15492,17797,33291,542,448,993,5299,5761,11059,17273,20404,37677,39945,41741,81686,3033,4025,7056,3946,4749,8695,63519,77350,140868,35177,39588,74762,2052,2279,4329,689022,769855,1458876,6705,5920,12624,6107,5122,11227,1271,1307,2581,499,483,978,2754,2216,4971,3265,4728,7989,6510,7431,13942,369449,324337,693786,3799,3079,6882,2055,3046,5098,375308,330455,705770,145022,129994,275021,23979,29416,53393,1264746,1295406,2560149,Rest of Qld
4RSAU,1046,1347,2397,19108,21264,40370,0,0,0,2218,2327,4550,111,102,212,26535,28463,54998,634,823,1456,1443,1229,2671,613,857,1474,272,328,606,11494,12662,24156,20,13,30,622,644,1272,1928,2305,4233,3078,3236,6315,589,715,1297,321,369,684,19434,22904,42339,4997,5323,10317,333,330,664,93754,103901,197651,436,341,775,937,499,1435,45,40,85,149,149,299,435,373,809,393,637,1039,979,1165,2150,72078,60705,132782,569,461,1028,243,380,624,72892,61551,134442,21540,17479,39025,1252,1189,2443,192886,187513,380395,Rest of SA
4GADE,12852,15935,28784,56043,69394,125438,3,0,3,10050,11669,21716,277,311,593,114357,130128,244485,1394,1952,3349,18734,19687,38423,1898,2422,4319,1170,1413,2586,11855,14963,26818,850,832,1680,2434,2809,5241,6658,8008,14662,5224,6128,11346,1144,1620,2766,950,1106,2054,31321,42498,73819,16516,19416,35940,1492,1676,3172,282385,336035,618414,11614,10548,22155,14618,12528,27143,458,481,945,82,83,165,4277,3718,8001,2587,3303,5892,6952,7109,14057,239478,217834,457313,2387,1980,4368,1017,1528,2548,242880,221348,464224,53892,52634,106527,5054,6840,11901,630696,663454,1294150,Greater Adelaide
5GPER,20502,26815,47319,119698,143834,263532,21,10,29,15203,17236,32446,598,606,1212,199448,223330,422775,2129,2841,4977,10744,11510,22251,3469,4503,7970,2422,2809,5237,2563,3121,5680,1315,1304,2621,5680,6592,12277,9881,11616,21494,16485,18600,35089,1319,1829,3149,1977,2558,4538,16490,22770,39261,30112,35242,65356,1243,1423,2667,440801,511749,952553,19254,17216,36472,25107,22169,47278,2494,2662,5160,116,107,223,6318,5150,11472,3517,4664,8179,9954,9918,19873,325253,291275,616532,3386,2553,5936,1353,1999,3360,329999,295825,625824,91472,85801,177272,10026,13844,23867,949606,985993,1935603,Greater Perth
5RWAU,2532,3024,5554,45978,46682,92659,0,0,3,4994,4889,9887,303,279,582,56198,53040,109242,1146,1357,2504,834,652,1489,1338,1756,3093,764,812,1573,1154,1302,2458,63,36,98,2126,2132,4256,2275,2465,4738,5394,4766,10162,548,709,1259,1262,1381,2642,8661,9994,18655,9031,9363,18389,372,395,762,142451,141999,284455,1314,893,2206,1938,1437,3372,153,127,280,483,408,890,247,176,422,738,1096,1835,1470,1684,3150,106248,83344,189588,935,651,1589,396,588,986,107580,84578,192157,47516,32498,80011,3464,3449,6917,308425,269694,578119,Rest of WA
