gcc_code16,m_y12e_15_19,m_y12e_20_24,m_y12e_25_34,m_y12e_35_44,m_y12e_45_54,m_y12e_55_64,m_y12e_65_74,m_y12e_75_84,m_y12e_85ov,m_y12e_tot,m_y11e_15_19,m_y11e_20_24,m_y11e_25_34,m_y11e_35_44,m_y11e_45_54,m_y11e_55_64,m_y11e_65_74,m_y11e_75_84,m_y11e_85ov,m_y11e_tot,m_y10e_15_19,m_y10e_20_24,m_y10e_25_34,m_y10e_35_44,m_y10e_45_54,m_y10e_55_64,m_y10e_65_74,m_y10e_75_84,m_y10e_85ov,m_y10e_tot,m_y9e_15_19,m_y9e_20_24,m_y9e_25_34,m_y9e_35_44,m_y9e_45_54,m_y9e_55_64,m_y9e_65_74,m_y9e_75_84,m_y9e_85ov,m_y9e_tot,m_y8b_15_19,m_y8b_20_24,m_y8b_25_34,m_y8b_35_44,m_y8b_45_54,m_y8b_55_64,m_y8b_65_74,m_y8b_75_84,m_y8b_85ov,m_y8b_tot,m_dngts_15_19,m_dngts_20_24,m_dngts_25_34,m_dngts_35_44,m_dngts_45_54,m_dngts_55_64,m_dngts_65_74,m_dngts_75_84,m_dngts_85_ov,m_dngts_tot,m_hghst_yr_schl_ns_15_19,m_hghst_yr_schl_ns_20_24,m_hghst_yr_schl_ns_25_34,m_hghst_yr_schl_ns_35_44,m_hghst_yr_schl_ns_45_54,m_hghst_yr_schl_ns_55_64,m_hghst_yr_schl_ns_65_74,m_hghst_yr_schl_ns_75_84,m_hghst_yr_schl_ns_85_ovr,m_hghst_yr_schl_ns_tot,m_tot_15_19,m_tot_20_24,m_tot_25_34,m_tot_35_44,m_tot_45_54,m_tot_55_64,m_tot_65_74,m_tot_75_84,m_tot_85ov,m_tot_tot,f_y12e_15_19,f_y12e_20_24,f_y12e_25_34,f_y12e_35_44,f_y12e_45_54,f_y12e_55_64,f_y12e_65_74,f_y12e_75_84,f_y12e_85ov,f_y12e_tot,f_y11e_15_19,f_y11e_20_24,f_y11e_25_34,f_y11e_35_44,f_y11e_45_54,f_y11e_55_64,f_y11e_65_74,f_y11e_75_84,f_y11e_85ov,f_y11e_tot,f_y10e_15_19,f_y10e_20_24,f_y10e_25_34,f_y10e_35_44,f_y10e_45_54,f_y10e_55_64,f_y10e_65_74,f_y10e_75_84,f_y10e_85ov,f_y10e_tot,f_y9e_15_19,f_y9e_20_24,f_y9e_25_34,f_y9e_35_44,f_y9e_45_54,f_y9e_55_64,f_y9e_65_74,f_y9e_75_84,f_y9e_85ov,f_y9e_tot,f_y8b_15_19,f_y8b_20_24,f_y8b_25_34,f_y8b_35_44,f_y8b_45_54,f_y8b_55_64,f_y8b_65_74,f_y8b_75_84,f_y8b_85ov,f_y8b_tot,f_dngts_15_19,f_dngts_20_24,f_dngts_25_34,f_dngts_35_44,f_dngts_45_54,f_dngts_55_64,f_dngts_65_74,f_dngts_75_84,f_dngts_85_ov,f_dngts_tot,f_hghst_yr_schl_ns_15_19,f_hghst_yr_schl_ns_20_24,f_hghst_yr_schl_ns_25_34,f_hghst_yr_schl_ns_35_44,f_hghst_yr_schl_ns_45_54,f_hghst_yr_schl_ns_55_64,f_hghst_yr_schl_ns_65_74,f_hghst_yr_schl_ns_75_84,f_hghst_yr_schl_ns_85_ovr,f_hghst_yr_schl_ns_tot,f_tot_15_19,f_tot_20_24,f_tot_25_34,f_tot_35_44,f_tot_45_54,f_tot_55_64,f_tot_65_74,f_tot_75_84,f_tot_85ov,f_tot_tot,p_y12e_15_19,p_y12e_20_24,p_y12e_25_34,p_y12e_35_44,p_y12e_45_54,p_y12e_55_64,p_y12e_65_74,p_y12e_75_84,p_y12e_85ov,p_y12e_tot,p_y11e_15_19,p_y11e_20_24,p_y11e_25_34,p_y11e_35_44,p_y11e_45_54,p_y11e_55_64,p_y11e_65_74,p_y11e_75_84,p_y11e_85ov,p_y11e_tot,p_y10e_15_19,p_y10e_20_24,p_y10e_25_34,p_y10e_35_44,p_y10e_45_54,p_y10e_55_64,p_y10e_65_74,p_y10e_75_84,p_y10e_85ov,p_y10e_tot,p_y9e_15_19,p_y9e_20_24,p_y9e_25_34,p_y9e_35_44,p_y9e_45_54,p_y9e_55_64,p_y9e_65_74,p_y9e_75_84,p_y9e_85ov,p_y9e_tot,gcc_name16
1RNSW,15507,42571,74935,73286,53393,57070,41635,16854,4983,380224,5604,7464,12076,11884,11317,9723,6855,3204,884,69014,9104,16350,35969,41356,71997,66714,43448,19909,4578,309429,2340,2372,5694,6610,12173,16106,23640,11844,3725,84511,563,795,2186,2754,5298,11438,16463,13173,5931,58591,81,127,358,417,590,751,895,775,320,4306,5142,6761,13658,13267,15403,16534,16931,12644,6040,106372,38337,76447,144862,149579,170167,178336,149868,78402,26458,1012458,17191,48327,95541,95082,68873,57855,35571,15111,5377,438932,4212,5484,10350,10974,12526,10104,7373,3844,1216,66089,6121,11200,25905,32607,68983,73345,54732,26246,8732,307872,1502,2016,4661,5400,10647,17646,23242,14372,7002,86478,380,497,1319,1812,3703,9571,13241,13337,10109,53968,45,88,280,346,479,633,777,944,517,4108,4790,5222,10416,10754,13367,15455,17153,16053,11761,104972,34239,72830,148481,156983,178573,184612,152087,89902,44710,1062418,32698,90900,170476,168370,122259,114928,77203,31965,10358,819153,9814,12950,22423,22857,23848,19830,14223,7045,2106,135101,15221,27552,61871,73967,140981,140057,98182,46154,13315,617297,3837,4388,10352,12007,22816,33749,46889,26216,10730,170991,Rest of NSW
1GSYD,40950,130013,282226,244914,176851,136876,79904,31134,9933,1132808,6296,8235,15777,14759,14117,9947,6278,2986,1018,79416,9528,16316,39436,45590,73047,58267,38075,19082,5911,305242,2069,2555,6293,7311,10810,12154,16405,8999,3515,70109,525,1213,3822,4764,7756,12638,17017,14077,6527,68341,153,797,2736,2505,3510,4130,3700,3413,1382,22330,7470,12455,30570,24335,21808,18471,15670,11625,6702,149099,66984,171586,380858,344179,307901,252482,177047,91313,34981,1827344,43902,137196,314473,268146,191728,131799,68721,27639,10929,1194515,4666,5930,12509,12692,13839,9751,6914,3695,1439,71439,5967,10572,27394,35612,72325,71709,52889,27227,11810,315508,1355,1785,4711,5992,9955,15417,19179,12424,7676,78492,332,739,2583,4336,8064,16030,20167,18651,11916,82828,107,505,2126,2618,4375,6080,5558,6086,3186,30628,6609,11176,27846,21236,19221,17781,17309,15216,13706,150109,62944,167909,391636,350630,319505,268567,190741,110932,60653,1923519,84857,267211,596699,513060,368579,268670,148625,58770,20858,2327324,10956,14167,28289,27449,27961,19699,13196,6681,2450,150854,15497,26881,66837,81200,145368,129975,90968,46307,17714,620752,3426,4341,11009,13302,20763,27569,35582,21419,11189,148597,Greater Sydney
2RVIC,7729,23556,41909,39957,27806,28664,20003,7627,2387,199636,3302,6029,10124,12419,22142,19097,8968,2969,802,85848,3371,5757,12286,13990,22781,23195,17609,6970,1702,107667,1172,1499,3572,4269,7523,9511,10407,5345,1494,44795,498,680,1595,1732,2688,4914,9893,9281,4403,35688,53,143,418,456,562,459,473,368,144,3068,2766,3520,7412,7297,8645,8961,8831,6454,3122,57017,18899,41194,77308,80118,92156,94804,76188,39014,14047,533720,8612,27194,56088,55453,41057,33843,18418,7562,3165,251389,2141,3743,7239,10013,23141,21135,11440,4472,1426,84749,2152,3695,8087,9590,18407,21600,19389,8943,3265,95116,831,932,1945,2626,5675,9114,9776,5918,2625,39455,317,405,968,1182,1930,4308,9441,9863,7675,36090,49,101,329,402,461,415,426,469,237,2881,2694,2966,5865,6106,7699,8693,9104,8422,5766,57317,16787,39040,80533,85371,98370,99094,78002,45655,24165,567005,16338,50751,98005,95412,68860,62506,38417,15192,5549,451027,5446,9780,17360,22436,45288,40225,20406,7440,2228,170599,5519,9450,20379,23573,41184,44798,37006,15910,4966,202784,2004,2435,5523,6899,13201,18624,20182,11265,4120,84252,Rest of Vic.
2GMEL,36965,129223,269398,221631,153405,114051,67369,25984,8787,1026819,6276,11207,22218,26227,47271,32028,15361,5944,1808,168348,6027,10909,25901,29241,42684,37038,25463,12132,3726,193121,2193,2914,7120,8040,12333,14117,13575,7605,2681,70583,949,1479,4460,5092,7068,10752,19272,19204,8518,76785,225,942,2594,2661,3139,3260,3213,3211,1249,20496,6720,11021,25962,20243,18506,16167,13955,11027,5846,129443,59364,167691,357652,313135,284406,227424,158199,85100,32617,1685596,40337,136889,303719,252520,179382,118912,59471,24015,9831,1125067,4162,7255,15098,19474,46365,35808,19699,8419,3083,159368,3818,6400,15928,18739,35496,39394,33094,16101,7228,176189,1429,1827,4174,5588,10354,15192,15563,9494,4986,68612,625,1010,3529,4834,7444,14127,27261,26749,15959,101543,145,594,2317,2793,3908,4794,4796,5992,2649,27992,6607,10282,24975,19048,18215,16812,16144,14735,11691,138514,57118,164253,369734,323001,301168,245049,176025,105504,55430,1797278,77307,266109,573112,474152,332791,232968,126840,49995,18612,2151891,10438,18469,37317,45701,93642,67835,35064,14365,4893,327711,9841,17306,41830,47982,78180,76436,58554,28229,10956,369310,3625,4741,11293,13630,22686,29313,29140,17100,7667,139196,Greater Melbourne
3GBRI,27321,64777,120843,104482,74514,52011,32553,12194,3311,492004,2725,4646,9929,10135,11560,7737,4209,1492,424,52865,3542,7016,17344,21678,37299,36855,24362,9389,2441,159916,913,1401,3373,3953,5981,6427,5449,2753,983,31233,307,562,1567,1962,3077,4547,10821,8386,3539,34760,62,278,817,683,951,903,656,422,175,4950,3671,5959,12257,10077,9423,8101,7332,5233,2870,64928,38542,84638,166123,152969,142793,116590,85382,39880,13741,840655,28854,68445,135643,120190,84686,52357,27827,10473,3871,532346,2088,3695,8409,9133,11586,7628,4579,1970,642,49737,2655,5433,13160,17003,38367,44373,32375,13501,5105,171968,606,971,2362,2969,4777,6663,5969,3650,1787,29749,181,387,1213,1743,2549,4490,12407,10680,6770,40422,62,201,705,880,1077,1061,761,745,397,5885,3396,5305,11149,8854,8743,8086,7891,6880,6172,66478,37835,84428,172638,160774,151781,124663,91816,47893,24754,896573,56183,133223,256487,224676,159194,104368,60378,22664,7176,1024343,4819,8340,18335,19269,23145,15367,8790,3463,1067,102601,6190,12448,30503,38676,75662,81228,56734,22883,7552,331884,1517,2370,5738,6921,10754,13094,11417,6406,2774,60984,Greater Brisbane
3RQLD,22022,48027,90589,84435,61008,50881,39475,16374,4032,416845,3739,5955,12405,13327,16343,12339,8296,3044,667,76129,5552,9856,24594,31547,56195,58808,40741,15010,3256,245551,1451,1760,4408,5574,9188,10881,11770,5834,1498,52364,404,556,1699,2273,4179,7476,19011,14502,5192,55306,71,177,496,513,669,608,709,527,217,3991,5499,7639,16832,15790,16969,16466,15717,10281,4321,109520,38745,73971,151031,153469,164549,157449,135720,65581,19186,959695,23599,52766,110007,105183,76115,53957,33433,13778,4452,473293,2898,4655,10381,12420,17299,13377,9070,3466,932,74491,4166,7284,18249,24693,54141,65060,48754,18721,6043,247107,1007,1154,3043,3874,6943,10378,11121,6082,2504,46106,241,342,1123,1581,2805,5884,16747,14471,8147,51352,61,120,396,449,549,607,576,557,325,3636,5024,6501,13746,12933,14547,15333,15732,11801,7642,103265,36993,72819,156950,161129,172412,164598,135442,68873,30046,999258,45619,100793,200601,189617,137119,104836,72913,30154,8485,890140,6641,10607,22791,25745,33645,25718,17362,6514,1598,150619,9718,17140,42840,56234,110335,123864,89493,33735,9295,492656,2457,2912,7453,9449,16132,21261,22892,11912,4002,98471,Rest of Qld
4RSAU,1813,4758,8907,9392,7209,7265,5303,2102,598,47345,1096,2264,4591,4723,8003,7455,3366,1071,225,32790,682,1280,3413,3568,6339,7007,6151,2311,545,31295,197,283,898,876,1792,2379,2477,1395,391,10672,66,112,348,416,672,1542,3737,2975,1284,11163,14,44,94,139,143,116,113,82,41,790,684,975,2314,2372,2764,2767,2508,1688,828,16889,4540,9714,20567,21492,26916,28529,23655,11624,3907,150944,2018,5612,11920,12320,9696,7829,4833,1971,672,56875,614,1389,3115,3770,7689,7661,3614,1178,412,29438,410,815,2279,2416,4764,6623,6727,2832,847,27719,124,151,553,548,1112,1784,2346,1559,599,8774,66,67,227,259,404,1006,2876,2900,2217,10020,5,9,54,64,77,72,103,120,51,552,628,662,1375,1457,2044,2259,2428,1944,1532,14324,3868,8711,19529,20836,25780,27228,22927,12502,6311,147697,3829,10373,20831,21715,16906,15092,10135,4075,1270,104219,1712,3651,7711,8493,15691,15118,6979,2244,638,62232,1095,2102,5692,5987,11100,13627,12879,5141,1387,59008,316,434,1450,1421,2899,4163,4818,2958,985,19449,Rest of SA
4GADE,11046,32429,57651,52386,40606,32147,20380,8502,3126,258285,2405,5583,12042,12410,19551,16883,8616,3059,865,81409,1475,3225,8464,8626,13458,13131,11885,5603,1782,67651,504,749,2032,1999,3172,3818,3616,2566,1088,19549,201,308,984,1124,1633,2816,5839,5913,3112,21933,47,188,534,683,814,802,643,688,278,4675,1597,2378,5008,4574,4848,4471,4141,3437,2054,32499,17268,44863,86723,81801,84088,74081,55118,29761,12303,486003,11959,34453,67466,60108,47099,33197,18271,8103,3633,284292,1588,3715,8416,9890,19475,19248,9571,3696,1470,77068,1190,2229,6297,6539,12139,15821,16611,7754,3603,72177,348,494,1448,1528,2554,3937,4560,3733,2285,20883,148,228,885,1045,1424,2953,7064,8006,6064,27821,39,133,509,761,951,909,867,1188,667,6021,1583,2114,4591,4073,4468,4619,4967,4938,3975,35327,16859,43360,89613,83939,88110,80688,61905,37416,21691,523588,23005,66890,125121,112491,87701,65348,38660,16602,6760,542576,3993,9304,20457,22304,39021,36132,18180,6757,2329,158477,2665,5450,14765,15167,25594,28946,28493,13355,5383,139828,852,1237,3475,3524,5732,7758,8176,6299,3373,40435,Greater Adelaide
5GPER,18121,47525,98996,83861,63838,48146,30578,12067,3464,406600,3355,6160,13642,12010,12851,8102,4644,1740,416,62912,4021,6971,17521,19732,31443,28049,19151,7572,1956,136402,829,840,2377,2654,3555,4735,5344,3527,1300,25158,215,337,1130,1352,1848,2804,5070,5725,2447,20933,55,232,821,712,775,677,583,573,242,4672,3056,4946,12136,9524,8642,7238,6584,5315,2807,60253,29650,67015,146634,129842,122949,99752,71962,36508,12629,716931,18628,49552,114331,96255,71953,49928,27185,11950,4078,443867,2366,4397,10461,10613,15484,10821,5864,2408,737,63152,3020,5109,13300,16716,28809,31361,24338,10798,4116,137572,723,582,1483,2114,2761,4360,5804,4294,2344,24459,160,240,911,1483,1819,3344,5645,6840,4145,24604,41,153,631,778,855,931,714,969,531,5600,2736,4271,10416,8127,7634,7287,7183,7234,5939,60825,27671,64301,151542,136089,129312,108037,76734,44496,21893,760070,36750,97081,213330,180120,135784,98073,57765,24020,7542,850468,5724,10554,24104,22618,28334,18923,10511,4145,1152,126069,7041,12078,30818,36443,60245,59407,43496,18365,6073,273971,1551,1423,3862,4765,6316,9097,11149,7817,3640,49611,Greater Perth
5RWAU,2898,7278,20612,19426,14875,12538,7943,2563,620,88752,1363,2268,5823,5666,5675,3740,2080,592,121,27322,1696,2828,8430,9915,15482,14304,8958,2550,471,64630,360,397,1090,1333,2030,2750,2984,1345,358,12642,140,139,378,513,749,1497,2709,2362,809,9296,17,58,159,143,172,177,185,128,70,1101,1429,2178,8124,7388,7192,5774,3869,2035,768,38751,7903,15143,44610,44378,46169,40781,28728,11574,3214,242502,3004,7768,21480,19932,14992,12244,7000,2531,738,89692,842,1546,3881,3992,5635,4525,2213,649,153,23445,1194,1893,5569,6422,10916,12284,8781,2905,832,50799,308,229,666,740,1174,1844,2345,1385,521,9214,109,106,248,338,511,972,1870,1999,1051,7205,19,22,84,85,114,144,151,172,80,875,1212,1500,4263,3554,4099,4060,3469,2236,1286,25677,6684,13071,36198,35070,37439,36068,25838,11881,4664,206911,5896,15047,42089,39358,29863,24774,14947,5100,1355,178441,2206,3821,9711,9660,11312,8262,4297,1240,265,50765,2886,4726,14003,16334,26393,26580,17737,5462,1307,115435,664,622,1752,2075,3199,4594,5331,2734,883,21861,Rest of WA
