gcc_code16,p_y8b_15_19_yrs,p_y8b_20_24_yrs,p_y8b_25_34_yrs,p_y8b_35_44_yrs,p_y8b_45_54_yrs,p_y8b_55_64_yrs,p_y8b_65_74_yrs,p_y8b_75_84_yrs,p_y8b_85ov,p_y8b_tot,p_dngts_15_19,p_dngts_20_24,p_dngts_25_34,p_dngts_35_44,p_dngts_45_54,p_dngts_55_64,p_dngts_65_74,p_dngts_75_84,p_dngts_85_ov,p_dngts_tot,p_hghst_yr_schl_ns_15_19_yrs,p_hghst_yr_schl_ns_20_24_yrs,p_hghst_yr_schl_ns_25_34_yrs,p_hghst_yr_schl_ns_35_44_yrs,p_hghst_yr_schl_ns_45_54_yrs,p_hghst_yr_schl_ns_55_64_yrs,p_hghst_yr_schl_ns_65_74_yrs,p_hghst_yr_schl_ns_75_84_yrs,p_hghst_yr_schl_ns_85_yrs_ovr,p_hghst_yr_schl_ns_tot,p_tot_15_19_yrs,p_tot_20_24_yrs,p_tot_25_34_yrs,p_tot_35_44_yrs,p_tot_45_54_yrs,p_tot_55_64_yrs,p_tot_65_74_yrs,p_tot_75_84_yrs,p_tot_85ov,p_tot_tot,gcc_name16
1GSYD,860,1952,6407,9102,15825,28673,37182,32730,18442,151166,259,1309,4853,5123,7885,10209,9260,9501,4564,52964,14082,23631,58414,45578,41031,36252,32978,26835,20407,299210,129926,339500,772496,694811,627407,521046,367792,202253,95638,3750866,Greater Sydney
1RNSW,946,1290,3501,4565,8995,21011,29700,26510,16038,112563,129,221,638,763,1068,1382,1672,1713,832,8417,9933,11984,24073,24023,28773,31988,34090,28696,17800,211346,72576,149276,293340,306558,348742,362949,301957,168304,71173,2074873,Rest of NSW
2GMEL,1570,2485,7994,9924,14510,24882,46532,45953,24476,178326,372,1532,4909,5457,7046,8058,8004,9199,3902,48484,13331,21304,50939,39294,36716,32982,30102,25764,17541,267958,116482,331946,727388,636134,585573,472467,334229,190606,88049,3482872,Greater Melbourne
2RVIC,809,1092,2557,2916,4623,9218,19343,19142,12077,71777,103,242,743,854,1024,872,896,836,381,5953,5461,6490,13278,13406,16344,17656,17936,14876,8889,114332,35682,80229,157839,165490,190520,193894,154188,84663,38215,1100730,Rest of Vic.
3GBRI,484,950,2778,3700,5626,9038,23233,19065,10310,75180,124,479,1516,1559,2029,1968,1413,1169,573,10831,7063,11263,23407,18936,18162,16193,15223,12112,9043,131402,76376,169068,338762,313746,294573,241252,177197,87771,38489,1737230,Greater Brisbane
3RQLD,644,899,2826,3857,6987,13364,35761,28976,13339,106657,126,300,891,963,1223,1211,1288,1082,535,7622,10524,14139,30581,28727,31515,31797,31443,22088,11962,212780,75738,146790,307980,314596,336960,322051,271162,134452,49227,1958951,Rest of Qld
4GADE,351,536,1871,2168,3056,5777,12901,13919,9178,49757,85,319,1046,1440,1767,1711,1510,1876,945,10694,3179,4490,9600,8641,9319,9093,9104,8369,6026,67818,34133,88216,176338,165741,172199,154769,117027,67182,33998,1009592,Greater Adelaide
4RSAU,136,182,579,678,1075,2548,6615,5884,3495,21185,16,54,149,205,221,190,215,196,90,1335,1307,1635,3682,3830,4801,5023,4940,3634,2358,31212,8411,18426,40088,42326,52696,55756,46583,24133,10214,298644,Rest of SA
5GPER,376,580,2047,2838,3668,6151,10713,12569,6593,45533,95,385,1458,1489,1634,1613,1294,1538,772,10274,5790,9210,22555,17658,16272,14522,13765,12548,8744,121076,57322,131316,298175,265935,252263,207784,148696,81004,34520,1477007,Greater Perth
5RWAU,252,241,629,854,1258,2472,4577,4363,1862,16502,34,80,246,233,289,320,338,293,146,1983,2638,3679,12384,10939,11290,9837,7344,4268,2051,64432,14584,28211,80809,79450,83612,76845,54569,23456,7878,449409,Rest of WA
6GHOB,87,106,263,275,395,931,1365,1684,1362,6475,23,30,90,132,176,143,98,85,46,829,649,881,1915,1732,1938,2034,1992,1687,887,13721,6050,13984,28574,27579,29478,28547,21034,11547,5194,171992,Greater Hobart
6RTAS,108,137,332,384,700,1703,2758,3094,2280,11502,24,56,114,156,208,142,133,108,60,997,1066,1083,2094,2161,3032,3429,3733,2858,1364,20818,8582,15666,29413,31802,39793,41071,32588,16722,6401,222040,Rest of Tas.
7GDAR,34,53,227,348,487,735,981,556,169,3599,3,35,86,91,103,150,119,85,33,697,740,1406,4309,3250,2983,2500,1633,599,180,17607,3541,9557,28047,23170,20716,16487,9838,3298,770,115420,Greater Darwin
7RNTE,501,593,1220,1140,1189,1134,969,329,80,7152,54,76,187,161,273,269,272,183,56,1542,1070,1502,3154,2407,2489,2316,1465,409,95,14911,4108,7297,17029,13566,13560,12371,7464,1926,362,77685,Rest of NT
8ACTE,70,120,259,371,540,1094,1684,1613,892,6628,10,57,174,175,213,211,199,236,105,1389,1063,1919,4397,3461,3121,2617,2119,1751,1382,21826,11460,31290,65900,58500,51309,41155,28354,13922,6100,307981,Australian Capital Territory
9OTER,0,0,6,6,26,62,59,22,3,188,0,0,0,0,9,47,50,22,0,135,31,74,213,141,163,152,99,45,13,927,92,241,698,698,797,821,599,216,59,4225,Other Territories
