gcc_code16,p_650_799_15_19_yrs,p_650_799_20_24_yrs,p_650_799_25_34_yrs,p_650_799_35_44_yrs,p_650_799_45_54_yrs,p_650_799_55_64_yrs,p_650_799_65_74_yrs,p_650_799_75_84_yrs,p_650_799_85ov,p_650_799_tot,p_800_999_15_19_yrs,p_800_999_20_24_yrs,p_800_999_25_34_yrs,p_800_999_35_44_yrs,p_800_999_45_54_yrs,p_800_999_55_64_yrs,p_800_999_65_74_yrs,p_800_999_75_84_yrs,p_800_999_85ov,p_800_999_tot,p_1000_1249_15_19_yrs,p_1000_1249_20_24_yrs,p_1000_1249_25_34_yrs,p_1000_1249_35_44_yrs,p_1000_1249_45_54_yrs,p_1000_1249_55_64_yrs,p_1000_1249_65_74_yrs,p_1000_1249_75_84_yrs,p_1000_1249_85ov,p_1000_1249_tot,p_1250_1499_15_19_yrs,p_1250_1499_20_24_yrs,p_1250_1499_25_34_yrs,p_1250_1499_35_44_yrs,p_1250_1499_45_54_yrs,p_1250_1499_55_64_yrs,p_1250_1499_65_74_yrs,p_1250_1499_75_84_yrs,p_1250_1499_85ov,p_1250_1499_tot,p_1500_1749_15_19_yrs,p_1500_1749_20_24_yrs,p_1500_1749_25_34_yrs,p_1500_1749_35_44_yrs,p_1500_1749_45_54_yrs,p_1500_1749_55_64_yrs,p_1500_1749_65_74_yrs,p_1500_1749_75_84_yrs,p_1500_1749_85ov,p_1500_1749_tot,p_1750_1999_15_19_yrs,p_1750_1999_20_24_yrs,p_1750_1999_25_34_yrs,p_1750_1999_35_44_yrs,p_1750_1999_45_54_yrs,p_1750_1999_55_64_yrs,p_1750_1999_65_74_yrs,p_1750_1999_75_84_yrs,p_1750_1999_85ov,p_1750_1999_tot,p_2000_2999_15_19_yrs,p_2000_2999_20_24_yrs,p_2000_2999_25_34_yrs,p_2000_2999_35_44_yrs,p_2000_2999_45_54_yrs,p_2000_2999_55_64_yrs,p_2000_2999_65_74_yrs,p_2000_2999_75_84_yrs,p_2000_2999_85ov,p_2000_2999_tot,p_3000_more_15_19_yrs,p_3000_more_20_24_yrs,p_3000_more_25_34_yrs,p_3000_more_35_44_yrs,p_3000_more_45_54_yrs,p_3000_more_55_64_yrs,p_3000_more_65_74_yrs,p_3000_more_75_84_yrs,p_3000_more_85ov,p_3000_more_tot,p_pi_ns_15_19_yrs,p_pi_ns_ns_20_24_yrs,p_pi_ns_ns_25_34_yrs,p_pi_ns_ns_35_44_yrs,p_pi_ns_ns_45_54_yrs,p_pi_ns_ns_55_64_yrs,p_pi_ns_ns_65_74_yrs,p_pi_ns_ns_75_84_yrs,p_pi_ns_ns_85_yrs_ovr,p_pi_ns_ns_tot,p_os_vis_15_19_yr,p_os_vis_20_24_yr,p_os_vis_25_34_yr,p_os_vis_35_44_yr,p_os_vis_45_54_yr,p_os_vis_55_64_yr,p_os_vis_65_74_yr,p_os_vis_75_84_yr,p_os_vis_85_yr_over,p_os_vis_tot,p_tot_15_19_yrs,p_tot_20_24_yrs,p_tot_25_34_yrs,p_tot_35_44_yrs,p_tot_45_54_yrs,p_tot_55_64_yrs,p_tot_65_74_yrs,p_tot_75_84_yrs,p_tot_85ov,p_tot_tot,gcc_name16
1RNSW,3565,20223,31362,28074,31779,30025,21366,10066,3508,179976,1595,15792,35079,31232,36106,33017,16260,5816,2338,177240,610,10031,34742,32079,35548,31414,14010,4648,1698,164779,192,4180,23919,22699,24153,19716,6552,1703,581,103691,73,1774,17594,20673,22070,16617,4549,1131,440,84926,30,775,10349,16130,16989,12412,2820,725,311,60534,54,632,12438,23138,23846,15793,3702,1026,372,80999,192,399,3453,9740,11625,8851,3582,1340,554,39737,18128,13585,26035,25322,29285,31607,31907,25415,17306,218584,1375,2672,2964,1137,1270,1598,1050,411,104,12580,161044,152254,296497,307875,350199,364722,303178,168858,71337,2175967,Rest of NSW
1GSYD,4946,34047,61360,46342,45120,37384,24865,11526,4504,270096,2636,34066,83066,58517,56169,44150,21658,7827,3150,311243,1123,26437,99017,68464,61580,47654,20165,6060,2511,333004,366,11508,74447,55166,46413,32616,12165,3080,1216,236971,197,4667,60290,53580,43955,29619,9346,2500,1062,205211,114,1701,37540,43162,34706,22201,6266,1630,705,148014,112,1358,51947,79309,59344,34615,9576,2495,1004,239758,269,774,18036,57310,55018,29110,9745,3113,1419,174795,22907,27276,64296,50268,44371,36653,31071,24503,20701,322040,6345,11144,14777,8798,10382,14260,7914,2083,345,76047,295334,352022,788541,704650,638741,536230,376314,204653,96096,3992576,Greater Sydney
2RVIC,1517,10942,17363,15434,17765,16925,11115,5070,1971,98109,717,9069,20108,17698,20461,18173,8169,2874,1190,98462,279,5476,19959,17763,20410,17158,6519,2142,1009,90724,82,1995,13359,12979,13677,10592,3218,802,285,56999,33,808,8556,10912,11874,8915,2084,560,225,43968,17,290,4535,7405,8368,5986,1341,339,153,28430,27,234,4622,9177,10357,7099,1687,494,181,33887,122,229,1638,4360,5520,4243,1684,667,289,18746,10420,7312,14018,14052,16391,17323,16811,12997,8513,117838,790,1325,1802,821,793,802,515,154,71,7076,87618,81825,159791,166408,191410,194776,154769,84886,38312,1159788,Rest of Vic.
2GMEL,3209,31079,63321,46800,45677,35785,23256,10721,4414,264263,1747,29755,85980,58377,56366,41358,19104,6717,3109,302520,779,20245,97777,66153,60694,43879,16658,5155,2202,313544,233,7495,70638,52783,44859,30010,9691,2474,1098,219286,184,2921,51139,49227,41303,26367,7383,1886,862,181271,86,1184,28858,37019,30668,19058,4846,1277,564,123553,150,1046,36870,60821,48333,27522,7243,1915,847,184732,260,783,11314,38775,39419,21342,7422,2360,1089,122771,22600,25247,56271,43989,41117,34635,29912,23836,18084,295690,4949,9281,11278,6362,8168,12404,6563,1460,241,60700,274842,342479,739566,643295,594494,485456,341225,192296,88400,3702060,Greater Melbourne
3GBRI,3086,20382,31755,23983,22784,18428,13079,5503,1947,140944,1637,18717,41180,30513,29123,21909,10352,3314,1217,157949,622,13041,44979,35623,33002,23667,8806,2389,928,163053,204,5608,32520,27583,24502,15869,4772,1071,356,112476,111,2149,24740,26949,23785,14661,3409,734,284,96813,40,851,14055,18706,16569,9551,2165,482,167,62592,43,641,17079,29400,25999,13703,2961,737,279,90837,119,331,5126,16722,17718,9472,2911,933,364,53695,11269,12815,25498,20714,19197,16460,14820,10996,9140,140918,3007,5056,5684,2620,3182,4459,2711,789,143,27672,149362,174533,344772,316565,297945,245886,180052,88655,38678,1836450,Greater Brisbane
3RQLD,3648,20271,31215,27818,29247,25604,18756,8140,2344,167038,1866,16685,35778,31606,34144,28181,14372,4729,1534,168889,794,11295,36003,33382,35413,28109,12271,3644,1210,162128,251,5284,24662,24362,24605,17983,6259,1566,433,105399,123,2406,18495,22595,23514,16127,4312,1162,339,89066,72,1184,10999,15202,15531,10373,2707,700,247,57023,60,1173,15315,22642,22872,13867,3716,1060,308,81010,167,466,5103,11473,12513,8582,3637,1361,417,43712,16625,15630,32519,30179,32730,32494,31156,20239,11952,223528,4874,7875,9605,5056,6187,5925,5628,2354,424,47934,154521,154924,317812,319843,343343,328096,276904,136893,49677,2082014,Rest of Qld
4RSAU,441,2689,4267,4159,4960,4452,3351,1665,497,26473,198,2121,4904,4555,5587,5044,2351,848,296,25898,93,1319,4396,4510,5512,5021,1965,590,227,23628,22,652,2934,2918,3635,2933,915,177,59,14241,19,260,2144,2488,3031,2509,600,167,45,11261,12,135,1246,1790,2144,1669,392,69,37,7480,4,123,1549,2332,2651,1882,457,114,52,9166,24,55,446,968,1180,1043,462,147,78,4407,2525,1738,3908,3804,4617,4941,4566,3157,2352,31602,254,417,768,223,231,211,128,48,6,2289,21128,18957,40894,42576,52950,55999,46731,24199,10225,313653,Rest of SA
4GADE,905,9184,18151,14330,14480,11982,8636,4412,1964,84047,441,8164,22347,17903,18436,14454,7250,2652,1308,92956,172,5142,23156,19258,19939,15686,6169,1839,927,92279,66,1991,15449,13831,13623,9824,3282,762,353,59180,32,720,11265,12790,12187,8871,2226,522,290,48896,24,218,6020,8951,8992,6380,1524,364,172,32644,21,215,5845,11892,12463,7917,1928,495,216,40984,78,162,1639,5480,6929,4869,1898,661,359,22083,5630,5167,10543,9095,9580,8756,8216,7080,5921,69994,1397,1577,1842,1016,1266,2177,1214,272,60,10830,80893,90463,178486,166916,173659,157113,118372,67513,34082,1067496,Greater Adelaide
5GPER,2025,13276,21512,16494,16112,13282,10597,5159,1892,100346,1057,13166,29667,21207,21241,16315,8640,2976,1363,115639,471,10407,37049,26252,25978,20067,7952,2273,961,131418,133,5316,28337,21607,20385,14359,4624,980,352,96086,70,2408,23591,20654,19588,13075,3442,745,262,83834,30,1042,15337,16591,15408,10135,2398,487,201,61624,29,1047,21238,29237,27315,16549,3565,791,271,100052,94,396,7144,18729,20018,11320,3236,936,341,62217,9326,10438,24241,18764,17191,14509,12877,10964,8505,126811,1796,3434,4418,2158,2562,4501,2543,682,123,22208,122110,135140,302962,268374,255058,212510,151364,81769,34670,1563967,Greater Perth
5RWAU,860,3239,4976,4554,5005,4998,3916,1507,452,29510,519,2969,5881,5397,6365,5615,2900,901,254,30808,290,2428,7049,6557,7295,6274,2623,686,216,33416,96,1495,5418,5237,5606,4306,1393,315,80,23954,56,1014,5212,5115,5650,4261,1099,235,59,22709,37,694,4434,4600,4864,3543,688,149,40,19052,41,1011,9257,10034,9770,5893,1120,204,53,37389,50,420,4871,6512,6298,3804,1031,244,60,23279,4373,3901,12596,11088,11322,9771,7002,3820,1994,65867,406,1013,2040,715,878,839,475,128,16,6515,29929,29256,82883,80211,84519,77719,55073,23603,7901,471102,Rest of WA
