gcc_code16,p55_64_c_own_chld_childr,p55_64_c_oth_ch_chiln,p55_64_ca_ow_ch_ch_oth_ch_ch,p55_64_yr_c_for_t,p55_64_d_not_prov_ch_care,p55_64_u_ch_care_ns,p55_64_os_v,p55_64_yr_t,p65_74_c_own_chld_childr,p65_74_c_oth_ch_chiln,p65_74_ca_ow_ch_ch_oth_ch_ch,p65_74_yr_c_for_t,p65_74_d_not_prov_ch_care,p65_74_u_ch_care_ns,p65_74_os_v,p65_74_yr_t,p75_84_c_own_chld_childr,p75_84_c_oth_ch_chiln,p75_84_ca_ow_ch_ch_oth_ch_ch,p75_84_yr_c_for_t,p75_84_d_not_prov_ch_care,p75_84_u_ch_care_ns,p75_84_os_v,p75_84_yr_t,p85ovr_c_own_chld_childr,p85ovr_c_oth_ch_chiln,p85ov_ca_ow_ch_ch_oth_ch_ch,p85ovr_c_for_t,p85ovr_d_not_prov_ch_care,p85ovr_u_ch_care_ns,p85ovr_os_v,p85ovr_t,pt_c_own_chld_childrn,pt_c_oth_ch_chiln,pt_ca_ow_ch_ch_oth_ch_ch,pt_c_for_t,pt_d_not_prov_ch_care,pt_u_ch_care_ns,pt_os_v,pt_t,gcc_name16
1GSYD,28780,69826,1289,99892,388191,33888,14260,536230,6053,73615,609,80277,259394,28730,7914,376314,1303,16201,137,17646,162720,22201,2083,204653,299,1122,14,1436,79371,14946,345,96096,797167,250738,23566,1071478,2549581,295480,76047,3992576,Greater Sydney
1RNSW,12171,56442,642,69258,264373,29487,1598,364722,2401,42093,196,44692,226393,31038,1050,303178,568,7250,51,7870,134398,26180,411,168858,243,556,10,809,55412,15013,104,71337,397031,171307,17819,586157,1370954,206276,12580,2175967,Rest of NSW
2GMEL,24524,65151,1141,90820,351518,30719,12404,485456,4750,70435,524,75704,232103,26853,6563,341225,1182,15200,115,16494,151957,22384,1460,192296,357,971,13,1342,73041,13779,241,88400,743315,238418,23863,1005592,2370553,265213,60700,3702060,Greater Melbourne
2RVIC,6578,30488,321,37391,140935,15647,802,194776,1375,22746,115,24242,113580,16442,515,154769,344,3893,28,4270,66613,13846,154,84886,231,289,15,540,30017,7678,71,38312,215996,91858,10007,317861,724081,110771,7076,1159788,Rest of Vic.
3GBRI,10076,37069,502,47649,178612,15157,4459,245886,1962,31606,216,33785,129447,14109,2711,180052,358,5498,31,5888,70988,10988,789,88655,93,342,4,436,30344,7750,143,38678,380757,130669,15745,527168,1150763,130845,27672,1836450,Greater Brisbane
3RQLD,10629,42108,549,53292,238785,30103,5925,328096,2115,29936,181,32238,208852,30194,5628,276904,467,5104,43,5612,108280,20649,2354,136893,160,342,6,508,38457,10289,424,49677,387863,136944,16719,541526,1281981,210576,47934,2082014,Rest of Qld
4GADE,6205,24886,300,31388,115411,8137,2177,157113,1195,24721,126,26045,83217,7892,1214,118372,276,4585,32,4894,55090,7257,272,67513,102,297,10,409,28932,4674,60,34082,204664,84053,8225,296944,695229,64492,10830,1067496,Greater Adelaide
4RSAU,1540,8314,88,9938,41312,4533,211,55999,343,5541,26,5913,36175,4512,128,46731,75,838,4,914,19798,3436,48,24199,71,58,7,139,8203,1880,6,10225,54435,24618,2691,81751,199832,29783,2289,313653,Rest of SA
5GPER,9014,32043,435,41488,153089,13434,4501,212510,1703,27845,191,29733,106910,12181,2543,151364,348,5215,29,5589,64737,10763,682,81769,82,283,8,372,27092,7087,123,34670,324250,109775,12432,446453,977192,118110,22208,1563967,Greater Perth
5RWAU,2281,9045,119,11437,56218,9224,839,77719,398,5323,33,5757,42040,6800,475,55073,103,856,7,966,18564,3948,128,23603,56,51,3,109,6177,1601,16,7901,88534,29841,4362,122739,279077,62773,6515,471102,Rest of WA
6GHOB,1106,4499,62,5667,21079,1820,216,28785,191,3824,15,4032,15333,1691,103,21149,41,751,0,794,9326,1434,22,11584,17,44,0,65,4398,739,13,5211,34493,14552,1730,50776,115897,12909,1497,181077,Greater Hobart
6RTAS,1196,5460,56,6705,31432,2948,136,41226,257,3311,15,3584,25687,3341,82,32694,53,584,5,642,13580,2512,31,16763,46,47,0,92,5211,1098,14,6419,41598,16484,1791,59875,151523,19552,1240,232190,Rest of Tas.
7GDAR,712,1844,32,2584,11520,2391,486,16976,129,1251,9,1386,6963,1497,320,10158,29,206,7,238,2496,561,73,3372,6,13,0,20,616,129,9,781,22996,6695,833,30524,71408,17590,4665,124188,Greater Darwin
7RNTE,381,1512,98,1996,8196,2190,453,12829,89,711,37,836,5271,1365,210,7671,26,134,13,175,1350,401,56,1978,4,13,0,20,262,83,5,367,13717,8482,2414,24607,41360,14278,3771,84027,Rest of NT
8ACTE,1984,6390,94,8476,30159,2556,790,41982,358,6665,43,7061,19377,1938,496,28878,89,1311,4,1403,10946,1588,74,14013,20,92,3,112,4728,1265,18,6127,67342,23138,2693,93169,206238,22080,4538,326033,Australian Capital Territory
9OTER,27,75,0,105,580,141,11,840,9,68,0,74,435,90,15,617,5,14,0,14,163,39,16,239,0,0,0,0,48,9,3,66,644,264,23,932,2513,907,107,4460,Other Territories
