gcc_code16,intct_fam_no_otr_chld_pre_fam,step_fam_no_otr_chld_pre_fam,blnd_fam_no_otr_chld_pre_fam,intct_fam_othr_child_pres_fam,step_fam_othr_child_pres_fam,blnd_fam_othr_child_pres_fam,otr_cpl_fam_otr_chld_only_fam,tot_families,gcc_name16
1GSYD,560076,30021,16425,7758,680,364,2093,617424,Greater Sydney
1RNSW,231279,19504,13019,3051,452,257,2372,269939,Rest of NSW
2GMEL,511184,29164,14697,5801,545,260,1502,563155,Greater Melbourne
2RVIC,127719,10289,6542,1089,186,81,899,146809,Rest of Vic.
3GBRI,230387,19436,11790,3172,453,225,1237,266696,Greater Brisbane
3RQLD,214481,19568,12503,2877,504,236,1628,251804,Rest of Qld
4GADE,130458,10473,5314,1353,194,81,574,148447,Greater Adelaide
4RSAU,30838,2740,1938,353,59,25,342,36293,Rest of SA
5GPER,210684,15268,8538,2521,314,160,1038,238521,Greater Perth
5RWAU,45612,3696,2768,761,123,61,588,53618,Rest of WA
6GHOB,19483,2046,1227,189,33,28,151,23160,Greater Hobart
6RTAS,23538,2494,1604,215,41,18,206,28122,Rest of Tas.
7GDAR,12902,1155,719,243,23,9,86,15144,Greater Darwin
7RNTE,6837,520,313,605,80,56,256,8667,Rest of NT
8ACTE,42718,3015,1600,439,43,23,165,48008,Australian Capital Territory
9OTER,378,23,17,8,0,0,0,430,Other Territories
