gcc_code16,neg_nil_inc_fam_households,neg_nil_inc_non_fam_househlds,negative_nil_income_tot,hi_1_149_family_households,hi_1_149_non_family_hseholds,hi_1_149_tot,hi_150_299_family_households,hi_150_299_non_fam_househlds,hi_150_299_tot,hi_300_399_family_households,hi_300_399_non_fam_househlds,hi_300_399_tot,hi_400_499_family_households,hi_400_499_non_fam_househlds,hi_400_499_tot,hi_500_649_family_households,hi_500_649_non_fam_househlds,hi_500_649_tot,hi_650_799_family_households,hi_650_799_non_fam_househlds,hi_650_799_tot,hi_800_999_fam_households,hi_800_999_non_fam_hsehlds,hi_800_999_tot,hi_1000_1249_fam_households,hi_1000_1249_non_fam_hsehlds,hi_1000_1249_tot,hi_1250_1499_fam_households,hi_1250_1499_non_fam_hsehlds,hi_1250_1499_tot,hi_1500_1749_fam_households,hi_1500_1749_non_fam_hsehlds,hi_1500_1749_tot,hi_1750_1999_fam_households,hi_1750_1999_non_fam_hsehlds,hi_1750_1999_tot,hi_2000_2499_fam_households,hi_2000_2499_non_fam_hsehlds,hi_2000_2499_tot,hi_2500_2999_fam_households,hi_2500_2999_non_fam_hsehlds,hi_2500_2999_tot,hi_3000_3499_fam_households,hi_3000_3499_non_fam_hsehlds,hi_3000_3499_tot,hi_3500_3999_fam_households,hi_3500_3999_non_fam_hsehlds,hi_3500_3999_tot,hi_4000_more_fam_households,hi_4000_more_non_fam_hsehlds,hi_4000_more_tot,part_inc_stated_fam_household,part_inc_std_non_fam_hhds,partial_income_stated_tot,all_incomes_ns_famly_househld,all_inc_ns_non_famly_househld,all_incomes_not_stated_tot,tot_family_households,tot_non_family_households,tot_tot,gcc_name16
1GSYD,13187,18426,31619,5362,6076,11435,8435,20661,29095,7064,31998,39059,25287,55417,80707,26040,30255,56289,61761,27644,89404,56133,32437,88570,77180,35923,113106,77891,27698,105588,67503,24981,92480,69731,20238,89963,146785,34757,181546,109457,6807,116267,79082,4346,83428,65761,20386,86142,170200,7516,177710,114132,14373,128502,14667,23327,37993,1195662,443259,1638920,Greater Sydney
1RNSW,5066,7089,12153,3478,4304,7777,5327,18452,23777,5490,31089,36574,22560,65119,87686,22396,30433,52832,65464,26510,91968,48663,27454,76117,62277,24986,87263,59027,15915,74945,43109,11745,54857,43273,9212,52493,76944,12282,89231,50341,2103,52442,30648,1152,31799,18921,5198,24113,36670,1667,38331,66772,5780,72550,12456,22035,34483,678869,322528,1001390,Rest of NSW
2GMEL,14140,21893,36036,6089,7050,13139,9167,21860,31027,7366,30999,38365,26590,58430,85026,27212,34003,61210,65568,31244,96813,61073,37503,98578,82729,41471,124203,82814,32020,114833,70950,26692,97646,72231,20040,92274,145241,30724,175963,103069,6099,109172,66638,3607,70239,50116,14504,64617,115498,4417,119909,106060,14431,120488,17010,23324,40333,1129553,460323,1589879,Greater Melbourne
2RVIC,3055,4175,7233,2176,2671,4842,3041,10830,13870,3101,17214,20315,12945,35831,48776,12646,17973,30620,34887,15286,50175,27719,16260,43980,35024,14505,49529,33376,9181,42553,24637,6772,31411,24639,4566,29201,42073,5797,47871,25793,1146,26941,14070,530,14603,8181,2625,10799,15510,815,16331,35446,2838,38282,7414,12818,20234,365732,181832,547564,Rest of Vic.
3GBRI,4697,6283,10978,2278,2606,4884,3513,9204,12718,3345,14608,17957,12017,32177,44191,14016,18516,32528,35030,15944,50973,31772,18900,50670,43091,20676,63770,43711,15408,59126,36928,13108,50033,37962,9455,47424,76037,14338,90372,53978,3289,57270,35992,1874,37870,25872,5670,31541,54961,1866,56832,52514,7672,60181,6708,10326,17031,574438,221924,796360,Greater Brisbane
3RQLD,5550,7096,12642,3221,3656,6871,4567,14155,18729,4545,21523,26070,18289,48078,66366,19324,25092,44414,52346,24559,76904,41436,25780,67218,53542,25527,79066,52541,17161,69699,40143,12546,52690,40612,9537,50148,74446,13583,88031,48453,3082,51532,28983,1608,30588,18564,5424,23990,34449,2371,36823,64296,7231,71528,10128,20031,30157,615423,288033,903450,Rest of Qld
4GADE,2796,4432,7228,1633,2251,3881,2582,9481,12071,2461,14232,16698,9362,27804,37162,10491,14731,25223,26892,12762,39652,23146,14581,37728,29946,14396,44340,28550,9285,37837,22746,7563,30311,22383,5331,27715,42161,6577,48733,28264,1051,29323,17363,616,17975,10737,2663,13393,21640,580,22225,31076,3385,34460,3945,7250,11200,338181,158967,497143,Greater Adelaide
4RSAU,716,1109,1829,620,787,1402,893,3637,4525,933,5271,6204,4055,11176,15228,3701,4989,8685,11277,4431,15706,8107,4457,12568,9947,4091,14038,9295,2528,11826,6282,1794,8078,6427,1288,7715,10415,1688,12109,6085,306,6391,3248,173,3420,1734,735,2470,3245,235,3473,9775,577,10356,1879,3833,5718,98639,53109,151746,Rest of SA
5GPER,4973,6135,11104,2300,2649,4952,3695,9436,13136,3226,13316,16542,10773,26884,37656,11449,14725,26176,28138,12399,40537,24252,14895,39148,33524,17396,50921,32988,13385,46378,28882,11596,40485,29948,9121,39067,64220,14364,78589,46283,2328,48613,31328,1490,32818,25997,6407,32403,57258,1840,59099,58620,6278,64893,5788,9051,14834,503642,193712,697351,Greater Perth
5RWAU,1074,1653,2724,706,933,1631,1045,3117,4160,1057,4585,5639,3689,8895,12581,3596,4527,8122,9301,4991,14293,7046,5095,12144,8930,5643,14574,8807,4073,12884,7095,3208,10303,7792,2879,10671,15224,4755,19982,10430,891,11319,6927,521,7456,5051,2015,7063,9903,1103,11011,16211,1358,17570,2364,5498,7856,126238,65740,191986,Rest of WA
