gcc_code16,num_mvs_per_dweling_0_mvs,num_mvs_per_dweling_1_mvs,num_mvs_per_dweling_2_mvs,num_mvs_per_dweling_3_mvs,num_mvs_per_dweling_4mo_mvs,num_mvs_per_dweling_tot,num_mvs_ns,total_dwelings,gcc_name16
1GSYD,183722,608592,534874,165443,89988,1582617,137059,1719678,Greater Sydney
1RNSW,61652,352449,359113,119002,62719,954936,100244,1055183,Rest of NSW
2GMEL,141575,552163,578718,174090,90975,1537519,127023,1664540,Greater Melbourne
2RVIC,29700,179931,201839,70123,40899,522494,55249,577735,Rest of Vic.
3GBRI,52548,272649,296166,98627,51832,771823,61580,833399,Greater Brisbane
3RQLD,50401,313100,331842,110262,56689,862293,96048,958343,Rest of Qld
4GADE,40272,182184,178701,54726,26148,482031,32706,514742,Greater Adelaide
4RSAU,8833,51120,53147,19950,11907,144960,13848,158804,Rest of SA
5GPER,34703,224994,273402,93091,51171,677364,54986,732349,Greater Perth
5RWAU,10021,59187,67998,26831,17124,181157,24587,205742,Rest of WA
6GHOB,6986,31840,29822,9943,5087,83679,6533,90210,Greater Hobart
6RTAS,7064,38668,39876,15158,8486,109251,10151,119401,Rest of Tas.
7GDAR,2535,14096,17102,5918,3167,42824,6940,49770,Greater Darwin
7RNTE,5129,9693,6247,1971,1027,24063,5409,29476,Rest of NT
8ACTE,8070,53886,56076,15652,7067,140752,9948,150693,Australian Capital Territory
9OTER,80,475,530,184,110,1387,166,1556,Other Territories
