gcc_code16,p_aged_15_yr_over_m,p_aged_15_yr_over_f,p_aged_15_yr_over_p,lab_for_st_empl_worked_ft_m,lab_for_st_empl_worked_ft_f,lab_for_st_empl_worked_ft_p,lab_for_st_empl_worked_pt_m,lab_for_st_empl_worked_pt_f,lab_for_st_empl_worked_pt_p,lab_for_st_empl_awy_frm_wrk_m,lab_for_st_empl_awy_frm_wrk_f,lab_for_st_empl_awy_frm_wrk_p,lab_for_st_unemp_lkg_fr_wrk_m,lab_for_st_unemp_lkg_fr_wrk_f,lab_for_st_unemp_lkg_fr_wrk_p,lab_for_st_tot_labour_force_m,lab_for_st_tot_labour_force_f,lab_for_st_tot_labour_force_p,lab_for_st_n_the_lbour_frce_m,lab_for_st_n_the_lbour_frce_f,lab_for_st_n_the_lbour_frce_p,percent_unemployment_m,percent_unemployment_f,percent_unemployment_p,pcent_lab_force_particip_m,pcent_lab_force_particip_f,pcent_lab_force_particip_p,pcent_employmnt_to_pop_m,pcent_employmnt_to_pop_f,pcent_employmnt_to_pop_p,non_sc_quals_postgrad_deg_m,non_sc_quals_postgrad_deg_f,non_sc_quals_postgrad_deg_p,non_sc_qua_gra_dip_gra_cer_m,non_sc_qua_gra_dip_gra_cer_f,non_sc_qua_gra_dip_gra_cer_p,non_sc_quals_bachelor_deg_m,non_sc_quals_bachelor_deg_f,non_sc_quals_bachelor_deg_p,non_sc_quals_adv_dip_dip_m,non_sc_quals_adv_dip_dip_f,non_sc_quals_adv_dip_dip_p,non_sc_quals_cert3a4_level_m,non_sc_quals_cert3a4_level_f,non_sc_quals_cert3a4_level_p,non_sc_quals_cert1a2_level_m,non_sc_quals_cert1a2_level_f,non_sc_quals_cert1a2_level_p,non_sc_quals_certnfd_level_m,non_sc_quals_certnfd_level_f,non_sc_quals_certnfd_level_p,non_sc_quals_certtot_level_m,non_sc_quals_certtot_level_f,non_sc_quals_certtot_level_p,mig_lvd_same_add_1_yr_ago_m,mig_lvd_same_add_1_yr_ago_f,mig_lvd_same_add_1_yr_ago_p,mig_lvd_diff_add_1_yr_ago_m,mig_lvd_diff_add_1_yr_ago_f,mig_lvd_diff_add_1_yr_ago_p,mig_lvd_same_add_5_yr_ago_m,mig_lvd_same_add_5_yr_ago_f,mig_lvd_same_add_5_yr_ago_p,mig_lvd_diff_add_5_yr_ago_m,mig_lvd_diff_add_5_yr_ago_f,mig_lvd_diff_add_5_yr_ago_p,gcc_name16
1RNSW,1056792,1106598,2163387,420840,235333,656171,124446,264705,389151,30372,34043,64416,43595,35453,79044,619258,569532,1188786,359194,457450,816639,7.0,6.2,6.6,58.6,51.5,55.0,54.5,48.3,51.3,27845,29068,56913,11460,21927,33385,89244,136517,225762,68714,108402,177117,288152,136528,424675,10366,20944,31316,18153,34328,52481,316664,191801,508463,996040,1027435,2023477,176376,188001,364383,679232,693145,1372380,441529,473955,915485,Rest of NSW
1GSYD,1911551,2004978,3916531,908342,569075,1477411,243462,438169,681632,50262,58124,108379,75780,70815,146597,1277844,1136178,2414023,513428,748521,1261949,5.9,6.2,6.1,66.8,56.7,61.6,62.9,53.1,57.9,145951,140849,286809,26974,42952,69923,343153,406478,749630,155756,208765,364516,321476,150143,471625,11992,23404,35396,31147,50636,81783,364617,224186,588802,1806774,1876451,3683220,348400,356831,705229,1168999,1223121,2392122,895314,922154,1817472,Greater Sydney
2RVIC,560148,592560,1152716,234853,119411,354261,68488,156500,224990,17429,20080,37509,21567,17738,39314,342341,313733,656071,177416,236347,413763,6.3,5.7,6.0,61.1,52.9,56.9,57.3,50.0,53.5,12079,13966,26044,7821,16492,24317,45683,74287,119974,38081,59650,97735,148099,71182,219276,4785,9487,14276,7997,12553,20546,160877,93226,254100,533716,553329,1087045,89375,96964,186333,366811,376457,743265,227640,247216,474852,Rest of Vic.
2GMEL,1765640,1875718,3641361,828994,482601,1311600,236576,457166,693743,46275,55976,102254,79374,74605,153977,1191225,1070348,2261569,469909,695272,1165182,6.7,7.0,6.8,67.5,57.1,62.1,63.0,53.1,57.9,116207,116157,232363,33192,60444,93638,304353,368232,672587,150822,193586,344413,316065,150666,466725,10744,18678,29420,22847,35931,58776,349654,205275,554929,1662504,1736787,3399298,328494,342516,671007,1086835,1143118,2229950,820718,856435,1677158,Greater Melbourne
3GBRI,877291,931482,1808778,413786,258431,672219,113042,224924,337970,23384,28621,52001,45293,40485,85777,595505,552463,1147967,231428,324998,556428,7.6,7.3,7.5,67.9,59.3,63.5,62.7,55.0,58.7,44965,43699,88666,13902,24515,38409,123286,162867,286153,70331,95472,165803,196087,100565,296660,8109,12767,20879,12879,19763,32639,217070,133100,350171,811517,845501,1657021,193216,202905,396120,501884,523310,1025194,459469,484720,944183,Greater Brisbane
3RQLD,998014,1036068,2034085,415011,243134,658149,113234,242861,356095,31671,32747,64421,49006,41065,90075,608918,559812,1168733,298087,391460,689546,8.0,7.3,7.7,61.0,54.0,57.5,56.1,50.1,53.0,22760,24272,47028,9813,19636,29447,81339,130343,211682,67471,102290,169760,272464,125170,397633,9882,16686,26570,15942,24527,40466,298283,166379,464665,895293,915757,1811045,202010,216995,419005,563630,567773,1131401,485825,520045,1005872,Rest of Qld
4RSAU,157339,154024,311367,63311,29440,92750,17578,39465,57046,5064,4958,10022,6550,4651,11203,92496,78515,171017,53330,65180,118505,7.1,5.9,6.6,58.8,51.0,54.9,54.6,48.0,51.3,1686,1962,3646,1142,2423,3565,8246,14574,22820,8086,13199,21285,40701,19278,59983,2002,3296,5297,2906,3731,6637,45612,26306,71915,149422,146341,295764,22542,23214,45752,107141,103312,210455,57143,58939,116083,Rest of SA
4GADE,509968,546699,1056669,215466,124494,339966,70468,141922,212397,12916,16577,29498,27524,21594,49117,326378,304595,630975,159743,216664,376408,8.4,7.1,7.8,64.0,55.7,59.7,58.6,51.8,55.1,23700,23349,47049,7719,13579,21298,67149,89164,156317,40185,52354,92539,111288,57937,169224,5639,8575,14209,8180,12060,20243,125103,78574,203673,490180,516224,1006410,85102,89750,174852,336723,353710,690435,216369,231268,447633,Greater Adelaide
5GPER,749611,792146,1541754,350469,199290,549760,98905,205726,304635,22619,23961,46582,44441,36873,81318,516445,465848,982293,186929,278225,465153,8.6,7.9,8.3,68.9,58.8,63.7,63.0,54.2,58.4,36307,33307,69611,11582,20915,32500,110248,143345,253591,63171,80982,144153,170274,78402,248675,6613,11449,18060,10762,19941,30701,187645,109791,297439,700527,730158,1430685,149103,155465,304569,434548,454962,889509,378911,396132,775039,Greater Perth
5RWAU,250251,214336,464586,116013,51231,167241,22245,49514,71755,11792,8653,20442,9535,6971,16511,159582,116369,275951,58363,76827,135188,6.0,6.0,6.0,63.8,54.3,59.4,60.0,51.0,55.8,3896,3533,7427,2051,4273,6325,17036,25103,42133,14700,19560,34264,70944,25308,96248,2738,4688,7429,3972,5551,9525,77657,35547,113203,213607,192376,405983,46583,42865,89452,133684,120082,253767,113817,103361,217181,Rest of WA
