gcc_code16,m_nat_phy_sci_15_24,m_nat_phy_sci_25_34,m_nat_phy_sci_35_44,m_nat_phy_sci_45_54,m_nat_phy_sci_55_64,m_nat_phy_sci_65_74,m_nat_phy_sci_75_84,m_nat_phy_sci_85,m_nat_phy_sci_tot,m_it_15_24,m_it_25_34,m_it_35_44,m_it_45_54,m_it_55_64,m_it_65_74,m_it_75_84,m_it_85,m_it_tot,m_egnr_rel_tech_15_24,m_egnr_rel_tech_25_34,m_egnr_rel_tech_35_44,m_egnr_rel_tech_45_54,m_egnr_rel_tech_55_64,m_egnr_rel_tech_65_74,m_egnr_rel_tech_75_84,m_egnr_rel_tech_85,m_egnr_rel_tech_tot,m_arc_bld_15_24,m_arc_bld_25_34,m_arc_bld_35_44,m_arc_bld_45_54,m_arc_bld_55_64,m_arc_bld_65_74,m_arc_bld_75_84,m_arc_bld_85_over,m_arc_bld_tot,m_agric_env_rel_stud_15_24,m_agric_env_rel_stud_25_34,m_agric_env_rel_stud_35_44,m_agric_env_rel_stud_45_54,m_agric_env_rel_stud_55_64,m_agric_env_rel_stud_65_74,m_agric_env_rel_stud_75_84,m_agric_env_rel_stud_85,m_agric_envir_rel_stud_tot,m_hlth_15_24_yr,m_hlth_25_34_yr,m_hlth_35_44_yr,m_hlth_45_54_yr,m_hlth_55_64_yr,m_hlth_65_74_yr,m_hlth_75_84_yr,m_hlth_85_yr_over,m_hlth_tot,m_edu_15_24_yr,m_edu_25_34_yr,m_edu_35_44_yr,m_edu_45_54_yr,m_edu_55_64_yr,m_edu_65_74_yr,m_edu_75_84_yr,m_edu_85_yr_over,m_edu_tot,m_mgmt_cmrce_15_24,m_mgmt_cmrce_25_34,m_mgmt_cmrce_35_44,m_mgmt_cmrce_45_54,m_mgmt_cmrce_55_64,m_mgmt_cmrce_65_74,m_mgmt_cmrce_75_84,m_mgmt_cmrce_85_over,m_mgmt_cmrce_tot,m_scty_cul_15_24_yr,m_scty_cul_25_34_yr,m_scty_cul_35_44_yr,m_scty_cul_45_54_yr,m_scty_cul_55_64_yr,m_scty_cul_65_74_yr,m_scty_cul_75_84_yr,m_scty_cul_85_yr_over,m_scty_cul_tot,m_crtve_arts_15_24_yr,m_crtve_arts_25_34_yr,m_crtve_arts_35_44_yr,m_crtve_arts_45_54_yr,m_crtve_arts_55_64_yr,m_crtve_arts_65_74_yr,m_crtve_arts_75_84_yr,m_crtve_arts_85_yr_over,m_crtve_arts_tot,m_foodhos_psnlsvcs_15_24,m_foodhos_psnlsvcs_25_34,m_foodhos_psnlsvcs_35_44,m_foodhos_psnlsvcs_45_54,m_foodhos_psnlsvcs_55_64,m_foodhos_psnlsvcs_65_74,m_foodhos_psnlsvcs_75_84,m_foodhos_psnlsvcs_85_over,m_foodhos_psnlsvcs_tot,m_mix_fld_prog_15_24,m_mix_fld_prog_25_34,m_mix_fld_prog_35_44,m_mix_fld_prog_45_54,m_mix_fld_prog_55_64,m_mix_fld_prog_65_74,m_mix_fld_prog_75_84,m_mix_fld_prog_85_over,m_mix_fld_prog_tot,m_fld_stud_inad_desc_15_24,m_fld_stud_inad_desc_25_34,m_fld_stud_inad_desc_35_44,m_fld_stud_inad_desc_45_54,m_fld_stud_inad_desc_55_64,m_fld_stud_inad_desc_65_74,m_fld_stud_inad_desc_75_84,m_fld_stud_inad_desc_85,m_fld_stud_inad_desc_tot,m_fld_stud_ns_15_24_yr,m_fld_stud_ns_25_34_yr,m_fld_stud_ns_35_44_yr,m_fld_stud_ns_45_54_yr,m_fld_stud_ns_55_64_yr,m_fld_stud_ns_65_74_yr,m_fld_stud_ns_75_84_yr,m_fld_stud_ns_85_yr_over,m_fld_stud_ns_tot,m_tot_15_24_yr,m_tot_25_34_yr,m_tot_35_44_yr,m_tot_45_54_yr,m_tot_55_64_yr,m_tot_65_74_yr,m_tot_75_84_yr,m_tot_85_yr_over,m_tot_tot,f_nat_phy_sci_15_24,f_nat_phy_sci_25_34,f_nat_phy_sci_35_44,f_nat_phy_sci_45_54,f_nat_phy_sci_55_64,f_nat_phy_sci_65_74,f_nat_phy_sci_75_84,f_nat_phy_sci_85,f_nat_phy_sci_tot,f_it_15_24,f_it_25_34,f_it_35_44,f_it_45_54,f_it_55_64,f_it_65_74,f_it_75_84,f_it_85,f_it_tot,f_egnr_rel_tech_15_24,f_egnr_rel_tech_25_34,f_egnr_rel_tech_35_44,f_egnr_rel_tech_45_54,f_egnr_rel_tech_55_64,f_egnr_rel_tech_65_74,f_egnr_rel_tech_75_84,f_egnr_rel_tech_85,f_egnr_rel_tech_tot,f_arc_bld_15_24,f_arc_bld_25_34,f_arc_bld_35_44,f_arc_bld_45_54,f_arc_bld_55_64,f_arc_bld_65_74,f_arc_bld_75_84,f_arc_bld_85_over,f_arc_bld_tot,f_agric_env_rel_stud_15_24,f_agric_env_rel_stud_25_34,f_agric_env_rel_stud_35_44,f_agric_env_rel_stud_45_54,f_agric_env_rel_stud_55_64,f_agric_env_rel_stud_65_74,f_agric_env_rel_stud_75_84,f_agric_env_rel_stud_85,f_agric_envir_rel_stud_tot,f_hlth_15_24_yr,f_hlth_25_34_yr,f_hlth_35_44_yr,f_hlth_45_54_yr,f_hlth_55_64_yr,f_hlth_65_74_yr,f_hlth_75_84_yr,f_hlth_85_yr_over,f_hlth_tot,f_edu_15_24_yr,f_edu_25_34_yr,f_edu_35_44_yr,f_edu_45_54_yr,f_edu_55_64_yr,f_edu_65_74_yr,f_edu_75_84_yr,f_edu_85_yr_over,f_edu_tot,f_mgmt_cmrce_15_24,f_mgmt_cmrce_25_34,gcc_name16
1RNSW,626,1969,2220,2215,2608,2373,818,232,13065,1544,3646,3197,2181,1578,708,97,14,12976,11144,29636,30163,36059,36941,29803,14510,4214,192462,5509,12821,12660,13632,13549,9645,4992,1305,74116,1945,4810,6002,6231,5406,3666,1612,394,30070,1101,4697,5157,5184,5451,2941,1239,456,26216,543,3291,4105,4490,7511,5244,1972,494,27654,3703,10400,12238,12476,11616,8678,3044,773,62930,2587,6283,7075,7265,7024,5071,1786,446,37533,1444,2682,2227,1801,1852,1313,458,134,11914,2536,5328,5095,4064,3280,2463,1029,270,24065,308,157,130,142,190,245,225,98,1492,469,969,1391,1615,1439,1023,534,194,7637,16611,15434,15137,17079,17579,16890,12433,5836,116995,50070,102113,106798,114434,116014,90070,44754,14864,639118,757,2337,2660,2235,1927,1123,330,88,11456,225,869,1072,1157,984,484,111,17,4916,550,1866,1893,1993,1603,1230,999,579,10716,279,865,893,824,517,246,83,20,3730,1338,2299,2642,2257,1432,664,196,44,10866,5906,17956,17441,19686,21973,12064,5328,1768,102122,2854,12623,14366,14153,17530,10718,4136,1110,77500,10072,24778,Rest of NSW
1GSYD,2883,7766,7555,7609,6193,4391,1765,529,38694,5832,27132,27571,11923,5114,1364,175,42,79152,13555,49563,51290,55663,49122,34351,17297,5910,276757,8561,23282,22709,20481,14318,9536,5136,1506,105530,1389,4045,4475,3941,2870,1445,722,224,19109,3083,12520,10504,9047,7461,4472,2412,958,50457,1208,6107,6017,6256,7908,5105,2111,632,35341,17451,69960,60349,45475,31494,18254,6214,1895,251092,7504,23888,21542,18751,15199,9485,3440,1013,100820,5705,14314,10098,6128,3994,2119,841,244,43442,3532,11470,8644,6252,3657,2378,1074,288,37292,836,529,380,360,364,364,266,85,3188,1044,3145,3575,3271,2358,1446,655,309,15802,24493,34215,27662,24160,19175,14975,10761,6303,161745,97080,287952,262386,219326,169215,109664,52853,19938,1218411,3581,10301,9323,7649,5138,2594,913,263,39761,1229,9214,8997,5003,2326,691,103,10,27568,1775,7970,6242,5766,4208,2517,2016,941,31435,1382,4581,3438,2376,1299,487,186,45,13785,851,2153,2062,1573,1011,412,163,38,8269,9672,36766,29657,26994,23351,12816,6111,2283,147655,6179,25234,24284,22528,23114,14471,5685,1877,123367,26052,94051,Greater Sydney
2RVIC,415,933,1220,1152,1307,1113,320,78,6542,758,2094,1761,1093,783,328,37,4,6853,5541,14043,14435,18006,17576,13599,6040,1866,91115,4083,8964,6996,6777,6650,4219,2136,607,40432,1290,3334,4195,4353,3352,1910,780,240,19449,718,2605,2549,2670,2879,1450,538,177,13585,443,2105,2508,2578,3983,3365,1177,267,16414,1971,5552,6666,6336,5791,3582,1124,327,31355,1793,2991,3232,3401,3401,2369,795,150,18129,998,1553,1370,933,974,702,204,56,6788,1329,3013,2655,2322,1797,1124,488,139,12861,124,94,57,95,86,135,109,52,758,224,659,965,959,881,602,250,115,4653,9084,8209,8240,9438,9359,8823,6386,3028,62573,28770,56146,56852,60118,58813,43321,20378,7110,331505,605,1320,1748,1109,906,366,106,59,6219,105,429,542,473,407,171,13,3,2144,339,911,1080,1025,777,572,451,225,5387,236,619,580,448,255,102,33,16,2286,732,1623,1790,1327,788,305,93,43,6702,3529,11295,10059,11364,11858,6912,3108,1104,59238,1673,7025,7691,7773,9260,6496,2368,749,43038,3867,11665,Rest of Vic.
2GMEL,3695,7854,7502,7039,5951,4096,1467,512,38109,5373,25717,24436,10769,4910,1357,172,29,72759,14528,50825,49649,53118,44371,30356,15254,5221,263321,10624,27674,20370,18265,12830,7865,4572,1329,103535,1453,4616,4421,3742,2403,1225,545,167,18567,2881,12216,10138,8560,6684,3722,1755,646,46602,1137,6544,6348,6354,7684,5394,2200,597,36261,16045,57561,49416,37111,24854,13632,4665,1535,204821,8002,20478,17694,15164,12420,7673,2571,722,84715,6412,15347,9571,5372,3425,1840,656,210,42838,4052,13256,8391,6124,3507,1939,936,264,38479,774,459,281,280,317,299,286,81,2788,1206,3772,3889,3361,2323,1365,632,289,16841,22341,29213,23323,20845,16975,13781,10341,5492,142311,98522,275527,235430,196109,148654,94552,46049,17097,1111947,4966,11975,10493,7109,4048,1784,601,223,41200,1243,9240,8098,4102,1956,538,69,18,25257,1965,7992,6492,4727,3053,2083,1847,799,28954,1544,5102,3370,2275,1063,415,116,51,13937,1160,2696,2554,1681,919,308,129,38,9487,10372,41261,31122,27122,21554,11928,5924,2142,151425,5102,24548,23602,23719,22965,14300,5383,1616,121236,21385,75543,Greater Melbourne
3GBRI,1420,3594,3389,3092,2391,1730,595,153,16375,3065,8020,8189,4436,1931,567,65,8,26286,9142,27876,27841,28785,25139,18098,8401,2281,147550,4516,13088,11174,10049,8417,5925,2858,786,56812,866,2060,2601,2266,1611,976,417,106,10909,1679,6152,5799,5079,3662,2115,956,321,25759,547,2684,3403,3511,3595,2745,1091,242,17826,8579,21444,21061,17579,11859,6501,1960,551,89533,5288,9838,9019,7368,5652,3585,1232,293,42285,3446,5140,3238,2035,1326,744,310,88,16324,2858,5123,4196,3035,1872,1295,445,119,18946,460,230,126,123,140,161,135,55,1418,523,1460,1711,1568,1170,733,307,124,7590,12292,14050,11737,10526,8594,7349,5016,2724,72287,54686,120747,113494,99461,77363,52522,23788,7842,549904,1639,4473,3867,2691,1627,824,233,73,15428,765,2234,2367,1412,683,225,32,4,7717,955,3254,2766,2105,1347,811,602,273,12114,653,1940,1385,910,412,171,39,17,5523,601,1323,1386,903,502,183,45,19,4957,6463,19477,16806,15831,12623,7086,3052,1047,82378,2488,10784,13696,13252,11500,6865,2450,637,61665,13974,35404,Greater Brisbane
3RQLD,651,1788,1968,1854,1881,1761,656,151,10715,1732,3133,3022,1874,1276,580,94,8,11722,12017,31657,32101,34609,33057,27294,12215,2939,185889,4660,13738,13905,13554,13730,9809,4506,951,74859,1451,3401,4452,4295,3406,2072,920,215,20223,1437,5149,5429,5464,4589,2591,1185,335,26176,474,2769,3745,4245,5062,3921,1441,287,21939,4859,11249,12658,12302,10100,7570,2728,641,62110,3666,5921,6140,5756,5026,3917,1393,263,32085,1700,2509,2019,1505,1316,1043,393,83,10575,3093,5545,5457,4655,3215,2323,830,175,25297,303,168,111,148,213,239,196,83,1453,536,1172,1485,1708,1271,909,484,146,7699,16877,18627,17528,18243,17218,15990,9987,4070,118545,53454,106827,110024,110207,101379,80007,37035,10346,609278,931,2437,2458,1893,1408,752,248,59,10192,382,792,1046,774,574,289,41,0,3910,860,2195,1977,1768,1337,1033,701,280,10146,355,1093,946,782,440,233,81,19,3949,1020,1991,2083,1387,865,347,93,17,7803,5867,17081,16004,17621,17044,9838,4157,1191,88797,2718,11451,14733,14681,13685,8776,3281,798,70118,11657,26637,Rest of Qld
4RSAU,37,256,263,267,317,283,66,17,1503,137,260,222,157,135,69,9,0,990,1842,4475,4461,5304,5410,4289,1962,505,28247,651,1357,1056,1260,1457,1165,561,146,7652,485,1149,1444,1275,928,574,198,86,6133,117,342,450,569,651,329,113,40,2618,92,456,437,475,803,713,178,40,3186,356,984,1241,1409,1439,1006,306,83,6821,260,687,656,719,822,582,183,40,3958,98,163,143,156,171,141,56,16,933,332,692,695,607,505,329,124,28,3313,22,27,19,30,33,37,33,24,222,68,132,150,227,174,164,66,25,1005,2403,2587,2619,2927,2852,2511,1687,772,18349,6912,13568,13839,15366,15698,12186,5529,1823,84919,56,252,259,205,156,99,22,9,1069,31,64,92,66,65,34,11,0,366,112,254,262,255,163,162,111,66,1388,23,66,76,55,37,23,10,0,294,222,436,510,396,216,104,14,6,1914,657,1989,1896,2715,3329,1730,677,222,13224,436,1671,1714,1571,2010,1583,484,147,9607,1112,2891,Rest of SA
4GADE,615,2137,2182,1936,1761,1324,500,142,10591,1137,3978,3654,2006,1173,366,49,8,12378,4829,14584,14649,16568,14611,11472,6150,2145,85017,2764,5913,4407,4729,4227,3052,1835,614,27537,580,1569,1560,1467,1102,601,238,98,7208,896,3640,3489,3105,2740,1573,653,303,16398,366,1814,1901,1965,3047,2414,738,218,12455,2982,10522,10927,9326,7043,4488,1638,526,47441,2152,5369,5067,4591,4141,2816,916,288,25340,1231,2511,1816,1228,966,563,199,53,8564,1328,2960,2363,1931,1265,837,321,95,11094,144,71,78,68,82,92,105,42,684,256,806,886,824,671,445,217,102,4197,5344,5754,5192,5336,4717,3973,3252,1979,35546,24617,61627,58171,55087,47545,33995,16813,6606,304459,846,2489,2317,1614,1100,522,185,69,9137,166,1183,1081,688,379,113,20,4,3633,470,1558,1367,1145,783,623,513,291,6749,424,1011,695,536,289,138,34,13,3146,365,858,739,565,327,121,45,3,3027,3579,12345,10341,10366,9812,4872,2156,921,54385,1216,5829,6165,5922,7061,4993,1651,676,33517,5263,16696,Greater Adelaide
5GPER,1333,3684,3623,3467,2659,1850,578,173,17370,1931,5903,5641,2980,1373,402,45,8,18282,10677,31234,29914,29077,24511,16539,7574,1963,151488,4382,11563,8659,8346,6577,4693,2700,675,47592,623,1928,2038,1795,1314,900,408,111,9123,1257,5132,4824,4213,3093,1813,829,284,21446,455,2109,2556,2900,3445,2226,992,279,14963,4844,16656,15825,13911,9532,6039,2150,574,69538,3079,7171,6292,5342,4543,2905,1016,268,30623,2163,3638,2443,1550,1191,653,263,72,11976,1532,4894,3650,2980,1916,1159,482,116,16727,304,155,135,132,126,141,130,44,1169,374,1184,1243,1254,862,523,288,115,5834,9949,13374,10679,9511,7611,6330,5020,2650,65125,42914,108635,97526,87460,68756,46167,22469,7337,481256,1975,4996,4201,2806,1632,694,201,81,16596,424,1946,1733,1100,565,180,34,0,5988,1036,3616,3005,1893,1163,662,609,284,12268,616,1791,1227,823,411,136,39,11,5063,541,1531,1458,923,447,187,61,17,5169,5678,18118,14613,13544,11142,6342,3057,965,73472,2609,10079,11825,12290,10599,5687,2306,655,56045,8721,28056,Greater Perth
5RWAU,146,717,725,525,484,384,94,19,3107,280,488,430,278,158,83,13,0,1724,3837,12787,11850,11345,9077,5560,1820,370,56645,1151,3289,2674,2605,2471,1587,653,130,14555,565,1227,1512,1460,1270,833,330,77,7268,132,870,1035,1156,1000,481,152,46,4861,99,611,840,991,1243,802,243,29,4858,478,1684,2209,2151,1856,1300,315,71,10077,405,987,1007,952,920,649,170,49,5128,196,372,323,277,261,213,50,14,1708,331,1066,1267,1109,689,408,120,29,5009,51,35,47,31,44,56,40,12,320,70,296,372,417,310,139,70,14,1693,4656,8506,7774,7504,6013,3922,2000,729,41108,12401,32928,32068,30806,25793,16406,6075,1584,158057,165,745,749,441,294,119,29,8,2556,57,176,213,144,121,56,9,0,781,248,765,590,379,234,154,108,48,2536,66,226,178,152,89,43,7,0,771,334,779,812,574,331,105,35,7,2984,894,3310,3163,3322,3844,2314,899,210,17966,683,2752,3513,3474,3350,1871,559,122,16322,2040,5074,Rest of WA
