gcc_code16,f_inad_desc_ns_15_19,f_inad_desc_ns_20_24,f_inad_desc_ns_25_34,f_inad_desc_ns_35_44,f_inad_desc_ns_45_54,f_inad_desc_ns_55_64,f_inad_desc_ns_65_74,f_inad_desc_ns_75_84,f_inad_desc_ns_85,f_inad_desc_ns_tot,f_tot_15_19_yr,f_tot_20_24_yr,f_tot_25_34_yr,f_tot_35_44_yr,f_tot_45_54_yr,f_tot_55_64_yr,f_tot_65_74_yr,f_tot_75_84_yr,f_tot_85_yr_over,f_tot_tot,p_agr_fstry_fsh_15_19,p_agr_fstry_fsh_20_24,p_agr_fstry_fsh_25_34,p_agr_fstry_fsh_35_44,p_agr_fstry_fsh_45_54,p_agr_fstry_fsh_55_64,p_agr_fstry_fsh_65_74,p_agr_fstry_fsh_75_84,p_agr_fstry_fsh_85,p_agr_fstry_fsh_tot,p_min_15_19_yr,p_min_20_24_yr,p_min_25_34_yr,p_min_35_44_yr,p_min_45_54_yr,p_min_55_64_yr,p_min_65_74_yr,p_min_75_84_yr,p_min_85_yr_over,p_min_tot,p_manf_15_19_yr,p_manf_20_24_yr,p_manf_25_34_yr,p_manf_35_44_yr,p_manf_45_54_yr,p_manf_55_64_yr,p_manf_65_74_yr,p_manf_75_84_yr,p_manf_85_yr_over,p_manf_tot,p_elec_gas_wtr_wst_sv_15_19,p_elec_gas_wtr_wst_sv_20_24,p_elec_gas_wtr_wst_sv_25_34,p_elec_gas_wtr_wst_sv_35_44,p_elec_gas_wtr_wst_sv_45_54,p_elec_gas_wtr_wst_sv_55_64,p_elec_gas_wtr_wst_sv_65_74,p_elec_gas_wtr_wst_sv_75_84,p_elec_gas_wtr_wst_sv_85,p_elec_gas_wtr_wst_sv_tot,p_con_15_19_yr,p_con_20_24_yr,p_con_25_34_yr,p_con_35_44_yr,p_con_45_54_yr,p_con_55_64_yr,p_con_65_74_yr,p_con_75_84_yr,p_con_85_yr_over,p_con_tot,p_whl_trd_15_19_yr,p_whl_trd_20_24_yr,p_whl_trd_25_34_yr,p_whl_trd_35_44_yr,p_whl_trd_45_54_yr,p_whl_trd_55_64_yr,p_whl_trd_65_74_yr,p_whl_trd_75_84_yr,p_whl_trd_85_yr_over,p_whl_trd_tot,p_re_trd_15_19_yr,p_re_trd_20_24_yr,p_re_trd_25_34_yr,p_re_trd_35_44_yr,p_re_trd_45_54_yr,p_re_trd_55_64_yr,p_re_trd_65_74_yr,p_re_trd_75_84_yr,p_re_trd_85_yr_over,p_re_trd_tot,p_acc_food_svc_15_19,p_acc_food_svc_20_24,p_acc_food_svc_25_34,p_acc_food_svc_35_44,p_acc_food_svc_45_54,p_acc_food_svc_55_64,p_acc_food_svc_65_74,p_acc_food_svc_75_84,p_acc_food_svc_85,p_acc_food_svc_tot,p_trp_pos_wh_15_19,p_trp_pos_wh_20_24,p_trp_pos_wh_25_34,p_trp_pos_wh_35_44,p_trp_pos_wh_45_54,p_trp_pos_wh_55_64,p_trp_pos_wh_65_74,p_trp_pos_wh_75_84,p_trp_pos_wh_85,p_trp_pos_wh_tot,p_in_med_tcom_15_19,p_in_med_tcom_20_24,p_in_med_tcom_25_34,p_in_med_tcom_35_44,p_in_med_tcom_45_54,p_in_med_tcom_55_64,p_in_med_tcom_65_74,p_in_med_tcom_75_84,p_in_med_tcom_85,p_in_med_tcom_tot,p_fin_in_svc_15_19,p_fin_in_svc_20_24,p_fin_in_svc_25_34,p_fin_in_svc_35_44,p_fin_in_svc_45_54,p_fin_in_svc_55_64,p_fin_in_svc_65_74,p_fin_in_svc_75_84,p_fin_in_svc_85,p_fin_in_svc_tot,p_rnt_hrg_rea_est_serv_15_19,p_rnt_hrg_rea_est_serv_20_24,p_rnt_hrg_rea_est_serv_25_34,p_rnt_hrg_rea_est_serv_35_44,p_rnt_hrg_rea_est_serv_45_54,p_rnt_hrg_rea_est_serv_55_64,p_rnt_hrg_rea_est_serv_65_74,p_rnt_hrg_rea_est_serv_75_84,p_rnt_hrg_rea_est_serv_85,p_rnt_hrg_rea_est_serv_tot,p_prof_sc_tech_serv_15_19,p_prof_sc_tech_serv_20_24,p_prof_sc_tech_serv_25_34,p_prof_sc_tech_serv_35_44,p_prof_sc_tech_serv_45_54,p_prof_sc_tech_serv_55_64,p_prof_sc_tech_serv_65_74,p_prof_sc_tech_serv_75_84,p_prof_sc_tech_serv_85,p_prof_sc_tech_serv_tot,p_adm_sup_serv_15_19,p_adm_sup_serv_20_24,p_adm_sup_serv_25_34,p_adm_sup_serv_35_44,p_adm_sup_serv_45_54,p_adm_sup_serv_55_64,p_adm_sup_serv_65_74,p_adm_sup_serv_75_84,p_adm_sup_serv_85_over,p_adm_sup_serv_tot,p_pubad_saf_15_19,p_pubad_saf_20_24,p_pubad_saf_25_34,p_pubad_saf_35_44,p_pubad_saf_45_54,p_pubad_saf_55_64,p_pubad_saf_65_74,p_pubad_saf_75_84,p_pubad_saf_85_over,p_pubad_saf_tot,p_ed_trng_15_19,p_ed_trng_20_24,p_ed_trng_25_34,p_ed_trng_35_44,p_ed_trng_45_54,p_ed_trng_55_64,p_ed_trng_65_74,p_ed_trng_75_84,p_ed_trng_85_over,p_ed_trng_tot,p_hlth_cre_socia_assist_15_19,p_hlth_cre_socia_assist_20_24,p_hlth_cre_socia_assist_25_34,p_hlth_cre_socia_assist_35_44,p_hlth_cre_socia_assist_45_54,p_hlth_cre_socia_assist_55_64,p_hlth_cre_socia_assist_65_74,p_hlth_cre_socia_assist_75_84,p_hlth_cre_socia_assist_85,p_hlth_cre_socia_assist_tot,p_arts_rec_svc_15_19,p_arts_rec_svc_20_24,p_arts_rec_svc_25_34,p_arts_rec_svc_35_44,p_arts_rec_svc_45_54,p_arts_rec_svc_55_64,p_arts_rec_svc_65_74,p_arts_rec_svc_75_84,p_arts_rec_svc_85,p_arts_rec_svc_tot,gcc_name16
1RNSW,1085,1302,2459,3103,3389,2715,1073,411,124,15657,34081,46632,98865,110483,126598,94535,19929,2515,438,534081,1740,3584,8268,9578,12792,13693,9111,3104,543,62419,214,1313,7347,7608,6384,3395,340,30,11,26642,3103,6029,13406,14389,16172,11398,2044,247,17,66812,158,735,2650,3469,4102,2722,281,18,9,14137,4960,10530,21612,20441,20450,14996,2958,252,27,96222,792,1740,4254,5027,5437,4013,999,135,14,22419,17265,15745,20992,19082,21052,16002,3785,432,58,114417,22435,14580,14920,11464,11877,9418,2447,214,27,87377,671,1940,6056,8609,12044,10922,3494,351,23,44112,594,1085,2111,2121,2139,1614,372,38,7,10090,282,1479,5337,5764,5649,3347,707,127,20,22707,482,1312,2861,3307,3542,2804,1028,172,20,15530,912,3489,10778,12258,11287,8767,3104,385,37,51009,810,2505,6297,7694,9449,7387,1752,191,27,36107,1169,4175,15431,20287,22653,14346,2015,146,25,80244,1538,5385,17818,23076,25976,21828,3879,308,29,99841,2493,10788,30017,32573,40951,35771,6132,385,57,159174,1529,1839,2532,2647,2688,2105,731,94,19,14188,Rest of NSW
1GSYD,1772,4604,11603,10096,9358,5549,1608,354,109,45061,50057,105473,268970,242264,222017,141950,31428,2810,399,1065360,309,765,1692,1922,2313,1778,833,262,38,9905,22,171,1129,1269,1100,704,159,22,0,4585,2856,7738,25898,31815,33973,23245,4550,433,64,130585,148,848,3931,4865,4575,2916,456,25,0,17765,7907,20240,49487,44509,37066,21551,4950,396,50,186157,1100,4744,19047,22048,19235,11778,2728,289,35,81010,23000,36633,50696,38361,33776,22417,5976,656,65,211577,30562,29172,39529,21558,17399,11103,2415,246,36,152030,1358,6226,23768,27437,29498,20987,4651,350,25,114296,1523,4709,18718,18426,12565,5893,1206,144,10,63209,816,8338,43488,44891,29622,13913,2813,345,97,144322,989,3897,11927,10379,8846,5510,2089,404,68,44114,2194,16935,67848,59457,41780,25057,8486,1056,124,222950,1415,6951,21457,18924,17311,11765,3126,292,38,81283,1109,6406,28662,32042,30883,20558,4020,299,34,124022,5312,14531,40153,39961,40823,32890,8076,739,56,182537,4232,20338,62939,57396,58767,45548,11979,1078,100,262379,3380,5620,9879,7581,6052,3826,1235,198,29,37802,Greater Sydney
2RVIC,657,755,1302,1623,1969,1633,686,230,67,8925,18694,25818,53589,59527,70790,54213,11612,1431,319,295989,1264,2612,6357,7626,9629,10215,6495,2088,348,46633,24,210,994,1026,1110,732,117,12,6,4240,2286,4402,9349,10792,12548,9122,1533,139,37,50212,95,441,1805,2013,2804,1987,274,18,3,9433,2492,6396,13172,11322,11073,8024,1535,157,45,54212,492,1099,2485,2993,3428,2542,602,65,14,13715,10048,8803,11534,10754,12169,9356,2192,230,39,65134,11752,7408,7001,5659,5795,4593,1284,116,31,43637,334,1202,3419,4677,6678,6208,1763,147,30,24439,337,607,1308,1368,1381,1035,225,21,7,6298,105,747,2676,3091,3036,1690,353,44,7,11750,170,602,1337,1445,1552,1214,440,55,16,6830,416,1707,5451,6322,5867,4541,1621,197,19,26145,398,1106,2921,3676,4518,3834,967,112,20,17561,513,2087,6904,8988,10616,7675,1316,118,19,38235,932,2718,9818,12305,13941,11527,2040,123,25,53437,1066,5899,16730,17830,22792,20403,3508,225,53,88508,968,1159,1642,1739,1739,1412,499,68,6,9243,Rest of Vic.
2GMEL,1491,3841,9652,8601,8614,5111,1520,357,117,39307,46673,99393,253603,222419,212280,131403,27258,2288,423,995745,329,1004,2520,2719,2990,2291,1085,356,57,13351,15,128,988,1226,1070,651,154,15,7,4264,3818,9411,32401,40525,42427,27276,5280,477,60,161672,146,1093,6213,5845,4744,2700,447,28,7,21216,5596,18758,48511,40019,34941,20079,4196,383,65,172541,1182,4830,16795,19156,18684,11072,2418,257,30,74434,24574,39504,50252,37106,34771,22221,5575,558,74,214635,29562,29668,35037,17975,14277,8458,1709,182,29,136894,971,6075,25071,25035,25843,17873,3952,246,33,105106,1197,3486,13303,12902,9307,4513,819,57,15,45606,416,5300,29228,28326,19536,9233,2091,236,72,94455,619,3283,10455,8242,7108,4468,1576,260,40,36054,1285,12692,58300,51556,36348,21368,7182,835,105,189674,1137,6946,20130,16919,16073,10868,2993,307,30,75405,831,5121,24143,27298,27005,17594,3641,384,44,106061,3996,12456,42813,41677,42047,31809,6777,503,75,182160,2333,17288,64029,57207,57499,42526,9933,779,102,251692,4452,7023,11377,8264,6441,3898,1307,206,32,43003,Greater Melbourne
3GBRI,917,1729,3757,3907,3463,2092,646,171,58,16746,32105,54357,118987,114637,110151,67458,13140,1007,131,511976,419,990,2093,1787,2090,1647,898,262,22,10203,34,336,3139,3648,2638,1211,193,10,9,11226,2282,5563,14940,16868,17274,10530,1866,135,15,69477,93,473,2474,3339,3030,1785,234,19,0,11457,3726,10073,24274,21438,18210,10807,2204,141,7,90888,804,2399,6912,7904,7643,4591,993,95,6,31346,15128,19225,22213,16557,15500,10263,2470,198,17,101559,20593,14869,15300,7848,6197,3769,866,89,17,69543,807,3646,12727,13883,15205,11004,2639,173,18,60094,771,1756,3861,3476,2976,1643,286,35,3,14808,303,2187,9899,9885,7419,3701,691,85,22,34197,606,2062,5086,4582,4453,3114,1200,203,31,21342,1393,7570,22722,22251,16625,9457,2728,275,25,83038,1068,3906,9669,8492,7691,5211,1296,120,14,37472,613,4462,17305,20378,19276,11198,1604,83,8,74932,2492,6729,19326,23788,25133,16918,3377,232,12,98011,2770,12134,33066,31809,32440,22884,4602,308,23,140038,1744,2406,3871,3269,2609,1644,551,88,12,16188,Greater Brisbane
3RQLD,1104,1361,3095,3716,3944,2716,1078,339,79,17428,34433,46534,102258,110908,120528,83446,18357,2011,278,518745,1748,3835,8384,8293,10328,10205,6153,1968,271,51183,365,1957,10285,10910,9448,4674,560,37,13,38239,3032,5204,11910,13435,13948,9807,2094,218,25,59668,184,661,2562,3024,3486,2264,270,18,4,12472,3879,9256,23318,23176,21650,14926,3011,204,32,99452,919,1911,4894,5957,6267,4197,997,105,13,25260,17887,15491,20111,18526,20168,14348,3810,357,39,110744,21056,13409,17372,12684,11831,8333,2225,237,28,87176,718,2241,7743,9578,13126,11039,3200,274,25,47944,621,1237,2382,2295,2300,1533,350,27,3,10747,339,1486,4867,5067,4930,2998,800,110,18,20626,623,1609,3653,4314,4886,4089,1782,279,29,21271,1081,3834,11220,12513,10942,8004,2785,283,25,50688,1074,2915,7320,8315,9533,6968,1754,180,18,38084,916,4703,13515,15921,17138,11245,1658,147,11,65247,1752,4995,16783,23615,25604,18074,3475,278,20,94598,2487,9724,27488,29419,35353,28188,5312,341,31,138344,1822,2268,3605,3515,3374,2292,703,115,9,17693,Rest of Qld
4RSAU,138,130,317,338,440,383,198,59,18,2025,4312,5670,12572,14474,18329,14590,3369,467,85,73866,619,1392,3423,4021,5068,4865,2667,723,112,22888,29,275,1357,1301,1259,665,69,9,3,4965,597,1248,2796,3304,3834,2724,430,54,16,14992,27,109,353,306,526,381,68,3,3,1776,489,1125,2400,2250,2516,2091,438,41,8,11356,165,337,863,892,1057,800,159,20,0,4291,2479,1911,2731,2741,3370,2580,567,63,13,16455,2419,1397,1627,1501,1804,1439,370,36,9,10603,82,306,799,1213,1883,1691,535,68,3,6586,51,109,223,174,201,192,48,3,0,1002,40,120,430,467,520,352,85,6,0,2019,36,96,236,306,407,353,104,32,4,1575,90,273,852,878,942,844,343,34,3,4273,119,334,913,981,1429,1162,289,27,0,5247,68,334,1347,1902,2264,1756,266,17,10,7966,143,649,2292,2681,2978,2696,595,37,12,12081,267,1225,3080,3500,5262,5087,801,32,11,19266,110,143,212,247,290,232,91,19,7,1349,Rest of SA
4GADE,312,608,1499,1418,1492,1056,384,127,42,6941,15614,27331,61362,59511,64342,45089,8909,733,119,283002,151,484,1144,1446,1559,1267,644,181,27,6912,17,146,1088,1154,999,532,96,6,0,4043,1275,2955,8805,10610,11622,7456,1426,135,16,44303,88,357,1711,1763,1969,1188,172,10,5,7254,1448,4895,11462,9394,9740,6260,1475,136,22,44827,353,1193,3312,4083,4336,2799,651,61,9,16796,9056,11562,13240,9856,10410,6912,1650,158,14,62857,9733,8587,8467,4916,3991,2462,616,71,8,38851,284,1255,4741,5268,6337,5007,1143,86,9,24128,380,805,2406,2041,1667,1045,262,24,3,8635,130,964,4444,4930,4466,2661,530,63,12,18196,180,681,1808,1655,1859,1480,555,116,14,8346,390,2461,9264,9514,7907,5367,1795,188,17,36896,365,1673,4640,4657,5286,3688,956,82,8,21356,195,1986,9610,11710,11897,8113,1044,39,11,44594,953,3309,10370,11726,12620,10771,2321,161,13,52253,928,6134,20326,19778,22064,17760,3392,233,25,90639,900,1429,1976,1597,1464,1026,321,65,3,8783,Greater Adelaide
5GPER,783,1451,3647,3272,3282,1938,628,150,35,15171,24441,43019,101562,91631,93149,61276,12739,1043,121,428978,234,521,1306,1255,1553,1263,686,193,26,7030,158,1494,11138,11317,9254,4137,565,35,0,38108,1869,3703,11342,12404,12240,8085,1664,147,16,51463,54,442,2455,2619,2575,1613,243,9,0,10017,3034,9101,25339,20295,17670,10198,2217,190,23,88064,512,1949,5578,5754,5782,3822,900,101,11,24407,13113,16808,18727,14105,14320,9587,2482,236,26,89402,15060,12188,14215,7284,5589,3397,774,87,9,58603,600,2524,9364,8968,10056,7765,1939,135,10,41363,607,1141,2663,2198,1887,1192,331,36,7,10063,161,1423,6571,6395,5830,3168,717,73,20,24353,302,1316,3670,3446,3720,2784,1127,183,18,16562,635,4324,18475,17247,13693,8016,2592,299,21,65297,709,2734,7595,6743,6359,4522,1220,127,8,30020,501,3105,13076,13978,14965,10623,2075,158,17,58497,1799,4860,14767,18684,21257,15839,3465,246,24,80949,1623,8852,26783,24673,25537,20119,4571,342,27,112523,1669,2394,3832,2886,2479,1763,603,82,4,15715,Greater Perth
5RWAU,216,293,685,740,871,642,211,78,12,3745,5967,8049,21871,23436,25990,19179,4298,532,72,109394,577,1281,3465,3741,4637,4489,2759,787,103,21837,211,1751,10339,9570,8404,4263,486,13,9,35051,635,1073,3046,3075,2904,2001,425,42,8,13222,35,154,673,816,926,697,109,4,3,3419,825,2113,6630,6127,5920,3939,703,57,8,26317,210,421,1045,1104,1217,807,213,28,3,5041,3458,2186,3631,3526,4152,3056,699,63,11,20773,2790,1797,3457,2611,2701,2018,531,61,3,15978,159,571,1838,2411,3259,2761,843,68,9,11922,115,164,295,259,286,220,48,7,3,1399,61,196,701,645,737,422,95,20,0,2877,105,320,658,730,790,634,266,36,4,3554,161,498,2067,2251,2167,1595,453,52,5,9244,214,566,1582,1707,2013,1515,367,34,3,7993,230,619,2515,3290,3744,2907,540,46,4,13894,245,853,3331,5040,5540,4183,768,63,4,20028,443,1362,4262,4911,5873,5603,1109,82,11,23643,184,221,517,546,585,517,151,22,0,2749,Rest of WA
