gcc_code16,p_oth_svc_15_19_yr,p_oth_svc_20_24_yr,p_oth_svc_25_34_yr,p_oth_svc_35_44_yr,p_oth_svc_45_54_yr,p_oth_svc_55_64_yr,p_oth_svc_65_74_yr,p_oth_svc_75_84_yr,p_oth_svc_85_yr_over,p_oth_svc_tot,p_inad_desc_ns_15_19,p_inad_desc_ns_20_24,p_inad_desc_ns_25_34,p_inad_desc_ns_35_44,p_inad_desc_ns_45_54,p_inad_desc_ns_55_64,p_inad_desc_ns_65_74,p_inad_desc_ns_75_84,p_inad_desc_ns_85,p_inad_desc_ns_tot,p_tot_15_19_yr,p_tot_20_24_yr,p_tot_25_34_yr,p_tot_35_44_yr,p_tot_45_54_yr,p_tot_55_64_yr,p_tot_65_74_yr,p_tot_75_84_yr,p_tot_85_yr_over,p_tot_tot,gcc_name16
9OTER,0,3,15,15,24,11,3,0,0,70,3,5,12,22,30,21,14,0,0,119,77,150,426,499,573,501,224,30,4,2485,Other Territories
8ACTE,343,799,1522,1311,1158,730,232,21,5,6116,307,619,1390,1213,965,559,212,40,19,5342,10776,20880,52416,48187,41957,24893,5814,575,75,205582,Australian Capital Territory
7RNTE,67,192,477,412,400,279,73,3,0,1910,105,176,414,338,329,269,76,22,0,1725,1404,2800,8469,7262,7672,6206,1485,143,16,35461,Rest of NT
7GDAR,154,271,644,519,484,295,76,9,0,2456,184,339,834,749,724,430,120,23,6,3408,3184,6670,20310,17204,15347,10028,2302,209,18,75274,Greater Darwin
6RTAS,221,535,905,854,980,712,181,21,0,4418,280,348,740,815,993,779,279,91,29,4352,6710,9972,20374,22888,28366,22270,5085,747,118,116521,Rest of Tas.
6GHOB,138,375,814,756,775,592,171,28,0,3653,170,279,618,580,617,428,164,56,19,2941,5175,8776,20566,21017,22358,16661,3580,396,53,98576,Greater Hobart
5RWAU,629,1082,2196,2041,1912,1310,354,43,0,9573,602,908,2073,2174,2437,1867,652,192,33,10936,11874,18133,54319,56586,60203,44805,11571,1720,230,259437,Rest of WA
5GPER,1638,4263,9513,7390,7171,4857,1288,150,14,36294,1881,4206,10160,9246,8949,5540,1783,406,77,42238,46173,87329,216570,196879,190871,128297,31261,3241,354,900974,Greater Perth
4RSAU,299,641,1144,1094,1260,1008,284,40,9,5761,347,417,855,919,1187,997,416,172,49,5350,8482,12437,27924,30673,38070,31920,8620,1432,258,159815,Rest of SA
4GADE,794,2462,5332,4780,5036,3674,1047,127,9,23270,797,1797,4202,3934,4061,2822,942,261,85,18901,28422,55137,128337,124817,129296,92303,21037,2195,308,581856,Greater Adelaide
3RQLD,2483,4907,9877,9132,8728,6148,1775,162,8,43224,2679,4155,8770,9524,9926,7306,2700,772,166,45991,65654,95795,216067,229222,242955,176647,45420,6116,790,1078655,Rest of Qld
3GBRI,1998,4733,10218,8635,8091,5338,1351,152,11,40510,2272,4962,10792,10335,9389,5812,1784,405,111,45860,59913,110491,249880,240169,223884,142533,31836,3102,378,1062191,Greater Brisbane
2RVIC,1115,2653,4665,4245,4748,3741,1060,140,16,22388,1599,2320,4016,4450,5414,4442,1709,584,168,24708,36402,54166,113590,122330,140838,114312,29544,4672,908,616759,Rest of Vic.
2GMEL,2357,7833,19330,16356,16133,10379,2789,328,38,75546,3498,10211,25768,22558,22372,13960,4305,879,282,103839,88329,202107,536656,480921,439625,283251,68240,7277,1190,2107592,Greater Melbourne
1RNSW,2450,5116,9370,8851,9062,6564,1894,248,40,43589,2709,4112,7441,8073,9189,7230,2711,968,266,42701,66317,97480,209489,226332,252893,198314,49792,7854,1263,1109740,Rest of NSW
1GSYD,3317,8318,19692,18012,16791,11177,3036,339,37,80722,4440,11790,29746,25664,23976,15006,4411,930,239,116193,95995,214376,569704,526528,466364,307612,77211,8497,1140,2267423,Greater Sydney
